rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2818,black,"Hakobyan, Aram",2563,win,35,E28,Saint Louis,2023
2818,black,"Dominguez Perez, Leinier",2647,win,80,C78,Saint Louis,2023
2818,white,"Robson, Ray",2668,win,40,C78,Saint Louis,2023
2818,white,"Sevian, Samuel",2693,win,77,A22,Saint Louis,2023
2818,black,"Aronian, Levon",2809,draw,98,C78,Saint Louis,2023
2818,black,"Shankland, Samuel L",2638,win,44,E21,Saint Louis,2023
2818,white,"Bok, Benjamin",2658,win,50,A29,Saint Louis,2023
2818,black,"Quesada Perez, Yasser",2498,win,39,C78,Saint Louis,2023
2818,white,"Chandra, Akshat",2534,win,45,A21,Saint Louis,2023
2766,white,"Aronian, Levon",2745,lose,28,A13,Saint Louis,2023
2818,white,"Aronian, Levon",2809,lose,76,B06,Saint Louis,2023
2818,black,"Aronian, Levon",2809,win,45,C77,Saint Louis,2023
2758,white,"Aronian, Levon",2720,win,93,C65,Saint Louis,2023
2758,black,"Aronian, Levon",2720,lose,63,C77,Saint Louis,2023
2758,black,"Aronian, Levon",2720,lose,62,C77,Saint Louis,2023
2758,white,"Aronian, Levon",2720,win,49,A18,Saint Louis,2023
2758,white,"So, Wesley",2780,draw,125,D26,Saint Louis,2023
2766,black,"So, Wesley",2761,draw,52,E36,Saint Louis,2023
2758,black,"So, Wesley",2780,lose,63,C78,Saint Louis,2023
2766,white,"So, Wesley",2761,draw,28,D26,Saint Louis,2023
2758,white,"Robson, Ray",2596,win,54,E01,Saint Louis,2023
2766,black,"Robson, Ray",2702,draw,32,C47,Saint Louis,2023
2758,black,"Robson, Ray",2596,draw,69,E50,Saint Louis,2023
2766,white,"Robson, Ray",2702,draw,81,E10,Saint Louis,2023
2766,black,"Ding, Liren",2811,draw,19,C78,Wijk aan Zee,2023
2766,white,"Keymer, Vincent",2696,draw,40,C84,Wijk aan Zee,2023
2766,black,"Aronian, Levon",2735,draw,39,A30,Wijk aan Zee,2023
2766,white,Erigaisi Arjun,2722,draw,39,C84,Wijk aan Zee,2023
2766,black,Praggnanandhaa R,2684,draw,59,E10,Wijk aan Zee,2023
2766,white,"Carlsen, Magnus",2859,lose,33,C88,Wijk aan Zee,2023
2766,black,"Maghsoodloo, Parham",2719,draw,106,E10,Wijk aan Zee,2023
2766,white,Gukesh D,2725,win,36,E10,Wijk aan Zee,2023
2766,white,"So, Wesley",2760,draw,41,C45,Wijk aan Zee,2023
2766,black,"Rapport, Richard",2740,draw,36,A13,Wijk aan Zee,2023
2766,white,"Van Foreest, Jorden",2681,win,46,C42,Wijk aan Zee,2023
2766,black,"Abdusattorov, Nodirbek",2713,draw,54,D38,Wijk aan Zee,2023
2766,white,"Giri, Anish",2764,draw,31,A06,Wijk aan Zee,2023
2847,black,"Martirosyan, Haik M.",2745,lose,58,E10,Almaty,2022
2847,white,"Giri, Anish",2792,draw,41,D70,Almaty,2022
2847,white,"Dardha, Daniel",2528,win,58,C65,Almaty,2022
2847,black,"Anton Guijarro, David",2585,win,40,A06,Almaty,2022
2847,white,"Carlsen, Magnus",2830,lose,50,C88,Almaty,2022
2847,black,"Indjic, Aleksandar",2616,win,31,E32,Almaty,2022
2847,black,"Tari, Aryan",2620,win,46,C45,Almaty,2022
2847,white,"Harikrishna, Pentala",2617,lose,49,B90,Almaty,2022
2847,white,"Yoo, Christopher Woojin",2463,win,42,D45,Almaty,2022
2847,black,"Moussard, Jules",2606,lose,35,B31,Almaty,2022
2847,white,"Fedoseev, Vladimir",2733,lose,41,A05,Almaty,2022
2847,black,"Ghasi, Ameet K",2587,win,50,A07,Almaty,2022
2847,black,"Shankland, Samuel L",2612,win,39,A50,Almaty,2022
2847,white,"Durarbayli, Vasif",2576,draw,68,D12,Almaty,2022
2847,white,"Sargsyan, Shant",2602,win,52,C88,Almaty,2022
2847,black,"Nakamura, Hikaru",2909,lose,38,A20,Almaty,2022
2847,white,"Predke, Alexandr",2616,win,31,A06,Almaty,2022
2847,black,"Van Foreest, Jorden",2663,draw,70,C50,Almaty,2022
2847,white,"Bilguun, Sumiya",2365,win,64,A30,Almaty,2022
2847,black,"Keymer, Vincent",2600,draw,34,A06,Almaty,2022
2847,white,"Sargissian, Gabriel",2559,win,97,C88,Almaty,2022
2747,white,"Artemiev, Vladislav",2727,win,33,C88,Almaty,2022
2747,black,"Carlsen, Magnus",2834,draw,31,E10,Almaty,2022
2747,black,"Dubov, Daniil",2712,draw,17,A46,Almaty,2022
2747,white,"Fedoseev, Vladimir",2741,win,34,D43,Almaty,2022
2747,white,"Gareyev, Timur",2617,win,46,C78,Almaty,2022
2747,black,"Savchenko, Boris",2592,win,47,A20,Almaty,2022
2747,white,"Ponkratov, Pavel",2569,win,35,A29,Almaty,2022
2747,black,"Keymer, Vincent",2590,lose,81,E10,Almaty,2022
2747,white,"Shimanov, Aleksandr",2616,draw,69,B12,Almaty,2022
2747,black,"Svane, Rasmus",2641,draw,75,A05,Almaty,2022
2747,white,"Moiseenko, Alexander",2570,win,42,B30,Almaty,2022
2747,black,"Martirosyan, Haik M.",2575,draw,69,E10,Almaty,2022
2747,white,"Lintchevski, Daniil",2520,win,58,D27,Almaty,2022
2763,white,"Aronian, Levon",2755,draw,34,C67,Saint Louis,2022
2763,black,"Shankland, Samuel L",2712,draw,39,A30,Saint Louis,2022
2763,white,"Xiong, Jeffery",2690,draw,57,D35,Saint Louis,2022
2763,black,"Yoo, Christopher Woojin",2563,draw,68,A04,Saint Louis,2022
2763,white,"Liang, Awonder",2608,draw,77,C42,Saint Louis,2022
2763,black,"Sevian, Samuel",2684,draw,47,E20,Saint Louis,2022
2763,white,"Lenderman, Aleksandr",2535,win,51,D11,Saint Louis,2022
2763,black,"Moradiabadi, Elshan",2534,win,44,B46,Saint Louis,2022
2763,white,"So, Wesley",2774,draw,75,C67,Saint Louis,2022
2763,black,"Niemann, Hans Moke",2699,win,80,E32,Saint Louis,2022
2763,white,"Swiercz, Dariusz",2652,win,98,C65,Saint Louis,2022
2763,black,"Robson, Ray",2690,draw,47,E10,Saint Louis,2022
2763,white,"Dominguez Perez, Leinier",2747,draw,47,C67,Saint Louis,2022
2758,black,"Niemann, Hans Moke",2688,win,69,A21,Saint Louis,2022
2758,white,"Aronian, Levon",2759,draw,45,C65,Saint Louis,2022
2758,black,"Nepomniachtchi, Ian",2792,draw,53,B40,Saint Louis,2022
2758,black,"Mamedyarov, Shakhriyar",2757,draw,43,E10,Saint Louis,2022
2758,white,"Vachier-Lagrave, Maxime",2757,win,92,B90,Saint Louis,2022
2758,black,"So, Wesley",2771,lose,67,C42,Saint Louis,2022
2758,white,"Dominguez Perez, Leinier",2745,draw,46,C42,Saint Louis,2022
2758,black,"Firouzja, Alireza",2778,draw,34,A30,Saint Louis,2022
2847,white,"Mamedyarov, Shakhriyar",2710,win,59,E10,Saint Louis,2022
2847,black,"Xiong, Jeffery",2714,win,36,A46,Saint Louis,2022
2847,white,"Shankland, Samuel L",2645,win,45,A04,Saint Louis,2022
2847,black,"Nepomniachtchi, Ian",2791,draw,52,C35,Saint Louis,2022
2847,white,"Firouzja, Alireza",2795,lose,55,A13,Saint Louis,2022
2847,black,"Dominguez Perez, Leinier",2708,win,29,C72,Saint Louis,2022
2847,white,"Aronian, Levon",2850,draw,70,C67,Saint Louis,2022
2847,black,"Vachier-Lagrave, Maxime",2812,win,38,C42,Saint Louis,2022
2847,white,"Nakamura, Hikaru",2850,lose,74,A16,Saint Louis,2022
2847,black,"Mamedyarov, Shakhriyar",2710,draw,57,E10,Saint Louis,2022
2847,white,"Xiong, Jeffery",2714,lose,55,D00,Saint Louis,2022
