rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2707,white,Nihal Sarin,2673,draw,30,D27,Mayrhofen,2022
2707,white,"Idani, Pouya",2623,draw,37,E10,Mayrhofen,2022
2707,black,"Wojtaszek, Radoslaw",2693,draw,33,D45,Mayrhofen,2022
2707,white,"Kuzubov, Yuriy",2612,draw,30,A50,Mayrhofen,2022
2707,black,"Iskandarov, Misratdin",2601,win,54,C53,Mayrhofen,2022
2707,black,"Bokros, Albert",2453,win,68,C00,Mayrhofen,2022
2707,white,"Thorfinnsson, Bragi",2421,win,33,D00,Mayrhofen,2022
2710,white,"Sumets, Andrey",2513,win,39,A07,Oradea,2022
2710,black,"Efimenko, Zahar",2599,draw,38,C28,Oradea,2022
2710,white,"Berkes, Ferenc",2651,win,36,D15,Oradea,2022
2710,white,"Marin, Mihail",2457,lose,55,A40,Oradea,2022
2710,black,"Nguyen, Thai Dai Van",2627,lose,43,E04,Oradea,2022
2710,white,"Pranav, V",2530,win,39,A20,Oradea,2022
2710,black,"Tarlev, Konstantin",2576,draw,24,D45,Oradea,2022
2710,black,"Kozak, Adam",2516,draw,55,E40,Oradea,2022
2710,white,"Nguyen, Thai Dai Van",2627,draw,29,A05,Wojtaszek,2022
2710,black,"Wojtaszek, Radoslaw",2696,draw,44,E10,Wojtaszek,2022
2710,black,"Kuzubov, Yuriy",2627,draw,44,B13,Wojtaszek,2022
2710,white,"Luch, Michal",2364,draw,48,A13,Wojtaszek,2022
2710,black,"Navara, David",2681,win,64,E10,Wojtaszek,2022
2710,white,"Korobov, Anton",2671,draw,34,E10,Wojtaszek,2022
2710,black,Santos Latasa,2680,draw,41,C67,Wojtaszek,2022
2710,white,"Harikrishna, Pentala",2716,draw,59,A20,Wojtaszek,2022
2710,black,"Bluebaum, Matthias",2647,draw,39,E41,Wojtaszek,2022
2699,white,"Stoyanov, Tsvetan",2442,draw,48,A20,Thessaloniki,2022
2699,black,"Livaic, Leon",2576,draw,38,E10,Thessaloniki,2022
2699,white,"Kantor, Gergely",2582,draw,46,A07,Thessaloniki,2022
2699,black,"Klekowski, Maciej",2483,win,58,E10,Thessaloniki,2022
2699,white,"Shirov, Alexei",2697,win,62,A07,Thessaloniki,2022
2699,black,"Brunello, Sabino",2506,draw,49,E15,Thessaloniki,2022
2699,white,"Pavlidis, Anastasios",2309,win,29,B23,Thessaloniki,2022
2692,white,"Alahakoon, Isuru",2000,win,28,A13,Chennai,2022
2692,black,"Dardha, Daniel",2575,draw,25,E32,Chennai,2022
2692,black,"Henriquez Villagra, Cristobal",2620,draw,70,A46,Chennai,2022
2692,white,"Bachmann, Axel",2588,win,51,B44,Chennai,2022
2692,white,Hansen E,2606,win,30,D40,Chennai,2022
2692,black,"Harikrishna, Pentala",2720,draw,31,E10,Chennai,2022
2692,black,"Duda, Jan Krzysztof",2750,draw,36,E10,Chennai,2022
2692,white,"Megaranto, Susanto",2529,win,31,E47,Chennai IND,2022
2692,black,"Matamoros Franco, Carlos S.",2459,win,28,A07,Chennai,2022
2692,black,"Bluebaum, Matthias",2673,draw,60,D10,Dortmund,2022
2692,white,"McShane, Luke J",2649,win,57,E49,Dortmund,2022
2692,black,"Eljanov, Pavel",2681,draw,83,A06,Dortmund,2022
2692,white,"L&#039;Ami, Erwin",2634,draw,68,B30,Dortmund,2022
2692,black,"Svane, Rasmus",2649,draw,39,A46,Dortmund,2022
2692,white,"Navara, David",2688,win,49,D85,Dortmund,2022
2671,black,"Salem, A.R. Saleh",2690,lose,29,E41,Sharjah,2022
2671,black,"Abdusattorov, Nodirbek",2661,draw,44,C55,Sharjah,2022
2671,white,"Niemann, Hans Moke",2656,draw,31,C67,Sharjah,2022
2671,black,"Gupta, Abhijeet",2606,win,61,E10,Sharjah,2022
2671,white,"Yilmaz, Mustafa",2631,draw,24,E04,Sharjah,2022
2671,white,"Muradli, Mahammad",2539,win,67,D37,Sharjah,2022
2671,black,"Puranik, Abhimanyu",2608,win,29,B95,Sharjah,2022
2671,white,"Aryan, C.",2609,draw,54,E54,Sharjah UAE,2022
2671,white,Aryan Chopra,2609,draw,54,E48,Sharjah,2022
2671,black,"Kuybokarov, Temur",2582,win,17,B30,Sharjah,2022
2671,black,"Seemann, Jakub",2363,win,30,B30,chess.com INT,2022
2671,white,"Djordjevic, Vu",2382,win,39,E15,chess.com INT,2022
2671,black,"Jain, Kashish Manoj",2271,win,16,B30,chess.com INT,2022
2671,white,"Zakhartsov, Vl",2487,lose,51,B90,chess.com INT,2022
2671,white,"Guz, Ari",2332,win,15,D30,chess.com INT,2022
2671,black,"Reprintsev, A.",2353,win,50,B20,chess.com INT,2022
2671,white,"Skliarov, V.",2387,lose,65,E17,chess.com INT,2022
2671,black,"Krishna, CRG.",2430,lose,47,D04,chess.com INT,2022
2671,white,"Todorovic, Boj",2222,win,20,D02,chess.com INT,2022
2671,white,"Barria Zuniga, D.",2341,draw,35,C15,chess.com INT,2022
2671,black,"Petre, NT.",2297,win,29,B13,chess.com INT,2022
2671,white,"Caruana, Fabiano",2786,draw,55,D17,Bucharest,2022
2671,black,"Vachier Lagrave, M.",2750,draw,56,C42,Bucharest ROU,2022
2671,black,"Vachier-Lagrave, Maxime",2750,draw,56,C42,Bucharest,2022
2671,white,"So, Wesley",2766,draw,25,D26,Bucharest,2022
2671,black,"Dominguez Perez, Leinier",2753,lose,67,B90,Bucharest,2022
2671,white,"Firouzja, Alireza",2804,draw,68,E73,Bucharest,2022
2671,black,"Mamedyarov, Shakhriyar",2770,draw,40,E10,Bucharest,2022
2671,black,"Rapport, Richard",2776,win,52,E46,Bucharest,2022
2671,white,"Aronian, Levon",2765,draw,53,D27,Bucharest,2022
2671,black,"Nepomniachtchi, Ian",2773,draw,29,C43,Bucharest,2022
2671,white,"Donchenko, Alexa",2599,draw,75,B10,chess.com INT,2022
2679,white,"Licznerski, L.",2439,win,64,D85,chess.com INT,2022
2671,white,"Babazada, Khazar",2431,win,24,A72,chess.com INT,2022
2679,white,"Demchenko, A.",2654,win,67,C45,chess.com INT,2022
2671,black,"Samadov, Read",2442,win,42,E06,chess.com INT,2022
2679,black,"Vasquez Schroeder, R.",2500,lose,40,C42,chess.com INT,2022
2671,black,"Demchenko, A.",2654,draw,63,C42,chess.com INT,2022
2679,black,"Drygalov, Sergey",2530,lose,45,E24,chess.com INT,2022
2671,white,"Abarca Gonzalez, N.",2380,lose,42,A48,chess.com INT,2022
2679,white,"Nakamura, Hi",2750,draw,79,B40,chess.com INT,2022
2679,white,"Moiseenko, A1.",2602,win,56,E20,chess.com INT,2022
2671,black,"Kazakouski, Valery",2524,win,60,E20,chess.com INT,2022
2671,white,"Shyam, N.",2443,win,34,E04,chess.com INT,2022
2679,black,"Svane, R.",2648,win,43,A14,chess.com INT,2022
2679,white,"Babazada, Khazar",2431,win,57,E10,chess.com INT,2022
2671,black,"Dang, H.",2361,win,27,A45,chess.com INT,2022
2671,white,"Lehtosaari, Mauri",2199,win,38,D17,chess.com INT,2022
2679,black,"Korchmar, V.",2450,win,47,B33,chess.com INT,2022
2679,white,"Barp, Alberto",2394,draw,86,E10,chess.com INT,2022
2671,black,"Liyanage, Ranindu Dilshan",2332,lose,32,B38,chess.com INT,2022
2671,white,"Nozdrachev, L.",2367,win,41,E10,chess.com INT,2022
2679,black,"Krishnan, V.",2203,win,33,B13,chess.com INT,2022
2679,white,"Vedmediuc, S.",2454,win,70,D11,Bucharest ROU,2022
2679,black,"Jobava, Ba",2588,draw,21,C42,Bucharest ROU,2022
2679,black,"Gavrilescu, David",2511,draw,76,B11,Bucharest ROU,2022
2679,white,"Nevednichy, V.",2496,win,54,E01,Bucharest ROU,2022
2679,black,"Sivuk, V.",2518,draw,37,E06,Bucharest ROU,2022
2679,white,"Kuzubov, Y.",2639,draw,63,C42,Bucharest ROU,2022
2679,white,"Costachi, M.",2463,win,53,C50,Bucharest ROU,2022
2679,black,"Miroiu, G.",2341,win,33,A33,Bucharest ROU,2022
2679,white,"Vilcu, Matei-Stefan",2124,win,58,A21,Bucharest ROU,2022
2679,black,"Siddharth, Gopakumar",1870,win,47,B15,Bucharest ROU,2022
2679,white,"Muradli, Mahammad",2537,draw,42,B90,chess.com INT,2022
2679,black,"Vasquez Schroeder, R.",2500,draw,70,C43,chess.com INT,2022
2679,white,"Donchenko, Alexa",2619,win,28,B10,chess.com INT,2022
2679,white,"Paravyan, D.",2617,draw,71,C43,chess.com INT,2022
2679,black,"Yuan, Qingyu",2373,lose,45,B30,chess.com INT,2022
2679,black,"Grischuk, A.",2742,draw,76,E60,chess.com INT,2022
2679,white,"Safarli, E.",2589,draw,46,E06,chess.com INT,2022
2679,white,"Sanal, V.",2593,draw,81,C45,chess.com INT,2022
2679,black,"Ibrahimli, Murad",2432,draw,70,D37,chess.com INT,2022
2679,black,"Shimanov, A.",2581,win,51,A45,chess.com INT,2022
2679,white,"Pranav, V.",2481,win,72,C45,chess.com INT,2022
2679,white,"Chigaev, M.",2631,lose,48,B90,chess.com INT,2022
2679,white,"Paravyan, D.",2617,draw,59,D85,chess.com INT,2022
2679,black,"Tari, A.",2650,draw,47,C45,chess.com INT,2022
2679,white,"Mardov, Dimitar",2402,win,39,E46,chess.com INT,2022
2679,black,"Stribuk, Artiom",2263,win,50,E36,chess.com INT,2022
2679,white,"Jaferian, K.",2218,win,28,A01,chess.com INT,2022
2679,white,"Makarian, Rudik",2502,win,46,E10,chess.com INT,2022
2679,black,"Mirzoev, A.",2482,draw,53,D02,chess.com INT,2022
2679,black,"Fier, A.",2573,win,26,A45,chess.com INT,2022
2679,white,"Urbina Perez, J.",2284,win,17,D15,chess.com INT,2022
2679,white,"Baches Garcia, G.",2329,win,31,D41,chess.com INT,2022
2679,black,"Hess, Ro",2591,lose,31,C28,chess.com INT,2022
2679,white,"Sevian, Samuel",2693,lose,66,B10,chess.com INT,2022
2679,black,"Hansen, Eric",2606,lose,28,C65,chess.com INT,2022
2679,black,"Abdusattorov, Nodirbek",2661,lose,27,B90,chess.com INT,2022
2679,white,"Narayanan, SL.",2662,lose,51,B10,chess.com INT,2022
2679,white,"Bok, B.",2624,win,78,C67,chess.com INT,2022
2679,black,"Fedoseev, Vl3",2701,lose,31,A45,chess.com INT,2022
2679,black,"Mchedlishvili, Mikheil",2584,draw,42,A45,Terme Catez,2022
2679,white,"Jobava, Ba",2588,draw,53,D17,Terme Catez SLO,2022
2679,white,"Jobava, Baadur",2588,draw,53,D17,Terme Catez,2022
2679,white,"Safarli, E.",2589,draw,42,D37,Terme Catez SLO,2022
2679,white,"Safarli, Eltaj",2589,draw,32,A06,Terme Catez,2022
2679,black,"Blomqvist, E.",2542,win,33,A37,Terme Catez SLO,2022
2679,black,"Blomqvist, Erik",2542,win,26,A04,Terme Catez,2022
2679,black,"Davtyan, Artur",2460,win,30,E10,Terme Catez,2022
2679,white,"Iskandarov, M.",2577,lose,43,D85,Terme Catez SLO,2022
2679,white,"Iskandarov, Misratdin",2577,lose,32,D85,Terme Catez,2022
2679,white,"Kadric, D.",2573,draw,44,C42,Terme Catez SLO,2022
2679,white,"Kadric, Denis",2573,draw,40,C42,Terme Catez,2022
2679,black,"Maurizzi, Marc&#039;Andria",2493,win,34,E21,Terme Catez SLO,2022
2679,white,"Manca, F.",2370,win,37,C58,Terme Catez SLO,2022
2679,white,"Manca, Federico",2370,win,32,C58,Terme Catez,2022
