rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2664,white,"Mainka, Romuald",2364,win,47,E01,Germany,2023
2664,black,"Wagner, Dennis",2588,lose,58,D11,Germany,2023
2664,white,"Leisch, Lukas",2383,win,36,A06,Austria,2023
2664,black,"Sadilek, Maximilian",2227,win,25,B90,Austria,2023
2664,white,"Prusikin, Michael",2516,win,61,A20,Austria,2023
2664,black,"Wong, Gengchun",2251,win,23,B44,Germany,2023
2664,white,"Hess, Max",2377,win,38,A13,Germany,2023
2653,white,"Papp, Gabor",2544,draw,23,E06,,2023
2653,black,"Breder, Dennis",2412,win,27,B52,,2023
2653,white,"Sebenik, Matej",2536,win,36,A13,,2023
2653,white,"Korpa, Bence",2518,win,31,E97,,2023
2653,white,"Oleksiyenko, Mykhaylo",2594,win,26,A20,Reykjavik,2023
2653,white,"Kazakouski, Valery",2528,draw,50,E04,Reykjavik,2023
2653,black,"Lupulescu, Constantin",2580,win,29,E73,Vrnjacka Banja,2023
2653,white,"Boruchovsky, Avital",2536,win,61,E04,Vrnjacka Banja,2023
2653,black,"Murzin, Volodar",2554,draw,25,B53,Vrnjacka Banja,2023
2653,white,"Blohberger, Felix",2493,win,38,A30,Vrnjacka Banja,2023
2653,black,"Spyropoulos, Nikolaos",2442,win,31,B90,Vrnjacka Banja,2023
2653,white,"Fataliyeva, Ulviyya",2427,draw,76,C11,Vrnjacka Banja,2023
2653,black,"Shubin, Kirill",2449,draw,20,B90,Vrnjacka Banja,2023
2653,white,"Badelka, Olga",2428,draw,52,E10,Vrnjacka Banja,2023
2653,black,"Nasuta, Grzegorz",2535,lose,54,C84,Vrnjacka Banja,2023
2653,white,"Nevednichy, Vladislav",2457,win,35,E94,Vrnjacka Banja,2023
2653,black,"Velikic, Adela",2329,win,36,E20,Vrnjacka Banja,2023
2654,black,"Ciolek, Andreas",2323,win,67,A46,Germany,2023
2654,white,"Kuznecovs, Nikita",2300,win,47,A06,Germany,2023
2654,white,"Kurmann, Oliver",2465,draw,34,E32,Germany,2023
2654,black,"Krasenkow, Michal",2525,draw,29,E10,Germany,2023
2654,white,"Vyval, Volodymyr",2289,win,31,A05,Germany,2023
2627,white,"Ivic, Velimir",2585,win,54,D13,Wijk aan Zee,2023
2627,black,"Beerdsen, Thomas",2515,win,22,B12,Wijk aan Zee,2023
2627,white,"Tabatabaei, M. Amin",2686,win,40,A05,Wijk aan Zee,2023
2627,black,"Warmerdam, Max",2616,win,40,B53,Wijk aan Zee,2023
2627,white,"L&#039;Ami, Erwin",2627,lose,57,D35,Wijk aan Zee,2023
2627,black,"Mishra, Abhimanyu",2559,draw,29,D12,Wijk aan Zee,2023
2627,white,"Yilmaz, Mustafa",2609,win,47,E10,Wijk aan Zee,2023
2627,black,"Roebers, Eline",2361,win,27,B12,Wijk aan Zee,2023
2627,white,"Supi, Luis Paulo",2608,draw,25,D59,Wijk aan Zee,2023
2627,black,"Pechac, Jergus",2637,win,36,B22,Wijk aan Zee,2023
2627,white,"Adhiban, Baskaran",2610,draw,46,B38,Wijk aan Zee,2023
2627,black,"Vaishali, Rameshbabu",2425,win,31,B84,Wijk aan Zee,2023
2627,white,"Sindarov, Javokhir",2654,draw,33,A05,Wijk aan Zee,2023
2581,white,"Vidit, Santosh Gujrathi",2669,lose,30,A20,Almaty,2022
2581,black,"Gelfand, Boris",2620,draw,57,A05,Almaty,2022
2581,black,Erigaisi Arjun,2750,lose,34,E20,Almaty,2022
2581,black,"Van Foreest, Jorden",2663,lose,67,B22,Almaty,2022
2581,black,"Amin, Bassem",2713,lose,27,A05,Almaty,2022
2581,white,"Vakhidov, Jakhongir",2507,win,43,A04,Almaty,2022
2597,black,"Grischuk, Alexander",2759,lose,48,B23,Almaty,2022
2597,white,"Rapport, Richard",2802,draw,74,D70,Almaty,2022
2597,white,"Nakamura, Hikaru",2795,draw,48,A16,Almaty,2022
2597,black,"Nesterov, Arseniy",2497,win,31,D16,Almaty,2022
2597,white,"Giri, Anish",2708,lose,76,A15,Almaty,2022
2597,black,"Paehtz, Elisabeth",2369,lose,76,A48,Katowice,2022
2645,black,"Kaidanov, Gregory S",2549,lose,37,A07,Barcelona,2022
2645,black,"Krzyzanowski, Marcin",2538,draw,49,A07,Barcelona,2022
2645,white,Arjun Kalyan,2526,draw,41,A07,Barcelona,2022
2645,white,"Samadov, Read",2450,draw,28,A05,Barcelona,2022
2645,white,"Kovacevic, Aleksandar",2470,draw,21,A20,Germany,2022
2645,white,"Maghsoodloo, Parham",2720,draw,30,E10,,2022
2646,black,"Meissner, Felix",2369,draw,56,B13,,2022
2646,white,"Parvanyan, Ashot",2439,win,40,A05,,2022
,white,"Shevchenko, Kirill",,draw,10,C47,"Porec, Croatia",2022
,white,"Shevchenko, Kirill",,draw,11,D13,Porec,2022
,black,"Cheparinov, Ivan",,lose,62,B92,Porec,2022
