rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2724,black,"Perunovic, Milos",2552,win,52,B97,Germany,2023
2724,white,"Vachier-Lagrave, Maxime",2741,draw,50,B90,Germany,2023
2729,white,"Giri, Anish",2780,draw,30,D10,Dusseldorf,2023
2729,black,Gukesh D,2718,draw,36,C42,Dusseldorf,2023
2729,black,"Abdusattorov, Nodirbek",2734,draw,49,C43,Dusseldorf,2023
2729,white,"Keymer, Vincent",2690,draw,74,C84,Dusseldorf,2023
2729,black,Praggnanandhaa R,2690,draw,34,C42,Dusseldorf,2023
2729,white,"Aronian, Levon",2736,draw,31,D39,Dusseldorf,2023
2729,black,"Esipenko, Andrey",2675,draw,44,E04,Dusseldorf,2023
2729,white,"Nepomniachtchi, Ian",2793,draw,39,C42,Dusseldorf,2023
2729,black,"So, Wesley",2766,lose,48,A07,Dusseldorf,2023
2773,white,"Sarana, Alexey",2708,lose,101,B91,Almaty,2022
2773,black,"Andreikin, Dmitry",2735,win,40,A07,Almaty,2022
2773,white,"Martirosyan, Haik M.",2745,win,46,C65,Almaty,2022
2773,white,"Nepomniachtchi, Ian",2782,win,25,A46,Almaty,2022
2773,black,"Harikrishna, Pentala",2617,win,23,A07,Almaty,2022
2773,white,"Dubov, Daniil",2792,lose,64,A45,Almaty,2022
2773,black,"Fedoseev, Vladimir",2733,draw,36,E10,Almaty,2022
2773,white,"Shimanov, Aleksandr",2605,win,59,B13,Almaty,2022
2773,white,"Giri, Anish",2792,lose,48,A16,Almaty,2022
2773,black,"Mamedyarov, Shakhriyar",2733,draw,27,D11,Almaty,2022
2773,black,"Nakamura, Hikaru",2909,draw,67,C65,Almaty,2022
2773,white,"Artemiev, Vladislav",2803,draw,38,D16,Almaty,2022
2773,white,"Mamedov, Rauf",2649,win,44,E81,Almaty,2022
2773,black,"Petrosyan, Manuel",2560,win,56,A45,Almaty,2022
2773,black,"Cheparinov, Ivan",2623,draw,82,D30,Almaty,2022
2773,white,"Carlsen, Magnus",2830,lose,54,A40,Almaty,2022
2773,white,"Pranav, V",2440,win,54,C55,Almaty,2022
2773,black,"Muradli, Mahammad",2610,win,38,A20,Almaty,2022
2773,white,"Aravindh, Chithambaram VR.",2586,win,64,C55,Almaty,2022
2773,black,"Ponkratov, Pavel",2539,win,50,B90,Almaty,2022
2791,white,"Tabatabaei, M. Amin",2526,win,84,D35,Almaty,2022
2791,black,"Maghsoodloo, Parham",2656,lose,43,E21,Almaty,2022
2791,white,"Zhigalko, Sergei",2612,win,34,E11,Almaty,2022
2791,black,"Nihal, Sarin",2628,draw,52,A46,Almaty,2022
2791,white,"Andreikin, Dmitry",2631,draw,33,D31,Almaty,2022
2791,black,"Sarana, Alexey",2629,draw,27,A50,Almaty,2022
2791,white,"Martirosyan, Haik M.",2575,win,34,E10,Almaty,2022
2791,black,"Abdusattorov, Nodirbek",2676,lose,90,C65,Almaty,2022
2791,white,"Van Foreest, Jorden",2693,draw,52,E81,Almaty,2022
2791,black,"Giri, Anish",2708,draw,39,A05,Almaty,2022
2791,white,"Bluebaum, Matthias",2617,win,60,D31,Almaty,2022
2791,black,"Mamedov, Rauf",2578,win,47,C67,Almaty,2022
2791,white,"Idani, Pouya",2523,win,52,E11,Almaty,2022
2750,white,"Paragua, Mark",2461,lose,36,B90,Chennai,2022
2750,white,"Indjic, Aleksandar",2620,draw,69,A61,Chennai,2022
2750,black,"Moussard, Jules",2672,draw,38,C65,Chennai,2022
2750,white,"Deac, Bogdan-Daniel",2692,draw,36,E10,Chennai,2022
2750,black,"Smirnov, Anton",2600,win,26,D45,Chennai,2022
2750,white,"Nepomniachtchi, Ian",2766,draw,48,C43,Madrid,2022
2750,black,"Nakamura, Hikaru",2760,lose,52,B90,Madrid,2022
2750,white,"Firouzja, Alireza",2793,draw,41,D45,Madrid,2022
2750,black,"Radjabov, Teimour",2753,draw,33,A15,Madrid,2022
2750,white,"Caruana, Fabiano",2783,win,57,C53,Madrid,2022
2750,black,"Ding, Liren",2806,lose,61,A15,Madrid,2022
2750,black,"Rapport, Richard",2764,lose,29,C42,Madrid,2022
2750,white,"Nakamura, Hikaru",2760,draw,40,E47,Madrid,2022
2750,black,"Nepomniachtchi, Ian",2766,lose,35,A07,Madrid,2022
2750,black,"Firouzja, Alireza",2793,draw,36,C42,Madrid,2022
2750,white,"Radjabov, Teimour",2753,draw,41,C65,Madrid,2022
2750,black,"Caruana, Fabiano",2783,draw,51,B90,Madrid,2022
2750,white,"Ding, Liren",2806,draw,41,C55,Madrid,2022
2750,white,"Rapport, Richard",2764,draw,69,B44,Madrid,2022
