rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2644,black,"Bok, Benjamin",2607,draw,18,D13,Saint Louis,2023
2644,white,"Swiercz, Dariusz",2637,win,34,A20,Saint Louis,2023
2644,black,"Nyzhnyk, Illya",2644,draw,77,A07,Saint Louis,2023
2644,white,"Dardha, Daniel",2625,draw,48,A50,Saint Louis,2023
2644,white,"Yoo, Christopher Woojin",2607,lose,39,A04,Saint Louis,2023
2644,black,"Quesada Perez, Yasser",2601,draw,40,B30,Saint Louis,2023
2644,white,"Sevian, Samuel",2684,draw,40,C50,Saint Louis,2023
2637,white,"Gumularz, Szymon",2558,draw,25,A07,Vrnjacka Banja,2023
2637,black,"Shevchenko, Kirill",2668,lose,53,D10,Vrnjacka Banja,2023
2637,white,"Gelfand, Boris",2674,draw,42,D45,Vrnjacka Banja,2023
2637,black,"Korobov, Anton",2658,draw,8,D12,Vrnjacka Banja,2023
2637,white,"Quparadze, Giga",2483,win,60,A05,Vrnjacka Banja,2023
2637,white,"Suleymanli, Aydin",2552,win,63,C55,Vrnjacka Banja,2023
2637,black,"Murzin, Volodar",2554,draw,21,C47,Vrnjacka Banja,2023
2637,white,"Horvath, Dominik",2521,win,40,A07,Vrnjacka Banja,2023
2637,black,"Stocek, Jiri",2534,draw,32,D11,Vrnjacka Banja,2023
2637,white,"Grieve, Harry",2455,win,41,C11,Vrnjacka Banja,2023
2637,black,"Ciorgovean, Iustin",2325,win,25,A40,Vrnjacka Banja,2023
2633,white,"Schroeder, Jan-Christian",2559,win,40,A29,Germany,2023
2633,black,"Nisipeanu, Liviu-Dieter",2602,draw,22,C80,Germany,2023
2644,black,"Liang, Awonder",2630,lose,97,C49,Chesterfield,2022
2644,black,"Liang, Awonder",2630,lose,97,C49,Chesterfield,2022
2644,white,"Corrales Jimenez, Fidel",2525,draw,16,A37,Chesterfield,2022
2644,black,"Balakrishnan, Praveen",2510,draw,9,C80,Chesterfield,2022
2644,white,"Mishra, Abhimanyu",2549,draw,20,D11,Chesterfield,2022
2644,black,"Ghazarian, Kirk",2469,win,79,D19,Chesterfield,2022
2644,white,"Bora, Safal",2441,lose,51,A11,Chesterfield,2022
2644,black,"Narayanan, Samrug",2356,win,40,B43,Chesterfield,2022
2644,white,"Gedajlovic, Max",2398,draw,39,E28,Chesterfield,2022
2637,white,"Stearman, Josiah",2377,win,43,A05,Los Angeles,2022
2637,black,"Kevlishvili, Robby",2536,draw,14,B33,Los Angeles,2022
2637,white,"Kantor, Gergely",2561,win,47,A29,Los Angeles,2022
2637,black,"Javakhadze, Zurab",2479,win,47,A21,Los Angeles,2022
2637,white,"Stremavicius, Titas",2515,draw,39,B22,Los Angeles,2022
2637,black,"Siddharth, Jagadeesh",2415,win,33,D26,Los Angeles,2022
2637,white,"Narayanan, Samrug",2340,win,48,A13,Los Angeles,2022
2644,white,"Oparin, Grigoriy",2685,lose,51,A16,Saint Louis,2022
2644,black,"Bjerre, Jonas Buhl",2610,lose,43,A04,Saint Louis,2022
2644,white,"Hakobyan, Aram",2615,draw,12,D70,Saint Louis,2022
2644,black,"Mishra, Abhimanyu",2535,draw,54,C55,Saint Louis,2022
2644,white,"Sevian, Samuel",2703,draw,41,E36,Saint Louis,2022
2644,black,"Theodorou, Nikolas",2567,draw,50,A48,Saint Louis,2022
2644,white,"Smirin, Ilia",2603,win,34,E10,Saint Louis,2022
2644,black,"Yu, Yangyi",2710,draw,52,D20,Saint Louis,2022
2326,black,"So, Wesley",2814,lose,39,B40,Saint Louis,2022
2635,white,"Postny, Evgeny",2557,draw,37,A06,Terme Olimia,2021
2635,white,"Van Foreest, Jorden",2701,draw,17,D30,Terme Olimia,2021
2635,white,"Ivanisevic, Ivan",2604,lose,28,E41,Terme Olimia,2021
2635,black,"Artemiev, Vladislav",2699,draw,33,D12,Terme Olimia,2021
2635,black,Santos Latasa,2633,win,68,C42,Terme Olimia,2021
2635,black,"Guseinov, Gadir",2665,win,39,C43,Terme Olimia,2021
2635,white,"Bacrot, Etienne",2647,win,38,D27,Terme Olimia,2021
2635,white,"Janzelj, Tim",2474,win,59,D35,Terme Olimia,2021
2635,white,"Blagojevic, Dragisa",2467,win,34,A07,Terme Olimia,2021
2628,black,"Nyzhnyk, Illya",2670,draw,14,A30,Clayton,2021
2654,black,"Solak, Dragan",2602,lose,38,C69,Batumi,2019
2654,white,"Kovalev, Vladislav",2661,lose,57,A46,Batumi,2019
2654,black,"Andreikin, Dmitry",2741,lose,41,D12,Batumi,2019
2654,white,"Grandelius, Nils",2691,draw,54,A46,Batumi,2019
2654,white,"Najer, Evgeniy",2635,lose,37,A06,Khanty-Mansiysk,2019
2654,black,"Najer, Evgeniy",2635,draw,41,D86,Khanty-Mansiysk,2019
2645,black,"Hera, Imre Jr.",2611,draw,24,C48,Brest,2019
2645,black,"Tregubov, Pavel V",2586,win,61,D10,Brest,2019
2645,white,"Tabatabaei, M.amin",2610,win,40,A56,Brest,2019
2645,white,"Balogh, Csaba",2598,draw,24,D16,Brest,2019
2630,white,"Grandelius, Nils",2694,lose,30,A04,Skopje,2019
2630,white,"Alekseenko, Kirill",2644,draw,14,C50,Skopje,2019
2630,white,"Artemiev, Vladislav",2736,draw,51,D12,Skopje,2019
2615,white,"Paehtz, Elisabeth",2477,win,30,A05,Wijk aan Zee,2019
2615,black,"Maghsoodloo, Parham",2679,draw,67,A06,Wijk aan Zee,2019
2615,black,"L&#039;Ami, Erwin",2643,win,49,C92,Wijk aan Zee,2019
