rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2670,white,"Carlsen, Magnus",2852,draw,44,C89,,2023
2670,black,"Tisdall, Jonathan D",2392,win,48,D90,,2023
2670,white,"Pantzar, Milton",2464,win,39,B12,,2023
2650,white,"Lenaerts, Lennert",2379,win,40,D11,Chennai,2022
2689,black,"Mekhitarian, Krikor Sevag",2542,win,74,D88,Chennai,2022
2650,white,"Blohberger, Felix",2492,win,42,C55,Chennai,2022
2650,white,"Ter-Sahakyan, Samvel",2625,draw,32,A07,Chennai,2022
2650,black,"Ivanisevic, Ivan",2561,win,49,A10,Chennai,2022
2650,white,"Juksta, Karolis",2412,win,33,C07,Chennai,2022
2650,white,"Goh, Wei Ming Kevin",2453,win,64,A04,Chennai,2022
2650,black,"Isaakidis, Alexandros",2165,win,64,E15,Chennai,2022
2647,black,"Bellahcene, Bilel",2493,draw,42,C26,Warsaw,2021
2647,white,"Vakhidov, Jakhongir",2534,lose,45,A04,Warsaw,2021
2647,black,"Nguyen, Thai Dai Van",2446,win,52,D10,Warsaw,2021
2647,white,"Gajewski, Grzegorz",2539,lose,37,A07,Warsaw,2021
2647,black,"Saraci, Nderim",2479,lose,60,A04,Warsaw,2021
2647,white,"Moroni, Luca Jr",2491,lose,38,A04,Warsaw,2021
2647,black,"Sanal, Vahap",2499,lose,40,A06,Warsaw,2021
2647,white,"Ivic, Velimir",2575,win,44,A07,Warsaw,2021
2647,black,"Corrales Jimenez, Fidel",2555,win,66,D11,Warsaw,2021
2647,white,"Saric, Ivan",2543,draw,71,A07,Warsaw,2021
2647,black,"Gagunashvili, Merab",2575,draw,85,D02,Warsaw,2021
2647,white,Santos Latasa,2561,draw,36,A07,Warsaw,2021
2647,black,"Klekowski, Maciej",2444,draw,66,A16,Warsaw,2021
2647,white,"Kantor, Gergely",2517,win,32,A07,Warsaw,2021
2647,black,"Suleymanli, Aydin",2506,win,45,D10,Warsaw,2021
2647,white,"Murzin, Volodar",2481,lose,54,E68,Warsaw,2021
2647,black,"Donchenko, Alexander",2494,lose,29,A06,Warsaw,2021
2647,white,"Jumabayev, Rinat",2536,lose,47,A07,Warsaw,2021
2647,black,Gukesh D,2506,win,65,D16,Warsaw,2021
2647,white,"Dragnev, Valentin",2396,win,49,A05,Warsaw,2021
2647,black,"Kadric, Denis",2469,lose,26,C53,Warsaw,2021
2624,black,"Sadhwani, Raunak",2454,draw,44,D11,Warsaw,2021
2648,black,"Artemiev, Vladislav",2699,draw,41,C67,Terme Olimia,2021
2648,white,"Bjerre, Jonas Buhl",2569,draw,46,A04,Terme Olimia,2021
2648,black,"Gavrilescu, David",2514,draw,18,B10,Terme Olimia,2021
2648,black,"Georgiadis, Nico",2553,draw,44,C65,Terme Olimia,2021
2648,black,"Petenyi, Tamas",2458,draw,65,B12,Terme Olimia,2021
2648,white,"Sonis, Francesco",2536,lose,78,B12,Terme Olimia,2021
2648,white,"Quparadze, Giga",2475,win,30,E32,Terme Olimia,2021
2648,black,"Hauge, Lars Oskar",2490,lose,64,B12,Terme Olimia,2021
2666,black,"Anton Guijarro, David",2613,draw,162,A06,Riga,2021
2666,white,"Anton Guijarro, David",2613,lose,51,A16,Riga,2021
2666,white,"Esipenko, Andrey",2592,lose,37,A21,Riga,2021
2666,black,"Esipenko, Andrey",2592,win,40,B12,Riga,2021
2666,white,"Volokitin, Andrei",2606,win,42,A16,Riga,2021
2666,black,"Volokitin, Andrei",2606,win,40,B12,Riga,2021
2666,white,"Predke, Alexandr",2580,lose,36,A13,Riga,2021
2666,black,"Predke, Alexandr",2580,draw,28,D63,Riga,2021
2666,black,"Onischuk, Vladimir",2603,lose,60,B06,Riga,2021
2666,white,"Onischuk, Vladimir",2603,lose,34,A01,Riga,2021
2666,white,"Demchenko, Anton",2583,win,90,A46,Riga,2021
2666,black,"Demchenko, Anton",2583,win,44,B12,Riga,2021
2666,black,Erigaisi Arjun,2616,lose,54,A11,Riga,2021
2666,white,Erigaisi Arjun,2616,lose,27,A13,Riga,2021
2666,black,"Maghsoodloo, Parham",2601,win,64,D11,Riga,2021
2666,white,"Maghsoodloo, Parham",2601,win,40,A28,Riga,2021
2666,white,"Sethuraman, SP.",2477,win,33,A10,Riga,2021
2666,black,"Sethuraman, SP.",2477,win,72,B06,Riga,2021
2658,white,"Keymer, Vincent",2630,draw,76,A07,Riga,2021
2658,black,"Firouzja, Alireza",2770,lose,57,C50,Riga,2021
2658,white,"Korobov, Anton",2690,win,33,A05,Riga,2021
2658,white,"Esipenko, Andrey",2720,win,63,A07,Riga,2021
2658,black,"Ponomariov, Ruslan",2631,win,76,C65,Riga,2021
2658,white,"Yakubboev, Nodirbek",2621,win,39,D02,Riga,2021
2658,black,"Caruana, Fabiano",2800,lose,34,C65,Riga,2021
2658,white,"Brkic, Ante",2621,draw,32,A07,Riga,2021
2658,black,Praggnanandhaa R,2618,draw,46,C55,Riga,2021
2658,white,"Neiksans, Arturs",2570,draw,142,A05,Riga,2021
2658,black,"Ivic, Velimir",2606,win,45,C65,Riga,2021
2658,black,"Anton Guijarro, David",2658,draw,37,A46,Toledo,2021
2658,white,"Kryvoruchko, Yuriy",2686,draw,30,C67,Toledo,2021
2658,white,"Salgado Lopez, Ivan",2604,draw,30,A07,Toledo,2021
2658,black,"Eljanov, Pavel",2691,lose,76,B12,Toledo,2021
2658,white,"Shirov, Alexei",2659,lose,56,D11,Toledo,2021
2658,black,"Oparin, Grigoriy",2654,draw,30,A10,Toledo,2021
2658,black,"Naiditsch, Arkadij",2660,draw,153,C67,Toledo,2021
2663,white,"Korneev, Oleg",2517,draw,36,C45,Linares,2020
2663,black,Santos Latasa,2588,draw,32,C65,Linares,2020
2663,black,"Paehtz, Elisabeth",2472,draw,57,C77,Linares,2020
2663,white,"Berkes, Ferenc",2661,draw,71,B17,Linares,2020
2663,white,"Martin Duque, Jesus",2402,win,44,E32,Linares,2020
2663,white,"Forcen Esteban, Daniel",2556,draw,39,D10,Linares,2020
2663,black,"Abasov, Nijat",2664,draw,41,A15,Linares,2020
2653,white,"Ostmoe, Geir Sune Tallaksen",2466,win,20,A13,Norway,2020
