rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2665,white,"Delchev, Aleksander",2505,draw,32,B30,Germany,2023
2665,black,"Saric, Ivan",2664,lose,63,C45,Germany,2023
2663,black,"Yuffa, Daniil",2605,draw,20,D15,Germany,2023
2663,white,"Engel, Luis",2558,win,52,A07,Germany,2023
2664,white,"Fressinet, Laurent",2622,draw,22,D02,Germany,2023
2664,black,"Brkic, Ante",2600,draw,30,C95,Germany,2023
2666,white,"Pavlidis, Antonios",2551,draw,27,D00,Germany,2022
2655,white,"Abdusattorov, Nodirbek",2688,win,40,B38,Biel,2022
2655,black,Gukesh D,2684,draw,40,D87,Biel,2022
2655,black,"Esipenko, Andrey",2682,draw,44,C95,Biel,2022
2655,white,"Naiditsch, Arkadij",2664,draw,49,A48,Biel,2022
2645,black,"Le, Quang Liem",2657,draw,45,A28,Biel,2022
2645,white,"Naiditsch, Arkadij",2577,win,40,A45,Biel,2022
2645,white,Gukesh D,2598,win,64,A45,Biel,2022
2645,black,"Esipenko, Andrey",2617,draw,51,B42,Biel,2022
2645,white,"Abdusattorov, Nodirbek",2663,win,80,A45,Biel,2022
2645,black,"Keymer, Vincent",2548,lose,41,A84,Biel,2022
2645,white,"Salem, A.R. Saleh",2679,draw,42,C89,Biel,2022
2645,white,"Le, Quang Liem",2657,win,66,D00,Biel,2022
2645,black,"Naiditsch, Arkadij",2577,win,37,B40,Biel,2022
2645,black,Gukesh D,2598,draw,48,D04,Biel,2022
2645,white,"Esipenko, Andrey",2617,draw,59,C91,Biel,2022
2645,black,"Salem, A.R. Saleh",2679,lose,44,D15,Biel,2022
2655,black,"Salem, A.R. Saleh",2684,lose,71,A80,Biel,2022
2655,white,"Keymer, Vincent",2686,draw,24,B23,Biel,2022
2655,black,"Le, Quang Liem",2722,win,62,D20,Biel,2022
2717,black,"Abdusattorov, Nodirbek",2670,lose,54,C50,Biel,2022
2717,white,Gukesh D,2223,draw,53,A46,Biel,2022
2717,white,"Esipenko, Andrey",2679,lose,36,A46,Biel,2022
2717,black,"Naiditsch, Arkadij",2600,lose,48,C67,Biel,2022
2717,white,"Salem, A.R. Saleh",2655,lose,40,A48,Biel,2022
2717,black,"Keymer, Vincent",2552,lose,51,D11,Biel,2022
2717,white,"Le, Quang Liem",2626,lose,36,C91,Biel,2022
2655,white,"Ragger, Markus",2647,win,59,A48,Germany,2022
2655,white,"Vallejo Pons, Francisco",2702,draw,23,E04,Germany,2022
2655,black,"Kempinski, Robert",2560,draw,20,D11,Germany,2022
2655,white,"Gavrilescu, David",2525,draw,37,C11,Germany,2022
2655,white,"Mendonca, Leon Luke",2562,win,46,A05,Chartres,2022
2655,black,"Esipenko, Andrey",2705,draw,61,D15,Chartres,2022
2655,black,"Korobov, Anton",2675,lose,33,D15,Chartres,2022
2655,black,"Bacrot, Etienne",2641,draw,17,C95,Chartres,2022
2655,black,"Dourerassou, Jonathan",2444,draw,16,C47,Chartres,2022
2655,black,"Santos Ruiz, Miguel",2588,draw,32,C92,Chartres,2022
2655,white,"Flom, Gabriel",2428,win,61,A45,Chartres,2022
2658,white,"Alonso Rosell, Alvar",2565,draw,21,A46,Germany,2022
2658,black,"Saric, Ivan",2687,draw,31,C88,Germany,2022
2658,white,"Vogel, Roven",2447,draw,27,C88,,2022
2661,white,"Schroeder, Jan-Christian",2566,draw,27,D02,,2022
2661,black,"Richter, Michael",2493,win,66,A48,,2022
2662,white,"Inarkiev, Ernesto",2668,draw,22,C89,Berlin,2021
2662,black,"Oleksiyenko, Mykhaylo",2586,draw,21,C67,Berlin,2021
2662,white,"Vachier-Lagrave, Maxime",2763,draw,23,B50,Berlin,2021
2662,white,"Postny, Evgeny",2552,draw,22,D02,Berlin,2021
2662,black,"Huschenbeth, Niclas",2608,draw,19,B12,Berlin,2021
2662,black,"Mamedyarov, Shakhriyar",2765,lose,41,D15,Berlin,2021
2658,black,"Keymer, Vincent",2591,win,50,A80,Biel,2021
2658,white,Nihal Sarin,2620,draw,41,C69,Biel,2021
2658,black,"Pichot, Alan",2630,win,27,B12,Biel,2021
2658,white,"Gelfand, Boris",2675,draw,50,A45,Biel,2021
2658,black,"Alekseenko, Kirill",2699,draw,62,B04,Biel,2021
