rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2649,black,"Bluebaum, Matthias",2660,lose,39,A04,Germany,2023
2645,black,"Krassowizkij, Jaroslaw",2451,win,40,B90,Germany,2023
2645,white,"Keymer, Vincent",2699,draw,35,D41,Germany,2023
2636,white,"Korobov, Anton",2649,win,43,E18,Germany,2023
2627,black,"Pechac, Jergus",2637,win,49,C92,Wijk aan Zee,2023
2627,black,"Vaishali, Rameshbabu",2425,draw,62,C72,Wijk aan Zee,2023
2627,white,"Sindarov, Javokhir",2654,draw,46,E48,Wijk aan Zee,2023
2627,black,"Donchenko, Alexander",2627,win,57,D35,Wijk aan Zee,2023
2627,black,"Tabatabaei, M. Amin",2686,lose,61,E04,Wijk aan Zee,2023
2627,white,"Warmerdam, Max",2616,win,50,D12,Wijk aan Zee,2023
2627,white,"Ivic, Velimir",2585,draw,39,D12,Wijk aan Zee,2023
2627,black,"Mishra, Abhimanyu",2559,win,77,E04,Wijk aan Zee,2023
2627,white,"Yilmaz, Mustafa",2609,lose,38,B93,Wijk aan Zee,2023
2627,black,"Roebers, Eline",2361,lose,46,C95,Wijk aan Zee,2023
2627,white,"Supi, Luis Paulo",2608,draw,51,D30,Wijk aan Zee,2023
2634,black,"Smirin, Ilia",2601,lose,49,A13,Chennai,2022
2634,black,"Svane, Rasmus",2649,draw,59,A04,Dortmund,2022
2634,white,"Navara, David",2688,draw,38,A04,Dortmund,2022
2634,black,"Bluebaum, Matthias",2673,draw,33,D33,Dortmund,2022
2634,white,"McShane, Luke J",2649,draw,86,E11,Dortmund,2022
2634,black,"Deac, Bogdan-Daniel",2692,draw,68,B30,Dortmund,2022
2634,white,"Eljanov, Pavel",2681,lose,46,E10,Dortmund,2022
2634,white,"Vachier-Lagrave, Maxime",2760,draw,20,D26,Germany,2022
2634,white,"Moussard, Jules",2672,draw,75,D12,Germany,2022
2622,white,"Jumabayev, Rinat",2631,win,39,E10,Wijk aan Zee,2022
2622,white,Erigaisi Arjun,2632,draw,23,E04,Wijk aan Zee,2022
2622,white,"Nguyen, Thai Dai Van",2613,draw,34,C84,Wijk aan Zee,2022
2622,black,"Murzin, Volodar",2519,draw,44,C88,Wijk aan Zee,2022
2622,black,"Shuvalova, Polina",2516,win,42,D31,Wijk aan Zee,2022
2622,white,"Zhu, Jiner",2478,win,42,B31,Wijk aan Zee,2022
2622,black,"Bjerre, Jonas Buhl",2586,lose,59,A05,Wijk aan Zee,2022
2620,black,"Kamsky, Gata",2674,lose,64,C91,Karlsruhe,2020
2620,white,"Caruana, Fabiano",2835,win,49,E10,Karlsruhe,2020
2620,black,"Mamedyarov, Shakhriyar",2764,draw,57,D36,Karlsruhe,2020
