rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2630,white,"Gledura, Benjamin",2644,win,97,C49,Chesterfield,2022
2630,white,"Gledura, Benjamin",2644,win,97,C49,Chesterfield,2022
2630,black,"Mishra, Abhimanyu",2549,draw,39,E04,Chesterfield,2022
2630,white,"Grinberg, Eyal",2491,win,41,B94,Chesterfield,2022
2630,black,"Corrales Jimenez, Fidel",2525,draw,16,C45,Chesterfield,2022
2630,white,"Steingrimsson, Hedinn",2504,win,47,C47,Chesterfield,2022
2630,black,"Gedajlovic, Max",2398,win,28,E10,Chesterfield,2022
2630,white,"Macieja, Bartlomiej",2514,draw,28,B13,Charlotte,2022
2630,black,"Budisavljevic, Luka",2505,win,58,D26,Charlotte,2022
2630,white,Alejandro,2561,lose,37,C10,Charlotte,2022
2630,white,"Druska, Juraj",2511,win,41,A04,Charlotte,2022
2630,black,"Chandra, Akshat",2472,win,40,C84,Charlotte,2022
2630,black,"Ozenir, Ekin Baris",2352,draw,40,E10,Charlotte,2022
2630,white,"Ippolito, Dean",2368,draw,38,E97,Charlotte,2022
2630,black,"Morefield, Jason",2238,win,44,C53,,2022
2608,black,"Niemann, Hans Moke",2699,draw,66,C00,Saint Louis,2022
2608,white,"Swiercz, Dariusz",2652,win,105,A50,Saint Louis,2022
2608,black,"Robson, Ray",2690,draw,34,C02,Saint Louis,2022
2608,white,"Dominguez Perez, Leinier",2747,draw,45,B51,Saint Louis,2022
2608,black,"Caruana, Fabiano",2763,draw,77,C42,Saint Louis,2022
2608,white,"Shankland, Samuel L",2712,draw,39,B53,Saint Louis,2022
2608,black,"Xiong, Jeffery",2690,draw,52,D02,Saint Louis,2022
2608,white,"Yoo, Christopher Woojin",2563,draw,47,B47,Saint Louis,2022
2608,white,"Aronian, Levon",2755,win,32,C44,Saint Louis,2022
2608,black,"Sevian, Samuel",2684,draw,51,C65,Saint Louis,2022
2608,white,"Lenderman, Aleksandr",2535,win,40,D11,Saint Louis,2022
2608,black,"Moradiabadi, Elshan",2534,lose,61,C92,Saint Louis,2022
2608,white,"So, Wesley",2774,draw,34,C47,Saint Louis,2022
2625,white,"Daggupati, Balaji",2488,draw,34,B40,Saint Louis,2022
2625,black,"Hong, Andrew",2504,draw,77,E51,Saint Louis,2022
2625,white,"Espinosa, Pedro",2130,win,42,B50,Saint Louis,2022
2625,black,"Brodsky, David",2496,lose,40,B12,Saint Louis,2022
2625,black,"Jacobson, Brandon",2544,win,30,E10,Saint Louis,2022
2625,white,"Yip, Carissa",2416,win,33,E70,Saint Louis,2022
2625,black,"Mishra, Abhimanyu",2553,lose,85,C53,Saint Louis,2022
2625,white,"Yoo, Christopher Woojin",2550,draw,42,A34,Saint Louis,2022
2625,black,Wang Justin,2469,lose,51,E70,Saint Louis,2022
