rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2645,black,"Dale, Ari",2331,win,45,D35,Canberra,2023
2645,white,"McClymont, Brodie",2414,win,33,A16,Canberra,2023
2645,white,"Morris, James",2462,win,58,E10,Canberra,2023
2645,black,"Solomon, Stephen J",2271,win,62,E92,Canberra,2023
2645,black,"Yadao, Israel",2253,win,31,B10,Canberra,2023
2645,black,"Teh, Rui Gen",1987,win,37,B23,Canberra,2023
2645,black,"Sek, Konstantin",2432,win,36,B31,,2022
2645,white,"Klekowski, Maciej",2466,draw,80,E49,,2022
2645,black,"Cheng, Bobby",2576,draw,27,E04,,2022
2645,white,"Nasuta, Grzegorz",2542,draw,69,A11,,2022
2645,black,"Priasmoro, Novendra",2512,win,40,B31,,2022
2645,white,"Lim, Zhuo Ren",2296,win,102,A53,,2022
2645,black,"Arfan, Aditya Bagus",2341,draw,68,B36,,2022
2645,white,Kamalsyah Muhammad,2161,win,55,A50,,2022
2634,black,"Vallejo Pons, Francisco",2702,draw,44,B12,Chennai,2022
2634,white,"Guseinov, Gadir",2668,draw,46,E94,Chennai,2022
2634,white,"Yakubboev, Nodirbek",2620,draw,48,E94,Chennai,2022
2634,black,"Vidit, Santosh Gujrathi",2714,draw,42,D35,Chennai,2022
2634,black,"So, Wesley",2773,lose,28,B11,Chennai,2022
2634,white,Nihal Sarin,2651,draw,30,D32,Chennai,2022
2634,white,"McShane, Luke J",2649,win,57,E19,Chennai,2022
2634,black,"Dragnev, Valentin",2557,win,51,C65,Chennai,2022
2655,black,"Zarubitski, Viachaslau",2457,draw,69,A16,Yerevan,2022
2655,black,"Zarubitski, Viachaslau",2457,draw,69,A16,Yerevan,2022
2655,white,"Hakobyan, Erik",2106,win,27,A15,Yerevan,2022
2655,white,"Davtyan, Arsen",2287,lose,42,D40,Yerevan,2022
2655,black,"Petrosian, Tigran L",2553,draw,8,C67,Yerevan,2022
2649,white,"Sardana, Rishi",2461,win,69,D37,Canberra,2022
2649,white,"Lane, Gary W",2332,win,40,A10,Canberra,2022
2649,black,"Kuybokarov, Temur",2587,draw,66,C84,Canberra,2022
2649,white,"Fernandez, Daniel Howard",2492,draw,32,D39,Canberra,2022
2649,black,"Ikeda, Junta",2460,win,47,D00,Canberra,2022
2649,white,"Puccini, Jack",2313,win,57,A07,Canberra,2022
2649,black,"Charles, Gareth",2020,win,30,A29,Canberra,2022
2663,black,"Fernandez, Daniel Howard",2472,lose,53,E70,Canberra,2021
2663,white,"Bjelobrk, Igor",2407,win,25,A11,Canberra,2021
2663,black,"Canfell, Gregory J",2223,win,38,A04,Canberra,2021
2663,white,"Cheng, Bobby",2539,lose,30,A07,Canberra,2021
2663,black,"Puccini, Jack",2306,win,46,B27,Canberra,2021
2663,white,"Dale, Ari",2351,win,48,A06,Canberra,2021
2663,black,"Tan, Justin",2504,lose,58,B19,Canberra,2021
2663,white,"Lane, Gary W",2353,win,38,A20,Canberra,2021
2631,black,"Andreikin, Dmitry",2748,draw,26,E10,Moscow,2019
2631,white,"Safarli, Eltaj",2709,win,61,A50,Moscow,2019
2631,black,"Salem, A.R. Saleh",2717,draw,54,E48,Moscow,2019
2631,white,"Petrosian, Tigran L",2721,win,58,A41,Moscow,2019
2631,white,"Xu, Xiangyu",2441,win,32,D90,Moscow,2019
2631,white,"Geller, Jakov",2536,lose,34,D30,Moscow,2019
2631,black,"Artemiev, Vladislav",2756,lose,42,A07,Moscow,2019
2631,black,"Nepomniachtchi, Ian",2745,lose,61,A20,Moscow,2019
2631,white,"Fedoseev, Vladimir",2768,win,72,E10,Moscow,2019
2631,white,"Aronian, Levon",2784,draw,9,D30,Moscow,2019
2631,black,Harsha Bharathakoti,2418,win,37,D90,Moscow,2019
2631,black,"Grischuk, Alexander",2808,draw,72,A06,Moscow,2019
2631,white,"Carlsen, Magnus",2886,draw,39,D41,Moscow,2019
2668,black,"Krzyzanowski, Marcin",2506,draw,43,A10,Sitges,2019
2668,white,"Haldorsen, Benjamin",2455,win,54,D30,Sitges,2019
2668,black,"Kobo, Ori",2457,draw,44,E04,Sitges,2019
2668,white,"Kjartansson, Gudmundur",2448,draw,75,C11,Sitges,2019
2668,black,"Yankelevich, Lev",2472,draw,45,D85,Sitges,2019
2668,white,"Girish, A. Koushik",2506,draw,36,C53,Sitges,2019
2668,black,"Song, Raymond",2468,draw,49,D70,Sitges,2019
2668,white,Bharath Subramaniyam H,2420,win,42,E20,Sitges,2019
2661,black,"Palac, Mladen",2550,win,72,A06,Zagreb,2019
2661,white,"Stevic, Hrvoje",2563,lose,46,D20,Zagreb,2019
2661,white,"Bosiocic, Marin",2598,draw,67,E20,Zagreb,2019
2661,black,"Ivanchuk, Vassily",2679,lose,51,A06,Zagreb,2019
2661,white,"Dreev, Alexey",2671,draw,41,A11,Zagreb,2019
2661,black,"Zelcic, Robert",2526,win,45,C47,Zagreb,2019
2661,white,"Kozul, Zdenko",2593,win,46,E94,Zagreb,2019
2661,black,"Nisipeanu, Liviu-Dieter",2656,draw,12,C42,Zagreb,2019
2661,white,"Ragger, Markus",2669,draw,26,D86,Zagreb,2019
2661,black,"Bacrot, Etienne",2669,draw,31,B33,Zagreb,2019
2661,white,"Cheparinov, Ivan",2679,draw,41,D91,Zagreb,2019
2650,white,"Banikas, Hristos",2597,win,18,A15,Batumi,2019
2650,black,"Guseinov, Gadir",2660,draw,82,C84,Batumi,2019
2650,white,"Howell, David",2694,draw,41,C65,Batumi,2019
2650,black,"Skoberne, Jure",2567,draw,13,A07,Batumi,2019
2650,black,"Alekseenko, Kirill",2674,draw,41,C42,Batumi,2019
2650,white,"Moiseenko, Alexander",2635,win,56,E10,Batumi,2019
2650,black,"Laznicka, Viktor",2667,draw,26,A21,Batumi,2019
2650,black,"Salomon, Johan",2507,draw,80,A28,Batumi,2019
2650,white,"Svidler, Peter",2729,draw,30,D90,Douglas,2019
2650,black,Narayanan.S.L,2611,win,57,C65,Douglas,2019
2650,white,Gukesh D,2520,draw,78,D37,Douglas,2019
2650,black,"Nakamura, Hikaru",2745,lose,43,C88,Douglas,2019
2650,white,"Bu, Xiangzhi",2721,win,38,D41,Douglas,2019
2650,black,"Yilmaz, Mustafa",2595,win,68,E10,Douglas,2019
2650,white,"Paravyan, David",2602,draw,59,D90,Douglas,2019
2650,black,"Wojtaszek, Radoslaw",2748,lose,87,E04,Douglas,2019
2650,black,"Artemiev, Vladislav",2746,draw,30,A21,Douglas,2019
2650,white,"Vitiugov, Nikita",2732,draw,43,E10,Douglas,2019
2650,white,"Bulmaga, Irina",2442,win,23,E18,Douglas,2019
2653,white,Bortnyk O,2602,draw,90,A40,Saint Louis,2019
2653,black,"Robson, Ray",2653,draw,13,C92,Saint Louis,2019
2653,black,"Akobian, Varuzhan",2618,draw,53,E36,Saint Louis,2019
2653,white,"Smirin, Ilia",2599,draw,47,E81,Saint Louis,2019
2653,black,"Swiercz, Dariusz",2648,draw,28,C45,Saint Louis,2019
2653,white,"Van Foreest, Jorden",2622,draw,50,E10,Saint Louis,2019
2653,black,"Durarbayli, Vasif",2626,lose,75,C65,Saint Louis,2019
2653,white,"Lenderman, Aleksandr",2645,draw,80,E10,Saint Louis,2019
2653,black,"Ipatov, Alexander",2650,win,69,A04,Saint Louis,2019
2661,black,"Gonzalez Vidal, Yuri",2560,draw,46,C07,USA,2019
2661,white,"Naroditsky, Daniel",2610,draw,95,E81,USA,2019
2661,black,"Azarov, Sergei",2589,draw,82,B12,USA,2019
2661,white,"Becerra Rivero, Julio",2504,win,28,C55,USA,2019
2661,white,"Niemann, Hans Moke",2423,lose,61,E18,USA,2019
2661,black,"He, Anthony",2346,win,41,A49,USA,2019
2658,white,"Song, Raymond",2329,draw,38,D39,Canberra,2019
2658,black,"Sengupta, Deep",2551,win,63,C67,Canberra,2019
2658,white,"Smirnov, Anton",2567,win,37,A11,Canberra,2019
2658,black,"Johansen, Darryl K",2364,win,33,A06,Canberra,2019
2658,white,"Xie, George Wendi",2359,win,37,A40,Canberra,2019
2658,black,"Winkelman, Albert",2212,win,21,B36,Canberra,2019
2658,white,"Puccini, Jack",2261,draw,52,B01,Canberra,2019
2658,black,"Lane, Gary W",2357,draw,75,C07,Canberra,2019
2658,white,"Kethro, Michael",2096,win,25,B48,Canberra,2019
2661,black,"Grigoriants, Sergey",2543,win,47,E04,Skopje,2019
2661,black,"Stupak, Kirill",2537,lose,68,E00,Skopje,2019
2661,white,"Martinovic, Sasa",2558,draw,38,C11,Skopje,2019
2661,black,"Petrosyan, Manuel",2564,draw,42,E10,Skopje,2019
2661,white,"Djukic, Nikola",2572,draw,50,D86,Skopje,2019
2661,black,"Huzman, Alexander",2582,draw,38,A06,Skopje,2019
2661,white,"Antipov, Mikhail Al.",2594,draw,25,A06,Skopje,2019
2661,black,"Alonso Rosell, Alvar",2559,draw,36,A49,Skopje,2019
2661,white,"Basso, Pier Luigi",2521,win,32,D11,Skopje,2019
2661,black,"Hnydiuk, Aleksander",2417,win,34,D70,Skopje,2019
2660,black,"Navara, David",2738,draw,92,C42,Gibraltar,2019
2660,white,"Sadhwani, Raunak",2451,win,49,C42,Gibraltar,2019
2660,black,"Vazquez Igarza, Renier",2567,win,74,A48,Gibraltar,2019
