rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2667,white,"Handler, Lukas",2451,draw,40,C11,Austria,2023
2667,black,"Krassowizkij, Jaroslaw",2439,lose,47,B92,Austria,2023
2667,white,"Leisch, Lukas",2383,draw,101,B76,Austria,2023
2667,black,"Ragger, Markus",2634,win,70,B48,Germany,2023
2667,white,"Zelbel, Patrick",2464,win,41,B76,Germany,2023
2680,black,"Sadilek, Peter",2314,draw,42,E06,,2023
2680,black,"Ciolek, Andreas",2325,win,30,A49,,2023
2680,white,"Papp, Gabor",2544,win,122,D41,,2023
2680,black,"Breder, Dennis",2412,win,60,B06,,2023
2680,black,"Esipenko, Andrey",2680,draw,22,A05,Germany,2023
2680,white,"Grandelius, Nils",2658,draw,70,B23,Germany,2023
2680,black,"Quparadze, Giga",2483,lose,72,B90,Vrnjacka Banja,2023
2680,white,"Stankovic, Milos",2447,draw,119,B56,Vrnjacka Banja,2023
2680,black,"Azarov, Sergei",2559,lose,24,B94,Vrnjacka Banja,2023
2680,white,"Lupulescu, Constantin",2580,draw,60,B40,Vrnjacka Banja,2023
2680,black,"Pechac, Jergus",2598,draw,43,B90,Vrnjacka Banja,2023
2680,white,"Mastrovasilis, Dimitrios",2599,draw,56,D12,Vrnjacka Banja,2023
2680,black,"Lobanov, Sergei",2545,win,36,D12,Vrnjacka Banja,2023
2680,white,"Wadsworth, Matthew J",2439,win,32,B48,Vrnjacka Banja,2023
2680,black,"Kadric, Denis",2583,lose,44,B23,Vrnjacka Banja,2023
2680,white,"Velten, Paul",2478,win,33,C55,Vrnjacka Banja,2023
2680,black,"Novkovic, Milan",2356,win,37,E92,Vrnjacka Banja,2023
2606,white,"Pantsulaia, Levan",2563,win,38,B12,Almaty,2022
2606,black,"Grischuk, Alexander",2763,lose,45,E68,Almaty,2022
2606,white,"Ponkratov, Pavel",2539,win,36,C02,Almaty,2022
2606,white,"Matlakov, Maxim",2674,draw,52,C55,Almaty,2022
