rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2676,black,"Geirnaert, Steven",2431,win,43,D70,Germany,2023
2676,white,"Amin, Bassem",2691,lose,67,C91,Germany,2023
2676,black,"Halvax, Georg",2449,draw,78,E11,Austria,2023
2676,white,"Kvetny, Mark",2407,draw,51,C48,Austria,2023
2676,black,"Kilgus, Georg",2417,win,53,A05,Austria,2023
2676,black,"Loxine, Jakov",2397,win,23,A07,Germany,2023
2676,white,"Baldauf, Marco",2501,win,56,A05,Germany,2023
2672,white,"Sadilek, Maximilian",2229,win,23,C48,,2023
2672,white,"Kruckenhauser, Arthur",2351,win,81,B70,,2023
2672,black,"Peyrer, Konstantin",2395,win,33,A50,,2023
2672,white,"Fecker, Noah",2391,win,52,B10,,2023
2672,black,"Hoenig, Alexander",2195,win,39,A48,Germany,2023
2672,white,"Naumann, Alexander",2497,draw,57,C55,Germany,2023
2665,black,"Bischoff, Klaus",2478,win,30,D70,Germany,2023
2665,white,"Graf, Alexander",2558,win,41,B81,Germany,2023
2665,black,"Deuer, Marius",2340,win,66,D70,Germany,2023
2667,black,"Jovanovic, Zoran",2513,draw,35,B40,Germany,2022
2667,white,"Buhmann, Rainer",2559,draw,69,A07,,2022
2667,white,"Mesaros, Florian",2404,draw,34,C84,,2022
2667,black,"Diermair, Andreas",2442,win,47,E10,,2022
2667,black,"Bosiocic, Marin",2536,lose,45,A07,Jenbach,2022
2666,white,"Suarez Uriel, Adrian",2375,lose,50,A48,Linares,2022
2666,black,"Suarez Gomez, Julio",2440,win,26,E71,Linares,2022
2666,black,"Rubio Mejia, Luis Ignacio",2399,win,39,E91,Linares,2022
2666,white,"Lorenzo De La Riva, Lazaro",2430,win,21,A15,Linares,2022
2666,black,Narayanan.S.L,2657,win,38,E51,Linares,2022
2666,black,"Martirosyan, Haik M.",2666,draw,13,D41,Tashkent,2022
2666,white,"Vakhidov, Jakhongir",2589,draw,35,A45,Tashkent,2022
2666,black,"Sivuk, Vitaly",2569,draw,24,E11,Tashkent,2022
2666,white,"Vokhidov, Shamsiddin",2566,win,46,B91,Tashkent,2022
2666,white,"Kazhgaleyev, Murtas",2516,win,21,B48,Tashkent,2022
2666,black,"Abdyzhapar, Asylbek",2290,win,37,E91,Tashkent,2022
2666,black,"Saydaliev, Saidakbar",2356,lose,40,C07,Tashkent,2022
2664,white,"Keymer, Vincent",2686,win,41,B90,Biel,2022
2664,black,"Le, Quang Long",2420,lose,39,A21,Biel,2022
2664,white,"Abdusattorov, Nodirbek",2688,lose,30,B31,Biel,2022
2664,black,"Kamsky, Gata",2655,draw,49,A48,Biel,2022
2577,white,"Abdusattorov, Nodirbek",2663,lose,29,B40,Biel,2022
2577,black,"Kamsky, Gata",2645,lose,40,A45,Biel,2022
2577,white,"Keymer, Vincent",2548,lose,38,B90,Biel,2022
2577,black,Gukesh D,2598,lose,32,E94,Biel,2022
2577,white,"Salem, A.R. Saleh",2679,win,61,B50,Biel,2022
2577,black,"Esipenko, Andrey",2617,lose,32,C88,Biel,2022
2577,white,"Le, Quang Liem",2657,lose,31,C49,Biel,2022
2577,black,"Abdusattorov, Nodirbek",2663,lose,37,B40,Biel,2022
2577,white,"Kamsky, Gata",2645,lose,37,B40,Biel,2022
2577,black,"Keymer, Vincent",2548,win,50,E68,Biel,2022
2577,white,Gukesh D,2598,lose,55,B31,Biel,2022
2577,black,"Le, Quang Liem",2657,lose,58,A16,Biel,2022
2664,white,"Esipenko, Andrey",2682,draw,42,C47,Biel,2022
2664,black,Gukesh D,2684,draw,19,E11,Biel,2022
2664,black,"Salem, A.R. Saleh",2684,win,54,C92,Biel,2022
2600,black,"Keymer, Vincent",2552,lose,60,D70,Biel,2022
2600,white,"Le, Quang Liem",2626,lose,50,C49,Biel,2022
2600,black,"Abdusattorov, Nodirbek",2670,win,61,C02,Biel,2022
2600,white,"Kamsky, Gata",2717,win,48,C67,Biel,2022
2600,black,"Esipenko, Andrey",2679,lose,51,C11,Biel,2022
2600,white,Gukesh D,2223,win,40,B31,Biel,2022
2600,white,"Salem, A.R. Saleh",2655,lose,35,C69,Biel,2022
2664,white,"Halvax, Georg",2424,win,48,B31,Germany,2022
2664,white,"Wagner, Dennis",2569,draw,41,C77,Germany,2022
2664,white,"Parvanyan, Ashot",2428,draw,59,C49,Germany,2022
2664,white,"Sebastian, Dirk",2440,win,37,B31,Germany,2022
2653,white,"Maghsoodloo, Parham",2716,win,59,B51,Chartres,2022
2653,black,"Loiseau, Quentin",2442,win,36,C45,Chartres,2022
2653,black,"Sochacki, Christophe",2487,win,57,A45,Chartres,2022
2653,white,"Lagarde, Maxime",2628,win,38,B40,Chartres,2022
2653,white,"Piorun, Kacper",2627,win,36,C07,Chartres,2022
2653,black,"Solakian-Van Eyll, Jerome",2248,win,36,A48,Chartres,2022
2653,black,"Pucher, Olivier",2341,win,24,A27,Chartres,2022
2653,white,"Velten, Paul",2486,draw,31,A11,Chartres,2022
2648,black,"Schnider, Gert",2417,draw,43,C47,Germany,2022
2648,white,"Johansson, Linus",2473,win,55,C07,Germany,2022
2648,black,"Kukov, Velislav",2337,draw,50,A45,,2022
2648,white,"Druska, Juraj",2503,lose,40,B90,,2022
2654,white,"Stark, Lars",2380,win,44,A46,,2022
2654,black,"Lemmers, Oscar",2340,win,35,C25,,2022
2648,black,"Ftacnik, Lubomir",2495,win,33,E68,"Aschach, St. Veit/Glan, St. Ve",2022
2648,white,"Testor, Sebastian",2323,win,27,C10,"Aschach, St. Veit/Glan, St. Ve",2022
2648,black,"Kristoferitsch, Daniel",2253,win,23,A50,"Aschach, St. Veit/Glan, St. Ve",2022
2660,white,"Eljanov, Pavel",2691,lose,40,C53,Toledo,2021
2660,black,"Maghsoodloo, Parham",2701,lose,26,E46,Toledo,2021
2660,white,"Shirov, Alexei",2659,lose,25,A21,Toledo,2021
2660,black,"Kuzubov, Yuriy",2624,draw,51,C67,Toledo,2021
2660,white,"Oparin, Grigoriy",2654,lose,44,C77,Toledo,2021
2660,black,"Salgado Lopez, Ivan",2604,draw,33,C65,Toledo,2021
2660,white,"Howell, David",2658,draw,153,C67,Toledo,2021
2663,white,"Gupta, Abhijeet",2612,lose,61,C24,Sharjah,2021
2663,black,"Tabatabaei, M. Amin",2624,lose,33,C65,Sharjah,2021
2663,white,"Mchedlishvili, Mikheil",2571,draw,18,C42,Sharjah,2021
2663,black,Narayanan.S.L,2632,draw,31,C65,Sharjah,2021
2663,white,"Mastrovasilis, Dimitrios",2615,win,36,C42,Sharjah,2021
2663,black,"Sadhwani, Raunak",2603,win,34,A15,Sharjah,2021
2663,white,"Yakubboev, Nodirbek",2604,draw,28,B12,Sharjah,2021
2663,black,"Khademalsharieh, Sarasadat",2490,win,39,E46,Sharjah,2021
2649,white,"Guliyev, Namig",2551,win,52,B91,Chalons en Champagne,2021
2649,white,"Loiseau, Quentin",2459,draw,83,A11,Chalons en Champagne,2021
2649,black,"Van Wely, Loek",2620,draw,33,A07,Chalons en Champagne,2021
2649,white,"Sochacki, Christophe",2494,win,23,A05,Chalons en Champagne,2021
2649,white,"Iglesias, Joachim",2259,win,33,B50,Chalons en Champagne,2021
2649,black,"Movsesian, Sergei",2647,win,30,C50,Chalons en Champagne,2021
2649,black,"Fedorchuk, Sergey A",2616,win,36,C53,Chalons en Champagne,2021
2649,black,"Riff, Jean-Noel",2499,draw,14,C67,Chalons en Champagne,2021
2649,white,"Hutois, Mickael",2261,win,20,C49,Chalons en Champagne,2021
2649,black,"Favarel, Julien",2338,win,40,B22,Chalons en Champagne,2021
2624,black,"Shirov, Alexei",2647,lose,54,B52,Linares,2020
2624,white,Socko B,2601,lose,31,B12,Linares,2020
2624,black,"Vallejo Pons, Francisco",2710,draw,30,C77,Linares,2020
2624,white,"Kovalenko, Igor",2645,win,70,A47,Linares,2020
2624,white,"Anton Guijarro, David",2688,win,55,C77,Linares,2020
2624,black,"Pulvett Marin, Daniel Eduardo",2502,win,49,E15,Linares,2020
2624,white,"Kuzubov, Yuriy",2643,win,36,B30,Linares,2020
2624,white,"Kovalenko, Igor",2645,win,69,A47,Karlsruhe,2020
2624,black,"Klein, Felix",2307,win,32,B33,Karlsruhe,2020
2624,white,"Rafiee, Makan",2334,win,42,C84,Karlsruhe,2020
2626,black,"Adams, Michael",2701,lose,86,C55,Biel,2020
2626,white,"Anton Guijarro, David",2703,win,42,B30,Biel,2020
2581,black,"Wojtaszek, Radoslaw",2690,lose,31,E11,Biel,2020
2581,white,"Wojtaszek, Radoslaw",2690,lose,30,B50,Biel,2020
2581,white,"Keymer, Vincent",2476,win,28,B14,Biel,2020
2581,black,"Keymer, Vincent",2476,lose,36,E11,Biel,2020
2581,black,"Harikrishna, Pentala",2663,win,40,A48,Biel,2020
2581,white,"Harikrishna, Pentala",2663,win,35,C69,Biel,2020
2581,black,"Anton Guijarro, David",2590,draw,56,A48,Biel,2020
2581,white,"Anton Guijarro, David",2590,lose,59,C69,Biel,2020
2581,black,"Studer, Noel",2422,lose,31,E11,Biel,2020
2581,white,"Adams, Michael",2709,lose,34,C69,Biel,2020
2581,black,"Adams, Michael",2709,lose,51,B30,Biel,2020
2626,white,"Wojtaszek, Radoslaw",2719,lose,41,B51,Biel,2020
2626,black,"Keymer, Vincent",2558,lose,28,D70,Biel,2020
2626,white,"Harikrishna, Pentala",2719,draw,44,B48,Biel,2020
2584,white,"Adams, Michael",2689,lose,39,C69,Biel,2020
2584,black,"Anton Guijarro, David",2718,draw,24,A06,Biel,2020
2584,white,"Edouard, Romain",2654,win,26,C07,Biel,2020
2584,black,"Wojtaszek, Radoslaw",2662,lose,39,E01,Biel,2020
2584,white,"Keymer, Vincent",2487,lose,24,D04,Biel,2020
2584,black,"Harikrishna, Pentala",2690,lose,44,A16,Biel,2020
2584,black,"Studer, Noel",2437,win,35,E10,Biel,2020
2622,black,"Van Foreest, Lucas",2545,draw,41,C46,Germany,2020
2622,white,"Ernst, Sipke",2544,win,32,C48,Germany,2020
2622,white,"Bjerre, Jonas Buhl",2530,draw,45,B91,Germany,2020
2617,black,"Ni, Hua",2669,draw,32,E04,China,2019
2630,white,"Baldauf, Marco",2495,lose,40,A48,Germany,2019
2643,black,"Lenic, Luka",2644,draw,25,E06,Batumi,2019
2643,black,"Sargissian, Gabriel",2690,draw,80,E10,Batumi,2019
2643,white,"Bluebaum, Matthias",2643,draw,40,A11,Batumi,2019
2643,black,"Saric, Ivan",2667,draw,32,A20,Batumi,2019
2643,black,"Laznicka, Viktor",2667,draw,49,E00,Batumi,2019
2643,white,"Kuzubov, Yuriy",2636,lose,45,A07,Batumi,2019
2643,black,"Edouard, Romain",2641,draw,31,E10,Batumi,2019
2643,white,"Sedlak, Nikola",2557,win,68,A07,Batumi,2019
2643,white,"Ganguly, Surya Shekhar",2658,lose,40,A07,Linares,2019
2643,black,"Vazquez Igarza, Renier",2556,lose,25,A04,Linares,2019
2643,white,"Predke, Alexandr",2657,draw,41,C84,Linares,2019
