rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2641,white,"Sethuraman, SP.",2664,draw,70,E36,Makati,2018
2641,black,"Vidit, Santosh Gujrathi",2701,draw,21,E11,Makati,2018
2641,white,"Wei, Yi",2728,draw,9,B90,Makati,2018
2641,black,"Vokhidov, Shamsiddin",2480,win,45,B92,Makati,2018
2641,white,"Lu, Shanglei",2636,draw,18,C01,Makati,2018
2641,black,"Lye, Lik Zang",2321,draw,46,E18,Makati,2018
2641,white,"Firouzja, Alireza",2607,draw,24,E60,Makati,2018
2641,black,"Bilguun, Sumiya",2497,win,41,B93,Makati,2018
2641,white,"Cuhendi, Sean Winshand",2429,win,38,E68,Makati,2018
2620,white,"Gomez, John Paul",2464,win,40,E12,Batumi,2018
2620,black,"Meier, Georg",2639,draw,28,D10,Batumi,2018
2620,white,"Georgiadis, Nico",2522,win,43,D38,Batumi,2018
2620,black,"Ismagambetov, Anuar",2538,win,50,B98,Batumi,2018
2620,black,"Preotu, Razvan",2513,win,60,B92,Batumi,2018
2620,white,"Magalashvili, Davit",2508,win,55,D02,Batumi,2018
2620,white,"Henriquez Villagra, Cristobal",2519,draw,37,D61,Batumi,2018
2620,black,"Bacrot, Etienne",2678,draw,30,C54,Batumi,2018
2620,black,"Rahman, Ziaur",2477,win,40,A11,Batumi,2018
2620,white,"Bai, Adelard",2111,win,43,C89,Batumi,2018
2618,black,"Ghaem Maghami, Ehsan",2537,draw,31,B53,Hamedan,2018
2618,black,"Adhiban, Baskaran",2671,draw,41,D47,Hamedan,2018
2618,white,"Maghsoodloo, Parham",2636,draw,29,D23,Hamedan,2018
2618,white,"Gholami, Aryan",2492,win,29,D85,Hamedan,2018
2618,black,"Yakubboev, Nodirbek",2512,draw,22,D30,Hamedan,2018
2618,white,"Lu, Shanglei",2629,draw,46,C10,Hamedan,2018
2666,black,"Adhiban, Baskaran",2673,lose,61,B23,Hamedan,2018
2666,white,"Lu, Shanglei",2663,draw,48,B90,Hamedan,2018
2666,black,"Hossain, Enamul",2491,win,37,B90,Hamedan,2018
2666,white,"Maghsoodloo, Parham",2393,lose,34,B30,Hamedan,2018
2666,black,"Yakubboev, Nodirbek",2272,draw,53,D02,Hamedan,2018
2666,white,"Noah, AH Al Ali",2361,win,38,D70,Hamedan,2018
2618,white,"Nguyen, Anh Khoi",2454,draw,28,B68,Bac Giang,2018
2618,black,"Nguyen, Quoc Hy",2099,win,56,E68,Bac Giang,2018
2618,white,"Nguyen, Duc Hoa",2452,draw,58,B52,Bac Giang,2018
2618,black,"Pham, Chuong",2397,draw,11,D30,Bac Giang,2018
2618,white,"Pham, Xuan Dat",1885,win,35,B12,Bac Giang,2018
2618,black,"Duong, The Anh",2307,draw,12,D14,Bac Giang,2018
2618,white,"Nguyen, Quang Trung",1805,win,38,C07,Bac Giang,2018
2618,black,"Pham, Minh Hieu1",1212,win,46,D30,Bac Giang,2018
2630,black,"Tran, Minh Thang",2366,draw,20,D36,Hanoi,2018
2630,white,"Zou, Chen",2291,draw,33,D38,Hanoi,2018
2630,black,"Nguyen, Anh Khoi",2435,draw,28,E01,Hanoi,2018
2630,white,"Nguyen, Van Huy",2454,win,63,A19,Hanoi,2018
2630,black,"Karthikeyan, Pandian",2473,draw,20,D11,Hanoi,2018
