rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2656,black,"Zelbel, Patrick",2464,win,93,C07,Germany,2023
2656,white,"Ragger, Markus",2634,lose,50,D70,Germany,2023
2655,white,"Svane, Rasmus",2620,draw,45,E32,Germany,2023
2655,black,"Demchenko, Anton",2617,lose,59,C50,Germany,2023
2655,white,"Dragnev, Valentin",2561,draw,51,D32,Vrnjacka Banja,2023
2655,black,"Iskandarov, Misratdin",2598,win,58,A15,Vrnjacka Banja,2023
2655,black,"Guliyev, Namig",2528,draw,47,B51,Vrnjacka Banja,2023
2655,white,"Predke, Alexandr",2684,draw,21,B40,Vrnjacka Banja,2023
2655,white,"Nasuta, Grzegorz",2535,win,41,B50,Vrnjacka Banja,2023
2655,black,"Kozak, Adam",2552,draw,22,E49,Vrnjacka Banja,2023
2655,white,"Azarov, Sergei",2559,draw,41,C92,Vrnjacka Banja,2023
2655,black,"Alsina Leal, Daniel",2522,win,42,A50,Vrnjacka Banja,2023
2655,white,"Bronstein, Or",2465,win,34,C42,Vrnjacka Banja,2023
2655,black,"Sousa, Andre Ventura",2464,draw,53,A46,Vrnjacka Banja,2023
2655,white,"Burcu, Cagatay",2331,win,36,B12,Vrnjacka Banja,2023
2657,black,"Ivic, Velimir",2589,draw,31,D45,Germany,2023
2657,white,"McShane, Luke J",2631,draw,85,E20,Germany,2023
2657,white,"Vachier-Lagrave, Maxime",2737,draw,20,D94,Germany,2023
2657,black,"Ivanisevic, Ivan",2540,draw,39,A45,Germany,2023
2618,black,"Gavrilescu, David",2472,win,66,B48,Katowice,2022
2618,black,"Fridman, Daniel",2618,draw,19,C02,Katowice,2022
2618,white,"Seemann, Jakub",2320,win,87,A06,Katowice,2022
2618,black,"Navara, David",2670,draw,70,E10,Katowice,2022
2618,white,"Kazakouski, Valery",2480,win,59,C55,Katowice,2022
2618,black,"Sargsyan, Shant",2561,draw,15,E10,Katowice,2022
2618,white,"Abdrlauf, Elham",2435,win,41,A06,Katowice,2022
2618,black,"Gunnarsson, Arnar",2371,win,28,A13,Katowice,2022
2618,black,"Skuhala, Barbara",2067,win,62,B40,Katowice,2022
2618,white,"Owoc, Jakub",1730,win,17,A05,Katowice,2022
2665,black,"Kulaots, Kaido",2511,lose,54,B48,Barcelona,2022
2665,white,"Kaidanov, Gregory S",2549,draw,27,C72,Barcelona,2022
2665,white,"Dragnev, Valentin",2551,draw,27,A15,Barcelona,2022
2665,black,"Yuffa, Daniil",2587,draw,31,A04,Barcelona,2022
2665,black,"Alsina Leal, Daniel",2527,win,32,B47,Barcelona,2022
2665,black,"Zwirs, Nico",2476,draw,68,B12,Barcelona,2022
2665,white,Aarav Dengla,2357,win,50,D27,Barcelona,2022
2622,white,"Vidit, Santosh Gujrathi",2662,draw,30,C65,Jerusalem,2022
2622,black,"Vidit, Santosh Gujrathi",2662,draw,30,D39,Jerusalem,2022
2622,black,"Lu, Shanglei",2627,lose,52,C02,Jerusalem,2022
2622,black,"Mamedyarov, Shakhriyar",2747,draw,33,A30,,2022
2622,white,"Mamedyarov, Shakhriyar",2747,draw,33,C80,,2022
2622,black,"Solomon, Kenny",2408,win,46,E10,Jerusalem,2022
2622,white,"Ivanchuk, Vasyl",2686,draw,33,C88,Jerusalem,2022
2622,black,"Vachier-Lagrave, Maxime",2775,lose,54,E21,Jerusalem,2022
2622,white,"Lu, Shanglei",2627,lose,82,E10,Jerusalem,2022
2622,black,"Van Foreest, Jorden",2699,draw,32,E10,Jerusalem,2022
2677,black,"Bartel, Mateusz",2630,draw,52,C78,,2022
2677,white,"Kraemer, Martin",2579,draw,33,A08,,2022
2677,black,"Yilmaz, Mustafa",2621,draw,18,E10,,2022
2677,white,"Bosiocic, Marin",2548,win,31,B30,,2022
2677,black,"Stevic, Hrvoje",2565,win,35,B10,,2022
2677,white,"Shevchenko, Kirill",2645,draw,13,E94,,2022
2677,black,"Zelcic, Robert",2495,draw,50,B51,,2022
2677,white,"Kozul, Zdenko",2549,draw,48,E71,,2022
2677,black,"Moussard, Jules",2686,draw,35,A13,,2022
2677,white,"Seo, Jung Min",2520,draw,48,D41,Mayrhofen,2022
2677,white,"Rapport, Richard",2754,draw,35,C18,Mayrhofen,2022
2677,black,"Tari, Aryan",2656,lose,66,C02,Mayrhofen,2022
2677,black,"Saric, Ivan",2668,lose,41,C83,Mayrhofen,2022
2677,white,"David, Alberto",2521,win,51,B67,Mayrhofen,2022
2677,white,"Doric, Darko",2457,draw,59,B40,Mayrhofen,2022
2677,black,"Mueller, Nick",2368,win,53,E81,Mayrhofen,2022
2680,black,Gukesh D,2726,lose,65,D41,Linares,2022
2680,white,"Jones, Gawain C",2623,lose,40,E94,Linares,2022
2680,black,"Ayats Llobera, Gerard",2451,draw,42,B90,Linares,2022
2680,white,"Alekseenko, Kirill",2707,win,60,E32,Linares,2022
2680,white,Nihal Sarin,2677,draw,33,C42,Linares,2022
2680,black,"Tabatabaei, M. Amin",2651,win,81,C50,Linares,2022
2680,white,"Anton Guijarro, David",2662,draw,33,D39,Linares,2022
2680,black,"Navara, David",2681,draw,36,C11,Wojtaszek,2022
2680,white,"Korobov, Anton",2671,lose,50,D35,Wojtaszek,2022
2680,white,"Wojtaszek, Radoslaw",2696,lose,61,C55,Wojtaszek,2022
2680,black,"Harikrishna, Pentala",2716,draw,35,E10,Wojtaszek,2022
2680,white,"Bluebaum, Matthias",2647,win,26,C02,Wojtaszek,2022
2680,black,"Nguyen, Thai Dai Van",2627,draw,23,E10,Wojtaszek,2022
2680,white,"Deac, Bogdan-Daniel",2710,draw,41,C67,Wojtaszek,2022
2680,black,"Kuzubov, Yuriy",2627,win,48,E48,Wojtaszek,2022
2680,white,"Luch, Michal",2364,win,38,A07,Wojtaszek,2022
2672,black,"Carbonell Sancho, Marc",2285,win,30,B96,Linares,2022
2672,white,"Merario Alarcon, Andres",2423,draw,30,D32,Linares,2022
2672,black,"Garcia Ramos, Daniel",2435,draw,30,B54,Linares,2022
2672,white,"Yuffa, Daniil",2594,draw,30,E10,Linares,2022
2672,black,"Iturrizaga Bonelli, Eduardo",2618,draw,19,D45,Linares,2022
2672,black,"Bernabeu Lopez, Carlos Javier",2421,win,40,B92,Linares,2022
2672,white,"Serarols Mabras, Bernat",2357,win,36,B31,Linares,2022
2672,black,"Pomes Marcet, Juan",2210,win,40,E46,Linares,2022
2675,white,"Hovhannisyan, Robert",2591,draw,69,C50,Chennai,2022
2675,black,"Zwardon, Vojtech",2503,win,60,A13,Chennai,2022
2675,black,"Thybo, Jesper Sondergaard",2520,win,59,D85,Chennai,2022
2675,white,"Hesham, Abdelrahman",2386,win,34,E70,Chennai,2022
2672,white,"Urazayev, Arystanbek",2430,draw,54,D45,Chennai,2022
2675,black,"Quesada Perez, Luis Ernesto",2549,draw,41,A37,Chennai,2022
2675,white,Praggnanandhaa R,2648,win,85,B30,Chennai,2022
2675,white,"Karthikeyan, Murali",2613,draw,52,B31,Chennai,2022
2675,white,"Mekhitarian, Krikor Sevag",2542,win,54,E06,Chennai,2022
2675,black,"Bullen, Alex",2106,win,66,A46,Chennai,2022
2675,white,"Galego, Luis",2462,draw,42,C02,Ovar,2022
2675,black,Narayanan.S.L,2659,draw,33,E10,Ovar,2022
2675,white,"Turner, Matthew J",2469,win,46,C45,Ovar,2022
2675,black,"Dvirnyy, Danyyil",2522,draw,37,B91,Ovar,2022
2675,white,"Ferreira, Jorge Viterbo",2499,draw,109,E10,Ovar,2022
2674,white,Raja Harshit,2479,win,51,C89,Srbice,2022
2674,black,Karthik Venkataraman,2480,draw,34,B52,Srbice,2022
2674,white,"Ali Marandi, Cemil Can",2532,draw,31,C55,Srbice,2022
2674,black,"Blomqvist, Erik",2521,win,46,B11,Srbice,2022
2674,white,"Yilmazyerli, Mert",2504,draw,33,A06,Srbice,2022
2674,black,"Kaasen, Tor Fredrik",2456,win,32,B90,Srbice,2022
2674,white,"Seo, Jung Min",2479,draw,86,E10,Srbice,2022
2674,black,"Dixit, Nikhil",2331,win,45,B51,Srbice,2022
2674,white,"Riebel, Werner",2118,win,20,A06,Srbice,2022
2648,white,"Bluebaum, Matthias",2642,draw,29,C42,Germany,2022
2648,black,"Adams, Michael",2698,draw,65,C80,Germany,2022
2656,white,"Sargsyan, Shant",2639,draw,29,C88,Sunway,2022
2656,white,"Yankelevich, Lev",2468,win,56,E94,Sunway,2022
2656,black,"Narciso Dublan, Marc",2477,draw,54,C01,Sunway,2022
2656,black,"Sasikiran, Krishnan",2650,win,32,C78,Sunway,2022
2656,white,"Martirosyan, Haik M.",2633,draw,31,A06,Sunway,2022
2672,black,Gukesh D,2659,draw,30,D43,Sunway,2022
2656,black,Gukesh D,2637,draw,30,D43,Sunway,2022
2656,black,"Chiku-Ratte, Olivier-Kenta",2364,win,40,E10,Sunway,2022
2656,white,"Neiman, Emmanuel",2248,win,49,C24,Sunway,2022
2656,black,"Alonso Rosell, Alvar",2564,win,53,D35,Ciutadella de Menorca,2022
2656,black,"Sadhwani, Raunak",2628,draw,25,C80,Ciutadella de Menorca,2022
2656,white,"Sethuraman, SP.",2610,draw,21,D11,Ciutadella de Menorca,2022
2656,white,"Pilaj, Herwig",2333,win,36,E71,Ciutadella de Menorca,2022
2656,black,"Marin Ferragut, Pau",2120,win,56,B26,Ciutadella de Menorca,2022
2656,white,"Harikrishna, Pentala",2705,draw,58,C55,,2022
2656,black,"Mamedyarov, Shakhriyar",2771,lose,50,E10,Germany,2022
2648,black,"Sargissian, Gabriel",2681,draw,6,E04,Terme Catez,2022
2648,white,"Yuffa, Daniil",2576,win,55,B31,Terme Catez,2022
2648,black,"Kobo, Ori",2510,draw,13,D35,Terme Catez,2022
2648,white,"Michalik, Peter",2585,win,34,A05,Terme Catez,2022
2648,black,"Iskandarov, Misratdin",2577,draw,17,C77,Terme Catez,2022
2648,white,"Bjerre, Jonas Buhl",2601,draw,24,C42,Terme Catez,2022
2648,black,"Livaic, Leon",2563,win,65,B91,Terme Catez,2022
2648,white,"Subelj, Jan",2468,win,41,D12,Terme Catez,2022
2640,black,"Cori, Jorge",2650,lose,26,A13,Mexico,2022
2640,white,"Meier, Georg",2631,win,34,C10,Mexico,2022
2640,white,"Meier, Georg",2631,win,34,C10,Mexico,2022
2640,black,"Mareco, Sandro",2643,draw,55,A46,Mexico,2022
2561,white,"Niemann, Hans Moke",2680,lose,37,B67,Warsaw,2021
2561,black,"Onischuk, Vladimir",2657,lose,42,C53,Warsaw,2021
2561,black,"Onischuk, Vladimir",2657,lose,42,C53,Warsaw,2021
2561,black,"Mamedov, Rauf",2686,draw,39,B50,Warsaw,2021
2561,black,"Rapport, Richard",2754,win,59,C44,Warsaw,2021
