rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2649,white,"Kollars, Dmitrij",2607,draw,25,D45,Germany,2023
2649,black,"Santos Ruiz, Miguel",2590,draw,28,B50,Germany,2023
2649,white,"Wojtaszek, Radoslaw",2682,draw,26,E35,Germany,2023
2648,white,"Amin, Bassem",2688,draw,34,D70,Germany,2023
2648,black,"Cyborowski, Lukasz",2498,draw,35,B53,Germany,2023
2624,black,"Adams, Michael",2696,lose,31,B90,Germany,2022
2624,white,"Korobov, Anton",2692,draw,34,E63,Germany,2022
2593,black,"Eljanov, Pavel",2602,draw,34,B40,Abu Dhabi,2021
2593,black,"Maghsoodloo, Parham",2655,win,40,A58,Abu Dhabi,2021
2593,white,"Salem, A.R. Saleh",2642,win,56,A13,Abu Dhabi,2021
2635,white,"Bellahcene, Bilel",2397,win,26,A05,Abu Dhabi,2021
2635,white,"Sadhwani, Raunak",2454,draw,55,A06,Abu Dhabi,2021
2593,black,"Abdumalik, Zhansaya",2380,lose,38,B45,Dubai,2021
2593,black,"Fridman, Daniel",2663,win,41,D11,Dubai,2021
2593,white,"Niemann, Hans Moke",2680,lose,48,A06,Dubai,2021
2635,black,"Meier, Georg",2656,lose,40,A05,Dubai,2021
2635,black,"Abdumalik, Zhansaya",2449,win,36,B45,Dubai,2021
2635,black,Nihal Sarin,2500,lose,34,A06,Dubai,2021
2620,black,"Alekseenko, Kirill",2699,draw,35,B95,Chalons en Champagne,2021
2620,black,"Bluebaum, Matthias",2669,lose,29,D80,Chalons en Champagne,2021
2620,white,"Naiditsch, Arkadij",2649,draw,33,A07,Chalons en Champagne,2021
2620,black,"Mamedov, Rauf",2654,lose,31,B23,Chalons en Champagne,2021
2615,black,"Donchenko, Alexander",2654,lose,61,A06,Karlsruhe,2020
2615,white,"Rapport, Richard",2760,lose,31,A06,Karlsruhe,2020
2615,black,"Anton Guijarro, David",2688,win,53,B45,Karlsruhe,2020
2609,white,"Inarkiev, Ernesto",2658,draw,30,A07,Germany,2020
2609,black,"Shytaj, Luca",2480,win,42,B20,Germany,2020
2609,white,"Shirov, Alexei",2684,draw,102,D12,Germany,2019
2610,black,"Efimenko, Zahar",2601,lose,56,A07,Germany,2019
2608,white,"Harika, Dronavalli",2495,draw,32,A13,Vlissingen,2019
2608,white,"Kamsky, Gata",2673,draw,17,A05,Vlissingen,2019
2600,black,"Malakhov, Vladimir",2660,lose,54,A04,Brest,2019
2600,white,"Bacrot, Etienne",2678,draw,41,A07,Brest,2019
2600,white,"Cornette, Deimante ",2433,win,51,A13,Brest,2019
2612,white,"Bluebaum, Matthias",2610,draw,27,D16,Germany,2019
2612,black,"Svidler, Peter",2735,lose,51,B51,Germany,2019
2612,white,"Laznicka, Viktor",2670,draw,42,D27,Germany,2019
2612,black,"Wang, Hao",2718,lose,47,B90,Ho Chi Minh City,2019
2612,white,"Le, Minh Hoang",2299,win,36,D43,Ho Chi Minh City,2019
