rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2727,white,"Wang, Hao B",2165,win,20,B90,Fuling Chongqing,2022
2727,black,"Li, Chao B",2679,draw,41,D41,Fuling Chongqing,2022
2727,white,"Wen, Yang",2588,draw,13,C67,Fuling Chongqing,2022
2718,black,"Xue, Haowen",2128,win,41,A40,Fuling Chongqing,2022
2727,white,"Ni, Hua",2668,draw,31,C54,Fuling Chongqing,2022
2718,black,"Ni, Hua",2647,draw,33,D41,"Fuling,Chongqing,China",2022
2718,white,"Ding, Liren",2836,draw,23,C48,Fuling,2022
2727,black,"Xu, Minghui",2408,win,36,A40,Fuling Chongqing,2022
2718,black,"Xu, Xiangyu",2557,draw,39,D41,"Fuling,Chongqing,China",2022
2727,white,"Zhao, Yuanhe",2440,draw,47,D15,Fuling Chongqing,2022
2729,black,"Ma, Qun",2645,draw,31,C45,Hangzhou ,2022
2729,white,"Xu, Xiangyu",2564,draw,35,E21,Hangzhou ,2022
2729,black,"Ding, Liren",2799,draw,46,D41,Hangzhou ,2022
2729,white,Bu Xiangzhi,2708,draw,32,C53,Hangzhou,2022
2729,black,"Zhang, Zhong",2640,win,83,B51,Hangzhou ,2022
2729,black,"Xu, Xiangyu",2564,draw,31,E10,Hangzhou ,2022
2729,white,Ma Qun,2645,draw,56,E21,Hangzhou,2022
2729,white,"Ding, Liren",2799,draw,30,C48,Hangzhou ,2022
2729,black,"Bu, Xiangzhi",2708,draw,30,A05,Hangzhou ,2022
2729,white,"Zhang, Zhong",2640,draw,69,A29,Hangzhou ,2022
2729,black,"Ding, Liren",2799,lose,41,E06,China,2022
2729,white,"Ding, Liren",2799,draw,34,E15,China,2022
2729,black,"Ding, Liren",2799,draw,30,A15,China,2022
2729,white,"Ding, Liren",2799,draw,42,E10,China,2022
2729,black,"Ding, Liren",2799,draw,41,E06,China,2022
2725,white,"Xu, Yinglun",2555,win,32,A00,"Liaocheng, China",2021
2725,black,"Bu, Xiangzhi",2705,draw,31,A00,"Liaocheng, China",2021
2725,white,"Xu, Minghui",2393,win,33,A00,"Liaocheng, China",2021
2725,black,"Ma, Qun",2630,draw,38,A00,"Liaocheng, China",2021
2725,white,"Xu, Yi",2516,win,39,A00,"Liaocheng, China",2021
