rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2669,white,"Socko, Bartosz",2601,draw,41,E01,,2023
2669,black,"Socko, Bartosz",2601,draw,33,A45,,2023
2669,black,"Piorun, Kacper",2601,lose,80,C44,,2023
2669,black,"Maiwald, Jens-Uwe",2441,win,41,B51,Germany,2023
2669,white,"Tomczak, Jacek",2600,win,44,E15,Germany,2023
2682,white,"Hausrath, Daniel",2478,win,31,A50,Germany,2023
2682,black,"Van Wely, Loek",2649,draw,26,E35,Germany,2023
2682,black,"Kobo, Ori",2548,draw,10,A07,Vrnjacka Banja,2023
2682,white,"Gorodetzky, David",2488,win,51,D32,Vrnjacka Banja,2023
2682,black,"Rasulov, Vugar",2516,draw,44,B90,Vrnjacka Banja,2023
2682,white,"Petrov, Martin",2505,draw,33,E15,Vrnjacka Banja,2023
2682,black,"Blohberger, Felix",2493,draw,37,E48,Vrnjacka Banja,2023
2682,white,"Brunello, Sabino",2512,draw,48,D43,Vrnjacka Banja,2023
2682,black,"Grieve, Harry",2455,win,54,C77,Vrnjacka Banja,2023
2682,black,"Kovacevic, Aleksandar",2489,lose,47,B51,Vrnjacka Banja,2023
2682,white,"Bryakin, Mikhail",2474,draw,52,D35,Vrnjacka Banja,2023
2682,black,"Filip, Lucian-Ioan",2349,win,40,A40,Vrnjacka Banja,2023
2686,white,"Martinovic, Sasa",2552,draw,20,D30,Germany,2023
2686,black,"Bogosavljevic, Boban",2506,draw,21,A05,Germany,2023
2636,white,"Lu, Shanglei",2627,draw,41,E04,,2022
2636,black,"Lu, Shanglei",2627,lose,29,C89,,2022
2636,black,"Vokhidov, Shamsiddin",2471,lose,29,C88,Jerusalem,2022
2636,white,"Radjabov, Teimour",2718,win,32,A29,Jerusalem,2022
2636,white,"Rodshtein, Maxim",2624,win,31,D43,Jerusalem,2022
2636,black,"Vidit, Santosh Gujrathi",2662,draw,74,E10,Jerusalem,2022
2693,white,"Moussard, Jules",2686,draw,26,E10,Mayrhofen,2022
2693,black,"Kuzubov, Yuriy",2612,draw,50,E10,Mayrhofen,2022
2693,white,"Deac, Bogdan-Daniel",2707,draw,33,D45,Mayrhofen,2022
2693,black,"Hansen, Eric",2613,draw,27,C88,Mayrhofen,2022
2693,white,"Roiz, Michael",2579,draw,28,A13,Mayrhofen,2022
2693,black,"Van der Werf, Mark",2399,draw,37,E48,Mayrhofen,2022
2696,black,"Korobov, Anton",2671,draw,19,E10,Wojtaszek,2022
2696,white,"Deac, Bogdan-Daniel",2710,draw,44,E10,Wojtaszek,2022
2696,black,Santos Latasa,2680,win,61,C55,Wojtaszek,2022
2696,white,"Kuzubov, Yuriy",2627,draw,26,E10,Wojtaszek,2022
2696,black,"Harikrishna, Pentala",2716,lose,56,B50,Wojtaszek,2022
2696,black,"Bluebaum, Matthias",2647,draw,30,A45,Wojtaszek,2022
2696,white,"Navara, David",2681,draw,22,E06,Wojtaszek,2022
2696,black,"Nguyen, Thai Dai Van",2627,draw,35,C88,Wojtaszek,2022
2708,black,"Yilmaz, Mustafa",2634,draw,58,E10,Chennai,2022
2708,white,"Grandelius, Nils",2655,draw,19,D17,Chennai,2022
2708,white,"Amartuvshin, Ganzorig",2409,draw,39,E11,Chennai,2022
2708,black,"Kadric, Denis",2552,lose,66,C47,Chennai,2022
2708,black,"Ivic, Velimir",2581,draw,55,C88,Chennai,2022
2708,white,"Fressinet, Laurent",2631,win,70,E37,Chennai,2022
2708,black,"Lupulescu, Constantin",2628,draw,30,E47,Chennai,2022
2708,white,"Kuybokarov, Temur",2583,lose,59,E60,Chennai IND,2022
2708,white,"Cardoso Cardoso, Jose Gabriel",2493,win,46,E10,Chennai,2022
2708,black,"Chekh Adm Khedr,Aram",2147,win,58,B85,Chennai,2022
2708,white,"Fedorchuk, Sergey A",2612,draw,23,E00,Germany,2022
2708,white,"Kozul, Zdenko",2602,win,38,E94,Germany,2022
2708,black,"Teclaf, Pawel",2548,draw,21,B92,Germany,2022
2708,white,"Heinemann, Thies",2493,win,25,E15,Germany,2022
2694,white,"Saric, Ivan",2687,draw,21,D12,Germany,2022
2694,black,"Alonso Rosell, Alvar",2565,draw,25,E10,Germany,2022
2610,black,"Anand, Viswanathan",2758,lose,60,B50,Warsaw,2022
2610,white,"Shevchenko, Kirill",2624,draw,40,E68,Warsaw,2022
2610,black,"Gavrilescu, David",2367,lose,86,B11,Warsaw,2022
2610,white,"Korobov, Anton",2650,lose,55,E17,Warsaw,2022
2610,black,"Duda, Jan Krzysztof",2760,lose,42,B23,Warsaw,2022
2610,white,"Aronian, Levon",2773,draw,35,D27,Warsaw,2022
2610,white,"Rapport, Richard",2646,lose,68,A40,Warsaw,2022
2610,black,"Caruana, Fabiano",2744,win,56,B23,Warsaw,2022
2610,white,"So, Wesley",2814,draw,25,E10,Warsaw,2022
2610,white,"Anand, Viswanathan",2758,draw,93,E10,Warsaw,2022
2610,black,"Shevchenko, Kirill",2624,draw,64,B10,Warsaw,2022
2610,white,"Gavrilescu, David",2367,draw,74,A13,Warsaw,2022
2610,black,"Korobov, Anton",2650,draw,45,A16,Warsaw,2022
2610,white,"Duda, Jan Krzysztof",2760,lose,45,D70,Warsaw,2022
2610,black,"Aronian, Levon",2773,lose,45,B50,Warsaw,2022
2610,black,"Rapport, Richard",2646,win,74,B23,Warsaw,2022
2610,white,"Caruana, Fabiano",2744,lose,58,A53,Warsaw,2022
2610,black,"So, Wesley",2814,win,39,E49,Warsaw,2022
2647,white,"So, Wesley",2770,draw,46,E10,Warsaw,2022
2647,black,"Korobov, Anton",2677,win,52,B92,Warsaw,2022
2647,black,"Rapport, Richard",2785,lose,36,B50,Warsaw,2022
2647,white,"Caruana, Fabiano",2790,draw,52,E10,Warsaw,2022
2647,black,"Gavrilescu, David",2457,draw,43,B52,Warsaw,2022
2647,white,"Duda, Jan Krzysztof",2806,lose,73,A40,Warsaw,2022
2647,black,"Aronian, Levon",2751,draw,73,B50,Warsaw,2022
2647,white,"Shevchenko, Kirill",2573,draw,110,A58,Warsaw,2022
2647,black,"Anand, Viswanathan",2675,lose,36,C84,Warsaw,2022
2696,white,"Piorun, Kacper",2635,win,41,D25,Kruszwica,2022
2696,black,"Piorun, Kacper",2635,draw,15,B91,Kruszwica,2022
2696,black,"Moranda, Wojciech",2630,draw,89,C84,Kruszwica,2022
2696,white,"Moranda, Wojciech",2630,draw,32,D41,Kruszwica,2022
2696,white,"Gajewski, Grzegorz",2589,win,31,E11,Kruszwica,2022
2696,black,"Gajewski, Grzegorz",2589,win,95,C55,Kruszwica,2022
2696,black,"Sabuk, Piotr",2420,win,48,E47,Kruszwica,2022
2696,white,"Sabuk, Piotr",2420,win,40,D30,Kruszwica,2022
2696,white,"Stern, Rene",2509,win,34,A13,,2022
2696,black,"Sarana, Alexey",2675,draw,25,E10,,2022
2686,black,"Rapport, Richard",2763,draw,44,B51,Berlin,2022
2686,white,"Rapport, Richard",2763,lose,46,A41,Berlin,2022
2686,white,"Fedoseev, Vladimir",2704,draw,30,D37,Berlin,2022
2730,white,"Bologan, Victor",2472,draw,51,E18,Warsaw,2021
2730,black,Socko B,2571,draw,36,D30,Warsaw,2021
2730,white,"Bellahcene, Bilel",2493,draw,55,A10,Warsaw,2021
2730,black,"Van Foreest, Lucas",2521,draw,37,B10,Warsaw,2021
2730,black,"Tazbir, Marcin",2518,lose,41,A15,Warsaw,2021
2730,black,Socko B,2571,draw,36,D30,Warsaw,2021
2730,white,"Saraci, Nderim",2479,draw,61,A13,Warsaw,2021
2730,black,"Schneider, Ilja",2524,win,73,A45,Warsaw,2021
2730,white,"Jumabayev, Rinat",2536,lose,78,A06,Warsaw,2021
2730,black,Harsha Bharathakoti,2576,lose,49,A03,Warsaw,2021
2730,white,"Gareyev, Timur",2548,lose,21,B53,Warsaw,2021
2730,black,"Vakhidov, Jakhongir",2534,draw,58,B23,Warsaw,2021
2730,white,"Blohberger, Felix",2416,draw,45,A13,Warsaw,2021
2730,white,"Shoker, Samy",2529,win,52,E63,Warsaw,2021
2730,black,"Van Foreest, Jorden",2566,lose,54,B19,Warsaw,2021
2730,white,"Demchenko, Anton",2531,win,49,A05,Warsaw,2021
2730,black,"Sargsyan, Shant",2537,draw,74,E10,Warsaw,2021
2730,white,"Yuffa, Daniil",2508,draw,60,A16,Warsaw,2021
2730,black,"Sadhwani, Raunak",2562,lose,36,A46,Warsaw,2021
2730,white,"Piorun, Kacper",2535,draw,80,D70,Warsaw,2021
2730,black,"Dvirnyy, Danyyil",2531,draw,52,A07,Warsaw,2021
2730,white,"Kobalia, Mihail",2532,draw,47,A11,Warsaw,2021
2743,white,"Dudin, Gleb",2247,win,41,A11,Warsaw,2021
2743,black,"Shoker, Samy",2550,win,26,A07,Warsaw,2021
2743,white,"Bluebaum, Matthias",2575,lose,61,A13,Warsaw,2021
2743,black,"Ponkratov, Pavel",2614,lose,26,B90,Warsaw,2021
2743,white,"Timofeev, Artyom",2591,draw,41,D31,Warsaw,2021
2743,black,"Abdusattorov, Nodirbek",2593,lose,48,A16,Warsaw,2021
2743,white,"Petrosian, Tigran L",2621,win,34,A41,Warsaw,2021
2743,black,"Efimenko, Zahar",2609,draw,39,B51,Warsaw,2021
2743,white,"Corrales Jimenez, Fidel",2561,win,57,D70,Warsaw,2021
2743,black,"Alonso Rosell, Alvar",2571,draw,22,A45,Warsaw,2021
2743,white,"Hovhannisyan, Robert",2613,draw,42,A20,Warsaw,2021
2743,black,"Christiansen, Johan-Sebastian",2522,win,30,B18,Warsaw,2021
2743,white,"Michalik, Peter",2515,draw,39,A13,Warsaw,2021
2700,white,"Sanikidze, Tornike",2458,win,37,A29,Terme Olimia,2021
2700,black,"Anton Guijarro, David",2669,draw,18,A46,Terme Olimia,2021
2700,black,"Donchenko, Alexander",2645,draw,72,E46,Terme Olimia,2021
2700,white,"Nguyen, Thai Dai Van",2594,draw,30,D32,Terme Olimia,2021
2700,white,"Christiansen, Johan-Sebastian",2582,draw,31,D20,Terme Olimia,2021
2700,white,"Dubov, Daniil",2714,lose,27,D85,Terme Olimia,2021
2700,black,"Lupulescu, Constantin",2624,draw,22,B90,Terme Olimia,2021
2700,white,"Mikhalevski, Victor",2559,win,28,A05,Terme Olimia,2021
2691,white,Erigaisi Arjun,2634,draw,34,D12,Riga,2021
2691,black,"Yilmaz, Mustafa",2626,lose,40,D39,Riga,2021
2691,white,"Niemann, Hans Moke",2638,draw,31,D47,Riga,2021
2691,black,"Ter-Sahakyan, Samvel",2607,draw,30,C88,Riga,2021
2691,white,"Kuzubov, Yuriy",2624,draw,57,E10,Riga,2021
2691,black,"Kollars, Dmitrij",2621,draw,30,B90,Riga,2021
2691,white,"Keymer, Vincent",2630,draw,31,A15,Riga,2021
2691,black,"Chigaev, Maksim",2639,draw,43,C77,Riga,2021
2691,white,"Dreev, Alexey",2635,draw,40,E04,Riga,2021
2691,black,"Bluebaum, Matthias",2640,draw,24,E48,Riga,2021
2691,white,"Martirosyan, Haik M.",2624,win,42,E10,Riga,2021
