rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2731,white,"Krassowizkij, Jaroslaw",2439,win,37,C65,Germany,2023
2731,black,"Vallejo Pons, Francisco",2712,draw,52,C42,Germany,2023
2734,white,"So, Wesley",2766,draw,69,E41,Dusseldorf,2023
2734,black,"Giri, Anish",2780,draw,44,B67,Dusseldorf,2023
2734,white,"Duda, Jan Krzysztof",2729,draw,49,C43,Dusseldorf,2023
2734,black,Gukesh D,2718,draw,42,A20,Dusseldorf,2023
2734,black,"Keymer, Vincent",2690,lose,52,E48,Dusseldorf,2023
2734,white,Praggnanandhaa R,2690,draw,58,B30,Dusseldorf,2023
2734,black,"Aronian, Levon",2736,lose,31,B76,Dusseldorf,2023
2734,white,"Esipenko, Andrey",2675,win,41,E46,Dusseldorf,2023
2734,black,"Nepomniachtchi, Ian",2793,draw,19,A57,Dusseldorf,2023
2734,black,"Ragger, Markus",2638,draw,70,B33,Germany,2023
2734,white,"Nguyen, Thai Dai Van",2659,win,42,C84,Germany,2023
2713,white,"Van Foreest, Jorden",2681,lose,49,B48,Wijk aan Zee,2023
2713,black,"So, Wesley",2760,draw,41,D27,Wijk aan Zee,2023
2713,black,"Giri, Anish",2764,draw,29,D20,Wijk aan Zee,2023
2713,white,"Ding, Liren",2811,draw,27,C67,Wijk aan Zee,2023
2713,black,"Keymer, Vincent",2696,draw,89,A30,Wijk aan Zee,2023
2713,white,"Aronian, Levon",2735,draw,31,C65,Wijk aan Zee,2023
2713,black,Erigaisi Arjun,2722,win,43,C43,Wijk aan Zee,2023
2713,white,Praggnanandhaa R,2684,draw,54,C80,Wijk aan Zee,2023
2713,black,"Carlsen, Magnus",2859,win,60,A30,Wijk aan Zee,2023
2713,white,"Maghsoodloo, Parham",2719,win,64,C84,Wijk aan Zee,2023
2713,black,Gukesh D,2725,draw,44,E11,Wijk aan Zee,2023
2713,white,"Caruana, Fabiano",2766,draw,54,D38,Wijk aan Zee,2023
2713,black,"Rapport, Richard",2740,win,48,C29,Wijk aan Zee,2023
2666,black,"Carlsen, Magnus",2830,lose,38,C77,Almaty,2022
2666,white,"Madaminov, Mukhiddin",2333,win,51,C83,Almaty,2022
2666,black,"Vakhidov, Jakhongir",2507,win,51,A13,Almaty,2022
2666,white,"Petrosian, Tigran L",2632,win,70,A10,Almaty,2022
2666,black,"Salem, A.R. Saleh",2633,lose,29,D32,Almaty,2022
2666,white,"Aravindh, Chithambaram VR.",2586,win,49,A50,Almaty,2022
2666,black,"Keymer, Vincent",2600,lose,51,A04,Almaty,2022
2666,white,"Ponkratov, Pavel",2539,lose,50,C45,Almaty,2022
2666,black,"Tang, Andrew",2582,win,30,A41,Almaty,2022
2666,white,"Paravyan, David",2551,draw,64,C42,Almaty,2022
2666,black,"Hansen, Eric",2568,win,43,B10,Almaty,2022
2666,white,"Agmanov, Zhandos",2389,win,30,A50,Almaty,2022
2666,black,"Moiseenko, Alexander",2577,lose,59,D32,Almaty,2022
2666,white,"Sanal, Vahap",2576,lose,54,B40,Almaty,2022
2666,black,"Shankland, Samuel L",2612,lose,39,D54,Almaty,2022
2666,white,"Quparadze, Giga",2587,win,83,B40,Almaty,2022
2666,black,"Petrosyan, Manuel",2560,draw,62,D00,Almaty,2022
2666,white,"Yu, Yangyi",2807,lose,38,B30,Almaty,2022
2666,black,"Tin, Jingyao",2462,win,44,E11,Almaty,2022
2666,white,"Savchenko, Boris",2577,win,32,B50,Almaty,2022
2666,black,"Christiansen, Johan-Sebastian",2501,win,45,C44,Almaty,2022
2676,white,"Mamedov, Rauf",2578,draw,41,D70,Almaty,2022
2676,black,"Nihal, Sarin",2628,draw,48,A46,Almaty,2022
2676,black,"Vidit, Santosh Gujrathi",2659,lose,34,E11,Almaty,2022
2676,white,"Yu, Yangyi",2743,draw,40,C42,Almaty,2022
2676,black,"Dubov, Daniil",2712,draw,34,D02,Almaty,2022
2676,white,"Fedoseev, Vladimir",2741,draw,44,A13,Almaty,2022
2676,black,"Nepomniachtchi, Ian",2766,win,61,B40,Almaty,2022
2676,white,"Duda, Jan Krzysztof",2791,win,90,C65,Almaty,2022
2676,white,"Sanal, Vahap",2547,win,33,C47,Almaty,2022
2676,black,"Carlsen, Magnus",2834,lose,35,A01,Almaty,2022
2676,white,"Demchenko, Anton",2565,win,59,E67,Almaty,2022
2676,black,"Puranik, Abhimanyu",2549,win,44,C99,Almaty,2022
2676,white,"Kadric, Denis",2482,win,24,A10,Almaty,2022
2666,white,Gukesh D,2632,lose,67,B12,Baku,2022
2666,black,"Rapport, Richard",2654,lose,37,C59,Baku,2022
2666,black,"Mamedov, Rauf",2649,win,56,C55,Baku,2022
2666,white,"Shankland, Samuel L",2612,win,41,C02,Baku,2022
2666,black,"Wang, Hao",2628,draw,50,B40,Baku,2022
2666,white,"Gadimbayli, Abdulla",2399,draw,56,C02,Baku,2022
2666,black,"Mamedyarov, Shakhriyar",2733,draw,36,E20,Baku,2022
2666,white,"Suleymanli, Aydin",2481,win,23,B12,Baku,2022
2666,black,"Vallejo Pons, Francisco",2644,win,69,B23,Baku,2022
2666,black,Gukesh D,2632,win,28,D02,Baku,2022
2666,white,"Rapport, Richard",2654,lose,67,B50,Baku,2022
2666,white,"Mamedov, Rauf",2649,win,40,D10,Baku,2022
2666,black,"Shankland, Samuel L",2612,lose,47,D38,Baku,2022
2666,white,"Wang, Hao",2628,win,56,B30,Baku,2022
2666,black,"Gadimbayli, Abdulla",2399,win,61,C46,Baku,2022
2666,white,"Mamedyarov, Shakhriyar",2733,lose,45,A29,Baku,2022
2666,black,"Suleymanli, Aydin",2481,win,41,D32,Baku,2022
2666,white,"Vallejo Pons, Francisco",2644,win,52,A13,Baku,2022
2676,black,Gukesh D,2632,draw,48,A05,Baku,2022
2676,white,"Rapport, Richard",2802,draw,57,C02,Baku,2022
2676,white,"Mamedov, Rauf",2578,win,76,D70,Baku,2022
2676,black,"Shankland, Samuel L",2657,win,51,A30,Baku,2022
2676,white,"Wang, Hao",2721,draw,87,B40,Baku,2022
2676,black,"Gadimbayli, Abdulla",2399,draw,43,B40,Baku,2022
2676,white,"Mamedyarov, Shakhriyar",2746,win,44,A29,Baku,2022
2676,black,"Suleymanli, Aydin",2448,win,64,E49,Baku,2022
2676,white,"Vallejo Pons, Francisco",2682,win,53,A13,Baku,2022
2666,white,"Maghsoodloo, Parham",2672,draw,121,C50,Calcutta,2022
2666,black,"Mamedyarov, Shakhriyar",2733,draw,16,E11,Calcutta,2022
2666,white,"So, Wesley",2763,draw,48,A50,Calcutta,2022
2666,black,Praggnanandhaa R,2599,draw,53,A07,Calcutta,2022
2666,white,Gukesh D,2632,draw,67,B30,Calcutta,2022
2666,black,"Vidit, Santosh Gujrathi",2669,win,37,E47,Calcutta,2022
2666,black,"Nakamura, Hikaru",2909,lose,47,A30,Calcutta,2022
2666,white,"Nihal, Sarin",2702,win,72,B06,Calcutta,2022
2666,black,Erigaisi Arjun,2750,win,43,D00,Calcutta,2022
2666,black,"Maghsoodloo, Parham",2672,draw,64,C64,Calcutta,2022
2666,white,"Mamedyarov, Shakhriyar",2733,win,47,D02,Calcutta,2022
2666,black,"So, Wesley",2763,lose,51,C55,Calcutta,2022
2666,white,Praggnanandhaa R,2599,lose,57,C78,Calcutta,2022
2666,black,Gukesh D,2632,lose,29,A07,Calcutta,2022
2666,white,"Vidit, Santosh Gujrathi",2669,lose,143,C02,Calcutta,2022
2666,white,"Nakamura, Hikaru",2909,lose,67,C55,Calcutta,2022
2666,black,"Nihal, Sarin",2702,draw,38,A46,Calcutta,2022
2666,white,Erigaisi Arjun,2750,lose,50,C02,Calcutta,2022
2676,black,"Maghsoodloo, Parham",2641,draw,58,C96,Calcutta,2022
2676,white,"Mamedyarov, Shakhriyar",2747,draw,54,C55,Calcutta,2022
