rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2672,white,"Niemann, Hans Moke",2698,draw,51,C55,Sitges,2022
2672,black,"Yu, Yangyi",2728,draw,30,E10,Sitges,2022
2672,black,"Tabatabaei, M. Amin",2660,draw,24,A05,Sitges,2022
2672,white,"Grigoryan, Karen H.",2619,win,32,D31,Sitges,2022
2672,white,"Karthikeyan, Murali",2620,win,35,B30,Sitges,2022
2672,black,"Puranik, Abhimanyu",2616,win,43,C79,Sitges,2022
2672,white,"Wadsworth, Matthew J",2470,win,33,A07,Sitges,2022
2672,black,"Erdogmus, Yagiz Kaan",2453,win,46,E00,Sitges,2022
2672,white,"Valenzuela Gomez, Fernando",2361,win,39,C07,Sitges,2022
2672,black,Joel Paul Ganta,2183,win,39,B48,Sitges,2022
2687,black,"Pultinevicius, Paulius",2561,lose,91,E10,Barcelona,2022
2687,white,"Meshkovs, Nikita",2563,draw,39,B40,Barcelona,2022
2687,black,"Yuffa, Daniil",2587,draw,14,E01,Barcelona,2022
2687,white,"Sanal, Vahap",2590,draw,40,C65,Barcelona,2022
2687,black,"Niemann, Hans Moke",2699,draw,41,C79,Barcelona,2022
2687,white,"Krzyzanowski, Marcin",2538,win,57,B31,Barcelona,2022
2672,black,Arjun Kalyan,2505,draw,7,C55,Barcelona,2022
2687,black,Arjun Kalyan,2526,draw,7,C55,Barcelona,2022
2687,white,"Wadsworth, Matthew J",2470,win,42,C11,Barcelona,2022
2687,black,"Valmana Canto, Jaime",2358,win,44,B69,Barcelona,2022
2687,white,"Wagner, Dennis",2580,draw,39,C50,,2022
2687,black,"Sebenik, Matej",2524,lose,54,B51,,2022
2687,black,"Livaic, Leon",2582,lose,57,E23,Jenbach,2022
2691,white,"Navara, David",2676,draw,58,C65,Mayrhofen,2022
2691,black,"Postny, Evgeny",2573,draw,36,E10,Mayrhofen,2022
2691,white,"Vocaturo, Daniele",2615,draw,43,C55,Mayrhofen,2022
2691,black,"Firat, Burak",2455,draw,59,A05,Mayrhofen,2022
2691,white,"Prohaszka, Peter",2570,draw,54,B12,Mayrhofen,2022
2691,white,"Marcelin, Cyril",2449,win,78,B38,Mayrhofen,2022
