rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2691,black,"Saric, Ante",2524,draw,20,E68,Germany,2023
2691,black,"Naiditsch, Arkadij",2676,win,67,C91,Germany,2023
2692,white,"Blomqvist, Erik",2508,win,48,B40,Sweden,2023
2692,black,"Gdanski, Jacek",2489,win,34,C69,Sweden,2023
2692,white,"Akesson, Ralf",2392,draw,20,A05,Sweden,2023
2688,black,"Van Wely, Loek",2648,draw,34,D70,Germany,2023
2688,white,"Gungl, Theo",2369,win,45,B84,Germany,2023
2713,black,"Vakhidov, Jakhongir",2507,lose,61,A16,Almaty,2022
2713,white,"Tsydypov, Zhamsaran",2593,win,55,A07,Almaty,2022
2713,white,"Sargsyan, Shant",2602,draw,23,A07,Almaty,2022
2713,black,"Murzin, Volodar",2586,win,51,C47,Almaty,2022
2713,black,"Nogerbek, Kazybek",2487,win,42,A04,Almaty,2022
2713,black,"Jumabayev, Rinat",2583,lose,42,D70,Almaty,2022
2713,white,"Dragnev, Valentin",2523,win,32,A05,Almaty,2022
2713,white,"Jobava, Baadur",2582,lose,42,B07,Almaty,2022
2713,black,"Najer, Evgeniy",2566,win,38,C95,Almaty,2022
2713,white,"Hovhannisyan, Robert",2570,lose,54,A07,Almaty,2022
2713,black,"Keymer, Vincent",2600,lose,38,A05,Almaty,2022
2713,white,"Donchenko, Alexander",2581,win,27,A05,Almaty,2022
2713,white,"Petrosyan, Manuel",2560,lose,59,A05,Almaty,2022
2713,black,"Savchenko, Boris",2577,win,37,C37,Almaty,2022
2713,white,"Hansen, Eric",2568,lose,49,C02,Almaty,2022
2713,black,"Adly, Ahmed",2605,draw,12,B13,Almaty,2022
2713,white,"Tang, Andrew",2582,win,36,A07,Almaty,2022
2713,black,"Bologan, Victor",2525,win,36,C55,Almaty,2022
2567,white,"Yu, Yangyi",2743,lose,43,B30,Almaty,2022
2567,black,"Vachier-Lagrave, Maxime",2777,lose,56,C84,Almaty,2022
2567,white,"Mamedyarov, Shakhriyar",2746,win,34,E11,Almaty,2022
2567,white,"Mamedyarov, Shakhriyar",2746,draw,23,C81,Almaty,2022
2567,black,"Grischuk, Alexander",2759,draw,53,E71,Almaty,2022
2567,white,"Van Foreest, Jorden",2693,win,45,A08,Almaty,2022
2567,black,"Ganguly, Surya Shekhar",2646,draw,42,C45,Almaty,2022
