rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2690,white,"Deuer, Marius",2336,win,42,A05,Germany,2023
2690,white,"Kasimdzhanov, Rustam",2667,draw,46,C88,Germany,2023
2685,white,"Sadzikowski, Daniel",2503,win,35,C50,Czech Republic,2023
2685,black,"Vykouk, Jan",2466,win,35,B11,Czech Republic,2023
2685,black,"Kuzubov, Yuriy",2616,draw,10,C67,Vrnjacka Banja,2023
2685,white,"Kadric, Denis",2583,win,31,A53,Vrnjacka Banja,2023
2685,black,"Livaic, Leon",2569,win,39,D30,Vrnjacka Banja,2023
2685,white,"Seemann, Jakub",2424,win,41,B12,Vrnjacka Banja,2023
2685,black,"Gorshtein, Ido",2498,draw,46,E10,Vrnjacka Banja,2023
2685,white,"Wachinger, Nikolas",2440,win,78,A07,Vrnjacka Banja,2023
2685,black,"Sychev, Klementy",2549,lose,54,E73,Vrnjacka Banja,2023
2685,white,"Parligras, Mircea Emilian",2554,draw,44,C67,Vrnjacka Banja,2023
2685,black,"Reshef, Omer",2492,win,87,B10,Vrnjacka Banja,2023
2685,white,"Quparadze, Giga",2483,draw,36,A05,Vrnjacka Banja,2023
2685,black,"Szwed, Jacek",2361,win,56,B30,Vrnjacka Banja,2023
2679,white,"Warmerdam, Max",2615,win,48,A07,Germany,2023
2679,black,"Zelbel, Patrick",2469,win,27,B11,Germany,2023
2585,black,"Mamedov, Rauf",2649,draw,46,C74,Almaty,2022
2585,white,"Zhigalko, Sergei",2662,win,19,A06,Almaty,2022
2585,black,"Matlakov, Maxim",2674,draw,45,E10,Almaty,2022
2585,white,"Caruana, Fabiano",2847,lose,40,A06,Almaty,2022
2585,black,"Fedoseev, Vladimir",2733,lose,105,A08,Almaty,2022
2585,white,"Rapport, Richard",2654,draw,32,A04,Almaty,2022
2585,black,"Mamedyarov, Shakhriyar",2733,win,32,E20,Almaty,2022
2585,black,"Harikrishna, Pentala",2617,draw,41,A08,Almaty,2022
2585,white,"Vidit, Santosh Gujrathi",2669,win,63,A14,Almaty,2022
2585,black,"Tomashevsky, Evgeny",2698,win,78,D39,Almaty,2022
2585,white,"Van Foreest, Jorden",2663,lose,36,A05,Almaty,2022
2585,black,"Andreikin, Dmitry",2735,draw,120,A08,Almaty,2022
2585,white,"Artemiev, Vladislav",2803,lose,44,A05,Almaty,2022
2585,black,"Grischuk, Alexander",2763,draw,18,A08,Almaty,2022
2640,black,"Svane, Rasmus",2641,draw,46,A08,Almaty,2022
2640,white,"Nesterov, Arseniy",2497,win,47,A14,Almaty,2022
2640,black,"Yilmaz, Mustafa",2521,win,26,E10,Almaty,2022
2640,white,"Ter-Sahakyan, Samvel",2531,draw,64,B51,Almaty,2022
2640,black,"Nguyen, Thai Dai Van",2534,draw,29,D39,Almaty,2022
2640,white,"Petrosyan, Manuel",2539,lose,27,A05,Almaty,2022
2640,black,"Yakubboev, Nodirbek",2573,draw,58,A21,Almaty,2022
2640,white,"Tabatabaei, M. Amin",2526,win,37,A06,Almaty,2022
2640,black,"Pantsulaia, Levan",2522,win,81,A06,Almaty,2022
2640,white,"Quparadze, Giga",2538,lose,41,A46,Almaty,2022
2640,black,"Agmanov, Zhandos",2403,win,47,C50,Almaty,2022
2640,white,"Murzin, Volodar",2534,draw,72,D12,Almaty,2022
2640,black,"Aleksandrov, Aleksej",2450,win,50,A06,Almaty,2022
2675,black,"Cernousek, Lukas",2426,win,24,B33,,2022
2668,white,"Alonso Rosell, Alvar",2561,win,50,A13,Germany,2022
2633,black,"Nihal, Sarin",2616,draw,78,A46,Jerusalem,2022
2633,white,"Nihal, Sarin",2616,lose,57,C77,Jerusalem,2022
2633,white,"Xu, Xiangyu",2577,draw,34,B40,Jerusalem,2022
2633,black,"Xu, Xiangyu",2577,win,48,A20,Jerusalem,2022
2633,white,"Radjabov, Teimour",2718,win,68,E20,,2022
2633,black,"Radjabov, Teimour",2718,draw,43,E10,,2022
2633,black,"Shevchenko, Kirill",2584,lose,34,A06,Jerusalem,2022
2633,white,"Moussard, Jules",2634,win,124,D58,Jerusalem,2022
2633,white,"Van Foreest, Lucas",2585,win,40,C65,Jerusalem,2022
2655,black,"Cornette, Matthieu",2572,win,70,C55,Mayrhofen,2022
2655,white,"Tarlev, Konstantin",2577,win,41,B40,Mayrhofen,2022
2655,black,"Sargissian, Gabriel",2711,draw,15,E10,Mayrhofen,2022
2655,white,"Steinberg, Nitzan",2545,win,76,D30,Mayrhofen,2022
2655,white,"Wiersma, Eelke",2299,win,63,A11,Mayrhofen,2022
2662,white,"Hakobyan, Aram",2611,draw,43,A06,Linares,2022
2662,black,"Tabatabaei, M. Amin",2651,lose,44,A50,Linares,2022
2662,black,"Alekseenko, Kirill",2707,win,90,C55,Linares,2022
2662,white,Gukesh D,2726,lose,56,B30,Linares,2022
2662,black,"Jones, Gawain C",2623,lose,52,C55,Linares,2022
2662,white,"Ayats Llobera, Gerard",2451,win,48,A05,Linares,2022
2662,black,Santos Latasa,2680,draw,33,D39,Linares,2022
2668,black,Erigaisi Arjun,2689,lose,67,B14,Abu Dhabi,2022
2668,white,Arjun Kalyan,2513,win,23,C78,Abu Dhabi,2022
2668,white,Arjun Kalyan,2513,win,23,C78,Abu Dhabi,2022
2668,black,"Davtyan, Artur",2520,win,58,E73,Abu Dhabi,2022
