rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2701,black,"Paravyan, David",2601,draw,49,C07,Chess.com,2023
2701,white,"Karjakin, Sergey",2747,lose,67,C65,Chess.com,2023
2701,black,"Chekhov, Sergei",2453,win,45,B14,Chess.com,2023
2701,white,"Murzin, Volodar",2577,win,55,D43,Sochi,2023
2701,black,"Lobanov, Sergei",2536,draw,49,D11,Sochi,2023
2701,white,"Lazavik, Denis",2544,draw,52,A16,Sochi,2023
2701,black,"Grischuk, Alexander",2745,draw,18,D12,Sochi,2023
2803,black,"Rapport, Richard",2654,lose,35,C24,Almaty,2022
2803,white,"Nepomniachtchi, Ian",2782,draw,22,D41,Almaty,2022
2803,white,"Fedoseev, Vladimir",2733,draw,41,D31,Almaty,2022
2803,black,"Martirosyan, Haik M.",2745,draw,77,E10,Almaty,2022
2803,black,"Giri, Anish",2792,draw,20,C67,Almaty,2022
2803,white,"Yu, Yangyi",2807,win,39,A16,Almaty,2022
2803,black,"Nakamura, Hikaru",2909,win,53,C24,Almaty,2022
2803,black,"Matlakov, Maxim",2674,win,22,D11,Almaty,2022
2803,white,"Carlsen, Magnus",2830,draw,20,E37,Almaty,2022
2803,black,"Bluebaum, Matthias",2634,win,40,E43,Almaty,2022
2803,white,"Lazavik, Denis",2484,draw,66,A07,Almaty,2022
2803,black,"Duda, Jan Krzysztof",2773,draw,38,D16,Almaty,2022
2803,white,"Hansen, Eric",2568,win,43,A05,Almaty,2022
2803,black,"Yudin, Sergei",2599,win,44,B40,Almaty,2022
2803,white,"Riazantsev, Alexander",2595,draw,42,A06,Almaty,2022
2803,black,"Shankland, Samuel L",2612,draw,49,A50,Almaty,2022
2803,white,"Mamedov, Rauf",2649,draw,49,A05,Almaty,2022
2803,black,"Anton Guijarro, David",2585,win,44,A05,Almaty,2022
2803,white,"Khusnutdinov, Rustam",2510,win,41,A07,Almaty,2022
2803,black,"Paravyan, David",2551,draw,77,B12,Almaty,2022
2727,black,"Caruana, Fabiano",2747,lose,33,C88,Almaty,2022
2727,black,"Fedoseev, Vladimir",2741,draw,90,D43,Almaty,2022
2727,white,"Carlsen, Magnus",2834,win,34,E11,Almaty,2022
2727,white,Erigaisi Arjun,2628,win,131,A13,Almaty,2022
2727,black,"Murzin, Volodar",2534,win,17,B52,Almaty,2022
2727,black,"Gareyev, Timur",2617,draw,33,A50,Almaty,2022
2727,white,"Tsydypov, Zhamsaran",2550,win,44,A04,Almaty,2022
2727,black,"Martirosyan, Haik M.",2575,draw,72,E11,Almaty,2022
2727,white,"Mamedov, Rauf",2578,draw,39,A05,Almaty,2022
2727,black,"Van Foreest, Jorden",2693,lose,59,C55,Almaty,2022
2727,white,"Keymer, Vincent",2590,win,55,A06,Almaty,2022
2727,black,"Maze, Sebastien",2574,win,23,A07,Almaty,2022
2727,white,"Durarbayli, Vasif",2513,win,58,D10,Almaty,2022
2706,black,"Matlakov, Maxim",2671,draw,14,D12,Cheboksary,2022
2706,white,"Najer, Evgeniy",2676,draw,50,C88,Cheboksary,2022
2706,black,"Chigaev, Maksim",2641,draw,26,C45,Cheboksary RUS,2022
2706,white,"Dubov, Daniil",2702,draw,52,D79,Cheboksary,2022
2706,black,"Rakhmanov, Aleksandr",2633,draw,17,E20,Cheboksary,2022
2706,white,"Murzin, Volodar",2534,draw,60,D45,Cheboksary,2022
2706,white,"Iljiushenok, Ilia",2551,draw,47,D40,Cheboksary,2022
2706,black,"Tomashevsky, Evgeny",2700,draw,18,D37,Cheboksary,2022
2706,white,"Esipenko, Andrey",2678,draw,15,C47,Cheboksary,2022
2706,black,"Sjugirov, Sanan",2703,draw,15,D37,Cheboksary,2022
2706,white,"Nesterov, Arseniy",2575,win,61,D53,Cheboksary,2022
2697,white,"Shuvalova, Polina",2498,win,52,A28,Moscow,2022
2697,black,"Savchenko, Boris",2547,draw,21,C34,Moscow,2022
2697,white,"Pridorozhni, Aleksei",2533,win,40,D70,Moscow,2022
2697,black,"Lintchevski, Daniil",2556,draw,22,C47,Мoscow,2022
2697,white,"Ponkratov, Pavel",2634,draw,51,A46,Мoscow,2022
2697,black,"Drygalov, Andrey",2494,win,48,E47,Мoscow,2022
2697,white,"Korchmar, Vasiliy",2450,win,45,A07,Мoscow,2022
2697,black,"Dubograev, Daniil",2213,win,22,B57,Мoscow,2022
2697,white,"Bogaudinov, Rushan",2023,win,34,D37,Мoscow,2022
2697,white,"Kobalia, Mihail",2590,win,65,A81,Obninsk,2022
2697,black,"Sychev, Klementy",2534,draw,25,C92,Obninsk,2022
2697,white,"Nesterov, Arseniy",2566,draw,50,C48,Obninsk,2022
2697,black,"Afanasiev, Nikita",2583,win,67,B90,Obninsk,2022
2697,white,"Iljiushenok, Ilia",2540,draw,41,A00,Obninsk,2022
2697,black,"Sjugirov, Sanan",2696,draw,10,D35,Obninsk,2022
2697,white,"Kokarev, Dmitry",2582,win,57,A45,Obninsk,2022
2697,black,"Shapiro, David",2393,win,34,D45,,2022
2697,white,"Rozum, Ivan",2530,draw,33,B13,,2022
2700,white,"Grischuk, Alexander",2742,draw,17,A05,Sochi,2022
2700,black,"Sargissian, Gabriel",2694,draw,9,D35,Sochi,2022
2700,black,"Tomashevsky, Evgeny",2708,draw,26,D43,Sochi,2022
2700,white,"Sjugirov, Sanan",2696,draw,30,E10,Sochi,2022
2700,black,"Esipenko, Andrey",2709,draw,17,D10,Sochi,2022
2700,white,"Najer, Evgeniy",2659,lose,45,A06,Sochi,2022
2700,black,"Shubin, Kirill",2472,win,87,C88,Sochi,2022
2682,white,"Matlakov, Maxim",2650,draw,20,A07,Kazan,2022
2682,black,"Rublevsky, Sergei",2661,win,28,C47,Kazan,2022
2682,black,"Galliamova, Alisa",2356,win,17,A49,Kazan,2022
