rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2698,black,"Xu, Zhihang",2497,win,66,D85,"Liaocheng, Shandong",2023
2698,white,"Ma, Qun",2659,draw,34,A07,"Liaocheng, Shandong",2023
2698,white,"Ni, Hua",2667,draw,31,A05,"Liaocheng, Shandong",2023
2698,black,"Ni, Hua",2667,draw,18,A05,"Liaocheng, Shandong",2023
2698,white,"Peng, Hongchi",2412,draw,21,D40,"Liaocheng, Shandong",2023
2698,black,"Peng, Hongchi",2412,win,53,E10,"Liaocheng, Shandong",2023
2709,white,"Xu, Yi",2507,win,60,E49,Fuling Chongqing,2022
2709,black,"Pang, Tao",2427,lose,35,D39,Fuling Chongqing,2022
2709,white,"Li, Chao B",2679,draw,31,D26,Fuling Chongqing,2022
2631,black,"Li, Chao B",2693,draw,21,C67,Fuling Chongqing,2022
2631,white,"Xue, Haowen",2128,draw,29,A07,Fuling Chongqing,2022
2709,black,"Xue, Haowen",2128,win,38,D17,Fuling Chongqing,2022
2709,white,"Xu, Jun",2474,win,67,E00,Fuling Chongqing,2022
2631,black,"Chen, Qi B",2366,draw,30,C67,Fuling Chongqing,2022
2709,black,"Ding, Liren",2808,lose,60,D12,Fuling Chongqing,2022
2709,white,"Xu, Xiangyu",2571,draw,33,A05,Fuling Chongqing,2022
2709,black,"Huang, Renjie",2446,draw,46,C67,Fuling Chongqing,2022
2631,black,"Zou, Chen",2441,win,49,A06,"Fuling,Chongqing,China",2022
2631,black,"Bai, Jinshi",2499,draw,39,E10,"Fuling,Chongqing,China",2022
2631,black,"Zou, Chen",2441,win,49,A06,"Fuling,Chongqing,China",2022
2709,white,"Xiao, Tong",2027,win,37,A13,Fuling Chongqing,2022
2631,white,"Wan, Yunguo",2513,draw,17,A17,"Fuling,Chongqing,China",2022
2709,black,"Wan, Yunguo",2508,draw,28,B36,Fuling Chongqing,2022
2631,black,"Bai, Jinshi",2499,draw,39,E10,"Fuling,Chongqing,China",2022
2708,black,"Ding, Liren",2799,draw,31,C67,Hangzhou ,2022
2708,white,"Ma, Qun",2645,draw,31,D41,Hangzhou ,2022
2708,white,"Zhang, Zhong",2640,win,42,D20,Hangzhou ,2022
2708,white,"Xu, Xiangyu",2564,draw,129,E48,Hangzhou ,2022
2708,black,"Ma, Qun",2645,draw,35,E10,Hangzhou ,2022
2708,black,"Zhang, Zhong",2640,draw,31,C78,Hangzhou ,2022
2708,white,"Wei, Yi",2729,draw,30,A05,Hangzhou ,2022
2708,black,"Xu, Xiangyu",2564,draw,30,E10,Hangzhou ,2022
2700,white,"Hou, Yifan",2658,draw,33,A05,Shenzhen,2022
2700,black,"Hou, Yifan",2658,win,43,C50,Shenzhen,2022
2700,white,"Hou, Yifan",2658,win,66,A05,Shenzhen,2022
2705,white,"Xu, Minghui",2393,draw,36,A00,"Liaocheng, China",2021
2705,black,"Ni, Hua",2667,draw,37,A00,"Liaocheng, China",2021
2705,white,"Wei, Yi",2725,draw,31,A00,"Liaocheng, China",2021
2705,white,"Ma, Qun",2630,draw,46,A00,"Liaocheng, China",2021
2705,black,"Tan, Zhongyi",2525,win,28,A00,"Liaocheng, China",2021
2705,white,"Dai, Changren",2506,draw,41,A00,"Liaocheng, China",2021
2642,white,"Vitiugov, Nikita",2619,draw,31,D75,Hainan Danzhou ,2021
2642,white,"Rapport, Richard",2750,draw,86,D15,Hainan Danzhou ,2021
2642,black,"Topalov, Veselin",2668,lose,51,D38,Hainan Danzhou ,2021
2642,white,"Ju, Wenjun",2610,draw,76,D38,Hainan Danzhou ,2021
2721,black,"Akobian, Varuzhan",2625,draw,38,D10,Douglas,2019
2721,white,"Parligras, Mircea Emilian",2629,draw,32,D39,Douglas,2019
2721,black,"Abdusattorov, Nodirbek",2608,draw,30,C42,Douglas,2019
2721,white,"Alekseev, Evgeny",2629,draw,42,A04,Douglas,2019
2721,black,"Melkumyan, Hrant",2650,lose,38,D41,Douglas,2019
2721,white,"Zhang, Zhong",2636,draw,33,D26,Douglas,2019
2721,black,"Lupulescu, Constantin",2643,draw,67,D12,Douglas,2019
2721,white,"Papaioannou, Ioannis",2645,draw,28,A21,Douglas,2019
2721,black,"Wang, Hao",2726,lose,26,C50,Douglas,2019
2721,white,"Riazantsev, Alexander",2645,win,35,A07,Douglas,2019
2721,black,"Huschenbeth, Niclas",2624,win,41,C92,Douglas,2019
2708,black,"Xu, Xiangyu",2402,draw,33,B23,Khanty-Mansiysk,2019
2708,white,"Xu, Xiangyu",2402,lose,38,A06,Khanty-Mansiysk,2019
2708,black,"Xu, Xiangyu",2402,draw,34,C42,Khanty-Mansiysk,2019
2708,white,"Xu, Xiangyu",2402,draw,54,A22,Khanty-Mansiysk,2019
2721,black,"Xu, Xiangyu",2576,draw,35,D10,Khanty-Mansiysk,2019
2721,white,"Xu, Xiangyu",2576,draw,39,A07,Khanty-Mansiysk,2019
2729,black,"Bai, Jinshi",2606,draw,31,D10,Daqing,2019
2729,white,"Wei, Yi",2741,draw,31,A05,Daqing,2019
2729,black,"Xu, Xiangyu",2583,draw,30,C42,Daqing,2019
2729,white,"Dai, Changren",2480,win,35,A05,Daqing,2019
2729,white,"Yu, Yangyi",2738,draw,31,A06,Daqing,2019
2729,black,"Ma, Qun",2626,draw,19,E10,Daqing,2019
2729,white,"Wang, Hao",2737,draw,33,E10,Daqing,2019
2671,black,"Ponomariov, Ruslan",2681,lose,65,C24,Hengshui ,2019
2671,black,"Ponomariov, Ruslan",2681,lose,65,C24,Hengshui ,2019
2671,white,"Ponomariov, Ruslan",2681,draw,57,A05,Hengshui ,2019
2671,white,"Fedoseev, Vladimir",2684,win,41,D58,Hengshui ,2019
2671,black,"Fedoseev, Vladimir",2684,win,42,D11,Hengshui ,2019
2671,white,"Dominguez Perez, Leinier",2743,win,47,D41,Hengshui ,2019
2671,black,"Dominguez Perez, Leinier",2743,draw,67,C42,Hengshui ,2019
2671,black,"Leko, Peter",2721,win,62,C42,Hengshui ,2019
2671,white,"Leko, Peter",2721,draw,35,D41,Hengshui ,2019
2671,white,"Vidit, Santosh Gujrathi",2715,draw,56,A06,Hengshui ,2019
2671,black,"Vidit, Santosh Gujrathi",2715,draw,58,D43,Hengshui ,2019
2671,white,"Andreikin, Dmitry",2793,draw,54,A05,Hengshui ,2019
2671,black,"Andreikin, Dmitry",2793,draw,42,C42,Hengshui ,2019
2671,black,"Korobov, Anton",2738,win,29,D10,Hengshui ,2019
2671,white,"Korobov, Anton",2738,draw,43,D16,Hengshui ,2019
2671,black,"Yu, Yangyi",2724,win,62,C92,Hengshui ,2019
2671,white,"Yu, Yangyi",2724,draw,49,A05,Hengshui ,2019
2671,white,"Rapport, Richard",2674,lose,56,A05,Hengshui ,2019
2671,black,"Rapport, Richard",2674,lose,45,A01,Hengshui ,2019
2671,black,"Jones, Gawain C",2687,win,30,C21,Hengshui ,2019
2671,white,"Jones, Gawain C",2687,win,44,A05,Hengshui ,2019
2671,black,"Gelfand, Boris",2706,win,52,D43,Hengshui ,2019
2671,white,"Gelfand, Boris",2706,win,60,D45,Hengshui ,2019
2722,black,"Korobov, Anton",2756,draw,47,D10,Hengshui,2019
2722,white,"Gelfand, Boris",2719,win,37,A07,Hengshui,2019
2722,black,"Vidit, Santosh Gujrathi",2664,draw,46,D45,Hengshui,2019
2722,black,"Rapport, Richard",2739,draw,92,C31,Hengshui,2019
2722,white,"Jones, Gawain C",2622,lose,51,A04,Hengshui,2019
2722,black,"Leko, Peter",2702,draw,46,C42,Hengshui,2019
2722,black,"Yu, Yangyi",2784,draw,69,C42,Hengshui,2019
2722,white,"Wang, Hao",2795,win,43,A06,Hengshui,2019
2722,white,"Mamedov, Rauf",2667,lose,54,A06,Hengshui,2019
2722,black,"Fedoseev, Vladimir",2718,lose,38,D11,Hengshui,2019
2722,white,"Cheparinov, Ivan",2629,draw,84,A06,Hengshui,2019
2731,black,"Jones, Gawain C",2681,draw,31,B51,Astana,2019
2731,white,"Smith, Axel",2487,draw,58,A04,Astana,2019
2731,black,"Fawzy, Adham",2461,draw,38,B94,Astana,2019
2731,white,"Tabatabaei, M.amin",2600,win,61,E10,Astana,2019
2731,white,"Aravindh, Chithambaram VR.",2599,win,64,A16,Astana,2019
2731,black,"Artemiev, Vladislav",2736,draw,55,A05,Astana,2019
2731,black,"Abasov, Nijat",2627,draw,34,D43,Astana,2019
2725,white,"Perez, Ignacio",2028,win,35,E69,Kirkland,2019
2725,black,"Levine, Joseph",2032,win,48,B90,Kirkland,2019
2725,white,"Irgaliyev, Alikhan",2175,win,37,A88,Kirkland,2019
2725,black,"He, Anthony",2266,win,61,C41,Kirkland,2019
2725,white,"Tarjan, James Edward",2402,win,41,A05,Kirkland,2019
