rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2647,black,"Theodorou, Nikolas",2512,win,111,B51,Saint Louis,2023
2647,white,"Caruana, Fabiano",2818,lose,80,C78,Saint Louis,2023
2647,white,"Bok, Benjamin",2658,win,56,B90,Saint Louis,2023
2647,black,"Sevian, Samuel",2693,draw,62,A34,Saint Louis,2023
2647,white,"Shankland, Samuel L",2638,win,46,C67,Saint Louis,2023
2647,black,"Moradiabadi, Elshan",2550,draw,76,D02,Saint Louis,2023
2647,white,"Durarbayli, Vasif",2543,win,68,B60,Saint Louis,2023
2647,black,"Akobian, Varuzhan",2574,draw,39,D20,Saint Louis,2023
2647,white,Raja Harshit,2437,win,43,B90,Saint Louis,2023
2703,white,"Aronian, Levon",2720,draw,62,C67,Saint Louis,2023
2703,black,"Aronian, Levon",2720,lose,59,C42,Saint Louis,2023
2703,black,"Shankland, Samuel L",2600,draw,50,C43,Saint Louis,2023
2703,white,"Shankland, Samuel L",2600,win,48,B90,Saint Louis,2023
2743,white,"Nakamura, Hikaru",2768,lose,49,B33,Saint Louis,2023
2743,black,"Nakamura, Hikaru",2768,draw,52,C42,Saint Louis,2023
2743,white,"Aronian, Levon",2745,draw,66,C67,Saint Louis,2023
2703,black,"Aronian, Levon",2720,win,27,A30,Saint Louis,2023
2703,white,"Aronian, Levon",2720,draw,44,C67,Saint Louis,2023
2743,black,"Aronian, Levon",2745,draw,103,A13,Saint Louis,2023
2747,white,"Shankland, Samuel L",2712,draw,10,B90,Saint Louis,2022
2747,black,"Xiong, Jeffery",2690,draw,38,D20,Saint Louis,2022
2747,white,"Yoo, Christopher Woojin",2563,win,131,B01,Saint Louis,2022
2747,black,"Liang, Awonder",2608,draw,45,B51,Saint Louis,2022
2747,white,"Sevian, Samuel",2684,draw,113,C83,Saint Louis,2022
2747,black,"Lenderman, Aleksandr",2535,draw,38,E06,Saint Louis,2022
2747,white,"Moradiabadi, Elshan",2534,win,10,C42,Saint Louis,2022
2747,black,"So, Wesley",2774,draw,40,A30,Saint Louis,2022
2747,white,"Niemann, Hans Moke",2699,draw,37,C67,Saint Louis,2022
2747,black,"Swiercz, Dariusz",2652,draw,28,E47,Saint Louis,2022
2747,white,"Robson, Ray",2690,draw,93,C67,Saint Louis USA,2022
2747,black,"Aronian, Levon",2755,draw,34,C42,Saint Louis,2022
2747,black,"Caruana, Fabiano",2763,draw,47,C67,Saint Louis,2022
2745,black,"So, Wesley",2771,draw,39,D26,Saint Louis,2022
2745,white,"Mamedyarov, Shakhriyar",2757,draw,85,C83,Saint Louis,2022
2745,white,"Firouzja, Alireza",2778,draw,55,B90,Saint Louis,2022
2745,white,"Niemann, Hans Moke",2688,draw,47,C55,Saint Louis,2022
2745,black,"Aronian, Levon",2759,draw,35,B50,Saint Louis,2022
2745,white,"Nepomniachtchi, Ian",2792,draw,42,B90,Saint Louis,2022
2745,black,"Caruana, Fabiano",2758,draw,46,C42,Saint Louis,2022
2745,white,"Vachier-Lagrave, Maxime",2757,draw,72,B90,Saint Louis,2022
2708,black,"Firouzja, Alireza",2795,lose,37,A30,Saint Louis,2022
2708,white,"Aronian, Levon",2850,win,57,C67,Saint Louis,2022
2708,black,"Nakamura, Hikaru",2850,lose,70,A05,Saint Louis,2022
2708,white,"Xiong, Jeffery",2714,win,54,C42,Saint Louis,2022
2708,black,"Nepomniachtchi, Ian",2791,win,42,D20,Saint Louis,2022
2708,white,"Caruana, Fabiano",2847,lose,29,C72,Saint Louis,2022
2708,white,"Vachier-Lagrave, Maxime",2812,lose,32,B12,Saint Louis,2022
2708,black,"Mamedyarov, Shakhriyar",2710,lose,43,D20,Saint Louis,2022
2708,white,"Shankland, Samuel L",2645,draw,46,C50,Saint Louis,2022
2708,white,"Firouzja, Alireza",2795,lose,37,C55,Saint Louis,2022
2708,black,"Aronian, Levon",2850,lose,35,A34,Saint Louis,2022
2708,white,"Nakamura, Hikaru",2850,lose,37,C65,Saint Louis,2022
