rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2708,white,"Kobalia, Mikhail",2578,win,50,C84,Chess.com,2023
2708,black,"Nikitenko, Mihail",2522,draw,28,B30,Chess.com,2023
2708,white,"Rychagov, Andrey",2547,draw,59,C15,Chess.com,2023
2708,black,"Kukhmazov, Arsen",2506,win,47,E10,Sochi,2023
2708,white,"Lobanov, Sergei",2536,win,73,E10,Sochi,2023
2792,black,"Nepomniachtchi, Ian",2782,win,27,B40,Almaty,2022
2792,white,"Rapport, Richard",2654,draw,14,A40,Almaty,2022
2792,white,"Andreikin, Dmitry",2735,draw,19,D30,Almaty,2022
2792,black,"Le, Tuan Minh",2530,win,37,D02,Almaty,2022
2792,white,"Sarana, Alexey",2708,lose,60,D02,Almaty,2022
2792,black,"Duda, Jan Krzysztof",2773,win,64,A45,Almaty,2022
2792,white,"Martirosyan, Haik M.",2745,lose,51,A46,Almaty,2022
2792,white,"Giri, Anish",2792,draw,33,A46,Almaty,2022
2792,black,"Matlakov, Maxim",2674,draw,9,C04,Almaty,2022
2792,white,"Carlsen, Magnus",2830,draw,30,A46,Almaty,2022
2792,black,"Kadric, Denis",2657,win,51,B23,Almaty,2022
2792,white,"Nakamura, Hikaru",2909,draw,12,C47,Almaty,2022
2792,black,"Fedoseev, Vladimir",2733,draw,14,D59,Almaty,2022
2792,black,"Bluebaum, Matthias",2634,win,32,A50,Almaty,2022
2792,white,"Petrosian, Tigran L",2632,win,19,B06,Almaty,2022
2792,black,"Shimanov, Aleksandr",2605,win,39,B40,Almaty,2022
2792,white,"Daneshvar, Bardiya",2429,win,61,B44,Almaty,2022
2792,white,Narayanan.S.L,2562,win,124,E04,Almaty,2022
2792,black,"Petrov, Nikita",2531,draw,27,A45,Almaty,2022
2792,white,"Tabatabaei, M. Amin",2551,draw,71,D35,Almaty,2022
2712,white,"Fedoseev, Vladimir",2741,draw,19,D43,Almaty,2022
2712,black,"Rapport, Richard",2802,draw,55,B40,Almaty,2022
2712,white,"Caruana, Fabiano",2747,draw,17,A46,Almaty,2022
2712,black,"Giri, Anish",2708,win,36,A07,Almaty,2022
