rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2679,white,"Hovhannisyan, Robert",2596,draw,39,D30,Jermuk,2023
2679,black,"Yakubboev, Nodirbek",2630,draw,44,A13,Jermuk,2023
2679,white,"Svane, Frederik",2600,draw,21,E06,Jermuk,2023
2679,black,"Martirosyan, Haik M.",2675,draw,62,D41,Jermuk,2023
2679,white,"Sevian, Samuel",2684,lose,53,E04,Jermuk,2023
2679,black,"Tabatabaei, M. Amin",2677,win,29,A13,Jermuk,2023
2680,black,"Baumegger, Siegfried",2434,win,56,E52,,2023
2680,black,"Berchtenbreiter, Maximilian",2490,lose,37,C88,,2023
2680,white,"Banusz, Tamas",2616,draw,44,D12,,2023
2680,black,"Atlas, Valery",2408,win,52,C55,,2023
2680,white,"Moussard, Jules",2680,draw,22,A05,Germany,2023
2680,black,"Maghsoodloo, Parham",2726,draw,32,A46,Germany,2023
2680,black,"Paravyan, David",2584,draw,18,C47,Vrnjacka Banja,2023
2680,white,"Sarana, Alexey",2668,draw,46,E10,Vrnjacka Banja,2023
2680,white,"Bjerre, Jonas Buhl",2608,win,73,E10,Vrnjacka Banja,2023
2680,black,"Laurusas, Tomas",2571,win,33,D45,Vrnjacka Banja,2023
2680,white,"Brkic, Ante",2596,draw,24,E10,Vrnjacka Banja,2023
2680,black,"Asadli, Vugar",2586,draw,28,C44,Vrnjacka Banja,2023
2680,white,"Kacharava, Nikolozi",2531,win,29,E04,Vrnjacka Banja,2023
2680,black,"Stalmach, Richard",2436,win,42,A50,Vrnjacka Banja,2023
2680,white,"Kosakowski, Jakub",2476,draw,47,E10,Vrnjacka Banja,2023
2680,white,"Manafov, Vugar",2349,draw,41,A07,Vrnjacka Banja,2023
2675,black,Praggnanandhaa R,2690,draw,30,C42,Dusseldorf,2023
2675,white,"Aronian, Levon",2736,draw,36,E04,Dusseldorf,2023
2675,white,Gukesh D,2718,lose,36,E10,Dusseldorf,2023
2675,black,"Nepomniachtchi, Ian",2793,draw,88,E36,Dusseldorf,2023
2675,white,"So, Wesley",2766,draw,22,E49,Dusseldorf,2023
2675,black,"Giri, Anish",2780,draw,33,A45,Dusseldorf,2023
2675,white,"Duda, Jan Krzysztof",2729,draw,44,E04,Dusseldorf,2023
2675,black,"Abdusattorov, Nodirbek",2734,lose,41,E46,Dusseldorf,2023
2675,white,"Keymer, Vincent",2690,win,101,E04,Dusseldorf,2023
2675,white,"Eljanov, Pavel",2706,draw,25,A07,Germany,2023
2675,black,"Sedlak, Nikola",2461,win,38,A05,Germany,2023
2675,white,"Nihal, Sarin",2670,draw,23,B51,Germany,2023
2620,black,"Giri, Anish",2792,lose,45,D45,Almaty,2022
2620,white,"Andriasian, Zaven",2625,win,38,B51,Almaty,2022
2620,black,"Yoo, Christopher Woojin",2463,draw,159,C77,Almaty,2022
2620,white,"Vakhidov, Jakhongir",2507,draw,74,A04,Almaty,2022
2620,black,"Quparadze, Giga",2587,win,54,C88,Almaty,2022
