rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2674,black,"Chen, Peng",2425,win,35,B51,Formentera,2023
2674,white,Prraneeth Vuppala,2437,draw,60,E48,Formentera,2023
2674,black,"Pranav, V",2545,lose,52,B12,Formentera,2023
2674,white,Aryan Chopra,2607,win,97,E94,Formentera,2023
2674,white,"Aravindh, Chithambaram VR.",2607,draw,49,E61,Formentera,2023
2674,black,Pranav Anand,2525,win,64,D10,Formentera,2023
2674,white,Karthik Venkataraman,2516,draw,68,A06,Formentera,2023
2674,black,"Jonkman, Harmen",2323,win,31,A46,Formentera,2023
2674,white,"Xu, Yi",2505,draw,61,A16,Formentera,2023
2674,black,"Grutter, Tim",2353,win,40,B91,Formentera,2023
2674,black,Gukesh D,2730,draw,27,D45,Ciutadella,2023
2674,white,Harsha Bharathakoti,2608,win,46,E10,Ciutadella,2023
2674,black,"Iniyan, P",2515,win,62,A50,Ciutadella,2023
2674,white,"Sousa, Andre Ventura",2470,win,53,E10,Ciutadella,2023
2674,black,Raja Rithvik R,2472,lose,53,D30,Ciutadella,2023
2674,white,"Henderson de La Fuente, Lance",2506,draw,49,D70,Ciutadella,2023
2674,black,"Solodovnichenko, Yuri",2489,win,57,B94,Ciutadella,2023
2674,white,Prraneeth Vuppala,2437,win,71,E48,Ciutadella,2023
2674,black,"Campins Machado, Francesc",2176,win,44,E15,Ciutadella,2023
2733,black,"Vachier-Lagrave, Maxime",2771,win,52,C42,Almaty,2022
2733,white,"Yu, Yangyi",2807,draw,12,E10,Almaty,2022
2733,black,"Artemiev, Vladislav",2803,draw,41,D31,Almaty,2022
2733,white,"Rapport, Richard",2654,draw,41,A04,Almaty,2022
2733,white,"Anton Guijarro, David",2585,win,105,A08,Almaty,2022
2733,black,"Martirosyan, Haik M.",2745,lose,63,D43,Almaty,2022
2733,white,"Duda, Jan Krzysztof",2773,draw,36,E10,Almaty,2022
2733,white,"Moussard, Jules",2606,draw,43,A05,Almaty,2022
2733,black,"Nakamura, Hikaru",2909,lose,30,C24,Almaty,2022
2733,black,"Caruana, Fabiano",2847,win,41,A05,Almaty,2022
2733,white,"Giri, Anish",2792,draw,20,D85,Almaty,2022
2733,black,"Carlsen, Magnus",2830,draw,42,D30,Almaty,2022
2733,white,"Dubov, Daniil",2792,draw,14,D59,Almaty,2022
2733,black,"Durarbayli, Vasif",2576,win,70,B41,Almaty,2022
2733,white,"Hansen, Eric",2568,win,54,C88,Almaty,2022
2733,black,"Yudin, Sergei",2599,win,24,B40,Almaty,2022
2733,white,"Moiseenko, Alexander",2577,win,47,A04,Almaty,2022
2733,black,"Gareyev, Timur",2553,win,49,D45,Almaty,2022
2733,white,"Makarian, Rudik",2440,win,48,B07,Almaty,2022
2733,black,"Dardha, Daniel",2528,lose,99,A45,Almaty,2022
2741,black,"Dubov, Daniil",2712,draw,19,D43,Almaty,2022
2741,white,"Artemiev, Vladislav",2727,draw,90,D43,Almaty,2022
2741,black,"Yu, Yangyi",2743,lose,34,E11,Almaty,2022
2741,black,"Yu, Yangyi",2743,win,57,C12,Almaty,2022
2741,black,"Caruana, Fabiano",2747,lose,34,D43,Almaty,2022
