rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2667,white,"Dgebuadze, Alexandre",2428,win,29,C16,Germany,2023
2667,black,"Anton Guijarro, David",2690,draw,46,C88,Germany,2023
2672,white,"Dinstuhl, Volkmar, Dr.",2383,draw,34,D25,Germany,2023
2672,black,"Smeets, Jan",2558,draw,43,C45,Germany,2023
2678,white,"Dragnev, Valentin",2565,draw,35,C42,Germany,2023
2678,black,"Dautov, Rustem",2588,draw,32,E11,Germany,2023
2678,white,"Richter, Nils",2419,draw,69,E12,Germany,2023
2676,white,"Stevic, Hrvoje",2543,win,46,D20,Germany,2022
2676,black,"Hracek, Zbynek",2548,draw,18,E10,Germany,2022
2670,black,"Kramer, Julian",2467,win,35,B90,,2022
2670,white,"Teclaf, Pawel",2551,win,42,C11,,2022
2672,black,"Handke, Florian, Dr.",2533,draw,24,C53,Germany,2022
2672,black,"Braun, Arik",2594,draw,20,D02,Germany,2022
2672,black,"Zilka, Stepan",2593,win,67,C45,Germany,2022
2672,black,"Rogozenco, Dorian",2430,draw,23,D30,Germany,2022
2659,black,"Martinovic, Sasa",2554,win,43,D30,Germany,2022
2659,white,"Dragnev, Valentin",2546,draw,46,D41,Germany,2022
2659,black,"Schmittdiel, Eckhard",2402,win,25,B14,,2022
2659,white,"Pechac, Jergus",2599,win,34,D12,,2022
2656,black,"Rabiega, Robert",2503,draw,21,C55,,2022
2656,white,"Piorun, Kacper",2635,win,38,E10,,2022
2656,black,"Vaisser, Anatoli",2488,win,104,D31,,2022
2656,white,"Vandenbussche, Thibaut",2409,draw,41,C10,,2022
2661,white,"Kraemer, Enrico",2218,win,41,C95,Berlin,2021
2661,black,"Baramidze, David",2601,draw,20,C50,Berlin,2021
2661,black,"Kollars, Dmitrij",2621,draw,21,C07,Berlin,2021
2661,white,"Johansson, Linus",2476,win,22,C02,Berlin,2021
2661,black,"Arnaudov, G. Petar",2455,draw,33,A06,Berlin,2021
2661,black,"Sonntag, Hans-Hubert",2331,draw,28,B33,Berlin,2021
2661,white,"Libiszewski, Fabien",2504,win,32,C11,Berlin,2021
2662,black,"Eljanov, Pavel",2671,lose,64,A06,Dortmund,2021
2662,white,"Kollars, Dmitrij",2607,win,55,C45,Dortmund,2021
2662,black,"Ponomariov, Ruslan",2631,draw,53,C49,Dortmund,2021
2662,white,"Fridman, Daniel",2608,draw,48,B12,Dortmund,2021
2662,black,"Bartel, Mateusz",2626,draw,27,C77,Dortmund,2021
2662,white,"Meier, Georg",2628,draw,38,C01,Dortmund,2021
2662,black,"Keymer, Vincent",2591,lose,21,D12,Dortmund,2021
2662,white,"Heimann, Andreas",2599,draw,32,A08,Dortmund,2021
2662,white,"Kamsky, Gata",2658,draw,46,A05,Dortmund,2021
2662,white,"Lagarde, Maxime",2648,win,45,B13,Chalons en Champagne,2021
2662,white,"Duboue, Peio",2412,win,61,A07,Chalons en Champagne,2021
2662,black,"Barbot, Pierre",2443,win,54,D10,Chalons en Champagne,2021
2662,white,"Van Foreest, Jorden",2701,lose,66,C45,Chalons en Champagne,2021
2662,white,"Alonso Rosell, Alvar",2572,win,59,A07,Chalons en Champagne,2021
2662,black,"Movsesian, Sergei",2647,draw,19,C55,Chalons en Champagne,2021
2662,white,"Grandelius, Nils",2670,win,55,D86,Chalons en Champagne,2021
2661,black,"Meessen, Rudolf",2234,win,33,D85,Karlsruhe,2020
2664,black,"Rezasade, Amir",2335,win,68,A20,Germany,2019
2664,white,"Predojevic, Borki",2616,draw,33,D11,Germany,2019
2660,white,"Schreiner, Peter",2453,win,26,B33,Germany,2019
2657,black,"Deac, Bogdan-Daniel",2613,lose,62,E10,Douglas,2019
2657,white,"Howell, David",2694,lose,50,B12,Douglas,2019
2657,black,"Puranik, Abhimanyu",2571,win,69,C53,Douglas,2019
2657,white,"Svidler, Peter",2729,draw,30,B12,Douglas,2019
2657,white,"Vidit, Santosh Gujrathi",2718,draw,30,C53,Douglas,2019
2657,black,"Artemiev, Vladislav",2746,draw,38,A06,Douglas,2019
2657,white,"Harikrishna, Pentala",2748,draw,31,C53,Douglas,2019
2657,black,"Carlsen, Magnus",2876,draw,55,A30,Douglas,2019
2657,white,"Lei, Tingjie",2469,win,27,C42,Douglas,2019
2657,black,"Erenberg, Ariel",2463,draw,30,E10,Douglas,2019
2657,white,"Mamedyarov, Shakhriyar",2767,draw,84,C53,Khanty-Mansiysk,2019
2657,black,"Mamedyarov, Shakhriyar",2767,lose,32,E10,Khanty-Mansiysk,2019
2657,black,"Bareev, Evgeny",2643,draw,32,A16,Khanty-Mansiysk,2019
2657,white,"Bareev, Evgeny",2643,win,33,C24,Khanty-Mansiysk,2019
2652,white,"Kazhgaleyev, Murtas",2578,draw,19,C46,Tashkent,2019
2652,white,"Khoroshev, Nikita",2399,win,34,B06,Tashkent,2019
2652,black,"Ismagambetov, Anuar",2554,win,43,C65,Tashkent,2019
2652,white,"Abdusattorov, Nodirbek",2597,draw,26,B96,Tashkent,2019
2652,black,"Yakubboev, Nodirbek",2600,draw,26,B23,Tashkent,2019
2652,white,"Kostenko, Petr",2450,win,61,C11,Tashkent,2019
2652,white,"Nigmatov, Ortik",2452,draw,23,B92,Tashkent,2019
2652,black,"Dzhumaev, Marat",2432,win,41,A34,Tashkent,2019
2663,black,"Tari, Aryan",2613,win,34,B33,Saint Louis,2019
2663,white,"Xiong, Jeffery",2663,draw,56,B96,Saint Louis,2019
2663,black,"Bok, Benjamin",2638,draw,22,A07,Saint Louis,2019
2663,white,"Akobian, Varuzhan",2625,lose,44,C11,Saint Louis,2019
2663,black,"Ivanchuk, Vassily",2698,draw,41,B30,Saint Louis,2019
2663,white,"Le, Quang Liem",2715,lose,54,C67,Saint Louis,2019
2663,black,"Nyzhnyk, Illya",2638,draw,34,A45,Saint Louis,2019
2663,white,"Hansen, Eric",2612,draw,42,C67,Saint Louis,2019
2663,black,"Robson, Ray",2667,lose,51,B33,Saint Louis,2019
2661,black,"Lobzhanidze, Davit",2425,win,41,B67,Germany,2019
2662,black,"Bologan, Victor",2580,win,38,C50,Batumi,2018
2662,white,"Galego, Luis",2471,draw,31,B28,Batumi,2018
2662,black,"Papaioannou, Ioannis",2634,draw,80,E05,Batumi,2018
2662,black,"Papaioannou, Ioannis",2634,draw,81,A46,Batumi,2018
2662,white,"Batchuluun, Tsegmed",2570,draw,51,E10,Batumi,2018
2662,black,"Wiedenkeller, Michael",2464,win,37,E46,Batumi,2018
2662,white,"Sulskis, Sarunas",2525,draw,49,C60,Batumi,2018
2662,white,"Al Zendani, Zendan",2301,win,29,C84,Batumi,2018
2662,white,"Al-Zendani, Zendan",2301,win,29,C78,Batumi,2018
2662,black,"Leko, Peter",2690,lose,33,C53,Batumi,2018
2662,white,"Eljanov, Pavel",2703,draw,31,B12,Batumi,2018
2658,white,"Nikolic, Predrag",2586,win,39,C16,Germany,2018
2658,white,"Nikolic, Predrag",2586,win,39,C16,Baden-Baden,2018
2676,black,"Noe, Christopher",2494,lose,41,E32,Karlsruhe,2018
2676,white,"Harff, Marcel",2398,win,26,C03,Karlsruhe,2018
2676,black,"Tomczak, Mikolaj",2394,draw,29,A06,Karlsruhe,2018
2676,white,"Obolentseva, Alexandra",2350,win,25,B94,Karlsruhe,2018
2676,black,"Lagunow, Raphael",2368,draw,59,C53,Karlsruhe,2018
2676,black,"Karsay, Pascal",2148,lose,27,B15,Karlsruhe,2018
2683,white,"Heinemann, Thies",2495,lose,36,E44,Germany,2018
2683,black,"Meyer, Falko",2221,win,34,A46,Germany,2018
2750,black,"Akobian, Varuzhan",2655,draw,61,D45,Riyadh,2017
2750,white,"Alekseev, Evgeny",2578,win,34,B46,Riyadh,2017
2750,black,Nguyen,2633,draw,57,A46,Riyadh,2017
2683,black,"Nguyen, Ngoc Truong Son",2630,draw,57,D02,Riadh,2017
2750,white,"Mchedlishvili, Mikheil",2568,win,47,B07,Riyadh,2017
2750,black,"Volokitin, Andrei",2618,win,45,B03,Riyadh,2017
2750,white,"Zhigalko, Sergei",2586,lose,34,B30,Riyadh,2017
2750,black,"Salem, A.R. Saleh",2757,draw,56,E10,Riyadh,2017
2750,black,"Georgiev, Kiril",2629,draw,61,B40,Riyadh,2017
2683,white,"Salgado Lopez, Ivan",2644,win,46,B13,Riadh,2017
2750,black,"Zhao, Jun",2568,lose,52,A04,Riyadh,2017
2750,white,"Moiseenko, Alexander",2597,draw,74,B31,Riyadh,2017
2750,black,"Fedoseev, Vladimir",2629,lose,72,B11,Riyadh,2017
2750,white,"Movsesian, Sergei",2669,lose,46,B46,Riyadh,2017
2750,black,"Jobava, Baadur",2585,draw,26,A45,Riyadh,2017
2750,white,"Quparadze, Giga",2654,win,34,B43,Riyadh,2017
2750,white,"Demchenko, Anton",2644,win,36,B51,Riyadh,2017
2750,black,"Fressinet, Laurent",2608,draw,38,B12,Riyadh,2017
2750,black,"Sargissian, Gabriel",2644,draw,37,A46,Riyadh,2017
2750,white,Socko B,2619,win,58,C16,Riyadh,2017
2683,white,"Socko, Bartosz",2593,win,58,C19,Riadh,2017
2750,black,"Anton Guijarro, David",2631,draw,37,A05,Riyadh,2017
2750,white,"Ganguly, Surya Shekhar",2578,win,29,B40,Riyadh,2017
2750,black,"Howell, David",2571,draw,37,A16,Riyadh,2017
2679,black,"Salem, A.R. Saleh",2656,win,47,D43,Riyadh,2017
2679,white,"Pantsulaia, Levan",2654,lose,41,B43,Riyadh,2017
2679,black,"Almasi, Zoltan",2638,win,69,A04,Riyadh,2017
2683,white,"Akobian, Varuzhan",2647,draw,66,A12,Riadh,2017
2679,black,"Jumabayev, Rinat",2616,win,54,D43,Riyadh,2017
2679,white,"Grigoriants, Sergey",2572,draw,27,B13,Riyadh,2017
2679,black,"Le, Quang Liem",2750,lose,48,A46,Riyadh,2017
2679,black,"Aronian, Levon",2819,draw,51,E10,Riyadh,2017
2679,white,"Yu, Yangyi",2752,draw,76,C42,Riyadh,2017
2683,white,"Yu, Yangyi",2751,draw,75,C42,Riadh,2017
2679,white,"Sethuraman, SP.",2599,win,60,B40,Riyadh,2017
2679,black,"Carlsen, Magnus",2908,lose,25,B47,Riyadh,2017
2679,white,"Mamedyarov, Shakhriyar",2814,draw,60,C76,Riyadh,2017
2679,black,"Dervishi, Erald",2582,win,67,B47,Riyadh,2017
2679,white,"Grischuk, Alexander",2813,lose,32,C84,Riyadh,2017
2679,black,"Minko, Vladimir",2267,win,34,E10,Riyadh,2017
2685,white,"Meister, Peter",2381,draw,42,C03,Germany,2017
2685,black,"Hoffmeyer, Falk",2367,win,75,A04,Germany,2017
2676,black,"Schlosser, Philipp",2503,win,41,A22,Germany,2017
2691,white,"Zpevak, Pavel",2343,win,57,E15,Germany,2017
2676,white,"Zpevak, Pavel",2342,win,58,E15,Germany,2017
2676,white,"Bindrich, Falko",2598,draw,30,C65,Douglas,2017
2676,black,"L&#039;Ami, Erwin",2611,draw,87,B09,Douglas,2017
2676,white,"Fressinet, Laurent",2657,draw,38,C77,Douglas,2017
2676,black,Vishnu Prasanna. V,2543,win,47,A16,Douglas,2017
2676,black,"Vishnu, Prasanna V",2543,win,47,B22,Douglas,2017
2676,black,"Eljanov, Pavel",2734,lose,33,B04,Douglas,2017
2676,white,"Carlsen, Magnus",2827,draw,72,B00,Douglas,2017
2676,white,"Sunilduth Lyna, Narayanan",2568,win,58,C76,Douglas,2017
2676,black,"Degtiarev, Evgeny",2412,win,32,D85,Douglas,2017
2676,white,"Rudolf, Anna",2286,win,36,D31,Douglas,2017
2698,black,"Ganguly, Surya Shekhar",2653,lose,64,A07,Chengdu,2017
2698,white,"Zhu, Yi",2328,win,27,B94,Chengdu,2017
2698,black,"Lu, Shanglei",2619,draw,56,B11,Chengdu,2017
2698,white,"Li, Di",2488,draw,71,C42,Chengdu,2017
2698,black,"Aravindh,Chithambaram VR.",2588,lose,48,D00,Chengdu,2017
2698,black,"Aravindh, Chithambaram VR",2588,lose,48,D02,Chengdu,2017
2698,white,"Batchuluun, Tsegmed",2525,win,40,C49,Chengdu,2017
2698,black,"Bai, Jinshi",2586,draw,23,D84,Chengdu,2017
2698,white,"Xu, Xiangyu",2534,draw,58,C42,Chengdu,2017
2698,black,"Atabayev, Yusup",2455,win,38,B15,Chengdu,2017
2696,white,"Dinstuhl, Volkmar, Dr.",2397,win,31,B06,Germany,2017
2696,black,"Nikolic, Predrag",2609,lose,47,D27,Germany,2017
2696,black,"Nemeth, Miklos",2452,draw,113,B12,Germany,2017
2699,black,"Donchenko, Alexander",2553,draw,66,A07,Germany,2017
2699,white,"Lupulescu, Constantin",2620,win,37,C11,Germany,2017
2691,white,"Grimm, Julius",2288,win,32,A06,Hamburg,2016
2691,black,"Saric, Ivan",2641,draw,27,C50,Hamburg,2016
2691,white,"Gajewski, Grzegorz",2621,win,42,B94,Hamburg,2016
2691,black,"Cornette, Matthieu",2599,win,49,B13,Hamburg,2016
2691,black,"Gelfand, Boris",2743,lose,40,E63,Tashkent,2016
2691,white,"Mamedyarov, Shakhriyar",2762,draw,14,C87,Tashkent,2016
2691,white,"Ponomariov, Ruslan",2709,draw,20,B80,Tashkent,2016
2691,white,"Gelfand, Boris",2743,draw,18,B30,Tashkent,2016
2691,black,"Mamedyarov, Shakhriyar",2762,draw,50,D29,Tashkent,2016
2691,black,"Ponomariov, Ruslan",2709,draw,40,D27,Tashkent,2016
2691,black,"Gelfand, Boris",2743,lose,41,A29,Tashkent,2016
2691,white,"Mamedyarov, Shakhriyar",2762,draw,17,C84,Tashkent,2016
2691,white,"Ponomariov, Ruslan",2709,draw,27,C06,Tashkent,2016
2691,white,"Gelfand, Boris",2743,draw,23,B31,Tashkent,2016
2691,black,"Mamedyarov, Shakhriyar",2762,draw,45,D24,Tashkent,2016
2691,black,"Ponomariov, Ruslan",2709,draw,61,B53,Tashkent,2016
2696,black,"Zhigalko, Sergei",2652,draw,32,C65,Baku,2016
2696,white,"Nisipeanu, Liviu-Dieter",2687,draw,35,B12,Baku,2016
2696,black,"Dominguez Perez, Leinier",2720,lose,33,C65,Baku,2016
2696,black,"Makoto, Rodwell",2405,win,81,A04,Baku,2016
2696,white,"Ampie, Mauro",2348,win,33,B48,Baku,2016
2696,black,"Munkhgal, Gombosuren",2446,draw,30,A40,Baku,2016
2696,white,"Peralta, Fernando",2590,win,37,B12,Baku,2016
2696,black,"Navara, David",2742,lose,43,A30,Baku,2016
2696,white,"Munoz Santana, Jose Lisandro",2439,win,35,A40,Baku,2016
2703,black,"Moiseenko, Alexander",2648,lose,57,D27,Almaty,2016
2703,white,"Moiseenko, Alexander",2648,win,31,B51,Almaty,2016
2703,black,"Ponomariov, Ruslan",2706,win,29,C50,Almaty,2016
2703,white,"Ponomariov, Ruslan",2706,lose,83,B86,Almaty,2016
2703,white,"Le, Quang Liem",2718,lose,33,C67,Almaty,2016
2703,black,"Le, Quang Liem",2718,win,48,D27,Almaty,2016
