rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2674,black,"Lokander, Martin",2443,win,43,E24,Germany,2022
2620,black,"Vakhidov, Jakhongir",2507,lose,56,A28,,2022
2620,black,"Shirov, Alexei",2590,lose,42,B41,Jerusalem,2022
2620,white,"Li, Di",2441,lose,77,A13,Jerusalem,2022
2620,white,"Gharamian, Tigran",2637,win,50,A13,Jerusalem,2022
2649,white,"Kalogeris, Ioannis",2263,win,43,D10,Katowice,2021
2649,black,"Koziorowicz, Michal",2041,win,35,B43,Katowice,2021
2649,white,"Grabarczyk, Miroslaw",2249,draw,128,D31,Katowice,2021
2649,black,"Krasenkow, Michal",2430,lose,52,A04,Katowice,2021
2649,white,"Donchenko, Alexander",2535,draw,36,A46,Katowice,2021
2649,black,"Teclaf, Pawel",2345,win,111,B41,Katowice,2021
2649,black,"Wisniewski, Michal",2248,win,31,A05,Katowice,2021
2649,white,"Zabron, Maksym",1723,win,47,B20,Katowice,2021
2649,white,"Lach, Aleksandra",2132,draw,64,B27,Katowice,2021
2649,black,"Gerasimenyuk, Mikhail",1984,lose,115,A47,Katowice,2021
2649,white,"Zielinski, Konrad",1667,win,26,C69,Katowice,2021
2629,white,"Indjic, Aleksandar",2643,win,63,A46,Riga,2021
2629,black,"Indjic, Aleksandar",2643,lose,30,A48,Riga,2021
2629,white,"Fedoseev, Vladimir",2716,lose,24,A48,Riga,2021
2629,black,"Fedoseev, Vladimir",2716,lose,32,A00,Riga,2021
2629,black,"Jobava, Baadur",2731,draw,6,E12,Riga,2021
2629,black,"Aronian, Levon",2767,draw,68,A45,Riga,2021
2629,white,"Aronian, Levon",2767,draw,74,C77,Riga,2021
2629,black,"Mamedov, Rauf",2678,lose,42,B40,Riga,2021
2629,white,"Mamedov, Rauf",2678,lose,52,B70,Riga,2021
2647,black,"Efimenko, Zahar",2601,win,84,A07,Berlin,2021
2647,black,"Predojevic, Borki",2577,draw,16,B40,Berlin,2021
2647,white,"Buckels, Valentin",2457,win,39,D57,Berlin,2021
2647,white,"Rapport, Richard",2770,draw,108,C65,Berlin,2021
2647,black,"Bacrot, Etienne",2658,draw,14,A07,Zagreb,2021
2647,white,"Brkic, Ante",2621,win,50,E51,Zagreb,2021
2647,black,"Palac, Mladen",2517,draw,63,C84,Zagreb,2021
2647,white,"Inarkiev, Ernesto",2668,win,47,B84,Zagreb,2021
2647,white,"Kozul, Zdenko",2601,draw,58,B22,Zagreb,2021
2647,black,"Movsesian, Sergei",2627,draw,12,C50,Zagreb,2021
2647,white,"Stevic, Hrvoje",2570,win,39,C49,Zagreb,2021
2647,black,"Bosiocic, Marin",2573,lose,59,C02,Zagreb,2021
2647,white,"Zelcic, Robert",2522,win,31,E41,Zagreb,2021
2651,white,"Skawinski, Arkadiusz",2359,lose,67,D45,,2021
2651,black,"Sieciechowicz, Marcin",2362,draw,88,A45,,2021
2651,white,"Antoniewski, Rafal",2493,win,41,E68,,2021
2700,white,"Andreev, Eduard",2397,draw,43,A37,Kyiv,2021
2700,black,"Grinev, Valeriy",2330,win,57,E01,Kyiv,2021
2700,black,"Pavlov, Sergey",2363,lose,39,A21,Kyiv,2021
2700,black,"Babiy, Igor",2270,win,39,A04,Kyiv,2021
2700,white,"Kislinsky, Alexey",2366,lose,40,B31,Kyiv,2021
2700,black,"Panchenko, Alexandar G",2266,win,47,A45,Kyiv,2021
2700,white,"Dyak, Grigorij",2041,win,44,B01,Kyiv,2021
2644,white,"Donchenko, Alexander",2657,lose,65,E10,Riga,2021
2644,black,Narayanan.S.L,2624,draw,18,D45,Riga,2021
2644,white,Gukesh D,2578,win,50,E51,Riga,2021
2644,black,"Hakobyan, Aram",2612,draw,9,D27,Riga,2021
2644,white,"Yuffa, Daniil",2556,win,41,D10,Riga,2021
2644,white,"Laurusas, Tomas",2549,win,63,C24,Riga,2021
2644,black,"Pavlov, Sergey",2481,draw,36,A21,Riga,2021
2644,white,Pranav Anand,2417,win,65,B31,Riga,2021
2644,black,"Torkkola, Henri",2180,win,36,A45,Riga,2021
2652,white,"Peng, Li Min",2429,draw,29,D31,Kyiv,2021
2652,black,"Sergeev, Vladimir",2362,win,71,A46,Kyiv,2021
2652,white,"Vysochin, Spartak",2340,win,53,D10,Kyiv,2021
2652,black,"Shishkin, Vadim",2354,win,21,E32,Kyiv,2021
2652,white,"Grinev, Valeriy",2369,win,48,E71,Kyiv,2021
2652,black,"Sydoryka, Vladyslav",2217,win,31,A20,Kyiv,2021
2652,white,"Lymar, Vladimir",2289,win,28,D32,Kyiv,2021
2652,black,"Grebeniuk, Semen",2221,win,28,A46,Kyiv,2021
2652,white,"Chernomordik, Pavel",2256,draw,38,A40,Kyiv,2021
2652,black,"Maliutin, Oleksandr",2164,win,43,A05,Kyiv,2021
2652,white,"Barchuk, Irina",1970,win,36,A48,Kyiv,2021
2643,white,"Warmerdam, Max",2535,lose,56,A01,Belgrade,2021
2643,black,Nihal Sarin,2620,lose,41,D02,Belgrade,2021
2643,black,Erigaisi Arjun,2567,win,50,B17,Belgrade,2021
2643,white,"Bjerre, Jonas Buhl",2546,win,93,A46,Belgrade,2021
2643,white,"Shevchenko, Kirill",2605,draw,164,E71,Belgrade,2021
2643,black,"Asadli, Vugar",2574,draw,51,B13,Belgrade,2021
2643,white,"Erenberg, Ariel",2506,win,55,C69,Belgrade,2021
2643,black,"Maksimovic, Bojan",2418,win,37,C10,Belgrade,2021
2643,white,"Pasti, Aron",2318,win,75,C77,Belgrade,2021
2645,white,"Pulvett Marin, Daniel Eduardo",2502,win,45,A56,Linares,2020
2645,black,"Vallejo Pons, Francisco",2710,draw,63,B40,Linares,2020
2645,white,"Kuzubov, Yuriy",2643,lose,51,A29,Linares,2020
2645,black,"Naiditsch, Arkadij",2624,lose,70,A47,Linares,2020
2645,white,"Shirov, Alexei",2647,draw,76,C69,Linares,2020
2645,black,"Anton Guijarro, David",2688,draw,33,D18,Linares,2020
2645,white,Socko B,2601,lose,52,D25,Linares,2020
2645,black,"Naiditsch, Arkadij",2624,lose,69,A47,Karlsruhe,2020
2645,white,"Lagarde, Maxime",2657,draw,45,A56,Karlsruhe,2020
2645,white,"Werle, Jan",2580,win,30,A46,Karlsruhe,2020
2645,white,"Wegerle, Joerg",2401,win,40,D02,Karlsruhe,2020
2645,white,"Blohberger, Felix",2467,win,48,A20,Karlsruhe,2020
2641,black,"Boensch, Uwe",2508,draw,47,E12,Germany,2020
2641,white,"Baldauf, Marco",2502,win,46,A48,Germany,2020
2641,black,"Rozentalis, Eduardas",2534,draw,36,B31,Germany,2020
2641,white,"Dragnev, Valentin",2549,win,67,D41,Germany,2020
2641,white,"Efimenko, Zahar",2603,draw,36,A29,Israel,2020
2647,black,"Li, Di",2543,lose,40,D02,Sitges,2019
2647,black,"Durarbayli, Vasif",2609,lose,56,B01,Sitges,2019
2647,white,"Puranik, Abhimanyu",2580,win,29,A48,Sitges,2019
2647,white,"Santos Latasa, Jaime",2585,draw,85,A46,Sitges,2019
2647,black,Gukesh D,2547,win,58,A10,Sitges,2019
2647,white,"Larino Nieto, David",2475,win,28,D02,Sitges,2019
2647,black,"Krishna Teja, N",2383,win,42,A05,Sitges,2019
2647,white,"Kelires, Andreas",2510,lose,66,C84,Sitges,2019
2647,black,"Bryakin, Mikhail",2428,win,63,A40,Sitges,2019
2647,white,"Moreby, James",2248,win,32,C02,Sitges,2019
2647,black,"Salgado Lopez, Ivan",2605,win,48,B33,Germany,2019
2647,white,"Engel, Luis",2531,lose,50,B23,Germany,2019
2674,black,"Korchmar, Vasiliy",2432,draw,49,A40,Saint-Petersburg,2019
2674,white,"Pourramezanali, Amirreza",2478,draw,42,A13,Saint-Petersburg,2019
2674,white,"Bocharov, Ivan",2550,lose,57,A20,Saint-Petersburg,2019
2674,black,"Zontakh, Andrey",2485,win,45,A56,Saint-Petersburg,2019
2674,white,"Shubin, Kirill",2416,win,53,A40,Saint-Petersburg,2019
2674,white,"Khadzhiev, Valery",2056,win,32,B11,Saint-Petersburg,2019
2674,white,"Vachier-Lagrave, Maxime",2774,lose,64,B23,Khanty-Mansiysk,2019
2674,black,"Vachier-Lagrave, Maxime",2774,lose,86,B40,Khanty-Mansiysk,2019
2658,black,"Lupulescu, Constantin",2625,draw,89,B40,Khanty-Mansiysk,2019
2658,white,"Lupulescu, Constantin",2625,win,37,A18,Khanty-Mansiysk,2019
2674,black,"Lupulescu, Constantin",2643,lose,57,C45,Khanty-Mansiysk,2019
2674,white,"Lupulescu, Constantin",2643,win,54,C02,Khanty-Mansiysk,2019
2654,white,"Martirosyan, Haik M.",2619,win,106,A45,Zurich,2019
2654,black,"Pavlovic, Milos",2502,win,88,A48,Zurich,2019
2654,white,"Maghsoodloo, Parham",2656,draw,60,C70,Zurich,2019
2654,black,"Epishin, Vladimir",2553,draw,59,A04,Zurich,2019
2654,white,"Tabatabaei, M.amin",2601,draw,78,B52,Zurich,2019
2654,black,"Tan, Justin",2503,win,55,B10,Zurich,2019
2654,white,"Giesinger, Elias",2221,win,56,A46,Zurich,2019
2654,white,"Gajewski, Grzegorz",2613,win,67,A20,Latvia,2019
2654,black,Gopal G.N.,2594,draw,50,C95,Latvia,2019
2654,white,Deepan Chakkravarthy J.,2531,win,54,E12,Latvia,2019
2654,black,"Pultinevicius, Paulius",2485,draw,44,A56,Latvia,2019
2654,white,"Puranik, Abhimanyu",2550,draw,125,A48,Latvia,2019
2654,black,Vishnu Prasanna. V,2507,win,30,C88,Latvia,2019
2654,white,"Kjartansson, Gudmundur",2453,win,57,D31,Latvia,2019
2654,black,"Hedman, Erik",2373,win,34,E73,Latvia,2019
2654,white,"Chernyak, Viktoria",2238,win,26,D30,Latvia,2019
2651,black,"Oparin, Grigoriy",2644,draw,45,A07,Saint Louis,2019
2651,white,"Sevian, Samuel",2677,win,60,A46,Saint Louis,2019
2651,black,"Gabuzyan, Hovhannes",2619,win,79,A20,Saint Louis,2019
2651,white,"Fridman, Daniel",2644,draw,55,A13,Saint Louis,2019
2651,white,"Ganguly, Surya Shekhar",2642,win,36,D44,Saint Louis,2019
2651,black,"Sevian, Samuel",2677,draw,53,C18,Saint Louis,2019
2651,white,"Oparin, Grigoriy",2644,lose,60,A16,Saint Louis,2019
2651,white,"Gabuzyan, Hovhannes",2619,lose,56,A48,Saint Louis,2019
2651,black,"Fridman, Daniel",2644,draw,31,A46,Saint Louis,2019
2651,black,"Ganguly, Surya Shekhar",2642,lose,49,B13,Saint Louis,2019
2663,black,"Oganian, Miran",2415,win,51,A40,Sochi,2019
2663,black,"Maltsevskaya, Aleksandra",2299,win,39,D70,Sochi,2019
2663,white,"Korneev, Oleg",2530,lose,63,A20,Sochi,2019
2663,black,"Martinovici, Ilie",2367,lose,45,D35,Sochi,2019
2663,white,"Stupak, Kirill",2551,draw,38,A29,Sochi,2019
2663,black,"Alekseev, Evgeny",2647,lose,53,B13,Sochi,2019
2663,white,"Bogdanovich, Stanislav",2581,win,42,A45,Sochi,2019
2663,black,Raja Harshit,2446,win,54,B11,Sochi,2019
2663,white,"Zakaryan, David",2350,win,23,A45,Sochi,2019
2662,white,"Dinstuhl, Volkmar, Dr.",2378,draw,60,B91,Germany,2019
2662,black,"Spoelman, Wouter",2582,draw,33,A15,Germany,2019
2658,black,"Bartel, Mateusz",2600,lose,38,B12,Skopje,2019
2658,white,"Tsydypov, Zhamsaran",2551,win,29,A48,Skopje,2019
2658,black,"Lupulescu, Constantin",2611,lose,70,E71,Skopje,2019
2658,white,"Kadric, Denis",2547,win,51,A04,Skopje,2019
2658,black,"Martinovic, Sasa",2558,draw,47,E83,Skopje,2019
2658,white,"Esipenko, Andrey",2603,lose,88,C53,Skopje,2019
2658,black,"Santos Latasa, Jaime",2582,win,46,E32,Skopje,2019
2658,white,"Matviishen, Viktor",2490,win,46,A15,Skopje,2019
2658,black,"Shevchenko, Kirill",2535,draw,70,D17,Skopje,2019
