rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2722,black,"Esipenko, Andrey",2682,draw,42,C78,Biel,2022
2722,black,"Salem, A.R. Saleh",2684,win,77,E00,Biel,2022
2722,white,"Keymer, Vincent",2686,win,78,E00,Biel,2022
2657,white,"Kamsky, Gata",2645,draw,45,A28,Biel,2022
2657,black,Gukesh D,2598,draw,37,A06,Biel,2022
2657,white,"Esipenko, Andrey",2617,win,59,E21,Biel,2022
2657,black,"Abdusattorov, Nodirbek",2663,lose,35,C55,Biel,2022
2657,white,"Keymer, Vincent",2548,lose,57,E21,Biel,2022
2657,black,"Salem, A.R. Saleh",2679,draw,27,E27,Biel,2022
2657,black,"Naiditsch, Arkadij",2577,win,31,C49,Biel,2022
2657,black,"Kamsky, Gata",2645,lose,66,D00,Biel,2022
2657,white,Gukesh D,2598,win,52,E10,Biel,2022
2657,black,"Esipenko, Andrey",2617,lose,49,C78,Biel,2022
2657,white,"Abdusattorov, Nodirbek",2663,lose,51,A50,Biel,2022
2657,white,"Naiditsch, Arkadij",2577,win,58,A16,Biel,2022
2722,white,Gukesh D,2684,lose,49,A13,Biel,2022
2722,black,"Abdusattorov, Nodirbek",2688,win,46,C55,Biel,2022
2722,white,"Kamsky, Gata",2655,lose,62,D20,Biel,2022
2626,white,"Esipenko, Andrey",2679,win,73,D41,Biel,2022
2626,black,"Naiditsch, Arkadij",2600,win,50,C49,Biel,2022
2626,white,"Salem, A.R. Saleh",2655,win,55,D37,Biel,2022
2626,black,"Keymer, Vincent",2552,draw,61,A06,Biel,2022
2626,black,Gukesh D,2223,draw,66,E10,Biel,2022
2626,white,"Abdusattorov, Nodirbek",2670,draw,49,D41,Biel,2022
2626,black,"Kamsky, Gata",2717,win,36,C91,Biel,2022
2709,black,"Vallejo Pons, Francisco",2703,draw,36,C77,Prague,2022
2709,white,"Vidit, Santosh Gujrathi",2723,draw,81,D41,Prague,2022
2709,black,"Harikrishna, Pentala",2701,draw,28,E48,Prague,2022
2709,white,"Salem, A.R. Saleh",2679,win,52,E92,Prague,2022
2709,white,"Anton Guijarro, David",2692,draw,65,D43,Prague,2022
2709,black,"Nguyen, Thai Dai Van",2610,draw,31,A06,Prague,2022
2709,white,"Navara, David",2681,win,48,A06,Prague,2022
2709,black,"Maghsoodloo, Parham",2716,draw,36,E10,Prague,2022
2709,white,"Shankland, Sam",2718,win,42,D30,Prague CZE,2022
2709,white,"Megaranto, S.",2529,draw,38,D15,Ha Long VIE,2022
2709,black,"Quizon, Daniel",2384,win,51,A15,Ha Long VIE,2022
2709,black,"Wong, Yinn Long",2381,win,38,D02,Ha Long VIE,2022
2709,white,"Yeoh, L.",2523,win,41,D16,Ha Long VIE,2022
2709,white,"Tin, Jingyao",2499,win,21,D19,Ha Long VIE,2022
2709,white,"Tin, Jingyao",2499,lose,73,D43,Ha Long VIE,2022
2709,black,"Tin, Jingyao",2499,win,53,E36,Ha Long VIE,2022
2709,black,"Bersamina, Paulo",2441,draw,4,C77,Ha Long VIE,2022
2709,white,"Wong, Yinn Long",2381,win,53,E11,Ha Long VIE,2022
2709,black,Wynn Zaw Htun,2508,win,32,A06,Ha Long VIE,2022
2709,white,"Kulpruethanon, Thanadon",2282,win,57,D41,Ha Long VIE,2022
2709,white,"Priasmoro, Novendra",2501,win,24,E70,Ha Long VIE,2022
2709,white,"Tin, Jingyao",2499,lose,52,D12,Ha Long VIE,2022
2709,black,"Poh, Yu Tian",2081,win,54,B56,Ha Long VIE,2022
2709,white,Nay Oo Kyaw Tun,2385,win,36,D37,Ha Long VIE,2022
2709,black,"Yeoh, L.",2523,lose,45,A07,Ha Long VIE,2022
2709,white,"Garcia, Jan",2403,draw,52,D85,Ha Long VIE,2022
2709,white,"Harika, D.",2517,lose,42,A57,chess.com INT,2022
2709,black,"Sadhwani, Raunak",2628,draw,81,D02,chess.com INT,2022
2709,black,"Erigaisi, Arjun",2675,lose,99,A35,chess.com INT,2022
2709,white,"Dubov, Daniil",2711,draw,83,D90,chess.com INT,2022
2709,black,"Martinez Alcantara, Jose Eduardo",2598,draw,41,C77,chess.com INT,2022
2709,white,"Kovalev, Vl",2623,win,54,E11,chess.com INT,2022
2709,black,"Tabatabaei, M.",2632,lose,165,E29,chess.com INT,2022
2709,white,"Andreikin, D.",2729,win,43,D30,chess.com INT,2022
2709,white,"Giri, A.",2773,draw,34,E74,chess.com INT,2022
2709,white,"Van Foreest, Jorden",2714,win,25,D16,Oslo NOR,2022
2709,black,"Van Foreest, Jorden",2714,draw,62,C77,Oslo NOR,2022
2709,black,"Van Foreest, Jorden",2714,draw,71,C82,Oslo NOR,2022
2709,white,"Van Foreest, Jorden",2714,draw,60,D19,Oslo NOR,2022
2709,black,"Van Foreest, Jorden",2714,lose,37,C82,Oslo NOR,2022
2709,white,"Van Foreest, Jorden",2714,win,66,D19,Oslo NOR,2022
2709,black,"Giri, A.",2773,draw,41,E51,Oslo NOR,2022
2709,white,"Giri, A.",2773,win,37,D90,Oslo NOR,2022
2709,black,"Giri, A.",2773,win,57,E51,Oslo NOR,2022
2709,black,"Duda, J.",2750,win,70,A35,Oslo NOR,2022
2709,white,"Duda, J.",2750,win,40,E12,Oslo NOR,2022
2709,black,"Duda, J.",2750,draw,56,A13,Oslo NOR,2022
2709,white,"Duda, J.",2750,draw,68,D85,Oslo NOR,2022
2709,black,"Duda, J.",2750,lose,68,A13,Oslo NOR,2022
2709,white,"Duda, J.",2750,win,36,D85,Oslo NOR,2022
2709,black,"Hansen, Eric",2606,win,52,C78,Oslo NOR,2022
2709,white,"Hansen, Eric",2606,win,57,A15,Oslo NOR,2022
2709,black,"Hansen, Eric",2606,draw,60,C77,Oslo NOR,2022
2709,white,"Praggnanandhaa, R.",2624,lose,54,A20,Oslo NOR,2022
2709,black,"Praggnanandhaa, R.",2624,lose,93,D38,Oslo NOR,2022
2709,white,"Praggnanandhaa, R.",2624,draw,33,E04,Oslo NOR,2022
2709,white,"Carlsen, M.",2864,win,42,A40,Oslo NOR,2022
2709,black,"Carlsen, M.",2864,lose,34,E10,Oslo NOR,2022
2709,white,"Carlsen, M.",2864,draw,50,D30,Oslo NOR,2022
2709,black,"Carlsen, M.",2864,win,39,A06,Oslo NOR,2022
2709,white,"Mamedyarov, S.",2771,draw,32,D38,Oslo NOR,2022
2709,black,"Mamedyarov, S.",2771,draw,63,D37,Oslo NOR,2022
2709,white,"Mamedyarov, S.",2771,lose,84,D38,Oslo NOR,2022
2709,black,"Mamedyarov, S.",2771,draw,46,D37,Oslo NOR,2022
2709,black,"Hess, Ro",2591,lose,83,C28,chess.com INT,2022
2709,white,"Kovalev, Vl",2623,win,35,E11,chess.com INT,2022
2709,black,"Grandelius, N.",2656,draw,67,E10,chess.com INT,2022
2709,white,"Dubov, Daniil",2711,lose,40,A57,chess.com INT,2022
2709,black,"Dreev, A.",2623,draw,74,E36,chess.com INT,2022
2709,white,"Aronian, L.",2785,draw,34,E90,chess.com INT,2022
2709,black,"Andreikin, D.",2729,lose,40,E10,chess.com INT,2022
2709,white,"So, W.",2778,draw,34,D37,chess.com INT,2022
2709,white,"Caruana, F.",2781,win,49,D37,chess.com INT,2022
2709,white,"Andreikin, D.",2724,lose,80,D37,chess.com INT,2022
2709,black,"Andreikin, D.",2724,draw,65,D27,chess.com INT,2022
2709,white,"Paravyan, D.",2617,win,62,D38,chess.com INT,2022
2709,white,"Bok, B.",2624,win,18,D37,chess.com INT,2022
2709,black,"Bok, B.",2624,draw,24,A35,chess.com INT,2022
2709,white,"Demchenko, A.",2654,win,61,A15,chess.com INT,2022
2709,black,"Sarana, A.",2685,lose,39,E49,chess.com INT,2022
2709,white,"Kovalev, Vl",2623,win,33,E90,chess.com INT,2022
2709,black,"Kamsky, G.",2658,draw,32,A45,chess.com INT,2022
2709,black,"Van Foreest, Jorden",2714,win,51,C68,chess.com INT,2022
2709,white,"Dreev, A.",2623,draw,38,D02,chess.com INT,2022
2709,black,"Swiercz, D.",2656,win,55,D43,chess.com INT,2022
2709,white,"Hakobyan, Aram",2601,lose,48,A14,chess.com INT,2022
