rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2730,black,"Eljanov, Pavel",2705,draw,48,E49,Germany,2023
2730,white,"Sedlak, Nikola",2435,draw,51,D30,Germany,2023
2730,black,"Bauer, Sebastian",2282,win,36,B46,Austria,2023
2730,white,"Koelle, Tobias",2432,win,59,A21,Austria,2023
2730,black,"Schwabeneder, Florian",2418,win,42,A20,Austria,2023
2730,white,"Beerdsen, Thomas",2523,win,28,D47,Germany,2023
2730,black,"Van Foreest, Jorden",2680,lose,40,D85,Germany,2023
2726,white,"Kaphle, Sebastian",2364,win,28,E46,,2023
2726,white,"Hess, Max",2377,win,39,D36,,2023
2726,black,"Blohberger, Felix",2493,win,51,B51,,2023
2726,white,"Brunner, Nicolas",2435,win,32,D30,,2023
2726,black,"Grandelius, Nils",2658,draw,25,C92,Germany,2023
2726,white,"Esipenko, Andrey",2680,draw,32,A46,Germany,2023
2728,black,"Rapport, Richard",2740,draw,31,B51,Germany,2023
2728,white,"Kadric, Denis",2584,draw,25,C43,Germany,2023
2719,black,"Aronian, Levon",2735,win,59,B92,Wijk aan Zee,2023
2719,white,Erigaisi Arjun,2722,win,47,D90,Wijk aan Zee,2023
2719,black,Praggnanandhaa R,2684,win,52,B90,Wijk aan Zee,2023
2719,white,"Carlsen, Magnus",2859,lose,56,D35,Wijk aan Zee,2023
2719,white,"So, Wesley",2760,draw,31,E21,Wijk aan Zee,2023
2719,black,Gukesh D,2725,lose,49,E10,Wijk aan Zee,2023
2719,white,"Caruana, Fabiano",2766,draw,106,E10,Wijk aan Zee,2023
2719,black,"Rapport, Richard",2740,draw,33,B53,Wijk aan Zee,2023
2719,white,"Van Foreest, Jorden",2681,win,45,D20,Wijk aan Zee,2023
2719,black,"Abdusattorov, Nodirbek",2713,lose,64,C84,Wijk aan Zee,2023
2719,white,"Giri, Anish",2764,draw,30,C55,Wijk aan Zee,2023
2719,black,"Ding, Liren",2811,draw,79,C78,Wijk aan Zee,2023
2719,white,"Keymer, Vincent",2696,draw,33,A07,Wijk aan Zee,2023
2672,white,"Le, Tuan Minh",2530,draw,61,B29,Almaty,2022
2672,black,"Sargsyan, Shant",2602,lose,59,E10,Almaty,2022
2672,white,"Predke, Alexandr",2616,win,47,D35,Almaty,2022
2672,black,"Jobava, Baadur",2582,win,82,B22,Almaty,2022
2672,white,"Makhnev, Denis",2507,lose,53,E21,Almaty,2022
2672,black,"Moiseenko, Alexander",2577,win,68,D31,Almaty,2022
2672,black,"Aravindh, Chithambaram VR.",2586,lose,72,A00,Almaty,2022
2672,white,"Durarbayli, Vasif",2576,win,111,E21,Almaty,2022
2672,white,"Indjic, Aleksandar",2616,lose,35,A04,Almaty,2022
2672,black,"Kovalev, Vladislav",2556,win,43,B20,Almaty,2022
2672,white,"Pantsulaia, Levan",2563,lose,42,B12,Almaty,2022
2672,black,"Sargissian, Gabriel",2559,win,45,A46,Almaty,2022
2672,white,"Bilguun, Sumiya",2365,win,46,A05,Almaty,2022
2672,black,"Riazantsev, Alexander",2595,lose,30,E48,Almaty,2022
2672,white,Narayanan.S.L,2562,win,43,E21,Almaty,2022
2672,white,"Tang, Andrew",2582,lose,45,E04,Almaty,2022
2672,black,"Chigaev, Maksim",2542,draw,51,B33,Almaty,2022
2672,white,"Savchenko, Boris",2577,draw,74,A04,Almaty,2022
2672,black,"Sychev, Klementy",2563,draw,38,C45,Almaty,2022
2672,white,"Suleymanli, Aydin",2481,win,85,D20,Almaty,2022
2672,black,"Vakhidov, Jakhongir",2507,draw,69,A20,Almaty,2022
2656,black,"Carlsen, Magnus",2834,lose,28,B67,Almaty,2022
2656,white,"Duda, Jan Krzysztof",2791,win,43,E21,Almaty,2022
2656,white,"Chigaev, Maksim",2548,win,34,E11,Almaty,2022
2656,black,"Martirosyan, Haik M.",2575,draw,19,D70,Almaty,2022
2656,white,"Mamedov, Rauf",2578,draw,50,A05,Almaty,2022
2656,black,"Niemann, Hans Moke",2592,draw,57,E11,Almaty,2022
2656,white,"Suleymanli, Aydin",2448,win,44,D02,Almaty,2022
2656,black,"Petrosyan, Manuel",2539,draw,31,A46,Almaty,2022
2656,white,"Ter-Sahakyan, Samvel",2531,draw,31,A50,Almaty,2022
2656,black,"Demchenko, Anton",2565,win,58,B30,Almaty,2022
2656,white,"Asadli, Vugar",2491,win,22,E74,Almaty,2022
2656,black,"Sanal, Vahap",2547,lose,30,B30,Almaty,2022
2656,white,"Bilguun, Sumiya",2468,win,48,D02,Almaty,2022
2672,black,"Abdusattorov, Nodirbek",2666,draw,121,C50,Calcutta,2022
2672,white,"Nihal, Sarin",2702,win,31,E21,Calcutta,2022
2672,black,Erigaisi Arjun,2750,win,64,A04,Calcutta,2022
2672,white,"Nakamura, Hikaru",2909,win,53,E10,Calcutta,2022
2672,white,"Mamedyarov, Shakhriyar",2733,draw,29,D02,Calcutta,2022
2672,black,"So, Wesley",2763,draw,97,E10,Calcutta,2022
2672,white,Praggnanandhaa R,2599,lose,22,A28,Calcutta,2022
2672,black,Gukesh D,2632,lose,40,A04,Calcutta,2022
2672,white,"Vidit, Santosh Gujrathi",2669,draw,50,D10,Calcutta,2022
2672,white,"Abdusattorov, Nodirbek",2666,draw,64,C64,Calcutta,2022
2672,black,"Nihal, Sarin",2702,lose,44,A46,Calcutta,2022
2672,white,Erigaisi Arjun,2750,lose,45,D31,Calcutta,2022
2672,black,"Nakamura, Hikaru",2909,lose,67,A04,Calcutta,2022
2672,black,"Mamedyarov, Shakhriyar",2733,draw,28,A01,Calcutta,2022
2672,white,"So, Wesley",2763,win,54,E21,Calcutta,2022
2672,black,Praggnanandhaa R,2599,lose,38,A07,Calcutta,2022
2672,white,Gukesh D,2632,win,39,B12,Calcutta,2022
2672,black,"Vidit, Santosh Gujrathi",2669,win,66,A46,Calcutta,2022
2641,white,"Abdusattorov, Nodirbek",2676,draw,58,C96,Calcutta,2022
2641,black,"Nihal, Sarin",2616,lose,61,A40,Calcutta,2022
2641,white,Erigaisi Arjun,2628,draw,39,D31,Calcutta,2022
2641,black,"Nakamura, Hikaru",2789,lose,69,E46,Calcutta,2022
2641,black,"Mamedyarov, Shakhriyar",2747,draw,27,C48,Calcutta,2022
2641,white,"So, Wesley",2784,win,53,A50,Calcutta,2022
2641,black,"Sethuraman, SP.",2545,win,75,B90,Calcutta,2022
2641,white,Gukesh D,2632,lose,62,E10,Calcutta,2022
2641,black,"Vidit, Santosh Gujrathi",2662,draw,34,B22,Calcutta,2022
2560,white,"Mamedyarov, Shakhriyar",2726,draw,35,C83,Deizisau,2022
2721,black,"Parligras, Mircea-Emilian",2560,draw,56,D85,Deizisau,2022
2720,black,"Donchenko, Alexander",2645,draw,30,E10,,2022
2720,white,"Korpa, Bence",2500,win,70,E75,,2022
2720,white,"Janzelj, Tim",2456,win,43,B12,,2022
2720,white,"Brkic, Ante",2610,draw,80,E10,Jenbach,2022
2721,white,"Nisipeanu, Liviu-Dieter",2615,win,25,E10,,2022
2721,black,"Schroeder, Jan-Christian",2544,lose,50,B90,Germany,2022
2721,white,"Carlsen, Magnus",2856,draw,39,A50,Mayrhofen,2022
2721,black,"Tabatabaei, M. Amin",2657,draw,45,B67,Mayrhofen,2022
2721,white,"Vachier-Lagrave, Maxime",2747,draw,66,B97,Mayrhofen,2022
2721,white,"Pechac, Jergus",2633,win,67,D02,Mayrhofen,2022
2721,black,"Can, Emre",2592,lose,30,E04,Mayrhofen,2022
2721,white,"Mihok, Oliver",2545,win,41,E81,Mayrhofen,2022
2721,black,"Suarez Garcia, Carlos",2430,win,39,A06,Mayrhofen,2022
2701,black,"Kobalia, Mihail",2578,win,47,B90,,2022
2701,white,"Sanal, Vahap",2570,draw,63,D30,,2022
2701,black,"Niemann, Hans Moke",2687,draw,98,E10,,2022
2701,white,"Gholami, Aryan",2507,draw,30,E17,,2022
2701,black,"Abasov, Nijat Azad Oglu",2633,draw,21,C42,Ankara,2022
2701,white,"Ivic, Velimir",2583,draw,31,D10,,2022
2701,black,"Nguyen, Thai Dai Van",2629,draw,36,C11,Ankara,2022
,white,"Nigmatov, Ortik",,win,58,D87,Ankara,2022
2701,black,Gukesh D,2684,win,29,E10,Ankara,2022
,white,"Sychev, Klementy",,win,26,C11,Ankara ,2022
,black,"Idani, Pouya",,draw,33,C78,Ankara,2022
2701,white,"Kuzubov, Yuriy",2642,win,39,D36,Ankara,2022
2701,white,"Erdos, Viktor",2586,win,29,D70,Chennai,2022
2701,white,"Harikrishna, Pentala",2720,win,60,D10,Chennai,2022
2701,black,"Giri, Anish",2760,draw,77,E48,Chennai,2022
2701,white,"Moussard, Jules",2672,draw,46,E10,Chennai,2022
2701,white,"Smirnov, Anton",2600,win,22,D10,Chennai,2022
2701,black,"Caruana, Fabiano",2783,lose,48,B90,Chennai,2022
2701,white,"Yilmaz, Mustafa",2634,draw,58,B97,Chennai,2022
2701,black,Hansen E,2606,draw,31,C78,Chennai,2022
2701,black,"Kadric, Denis",2554,win,37,B33,Chennai,2022
2701,white,"Baburin, Alexander",2400,win,34,B03,Chennai,2022
2701,black,"Alfaro, William",2155,win,39,E11,Chennai,2022
2716,white,"Fedorchuk, Sergey A",2612,draw,36,E21,Chartres,2022
2716,black,"Naiditsch, Arkadij",2653,lose,59,B51,Chartres,2022
2716,white,"Navara, David",2681,draw,41,C67,Prague,2022
2716,black,"Anton Guijarro, David",2692,draw,19,E46,Prague,2022
2716,black,"Shankland, Samuel L",2718,lose,76,B90,Prague,2022
2716,white,"Vallejo Pons, Francisco",2703,win,79,C02,Prague,2022
2716,black,"Vidit, Santosh Gujrathi",2723,draw,65,D43,Prague,2022
2716,black,"Vidit, Santosh Gujrathi",2723,draw,77,A04,Prague,2022
2716,white,"Harikrishna, Pentala",2701,lose,74,D12,Prague,2022
2716,black,"Salem, A.R. Saleh",2679,draw,35,C78,Prague,2022
2716,white,"Le, Quang Liem",2709,draw,36,E10,Prague,2022
2716,black,"Nguyen, Thai Dai Van",2610,draw,58,A34,Prague CZE,2022
2701,white,"Adams, Michael",2698,win,39,E10,Germany,2022
2701,black,"Bluebaum, Matthias",2642,draw,67,D35,Germany,2022
2699,black,"Andreikin, D.",2729,draw,24,E07,chess.com INT,2022
2699,white,"Harsha, B.",2547,win,50,A31,chess.com INT,2022
2699,black,"Nakamura, Hi",2766,lose,44,A05,chess.com INT,2022
2699,black,"Svane, R.",2651,win,39,A07,chess.com INT,2022
2699,white,"Dubov, Daniil",2702,draw,32,C45,chess.com INT,2022
2699,black,"Sjugirov, S.",2696,win,39,B32,chess.com INT,2022
2699,white,"Moiseenko, A1.",2582,win,41,B33,chess.com INT,2022
2699,black,"Swiercz, D.",2665,lose,29,A45,chess.com INT,2022
2699,white,"Jacobson, Brandon",2526,win,30,B67,chess.com INT,2022
2699,black,"Xiong, Jeffery",2688,lose,36,B50,chess.com INT,2022
2699,black,"Khabinets, Ivan",1980,win,39,B66,chess.com INT,2022
2699,white,"Tatarinov, Dmitry",2314,win,23,B12,chess.com INT,2022
2699,black,"Rozovsky, Daniel",2085,lose,39,C78,chess.com INT,2022
2699,white,"Gurevich, D.",2363,win,52,B64,chess.com INT,2022
2699,black,"Hua, L.",2305,win,41,E20,chess.com INT,2022
2699,white,"Aggelis, N.",2281,win,80,C88,chess.com INT,2022
2699,white,"Vusatiuk, V.",2308,win,32,B60,chess.com INT,2022
2699,black,"Levitskiy, Andrey",2320,lose,32,B90,chess.com INT,2022
2699,black,"Haas, Michael2",2197,win,50,E04,chess.com INT,2022
2699,white,"Yurovskykh, Oleksandr",2328,win,53,D20,chess.com INT,2022
2699,black,"Stevens, C CAN.",2260,lose,39,A45,chess.com INT,2022
2699,black,"Slugin, S.",2353,draw,56,D32,chess.com INT,2022
2699,black,"Kovalenko, I.",2674,draw,71,D31,chess.com INT,2022
2699,white,"Abdusattorov, Nodirbek",2661,win,39,E60,chess.com INT,2022
2699,white,"Chigaev, M.",2631,lose,71,E42,chess.com INT,2022
2699,black,"Azarov, S.",2588,draw,35,C78,chess.com INT,2022
2699,white,"Moussard, J.",2651,draw,44,D02,chess.com INT,2022
2699,black,"Oparin, G.",2685,draw,36,D37,chess.com INT,2022
2699,black,"Matlakov, M.",2674,draw,41,D30,chess.com INT,2022
2699,white,"Mitrabha, G.",2500,win,55,E46,chess.com INT,2022
2699,black,"Motylev, A.",2633,draw,65,B51,chess.com INT,2022
2699,white,"Bachmann, Ax",2588,lose,36,E60,chess.com INT,2022
2699,black,"Carlsen, M.",2864,lose,49,A01,chess.com INT,2022
2699,white,"Yuan, Qingyu",2373,win,54,D37,chess.com INT,2022
2699,white,"Nagy, Ga1",2503,lose,44,E73,chess.com INT,2022
2699,black,"Yilmaz, M.",2631,win,39,D37,chess.com INT,2022
2699,white,"Daneshvar, Bardiya",2486,win,51,A06,chess.com INT,2022
2699,black,"Nakamura, Hi",2766,lose,53,A04,chess.com INT,2022
2699,white,"Lashkin, Jegor",2386,win,44,E02,chess.com INT,2022
2699,black,"Kaasen, Tor Fredrik",2461,win,46,D31,chess.com INT,2022
2699,white,"Ivanisevic, I.",2550,win,78,D52,chess.com INT,2022
2699,black,"Vajda, Le",2534,win,35,B22,chess.com INT,2022
2699,black,"Stoleriu, George",2411,win,67,B51,chess.com INT,2022
2699,black,"Aggelis, N.",2281,lose,88,D02,chess.com INT,2022
2699,white,"Migot, T.",2353,win,47,D73,chess.com INT,2022
2699,white,"Janaszak, Daw",2334,win,31,E74,chess.com INT,2022
2699,black,"Fier, A.",2567,lose,81,E42,chess.com INT,2022
2699,black,"Jakubowski, K.",2475,win,49,B23,chess.com INT,2022
2699,white,"Ferreira, VitorH",2128,win,50,B98,chess.com INT,2022
2699,white,"Lehtosaari, Mauri",2199,win,19,B01,chess.com INT,2022
2699,black,"Fedoseev, Vl3",2701,lose,43,E06,chess.com INT,2022
2699,black,"Giri, A.",2761,win,43,D30,chess.com INT,2022
2699,white,"Martinez Alcantara, Jose Eduardo",2591,win,101,E46,chess.com INT,2022
2699,black,"Giri, A.",2761,draw,14,C92,chess.com INT,2022
2699,black,"Demchenko, A.",2654,win,42,B53,chess.com INT,2022
2699,white,"Paravyan, D.",2617,draw,38,E60,chess.com INT,2022
2699,black,"Jones, G.",2669,win,60,A07,chess.com INT,2022
2699,white,"Dubov, Daniil",2702,draw,53,D19,chess.com INT,2022
2699,black,"Alekseenko, K.",2698,draw,52,C65,chess.com INT,2022
2699,white,"Bortnyk, Olexandr",2604,win,60,B07,chess.com INT,2022
2699,black,"Nestorovic, Nikola",2456,win,45,B90,,2022
2699,white,"Bartel, Mateusz",2618,win,77,D11,,2022
2699,white,"Gokerkan, Cem Kaan",2456,lose,31,D37,chess.com INT,2022
2699,white,"Moskalenko, A.",2508,lose,56,D30,chess.com INT,2022
2699,black,"Shankland, S.",2709,lose,34,D97,chess.com INT,2022
2699,black,"Janik, Igor",2525,win,49,D37,chess.com INT,2022
2699,white,"Siddharth, Jagadeesh",2393,draw,86,E06,chess.com INT,2022
2699,black,"Moskalenko, A.",2508,win,44,B90,chess.com INT,2022
2699,white,"Mirzoev, A.",2482,win,57,D17,chess.com INT,2022
2699,black,"Janaszak, Daw",2334,win,37,B23,chess.com INT,2022
