rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2676,white,"Schroeder, Jan-Christian",2553,win,20,C60,Germany,2023
2676,black,"Nisipeanu, Liviu-Dieter",2598,draw,32,E49,Germany,2023
2685,white,"Plat, Vojtech",2521,lose,73,B31,Czech Republic,2023
2685,black,"Kraus, Tomas",2486,draw,41,B51,Czech Republic,2023
2685,black,"Vachier-Lagrave, Maxime",2736,draw,21,C67,Germany,2023
2685,white,"Bosiocic, Marin",2555,win,49,B31,Germany,2023
2685,white,"Murzin, Volodar",2554,draw,68,C11,Vrnjacka Banja,2023
2685,black,"Kobalia, Mihail",2577,draw,83,D12,Vrnjacka Banja,2023
2685,white,"Teclaf, Pawel",2568,draw,57,C42,Vrnjacka Banja,2023
2685,black,"Lagarde, Maxime",2583,draw,14,C67,Vrnjacka Banja,2023
2685,white,"Mastrovasilis, Dimitrios",2599,draw,66,A13,Vrnjacka Banja,2023
2685,black,"Quparadze, Giga",2483,draw,64,B92,Vrnjacka Banja,2023
2685,white,"Pultinevicius, Paulius",2546,win,41,B13,Vrnjacka Banja,2023
2685,black,"Kozak, Adam",2552,draw,24,E49,Vrnjacka Banja,2023
2685,white,"Azarov, Sergei",2559,draw,48,B30,Vrnjacka Banja,2023
2685,black,"Babazada, Khazar",2481,win,39,B92,Vrnjacka Banja,2023
2685,white,"Samani, Yamac",2357,win,42,C77,Vrnjacka Banja,2023
2685,black,"Parligras, Mircea Emilian",2570,draw,47,D45,Germany,2023
2685,white,"Mamedyarov, Shakhriyar",2740,draw,26,E10,Germany,2023
2682,black,"Straka, Vojtech",2426,win,39,E24,Czech Republic,2023
2670,black,"Yuffa, Daniil",2509,draw,51,E06,Katowice,2022
2670,white,"Azarov, Sergei",2550,win,32,C92,Katowice,2022
2670,black,"Saric, Ante",2539,draw,78,D13,Katowice,2022
2670,white,Santos Latasa,2618,draw,70,E10,Katowice,2022
2670,black,"Fridman, Daniel",2618,draw,15,A07,Katowice,2022
2670,white,"Bartel, Mateusz",2519,win,78,C55,Katowice,2022
2670,black,"Alonso Rosell, Alvar",2472,win,25,D43,Katowice,2022
2670,white,"Wieczorek, Oskar",2387,win,35,C92,Katowice,2022
2670,white,"Sidletskyi, Ivan",2084,win,57,D40,Katowice,2022
2670,black,"Dwilewicz, Agata",1745,win,58,A46,Katowice,2022
2684,black,"Michalik, Peter",2587,draw,16,B90,,2022
2680,white,Narayanan.S.L,2673,win,55,C50,Germany,2022
2676,black,"Brkic, Ante",2602,draw,31,C67,,2022
2676,white,"McShane, Luke J",2653,win,35,E11,,2022
2676,white,"Gelfand, Boris",2668,draw,70,B30,,2022
2676,black,"Gonda, Laszlo",2511,draw,34,A46,,2022
2676,black,"Alekseenko, Kirill",2691,draw,58,C65,Mayrhofen,2022
