rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2670,white,"Sedlak, Nikola",2461,win,41,A05,Germany,2023
2670,black,"Eljanov, Pavel",2706,draw,34,C43,Germany,2023
2670,black,"Esipenko, Andrey",2675,draw,23,B51,Germany,2023
2702,black,"Madaminov, Mukhiddin",2333,win,40,A40,Almaty,2022
2702,white,"Dardha, Daniel",2528,draw,36,D02,Almaty,2022
2702,black,"Rapport, Richard",2654,lose,35,B00,Almaty,2022
2702,white,"Giri, Anish",2792,draw,24,A48,Almaty,2022
2702,black,"Bluebaum, Matthias",2634,win,42,D31,Almaty,2022
2702,white,"Ponkratov, Pavel",2539,win,45,A46,Almaty,2022
2702,black,"Shankland, Samuel L",2612,draw,55,D31,Almaty,2022
2702,white,"Tsydypov, Zhamsaran",2593,draw,93,A05,Almaty,2022
2702,black,"Keymer, Vincent",2600,lose,58,D31,Almaty,2022
2702,white,"Quparadze, Giga",2587,win,32,A46,Almaty,2022
2702,black,"Muradli, Mahammad",2610,win,59,D02,Almaty,2022
2702,white,"Sychev, Klementy",2563,win,46,A46,Almaty,2022
2702,black,"Paravyan, David",2551,lose,40,B46,Almaty,2022
2702,white,"Aravindh, Chithambaram VR.",2586,win,83,A48,Almaty,2022
2702,black,"Hansen, Eric",2568,lose,62,B00,Almaty,2022
2702,white,"Ganguly, Surya Shekhar",2530,lose,87,D02,Almaty,2022
2702,white,"Adly, Ahmed",2605,win,43,A46,Almaty,2022
2702,black,"Nakamura, Hikaru",2909,lose,62,C24,Almaty,2022
2702,black,"Sanal, Vahap",2576,win,52,B00,Almaty,2022
2702,white,"Moiseenko, Alexander",2577,win,36,A46,Almaty,2022
2702,black,"Alonso Rosell, Alvar",2514,win,47,E10,Almaty,2022
2628,black,"Sarana, Alexey",2629,draw,38,D27,Almaty,2022
2628,white,"Abdusattorov, Nodirbek",2676,draw,48,A46,Almaty,2022
2628,black,"Ganguly, Surya Shekhar",2646,win,37,B00,Almaty,2022
2628,white,"Duda, Jan Krzysztof",2791,draw,52,A46,Almaty,2022
2628,black,"Puranik, Abhimanyu",2549,win,48,B00,Almaty,2022
2628,white,"Sadhwani, Raunak",2532,draw,64,A00,Almaty,2022
2628,black,"Dubov, Daniil",2712,lose,18,D28,Almaty,2022
2628,white,"Nepomniachtchi, Ian",2766,draw,42,A46,Almaty,2022
2628,black,"Yu, Yangyi",2743,draw,15,E10,Almaty,2022
2628,black,"Fedoseev, Vladimir",2741,draw,56,E10,Almaty,2022
2628,white,"Quparadze, Giga",2538,win,35,B40,Almaty,2022
2628,black,"Fedorov, Alexei",2531,win,47,C50,Almaty,2022
2628,white,"Suleymenov, Alisher",2440,win,60,A05,Almaty,2022
2702,white,Erigaisi Arjun,2750,draw,56,A01,Calcutta,2022
2702,black,"Maghsoodloo, Parham",2672,lose,31,E21,Calcutta,2022
2702,white,"Mamedyarov, Shakhriyar",2733,draw,50,D02,Calcutta,2022
2702,black,"So, Wesley",2763,lose,67,B06,Calcutta,2022
2702,white,Praggnanandhaa R,2599,lose,58,A46,Calcutta,2022
2702,black,Gukesh D,2632,win,34,A07,Calcutta,2022
2702,white,"Vidit, Santosh Gujrathi",2669,win,36,A06,Calcutta,2022
2702,black,"Abdusattorov, Nodirbek",2666,lose,72,B06,Calcutta,2022
2702,black,"Nakamura, Hikaru",2909,lose,53,A16,Calcutta,2022
2702,black,Erigaisi Arjun,2750,draw,74,A04,Calcutta,2022
2702,white,"Maghsoodloo, Parham",2672,win,44,A46,Calcutta,2022
2702,black,"Mamedyarov, Shakhriyar",2733,lose,37,D27,Calcutta,2022
2702,white,"So, Wesley",2763,win,37,A46,Calcutta,2022
2702,black,Praggnanandhaa R,2599,win,44,A05,Calcutta,2022
2702,white,Gukesh D,2632,lose,29,A04,Calcutta,2022
2702,black,"Vidit, Santosh Gujrathi",2669,lose,43,E94,Calcutta,2022
2702,white,"Abdusattorov, Nodirbek",2666,draw,38,A46,Calcutta,2022
2702,white,"Nakamura, Hikaru",2909,win,87,A46,Calcutta,2022
2616,black,Erigaisi Arjun,2628,lose,59,C53,Calcutta,2022
2616,white,"Maghsoodloo, Parham",2641,win,61,A40,Calcutta,2022
2616,black,"Mamedyarov, Shakhriyar",2747,win,34,D27,Calcutta,2022
2616,white,"So, Wesley",2784,draw,22,D25,Calcutta,2022
2616,black,"Sethuraman, SP.",2545,win,57,C17,Calcutta,2022
2616,white,Gukesh D,2632,win,50,A30,Calcutta,2022
2616,black,"Vidit, Santosh Gujrathi",2662,win,38,C50,Calcutta,2022
2616,white,"Abdusattorov, Nodirbek",2676,draw,36,A30,Calcutta,2022
2616,white,"Nakamura, Hikaru",2789,draw,28,A16,Calcutta,2022
2616,white,"Anton Guijarro, David",2633,draw,78,A46,Jerusalem,2022
2616,black,"Anton Guijarro, David",2633,win,57,C77,Jerusalem,2022
2616,black,"Sindarov, Javokhir",2554,lose,52,C50,Jerusalem,2022
2616,white,"Sindarov, Javokhir",2554,draw,33,A05,Jerusalem,2022
2616,black,"Moussard, Jules",2634,draw,50,C88,,2022
2616,white,"Moussard, Jules",2634,draw,42,A28,,2022
2616,white,"Onischuk, Alexander",2693,draw,50,E46,Jerusalem,2022
2616,black,"Sindarov, Javokhir",2554,lose,44,C50,Jerusalem,2022
2616,white,"Radjabov, Teimour",2718,draw,33,A46,Jerusalem,2022
2616,black,"Piorun, Kacper",2494,draw,62,C84,Jerusalem,2022
2616,black,"Nabaty, Tamir",2650,draw,44,D00,Jerusalem,2022
2677,white,"So, Wesley",2771,lose,43,E00,Toronto,2022
2677,black,"So, Wesley",2771,draw,56,A40,Toronto,2022
2677,white,"So, Wesley",2771,draw,23,E04,Toronto,2022
2677,white,"So, Wesley",2771,draw,22,A13,Toronto,2022
2677,black,"So, Wesley",2771,lose,43,B06,Toronto,2022
2677,black,"So, Wesley",2771,lose,34,C42,Toronto,2022
2677,white,"Giri, Anish",2764,win,104,D02,Toronto,2022
2677,white,"Giri, Anish",2764,draw,23,D02,Toronto,2022
2677,black,"Giri, Anish",2764,draw,37,C50,Toronto,2022
2677,white,"Giri, Anish",2764,win,29,E00,Toronto,2022
2677,black,"Giri, Anish",2764,lose,45,B00,Toronto,2022
2677,white,"Giri, Anish",2764,draw,77,A48,Toronto,2022
2677,black,"Giri, Anish",2764,draw,28,B00,Toronto,2022
2677,white,"Giri, Anish",2764,win,63,A48,Toronto,2022
2677,black,"Giri, Anish",2764,lose,63,B30,Toronto,2022
2677,white,"Sevian, Samuel",2684,draw,61,B06,Toronto,2022
2677,black,"Sevian, Samuel",2684,draw,38,D31,Toronto,2022
2677,white,"Sevian, Samuel",2684,win,34,C45,Toronto,2022
2677,black,"Sevian, Samuel",2684,win,33,D37,Toronto,2022
2677,white,"Sevian, Samuel",2684,draw,121,A45,Toronto,2022
2677,black,"Sevian, Samuel",2684,draw,37,D35,Toronto,2022
2677,white,"Sevian, Samuel",2684,lose,44,E46,Toronto,2022
2677,black,"Sevian, Samuel",2684,draw,30,D31,Toronto,2022
2646,black,"Assaubayeva, Bibisara",2439,draw,27,E16,Sharjah UAE,2022
2646,white,"Muradli, Mahammad",2539,lose,45,D30,Sharjah UAE,2022
2646,black,"Vokhidov, Shamsiddin",2536,draw,46,B30,Sharjah UAE,2022
2648,black,"Liang, Awonder",2613,lose,50,C18,chess.com INT,2022
2648,white,"Liang, Awonder",2613,win,22,A01,chess.com INT,2022
2648,black,"Liang, Awonder",2613,win,27,C48,chess.com INT,2022
2648,black,"Liang, Awonder",2613,draw,63,C48,chess.com INT,2022
2648,white,"Liang, Awonder",2613,win,41,D37,chess.com INT,2022
2648,black,"Liang, Awonder",2613,win,44,C40,chess.com INT,2022
2648,white,"Liang, Awonder",2613,win,32,A48,chess.com INT,2022
2648,black,"Liang, Awonder",2613,win,47,C31,chess.com INT,2022
2648,white,"Liang, Awonder",2613,win,42,A43,chess.com INT,2022
2648,black,"Liang, Awonder",2613,lose,32,C30,chess.com INT,2022
2648,white,"Liang, Awonder",2613,win,26,A47,chess.com INT,2022
2648,black,"Liang, Awonder",2613,win,8,C30,chess.com INT,2022
2648,white,"Liang, Awonder",2613,win,51,B13,chess.com INT,2022
2648,black,"Liang, Awonder",2613,win,28,E06,chess.com INT,2022
2648,white,"Liang, Awonder",2613,win,33,A04,chess.com INT,2022
2648,black,"Liang, Awonder",2613,win,25,C20,chess.com INT,2022
2648,white,"Liang, Awonder",2613,draw,69,A40,chess.com INT,2022
2648,black,"Liang, Awonder",2613,win,65,C42,chess.com INT,2022
2648,white,"Liang, Awonder",2613,win,35,C65,chess.com INT,2022
2648,black,"Liang, Awonder",2613,win,35,C48,chess.com INT,2022
2648,white,"Liang, Awonder",2613,lose,64,C40,chess.com INT,2022
2648,white,"Liang, Awonder",2613,win,25,D35,chess.com INT,2022
2648,black,"Liang, Awonder",2613,win,29,C88,chess.com INT,2022
2648,white,"Liang, Awonder",2613,draw,46,D02,chess.com INT,2022
2648,black,"Liang, Awonder",2613,lose,29,B30,chess.com INT,2022
2648,white,"Liang, Awonder",2613,draw,23,D05,chess.com INT,2022
2648,black,"Liang, Awonder",2613,lose,45,C18,chess.com INT,2022
2648,white,"Liang, Awonder",2613,draw,53,C20,chess.com INT,2022
2648,black,"Liang, Awonder",2613,win,44,C60,chess.com INT,2022
2648,white,"Liang, Awonder",2613,win,43,D40,chess.com INT,2022
2652,black,"Harikrishna, P.",2716,draw,40,C78,Solingen GER,2022
2652,white,"Mamedyarov, S.",2776,win,71,C53,Solingen GER,2022
2648,black,"Yoo, Christopher Woojin",2532,lose,74,B06,chess.com INT,2022
2648,white,"Yoo, Christopher Woojin",2532,lose,25,A46,chess.com INT,2022
2648,black,"Yoo, Christopher Woojin",2532,win,75,B06,chess.com INT,2022
2648,white,"Yoo, Christopher Woojin",2532,draw,52,A48,chess.com INT,2022
2648,black,"Yoo, Christopher Woojin",2532,win,80,C50,chess.com INT,2022
2648,white,"Yoo, Christopher Woojin",2532,draw,63,D02,chess.com INT,2022
2648,black,"Yoo, Christopher Woojin",2532,lose,38,C50,chess.com INT,2022
2648,white,"Yoo, Christopher Woojin",2532,draw,52,A46,chess.com INT,2022
2648,black,"Yoo, Christopher Woojin",2532,win,34,C60,chess.com INT,2022
2648,white,"Yoo, Christopher Woojin",2532,win,65,D02,chess.com INT,2022
2648,black,"Yoo, Christopher Woojin",2532,lose,18,C50,chess.com INT,2022
2648,white,"Yoo, Christopher Woojin",2532,win,42,A48,chess.com INT,2022
2648,black,"Yoo, Christopher Woojin",2532,lose,55,C77,chess.com INT,2022
