rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2718,black,"Anton Guijarro, David",2633,lose,68,E20,,2022
2718,white,"Anton Guijarro, David",2633,draw,43,E10,,2022
2718,black,"Nabaty, Tamir",2650,lose,55,A45,Jerusalem,2022
2718,black,"Wojtaszek, Radoslaw",2636,lose,32,A29,Jerusalem,2022
2718,black,"Nihal, Sarin",2616,draw,33,A46,Jerusalem,2022
2718,white,"Bruzon Batista, Lazaro",2619,win,43,E20,Jerusalem,2022
2718,black,"Sindarov, Javokhir",2554,draw,55,C50,Jerusalem,2022
2747,white,"Giri, Anish",2764,lose,38,A48,Toronto,2022
2747,white,"Giri, Anish",2764,draw,19,E10,Toronto,2022
2747,black,"Giri, Anish",2764,win,52,C10,Toronto,2022
2747,white,"Giri, Anish",2764,win,57,A06,Toronto,2022
2747,black,"Giri, Anish",2764,lose,34,C50,Toronto,2022
2747,white,"Giri, Anish",2764,draw,54,E24,Toronto,2022
2747,black,"Giri, Anish",2764,lose,61,B31,Toronto,2022
2747,white,"Giri, Anish",2764,draw,32,D38,Toronto,2022
2747,black,"Giri, Anish",2764,draw,36,B31,Toronto,2022
2753,black,"Rapport, Richard",2764,win,33,C65,Madrid,2022
2753,white,"Caruana, Fabiano",2783,draw,31,E04,Madrid,2022
2753,black,"Ding, Liren",2806,win,26,E48,Madrid,2022
2753,white,"Duda, Jan Krzysztof",2750,draw,33,A15,Madrid,2022
2753,black,"Nepomniachtchi, Ian",2766,draw,37,E10,Madrid,2022
2753,white,"Nakamura, Hikaru",2760,win,41,C65,Madrid,2022
2753,black,"Firouzja, Alireza",2793,draw,93,C50,Madrid,2022
2753,black,"Caruana, Fabiano",2783,lose,56,B28,Madrid,2022
2753,white,"Rapport, Richard",2764,draw,40,B46,Madrid,2022
2753,white,"Ding, Liren",2806,draw,50,E00,Madrid,2022
2753,black,"Duda, Jan Krzysztof",2750,draw,41,C65,Madrid,2022
2753,white,"Nepomniachtchi, Ian",2766,draw,30,E04,Madrid,2022
2753,black,"Nakamura, Hikaru",2760,lose,75,C65,Madrid,2022
2753,white,"Firouzja, Alireza",2793,draw,71,E10,Madrid,2022
2753,black,"Mamedyarov, Shakhriyar",2770,draw,35,E10,The Stavanger region,2022
2753,white,"Wang, Hao",2744,draw,29,C43,The Stavanger region,2022
2753,black,"Anand, Viswanathan",2751,draw,42,C53,The Stavanger region,2022
2753,white,"Topalov, Veselin",2730,draw,31,E36,The Stavanger region,2022
2753,black,"Giri, Anish",2761,lose,40,C65,The Stavanger region,2022
2753,white,"Vachier-Lagrave, Maxime",2750,draw,30,D85,The Stavanger region,2022
2753,black,"Carlsen, Magnus",2864,lose,36,E10,The Stavanger region,2022
2753,white,"Tari, Aryan",2654,draw,33,D41,The Stavanger region,2022
2753,black,"So, Wesley",2766,lose,38,C50,The Stavanger region,2022
2705,black,"Topalov, Veselin",2667,draw,47,A15,The Stavanger region,2022
2705,white,"So, Wesley",2814,lose,27,D26,The Stavanger region,2022
2705,black,"Tari, Aryan",2567,lose,33,C10,The Stavanger region,2022
2705,white,"Vachier-Lagrave, Maxime",2813,lose,46,D26,The Stavanger region,2022
