rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2668,white,"Aronian, Levon",2809,lose,63,E04,Saint Louis,2023
2668,black,"Caruana, Fabiano",2818,lose,40,C78,Saint Louis,2023
2668,black,"Shankland, Samuel L",2638,lose,56,C69,Saint Louis,2023
2668,white,"Shankland, Samuel L",2638,draw,37,B92,Saint Louis,2023
2596,black,"Shankland, Samuel L",2600,lose,58,C67,Saint Louis,2023
2596,white,"Shankland, Samuel L",2600,win,58,C55,Saint Louis,2023
2596,white,"Shankland, Samuel L",2600,draw,50,C55,Saint Louis,2023
2596,black,"Shankland, Samuel L",2600,draw,68,C67,Saint Louis,2023
2702,white,"Caruana, Fabiano",2766,draw,32,C47,Saint Louis,2023
2596,black,"Caruana, Fabiano",2758,lose,54,E01,Saint Louis,2023
2596,white,"Caruana, Fabiano",2758,draw,69,E50,Saint Louis,2023
2702,black,"Caruana, Fabiano",2766,draw,81,E10,Saint Louis,2023
2690,white,"Xiong, Jeffery",2690,draw,72,D27,Saint Louis,2022
2690,black,"Yoo, Christopher Woojin",2563,draw,34,C67,Saint Louis,2022
2690,white,"Liang, Awonder",2608,draw,34,C02,Saint Louis,2022
2690,black,"Sevian, Samuel",2684,draw,37,E10,Saint Louis,2022
2690,white,"Lenderman, Aleksandr",2535,draw,89,D12,Saint Louis,2022
2690,black,"Moradiabadi, Elshan",2534,win,38,C65,Saint Louis,2022
2690,white,"So, Wesley",2774,win,35,E50,Saint Louis,2022
2690,black,"Niemann, Hans Moke",2699,win,35,A50,Saint Louis,2022
2690,white,"Swiercz, Dariusz",2652,draw,116,D12,Saint Louis,2022
2690,black,"Aronian, Levon",2755,draw,57,E10,Saint Louis,2022
2690,black,"Dominguez Perez, Leinier",2747,draw,93,C67,Saint Louis USA,2022
2690,white,"Caruana, Fabiano",2763,draw,47,E10,Saint Louis,2022
2690,black,"Shankland, Samuel L",2712,draw,35,C65,Saint Louis,2022
2682,black,Nihal Sarin,2651,draw,30,C67,Abu Dhabi,2022
2682,white,"Yakubboev, Nodirbek",2620,draw,24,E91,Abu Dhabi,2022
2682,black,Erigaisi Arjun,2689,draw,37,C58,Abu Dhabi,2022
2682,black,"Van Foreest, Jorden",2680,draw,44,E01,Abu Dhabi,2022
2682,white,"Nisipeanu, Liviu-Dieter",2644,win,45,C55,Abu Dhabi,2022
2682,black,"Karthikeyan, Murali",2613,win,45,C65,Abu Dhabi,2022
