rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2633,white,"Grischuk, Alexander",2763,win,46,E49,Almaty,2022
2633,black,"Lazavik, Denis",2484,draw,35,D70,Almaty,2022
2633,white,"Indjic, Aleksandar",2616,win,48,A56,Almaty,2022
2633,black,"Shimanov, Aleksandr",2605,lose,53,C46,Almaty,2022
2633,white,"Abdusattorov, Nodirbek",2666,win,29,D32,Almaty,2022
2633,black,"Yoo, Christopher Woojin",2463,win,56,C77,Almaty,2022
2633,white,"Moiseenko, Alexander",2577,win,58,E24,Almaty,2022
2633,black,"Tabatabaei, M. Amin",2551,win,31,E73,Almaty,2022
2633,black,"Nogerbek, Kazybek",2487,draw,76,A05,Almaty,2022
2633,white,"Sargissian, Gabriel",2559,draw,65,D35,Almaty,2022
2633,black,"Bilguun, Sumiya",2365,draw,94,C55,Almaty,2022
2633,white,"Le, Tuan Minh",2530,lose,34,D15,Almaty,2022
2633,black,"Dragnev, Valentin",2523,lose,59,C88,Almaty,2022
2633,white,"Murzin, Volodar",2586,draw,33,D43,Almaty,2022
2633,black,"Ter-Sahakyan, Samvel",2585,win,32,A48,Almaty,2022
2633,white,"Hambleton, Aman",2538,win,46,E24,Almaty,2022
2633,black,"Najer, Evgeniy",2566,lose,58,C88,Almaty,2022
2633,white,Harsha Bharathakoti,2527,win,51,D35,Almaty,2022
2633,black,"Ganguly, Surya Shekhar",2530,lose,52,C45,Almaty,2022
2633,white,"Makarian, Rudik",2440,win,25,A41,Almaty,2022
2644,black,"Quparadze, Giga",2538,win,52,C88,Almaty,2022
2644,black,"Asadli, Vugar",2491,draw,73,C47,Almaty,2022
2644,white,"Kovalev, Vladislav",2523,win,58,E49,Almaty,2022
2644,black,"Adhiban, Baskaran",2538,draw,62,E70,Almaty,2022
2644,white,"Kobalia, Mihail",2534,draw,52,D12,Almaty,2022
2644,black,"Nguyen, Thai Dai Van",2534,draw,81,E94,Almaty,2022
2644,white,"Puranik, Abhimanyu",2549,draw,64,D70,Almaty,2022
2644,black,"Durarbayli, Vasif",2513,win,72,C55,Almaty,2022
2644,black,"Tsydypov, Zhamsaran",2550,lose,55,C55,Almaty,2022
2644,white,"Nepomniachtchi, Ian",2766,lose,39,E49,Almaty,2022
2644,white,"Indjic, Aleksandar",2547,win,34,A50,Almaty,2022
2644,black,"Urazayev, Arystanbek",2535,draw,38,C47,Almaty,2022
2644,white,"Tin, Jingyao",2462,win,41,D12,Almaty,2022
2679,white,"Chanda, Sandipan",2458,win,39,A80,Abu Dhabi,2022
2679,black,"Sethuraman, SP.",2625,lose,45,B31,Abu Dhabi,2022
2679,white,"Sindarov, Javokhir",2629,draw,23,D70,Abu Dhabi,2022
2679,black,"Muradli, Mahammad",2552,win,28,E73,Abu Dhabi,2022
2679,white,"Mendonca, Leon Luke",2571,draw,77,B12,Abu Dhabi,2022
2679,black,"Iniyan, P",2556,draw,39,C55,Abu Dhabi,2022
