rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2668,white,"Shevchenko, Kirill",2668,draw,12,D82,Vrnjacka Banja,2023
2668,black,"Esipenko, Andrey",2680,draw,46,E10,Vrnjacka Banja,2023
2668,white,"Korobov, Anton",2658,win,57,E11,Vrnjacka Banja,2023
2668,white,"Kuzubov, Yuriy",2616,win,62,E10,Vrnjacka Banja,2023
2668,black,"Abasov, Nijat",2625,draw,29,E10,Vrnjacka Banja,2023
2668,white,"Dragnev, Valentin",2561,win,34,D32,Vrnjacka Banja,2023
2668,black,"Pechac, Jergus",2598,draw,9,E10,Vrnjacka Banja,2023
2668,white,"Muradli, Mahammad",2539,win,39,E41,Vrnjacka Banja,2023
2668,black,"Goryachkina, Aleksandra",2576,draw,26,A16,Vrnjacka Banja,2023
2668,white,"Firat, Burak",2471,win,33,E73,Vrnjacka Banja,2023
2668,black,"Nyysti, Sampsa",2345,win,79,B91,Vrnjacka Banja,2023
2708,black,"Duda, Jan Krzysztof",2773,win,101,B91,Almaty,2022
2708,black,"Martirosyan, Haik M.",2745,lose,75,E10,Almaty,2022
2708,white,"Carlsen, Magnus",2830,win,24,D35,Almaty,2022
2708,white,"Nakamura, Hikaru",2909,win,85,A50,Almaty,2022
2708,black,"Dubov, Daniil",2792,win,60,D02,Almaty,2022
2708,white,"Sadhwani, Raunak",2657,win,63,A29,Almaty,2022
2708,black,"Quparadze, Giga",2587,win,56,B91,Almaty,2022
2708,black,"Aravindh, Chithambaram VR.",2586,win,73,A01,Almaty,2022
2708,white,"Sychev, Klementy",2563,win,33,E49,Almaty,2022
2708,black,Narayanan.S.L,2562,win,38,A06,Almaty,2022
2708,black,"Maze, Sebastien",2431,win,38,B52,Almaty,2022
2708,white,"Makhnev, Denis",2507,win,31,E49,Almaty,2022
2708,black,"Nesterov, Arseniy",2477,lose,113,E10,Almaty,2022
2708,white,"Utegaliyev, Azamat",2405,win,28,E73,Almaty,2022
2708,black,"Makarian, Rudik",2440,lose,78,A00,Almaty,2022
2708,white,"Sargissian, Gabriel",2559,lose,49,D35,Almaty,2022
2708,black,"Cheng, Bobby",2476,win,37,E10,Almaty,2022
2708,white,"Tabatabaei, M. Amin",2551,lose,51,A50,Almaty,2022
2708,black,Sankalp Gupta,2430,win,39,B97,Almaty,2022
2708,white,"Dragnev, Valentin",2523,lose,45,E49,Almaty,2022
2629,white,"Nihal, Sarin",2628,draw,38,D27,Almaty,2022
2629,black,"Giri, Anish",2708,draw,25,A13,Almaty,2022
2629,black,"Tsydypov, Zhamsaran",2550,lose,34,E11,Almaty,2022
2629,black,"Tsydypov, Zhamsaran",2550,win,43,B52,Almaty,2022
2629,white,"Tabatabaei, M. Amin",2526,draw,99,A13,Almaty,2022
2629,black,"Nepomniachtchi, Ian",2766,draw,36,A13,Almaty,2022
2629,white,"Duda, Jan Krzysztof",2791,draw,27,A50,Almaty,2022
2629,white,"Quparadze, Giga",2538,draw,66,E48,Almaty,2022
2629,black,"Mamedyarov, Shakhriyar",2746,draw,49,A07,Almaty,2022
2629,white,"Vokhidov, Shamsiddin",2481,win,59,E48,Almaty,2022
2629,black,"Kobalia, Mihail",2534,win,53,B52,Almaty,2022
2629,white,"Lazavik, Denis",2453,draw,35,E47,Almaty,2022
2629,black,"Nguyen, Thai Dai Van",2534,draw,47,A06,Almaty,2022
2629,white,"Harutyunyan, Tigran K.",2441,win,32,A50,Almaty,2022
2662,black,"Ioannidis, Evgenios",2486,win,33,E10,Vrnjacka Banja,2022
2662,white,"Tadic, Stefan",2318,lose,36,D17,Vrnjacka Banja,2022
2662,black,"Predojevic, Borki",2584,draw,18,B51,Vrnjacka Banja,2022
2662,white,"Demchenko, Anton",2645,win,62,E73,Vrnjacka Banja,2022
2662,black,"Risteski, Emil",2364,win,53,B23,Vrnjacka Banja,2022
2662,white,"Budisavljevic, Luka",2524,win,54,E47,Vrnjacka Banja,2022
