rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2664,black,"Tabatabaei, M. Amin",2677,draw,47,E00,Germany,2023
2664,white,"Kamsky, Gata",2665,win,63,C45,Germany,2023
2664,white,"Areshchenko, Alexander",2627,draw,22,C80,Germany,2023
2674,white,"Michalik, Peter",2577,draw,49,B30,Czech Republic,2023
2674,white,"Tari, Aryan",2649,draw,31,C67,Czech Republic,2023
2674,black,"Kaasen, Tor Fredrik",2464,win,55,D30,Germany,2023
2674,white,"Bartel, Mateusz",2609,lose,54,C18,Germany,2023
2674,white,"Kozak, Adam",2552,draw,48,C65,Vrnjacka Banja,2023
2674,black,"Lagarde, Maxime",2583,draw,44,E94,Vrnjacka Banja,2023
2674,white,"Dvirnyy, Danyyil",2531,draw,47,B12,Vrnjacka Banja,2023
2674,black,"Fernandez, Daniel Howard",2498,win,43,A06,Vrnjacka Banja,2023
2674,white,"Gharibyan, Mamikon",2491,draw,35,C88,Vrnjacka Banja,2023
2674,black,"Svane, Frederik",2577,lose,67,B97,Vrnjacka Banja,2023
2674,white,"Guliyev, Namig",2528,win,61,C42,Vrnjacka Banja,2023
2674,black,"Sychev, Klementy",2549,draw,46,D43,Vrnjacka Banja,2023
2674,white,"Murzin, Volodar",2554,draw,40,C78,Vrnjacka Banja,2023
2674,black,"Clarke, Brandon G I",2475,win,65,B22,Vrnjacka Banja,2023
2674,white,"Milosevic, Milos",2347,win,41,C42,Vrnjacka Banja,2023
2661,black,"Vitiugov, Nikita",2723,draw,38,D11,Germany,2023
2661,black,"Demchenko, Anton",2625,win,53,B50,Germany,2023
2661,white,"Mendonca, Leon Luke",2541,draw,48,B12,Germany,2023
2657,black,"Warakomski, Tomasz",2535,draw,22,B93,Czech Republic,2023
2657,white,"Korobov, Anton",2651,draw,49,C11,Czech Republic,2023
2674,white,"Ragger, Markus",2632,draw,70,C84,Germany,2022
2674,black,"Rozentalis, Eduardas",2500,draw,65,B22,,2022
2674,white,"Bluebaum, Matthias",2651,lose,66,C42,,2022
2674,black,"Markus, Robert",2608,draw,31,E10,,2022
