rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2684,white,"Martirosyan, Haik M.",2675,draw,20,E10,Jermuk,2023
2684,white,"Davtyan, Artur",2506,win,49,D41,Jermuk,2023
2684,black,"Tabatabaei, M. Amin",2677,draw,41,E04,Jermuk,2023
2684,white,Narayanan.S.L,2660,draw,27,E49,Jermuk,2023
2684,black,"Esipenko, Andrey",2679,win,53,E04,Jermuk,2023
2684,white,"Nguyen, Thai Dai Van",2645,win,37,E06,Jermuk,2023
2684,white,"Mishra, Abhimanyu",2550,win,73,D11,Saint Louis,2023
2684,black,"Yoo, Christopher Woojin",2607,draw,102,A08,Saint Louis,2023
2684,black,"Yakubboev, Nodirbek",2630,lose,40,A28,Saint Louis,2023
2684,black,"Bok, Benjamin",2607,lose,75,E04,Saint Louis,2023
2684,white,"Swiercz, Dariusz",2637,draw,179,A28,Saint Louis,2023
2684,black,"Nyzhnyk, Illya",2644,draw,36,E03,Saint Louis,2023
2684,white,"Dardha, Daniel",2625,win,45,C67,Saint Louis,2023
2684,black,"Gledura, Benjamin",2644,draw,40,C50,Saint Louis,2023
2693,white,"Aronian, Levon",2809,lose,38,A16,Saint Louis,2023
2693,white,"Dominguez Perez, Leinier",2647,draw,62,A34,Saint Louis,2023
2693,black,"Caruana, Fabiano",2818,lose,77,A22,Saint Louis,2023
2582,white,"Aronian, Levon",2720,draw,72,E32,Saint Louis,2023
2582,black,"Aronian, Levon",2720,lose,45,C77,Saint Louis,2023
2687,white,"Nakamura, Hikaru",2768,draw,44,E10,Saint Louis,2023
2687,black,"Nakamura, Hikaru",2768,lose,52,C77,Saint Louis,2023
2684,black,"Nihal, Sarin",2677,draw,61,B06,Toronto,2022
2684,white,"Nihal, Sarin",2677,draw,38,D31,Toronto,2022
2684,black,"Nihal, Sarin",2677,lose,34,C45,Toronto,2022
2684,white,"Nihal, Sarin",2677,lose,33,D37,Toronto,2022
2684,black,"Nihal, Sarin",2677,draw,121,A45,Toronto,2022
2684,white,"Nihal, Sarin",2677,draw,37,D35,Toronto,2022
2684,black,"Nihal, Sarin",2677,win,44,E46,Toronto,2022
2684,white,"Nihal, Sarin",2677,draw,30,D31,Toronto,2022
2684,black,"So, Wesley",2774,draw,122,E04,Saint Louis,2022
2684,white,"Niemann, Hans Moke",2699,lose,78,D41,Saint Louis,2022
2684,black,"Swiercz, Dariusz",2652,win,42,C80,Saint Louis,2022
2684,white,"Robson, Ray",2690,draw,37,E10,Saint Louis,2022
2684,black,"Dominguez Perez, Leinier",2747,draw,113,C83,Saint Louis,2022
2684,white,"Caruana, Fabiano",2763,draw,47,E20,Saint Louis,2022
2684,black,"Shankland, Samuel L",2712,draw,52,C80,Saint Louis,2022
2684,white,"Xiong, Jeffery",2690,draw,37,D41,Saint Louis,2022
2684,black,"Yoo, Christopher Woojin",2563,draw,115,C53,Saint Louis,2022
2684,white,"Liang, Awonder",2608,draw,51,C65,Saint Louis,2022
2684,white,"Aronian, Levon",2755,draw,98,D37,Saint Louis,2022
2684,black,"Lenderman, Aleksandr",2535,draw,35,E04,Saint Louis,2022
2684,white,"Moradiabadi, Elshan",2534,win,61,E16,Saint Louis,2022
2703,black,"Theodorou, Nikolas",2567,lose,45,E24,Saint Louis,2022
2703,white,"Smirin, Ilia",2603,lose,46,B43,Saint Louis,2022
2703,black,"Yu, Yangyi",2710,draw,41,C83,Saint Louis,2022
2703,white,"Oparin, Grigoriy",2685,draw,40,A16,Saint Louis,2022
2703,black,"Gledura, Benjamin",2644,draw,41,E36,Saint Louis,2022
2703,white,"Bjerre, Jonas Buhl",2610,draw,40,A05,Saint Louis,2022
2703,black,"Hakobyan, Aram",2615,draw,58,E48,Saint Louis,2022
2703,white,"Mishra, Abhimanyu",2535,draw,33,D13,Saint Louis,2022
2703,black,"Harsha, B.",2547,win,69,A06,chess.com INT,2022
2703,black,"Ibarra Jerez, JC.",2570,win,43,B10,chess.com INT,2022
2703,white,"Kobo, Ori",2534,lose,73,C53,chess.com INT,2022
2703,black,"Xu, Yi",2507,lose,83,B12,chess.com INT,2022
2703,white,"Moiseenko, A1.",2582,win,27,B33,chess.com INT,2022
2703,black,"Rychagov, A.",2549,win,36,A71,chess.com INT,2022
2703,white,"Priasmoro, Novendra",2501,lose,53,C55,chess.com INT,2022
2703,black,"Kovalev, Vl",2623,lose,28,B10,chess.com INT,2022
2703,white,"Rustemov, A.",2525,win,46,C10,chess.com INT,2022
2703,white,"Vidit, S.",2723,lose,57,C65,chess.com INT,2022
2703,black,"Tabatabaei, M.",2645,win,61,D02,chess.com INT,2022
2703,white,"Jumabayev, R.",2628,draw,14,C67,chess.com INT,2022
2703,black,"Fedoseev, Vl3",2701,draw,62,E10,chess.com INT,2022
2703,white,"Nakamura, Hi",2766,win,57,C50,chess.com INT,2022
2703,black,"Abdusattorov, Nodirbek",2661,win,49,A28,chess.com INT,2022
2703,black,"Giri, A.",2761,draw,26,C50,chess.com INT,2022
2703,white,"Vidit, S.",2723,win,49,C50,chess.com INT,2022
2703,white,"Bacrot, E.",2638,win,45,B54,chess.com INT,2022
2703,black,"Hakobyan, Aram",2615,win,39,D10,chess.com INT,2022
2693,black,"Xiong, Jeffery",2685,draw,55,A45,Saint Louis USA,2022
2693,white,"Gledura, B.",2652,win,29,A48,Saint Louis USA,2022
2698,black,"Xiong, Jeffery",2727,draw,56,A45,Saint Louis,2022
2698,white,"So, Wesley",2814,lose,35,C50,Saint Louis,2022
2698,black,"Aronian, Levon",2773,draw,19,B50,Saint Louis,2022
2698,white,"Akobian, Varuzhan",2634,win,56,D34,Saint Louis,2022
2698,black,"Dominguez Perez, Leinier",2728,draw,62,C77,Saint Louis,2022
2693,black,"Bortnyk, Olexandr",2604,win,59,A45,chess.com INT,2022
2693,white,"Moskalenko, A.",2508,win,46,A01,chess.com INT,2022
2693,white,"Tari, A.",2650,win,39,A01,chess.com INT,2022
2693,black,"Mardov, Dimitar",2402,win,48,B42,chess.com INT,2022
2693,white,"Jobava, Ba",2588,lose,66,A01,chess.com INT,2022
2693,white,"Shimanov, A.",2581,win,27,A01,chess.com INT,2022
2693,black,"Sanal, V.",2593,win,37,B23,chess.com INT,2022
2693,white,"Chigaev, M.",2631,draw,78,A01,chess.com INT,2022
2693,black,"Xu, Yi",2507,win,35,C55,chess.com INT,2022
2693,white,"Talibov, Shiroghlan",2340,win,29,A01,chess.com INT,2022
2693,black,"Kanyamarala, Tarun",2403,win,15,A50,chess.com INT,2022
2693,white,"Robson, R.",2681,draw,71,D31,Saint Louis USA,2022
2693,black,"Robson, R.",2681,lose,37,E04,Saint Louis USA,2022
2693,black,"Robson, R.",2681,draw,50,E04,Saint Louis USA,2022
2693,white,"Robson, R.",2681,draw,64,C67,Saint Louis USA,2022
2586,black,"Robson, Ray",2605,draw,51,E04,Saint Louis,2022
2586,white,"Robson, Ray",2605,draw,65,C67,Saint Louis,2022
2586,black,"Caruana, Fabiano",2784,lose,66,B06,Saint Louis,2022
2586,white,"Caruana, Fabiano",2784,lose,61,A46,Saint Louis,2022
2693,white,"Caruana, Fabiano",2781,draw,32,A31,Saint Louis,2022
2693,black,"Caruana, Fabiano",2781,draw,39,E49,Saint Louis,2022
2693,white,"So, Wesley",2778,draw,37,A50,Saint Louis,2022
2693,black,"So, Wesley",2778,win,36,E48,Saint Louis,2022
2693,white,"Sarana, A.",2675,lose,61,E10,chess.com INT,2022
2693,black,"Aronian, L.",2785,draw,72,B70,chess.com INT,2022
2693,black,"Xiong, Jeffery",2685,draw,65,B10,chess.com INT,2022
2693,white,"Alekseenko, K.",2698,win,45,C75,chess.com INT,2022
2693,black,"Matlakov, M.",2674,win,26,B12,chess.com INT,2022
2693,white,"So, W.",2778,lose,43,D30,chess.com INT,2022
2693,white,"Hess, Ro",2591,win,51,A04,chess.com INT,2022
2693,black,"Dreev, A.",2623,draw,70,D37,chess.com INT,2022
2693,white,"Nakamura, Hi",2750,lose,39,E06,chess.com INT,2022
2693,black,"Kovalev, Vl",2623,win,62,B10,chess.com INT,2022
2693,white,"Paravyan, D.",2617,lose,89,C43,chess.com INT,2022
2693,black,"Dreev, A.",2623,win,30,A49,chess.com INT,2022
2693,black,"Deac, Bogdan-Daniel",2679,win,66,B10,chess.com INT,2022
2693,white,"Caruana, F.",2781,lose,36,A21,chess.com INT,2022
2693,white,"Esipenko, Andrey",2723,lose,86,D30,chess.com INT,2022
2693,black,"Aronian, L.",2785,draw,90,B13,chess.com INT,2022
2693,black,"Kamsky, G.",2661,lose,82,A45,chess.com INT,2022
2693,white,"Hess, Ro",2591,win,62,E06,chess.com INT,2022
2693,black,"Sanal, V.",2593,lose,87,B00,chess.com INT,2022
2693,white,"Hambleton, A.",2454,win,51,A03,chess.com INT,2022
2693,white,"He, Anthony",2437,lose,26,A02,chess.com INT,2022
2693,black,"Naroditsky, D.",2616,draw,36,C47,chess.com INT,2022
2693,white,"Rasulov, Vu",2445,win,53,A03,chess.com INT,2022
2693,black,"Pakleza, Z.",2505,win,64,A46,chess.com INT,2022
2693,white,"Koziorowicz, Michal",2231,win,39,A02,chess.com INT,2022
2693,black,"Danilov, V.",2378,win,28,A01,chess.com INT,2022
