rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2638,black,"Durarbayli, Vasif",2543,lose,46,C26,Saint Louis,2023
2638,black,"Quesada Perez, Yasser",2498,draw,44,B23,Saint Louis,2023
2638,black,"Dominguez Perez, Leinier",2647,lose,46,C67,Saint Louis,2023
2638,white,"Caruana, Fabiano",2818,lose,44,E21,Saint Louis,2023
2638,black,"Hakobyan, Aram",2563,win,49,B52,Saint Louis,2023
2638,white,"Quesada Perez, Yuniesky",2600,win,63,D10,Saint Louis,2023
2638,black,"Budisavljevic, Luka",2424,win,38,D12,Saint Louis,2023
2600,white,"Dominguez Perez, Leinier",2703,draw,50,C43,Saint Louis,2023
2600,black,"Dominguez Perez, Leinier",2703,lose,48,B90,Saint Louis,2023
2638,white,"Robson, Ray",2668,win,56,C69,Saint Louis,2023
2638,black,"Robson, Ray",2668,draw,37,B92,Saint Louis,2023
2600,white,"Robson, Ray",2596,win,58,C67,Saint Louis,2023
2600,black,"Robson, Ray",2596,lose,58,C55,Saint Louis,2023
2600,black,"Robson, Ray",2596,draw,50,C55,Saint Louis,2023
2600,white,"Robson, Ray",2596,draw,68,C67,Saint Louis,2023
2710,white,"So, Wesley",2761,draw,36,C67,Saint Louis,2023
2600,black,"So, Wesley",2780,lose,42,C55,Saint Louis,2023
2600,white,"So, Wesley",2780,draw,123,C67,Saint Louis,2023
2710,black,"So, Wesley",2761,draw,37,C78,Saint Louis,2023
2612,black,"Nguyen, Thai Dai Van",2534,draw,35,A04,Almaty,2022
2612,white,"Hansen, Eric",2568,win,72,A20,Almaty,2022
2612,black,"Zhigalko, Sergei",2662,lose,48,C02,Almaty,2022
2612,black,"Yoo, Christopher Woojin",2463,lose,60,A14,Almaty,2022
2612,white,"Shimanov, Aleksandr",2605,lose,77,A13,Almaty,2022
2612,black,"Mamedyarov, Shakhriyar",2733,win,24,D50,Almaty,2022
2612,white,"Nihal, Sarin",2702,draw,55,D31,Almaty,2022
2612,black,"Nesterov, Arseniy",2477,win,69,D41,Almaty,2022
2612,white,"Dardha, Daniel",2528,lose,35,C45,Almaty,2022
2612,black,"Hovhannisyan, Robert",2570,win,58,B53,Almaty,2022
2612,white,"Tsaruk, Maksim",2330,win,57,D20,Almaty,2022
2612,black,"Le, Tuan Minh",2530,lose,36,D02,Almaty,2022
2612,white,"Caruana, Fabiano",2847,lose,39,A50,Almaty,2022
2612,black,"Vachier-Lagrave, Maxime",2771,lose,34,C01,Almaty,2022
2612,white,"Abdusattorov, Nodirbek",2666,win,39,D54,Almaty,2022
2612,black,Erigaisi Arjun,2750,win,59,A01,Almaty,2022
2612,white,"Artemiev, Vladislav",2803,draw,49,A50,Almaty,2022
2612,black,"Fedorov, Alexei",2488,win,50,B20,Almaty,2022
2612,white,"Giri, Anish",2792,lose,31,D12,Almaty,2022
2612,black,"Ansat, Aldiyar",2302,win,55,B66,Almaty,2022
2612,white,"Aleksandrov, Aleksej",2391,win,53,A13,Almaty,2022
2657,white,"Hambleton, Aman",2450,lose,37,A30,Almaty,2022
2657,black,"Svane, Frederik",2466,lose,56,B69,Almaty,2022
