rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2684,black,"Eljanov, Pavel",2705,win,71,E68,Germany,2023
2684,white,Narayanan.S.L,2661,win,73,E10,Germany,2023
2668,white,"Plat, Vojtech",2521,draw,30,A41,Germany,2023
2668,black,"Kryvoruchko, Yuriy",2656,win,50,C77,Germany,2023
2668,black,"Sarana, Alexey",2668,draw,12,D82,Vrnjacka Banja,2023
2668,white,"Gledura, Benjamin",2637,win,53,D10,Vrnjacka Banja,2023
2668,black,"Bernadskiy, Vitaliy",2611,win,45,C78,Vrnjacka Banja,2023
2668,white,"Abasov, Nijat",2625,draw,62,A05,Vrnjacka Banja,2023
2668,black,"Kobalia, Mihail",2577,win,35,B51,Vrnjacka Banja,2023
2668,white,"Stefansson, Vignir Vatnar",2461,win,49,A13,Vrnjacka Banja,2023
2668,white,"Gavrilescu, David",2527,draw,56,A13,Vrnjacka Banja,2023
2668,black,"Pultinevicius, Paulius",2546,draw,31,D85,Vrnjacka Banja,2023
2668,white,"Kozak, Adam",2552,draw,21,C65,Vrnjacka Banja,2023
2668,black,"Janzelj, Tim",2472,win,37,B22,Vrnjacka Banja,2023
2668,white,"Atakishiyev, Elmar",2344,win,58,A29,Vrnjacka Banja,2023
2662,black,"David, Alexandru-Vasile",2405,win,28,E91,Kragero,2023
2662,white,"Parligras, Mircea Emilian",2570,win,53,C65,Sebes,2023
2662,white,"Lupulescu, Constantin",2592,win,55,A06,Sebes,2023
2662,black,"Gavrilescu, David",2522,win,50,B23,Sebes,2023
2662,black,"Bulmaga, Irina",2428,draw,18,B93,Sebes,2023
2662,white,"Ciorgovean, Iustin",2319,win,30,A06,Sebes,2023
2662,white,"Manea, Alexandru",2335,win,41,D12,Sebes,2023
2662,black,"Stan, Andrei-Mihaita",2053,win,37,E81,Sebes,2023
2662,white,"Tampea, Radu",2110,draw,35,D31,Sebes,2023
2662,black,"Schroeder, Jan-Christian",2559,draw,27,B49,Germany,2023
2662,white,"Nisipeanu, Liviu-Dieter",2602,draw,23,A13,Germany,2023
2649,white,Aryan Chopra,2629,win,45,A16,Barcelona,2022
2649,black,"Tin, Jingyao",2562,lose,39,D97,Barcelona,2022
2649,white,"Basso, Pier Luigi",2503,win,47,A07,Barcelona,2022
2649,black,"Petkov, Momchil",2531,draw,32,B30,Barcelona,2022
2584,white,"Sindarov, Javokhir",2554,win,65,C80,,2022
2584,black,"Sindarov, Javokhir",2554,lose,50,B23,,2022
2584,black,"Van Foreest, Lucas",2585,win,26,E71,Jerusalem,2022
2584,white,"Anton Guijarro, David",2633,win,34,A06,Jerusalem,2022
2584,white,"Xu, Xiangyu",2577,draw,37,B30,Jerusalem,2022
2584,white,"Moussard, Jules",2634,win,51,A29,Jerusalem,2022
2645,white,"Palac, Mladen",2516,win,38,C77,,2022
2645,black,"Zelcic, Robert",2495,win,74,B33,,2022
2645,white,"Kozul, Zdenko",2549,win,54,B62,,2022
2645,black,Santos Latasa,2677,draw,13,E94,,2022
2645,white,"Moussard, Jules",2686,draw,40,C42,,2022
2645,black,"Livaic, Leon",2574,win,34,E90,,2022
2645,white,"Yilmaz, Mustafa",2621,draw,13,C77,"Zagreb, Croatia",2022
2645,black,"Bosiocic, Marin",2548,draw,50,A05,"Zagreb, Croatia",2022
2645,white,"Stevic, Hrvoje",2554,draw,68,A26,"Zagreb, Croatia",2022
2645,white,"Kuzubov, Yuriy",2612,draw,31,C43,Mayrhofen,2022
2645,black,"Brunner, Nicolas",2448,win,52,D82,Mayrhofen,2022
2645,white,"Neugebauer, Martin",2517,draw,31,B93,Mayrhofen,2022
2645,white,"Seo, Jung Min",2520,win,45,C65,Mayrhofen,2022
2645,black,"Rapport, Richard",2754,win,59,A05,Mayrhofen,2022
2645,white,"Hauge, Lars Oskar",2531,win,48,A29,Mayrhofen,2022
,black,"Donchenko, Alexander",,draw,10,C47,"Porec, Croatia",2022
,black,"Donchenko, Alexander",,draw,11,D13,Porec,2022
,white,"Motylev, Alexander",,draw,37,E35,Porec,2022
,black,"Fedorchuk, Sergey A.",,draw,70,B40,Porec,2022
,white,"Cheparinov, Ivan",,lose,70,C78,Porec,2022
,white,"Saric, Ivan",,lose,28,A20,Porec,2022
2645,black,"Lupulescu, Constantin",2614,draw,18,D12,Wojtaszek,2022
2645,white,"Grandelius, Nils",2651,draw,27,D12,Wojtaszek,2022
2645,black,"Piorun, Kacper",2623,draw,49,C07,Wojtaszek,2022
2645,white,"Kempinski, Robert",2549,draw,36,B93,Wojtaszek,2022
2645,black,"Pechac, Jergus",2620,draw,54,C00,Wojtaszek,2022
2645,white,"Lagarde, Maxime",2613,draw,20,A13,Wojtaszek,2022
2645,black,"Brodowski, Piotr",2463,draw,53,A05,Wojtaszek,2022
2645,white,"Keymer, Vincent",2693,draw,39,C78,Wojtaszek,2022
2645,white,"Tomczak, Jacek",2582,win,60,B66,Wojtaszek,2022
2642,black,"Kozak, Adam",2522,win,41,A28,,2022
2642,white,"Esipenko, Andrey",2692,draw,35,C84,,2022
2642,black,"Erdogmus, Yagiz Kaan",2456,win,58,B33,,2022
2642,white,"Arat, Ufuk Sezen",2377,win,30,A05,,2022
2642,white,"Sekerci, Berkin",1689,win,27,C12,,2022
,white,"Can, Isik",,draw,47,A21,Ankara,2022
,black,"Kirilmaz, Emre",,win,41,A45,Ankara ,2022
,white,"Daneshvar, Tooli Bardiya",,win,66,B10,Ankara,2022
2642,black,"Petriashvili, Nikoloz",2401,lose,78,B23,Ankara,2022
2654,white,"Pultinevicius, Paulius",2539,lose,86,A13,Chennai,2022
2654,black,"Banusz, Tamas",2611,draw,60,A04,Chennai,2022
2654,black,"Cheng, Bobby",2540,draw,33,E71,Chennai,2022
2654,white,"Mekhitarian, Krikor Sevag",2542,draw,49,C65,Chennai,2022
2654,white,"Ioannidis, Evgenios",2459,win,47,A13,Chennai,2022
2654,white,"Tristan, Leonardo",2558,win,43,A13,Chennai,2022
2654,white,"Repka, Christopher",2516,draw,45,C60,Chennai,2022
2654,white,"Quesada Perez, Luis Ernesto",2549,win,107,A11,Chennai,2022
2654,black,"Mehmeti, Dritan",2371,win,25,A46,Chennai,2022
2654,white,"Arunnuntapanich, Tinnakrit",2117,win,41,B22,Chennai,2022
2654,white,"Karthikeyan, Murali",2613,win,46,B12,Biel,2022
2654,white,Karthik Rajaa,2331,win,46,B12,Biel,2022
2654,black,"Seul, Georg",2367,draw,47,B51,Biel,2022
2654,white,"Song, Julien",2391,draw,47,D32,Biel,2022
2654,black,"Licznerski, Lukasz",2451,draw,33,B30,Biel,2022
2654,white,"Katz, Alexander",2402,draw,17,B14,Biel,2022
2654,black,"Materia, Marco",2409,draw,61,A61,Biel,2022
2654,black,"Gurel, Ediz",2435,win,46,B66,Biel,2022
2654,white,"Dishman, Stephen",2252,win,68,B13,Biel,2022
2654,black,"Rabiega, Robert",2498,win,64,B30,Germany,2022
