rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2712,black,"Inarkiev, Ernesto",2661,draw,51,E32,Chess.com,2023
2712,white,"Timofeev, Artyom",2567,draw,6,E10,Chess.com,2023
2712,white,"Timofeev, Artyom",2567,draw,26,B75,Chess.com,2023
2712,black,"Murzin, Volodar",2577,draw,16,C84,Chess.com,2023
2712,white,"Lazavik, Denis",2544,draw,21,C53,Sochi,2023
2712,black,"Zakhartsov, Vladimir",2547,draw,12,E10,Sochi,2023
2712,white,"Paravyan, David",2601,draw,12,D85,Sochi,2023
2712,black,"Chekhov, Sergei",2453,win,45,B22,Sochi,2023
2584,black,"Vokhidov, Shamsiddin",2481,lose,48,B52,Almaty,2022
2584,white,"Yoo, Christopher Woojin",2463,draw,56,E10,Almaty,2022
2584,black,"Nepomniachtchi, Ian",2766,lose,64,D12,Almaty,2022
2584,white,"Rapport, Richard",2802,draw,93,A61,Almaty,2022
2709,white,"Malakhov, Vladimir",2651,draw,11,C67,Poikovsky,2022
2709,black,"Suleymanli, Aydin",2532,draw,28,A13,Poikovsky,2022
2709,white,"Najer, Evgeniy",2666,win,42,D10,Poikovsky,2022
2709,black,"Martirosyan, Haik M.",2675,draw,25,D70,Poikovsky,2022
2703,white,"Iljiushenok, Ilia",2551,win,49,B23,Poikovsky,2022
2703,black,"Chigaev, Maksim",2641,draw,42,D43,Poikovsky,2022
2703,white,"Yakubboev, Nodirbek",2656,draw,22,E73,Poikovsky,2022
2703,black,"Tomashevsky, Evgeny",2700,draw,26,A15,Poikovsky,2022
2703,white,"Esipenko, Andrey",2678,draw,17,A13,Cheboksary,2022
2703,black,"Iljiushenok, Ilia",2551,draw,12,C48,Cheboksary,2022
2703,black,"Nesterov, Arseniy",2575,win,32,D47,Cheboksary RUS,2022
2703,white,"Matlakov, Maxim",2671,win,42,C84,Cheboksary,2022
2703,black,"Najer, Evgeniy",2676,draw,19,A45,Cheboksary,2022
2703,white,"Chigaev, Maksim",2641,win,42,C84,Cheboksary,2022
2703,black,"Dubov, Daniil",2702,draw,17,B18,Cheboksary,2022
2703,white,"Rakhmanov, Aleksandr",2633,draw,20,D27,Cheboksary,2022
2703,black,"Murzin, Volodar",2534,draw,15,C47,Cheboksary,2022
2703,white,"Artemiev, Vladislav",2706,draw,15,D37,Cheboksary,2022
2703,black,"Tomashevsky, Evgeny",2700,draw,16,A14,Cheboksary,2022
2696,black,"Iljiushenok, Ilia",2540,draw,11,B30,Obninsk,2022
2696,white,"Sviridov, Valery",2571,win,56,C63,Obninsk,2022
2696,black,"Chigaev, Maksim",2631,draw,14,E10,Obninsk,2022
2696,white,"Sychev, Klementy",2534,win,49,D26,Obninsk,2022
2696,black,"Riazantsev, Alexander",2635,draw,37,C50,Obninsk,2022
2696,white,"Artemiev, Vladislav",2697,draw,10,D35,Obninsk,2022
2696,black,"Afanasiev, Nikita",2583,draw,26,B12,Obninsk,2022
2696,white,"Murzin, Volodar",2549,win,60,D11,,2022
2696,black,"Kryakvin, Dmitry",2524,win,54,A06,,2022
2696,white,"Najer, Evgeniy",2659,draw,23,C84,Sochi,2022
2696,white,"Grischuk, Alexander",2742,draw,47,A05,Sochi,2022
2696,black,"Artemiev, Vladislav",2700,draw,30,E10,Sochi,2022
2696,white,"Tomashevsky, Evgeny",2708,draw,27,C55,Sochi,2022
2696,black,"Sargissian, Gabriel",2694,draw,24,E46,Sochi,2022
2696,white,"Matlakov, Maxim",2674,draw,16,E00,Sochi,2022
2680,white,Nihal Sarin,2652,draw,30,C47,,2022
2680,black,"Markus, Robert",2627,draw,59,E10,,2022
2680,white,"Abdusattorov, Nodirbek",2651,win,50,A48,,2022
2680,black,"Ivanisevic, Ivan",2601,win,69,E48,,2022
2680,white,"Ivic, Velimir",2610,draw,115,D86,,2022
2680,black,"Sarana, Alexey",2685,draw,31,E36,,2022
2680,black,"Indjic, Aleksandar",2605,draw,31,A45,,2022
2680,white,"Navara, David",2700,win,46,A06,,2022
2680,black,"Maghsoodloo, Parham",2701,win,40,C65,,2022
2589,white,"Ghaem Maghami, Ehsan",2720,win,58,B10,Warsaw,2021
2589,black,"Dreev, Alexey",2641,lose,69,E12,Warsaw,2021
2589,white,"Maghsoodloo, Parham",2655,lose,27,B33,Warsaw,2021
2589,black,"Quparadze, Giga",2658,win,37,B91,Warsaw,2021
2589,white,Gukesh D,2506,lose,58,B10,Warsaw,2021
2589,white,Nihal Sarin,2705,lose,53,C50,Warsaw,2021
2589,white,"Niemann, Hans Moke",2680,lose,54,B30,Warsaw,2021
2589,black,"Shevchenko, Kirill",2697,lose,21,C67,Warsaw,2021
2589,black,"Nepomniachtchi, Ian",2792,lose,72,C31,Warsaw,2021
2589,black,"Carlsen, Magnus",2892,lose,74,C65,Warsaw,2021
2634,black,"Ivic, Velimir",2357,lose,47,C84,Warsaw,2021
2663,white,"Niemann, Hans Moke",2635,draw,29,D43,Tashkent,2021
2663,black,"Matlakov, Maxim",2691,draw,20,B52,Tashkent,2021
2663,white,"Vokhidov, Shamsiddin",2521,win,57,B52,Tashkent,2021
2663,black,"Bernadskiy, Vitaliy",2592,draw,7,C78,Tashkent,2021
2663,white,"Gareyev, Timur",2583,win,60,C92,Tashkent,2021
2663,black,"Yakubboev, Nodirbek",2621,draw,10,D43,Tashkent,2021
2663,white,"Sindarov, Javokhir",2587,draw,52,D86,Tashkent,2021
2663,black,"Agmanov, Zhandos",2430,win,42,C53,Tashkent,2021
2663,white,"Nigmatov, Ortik",2427,win,46,D87,Tashkent,2021
2663,black,"Kurmangaliyeva, Liya",2222,win,77,B68,Tashkent,2021
2653,black,"Morovic Fernandez, Ivan",2503,win,37,B92,Riga,2021
2653,black,"Muzychuk, Mariya",2350,win,54,B51,Riga,2021
2653,white,"Muzychuk, Mariya",2350,win,78,B31,Riga,2021
2653,black,"Assaubayeva, Bibisara",2232,draw,54,E10,Riga,2021
2653,white,"Assaubayeva, Bibisara",2232,lose,32,B90,Riga,2021
2653,white,"Tabatabaei, M. Amin",2555,lose,32,B69,Riga,2021
2653,black,"Tabatabaei, M. Amin",2555,lose,65,B30,Riga,2021
2653,black,"Niemann, Hans Moke",2592,lose,55,A15,Riga,2021
2653,white,"Niemann, Hans Moke",2592,lose,99,C88,Riga,2021
2663,white,"Vitiugov, Nikita",2727,draw,67,C88,Riga,2021
2663,white,"Harikrishna, Pentala",2719,draw,36,C84,Riga,2021
2663,black,"Alekseenko, Kirill",2710,draw,23,B30,Riga,2021
2663,white,"Petrosyan, Manuel",2605,draw,107,C50,Riga,2021
2663,black,"Tari, Aryan",2646,draw,49,B52,Riga,2021
2663,white,"Yilmaz, Mustafa",2626,win,32,B90,Riga,2021
2663,black,"Ponomariov, Ruslan",2631,draw,49,B12,Riga,2021
2663,white,Erigaisi Arjun,2634,win,38,C42,Riga,2021
2663,black,"Hovhannisyan, Robert",2622,lose,48,C78,Riga,2021
2663,white,"Sadhwani, Raunak",2609,win,59,C67,Riga,2021
2663,black,"Ganguly, Surya Shekhar",2617,draw,23,C78,Riga,2021
2643,white,"Zakhartsov, Vladimir",2480,draw,41,D42,Sochi,2021
