rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2683,black,"Keymer, Vincent",2700,draw,35,A04,Malmo,2023
2683,white,"Van Foreest, Jorden",2689,draw,35,C72,Malmo,2023
2683,white,Erigaisi Arjun,2701,win,54,A20,Malmo,2023
2683,black,"Gelfand, Boris",2678,win,35,A05,Malmo,2023
2683,white,"Mishra, Abhimanyu",2550,draw,39,B51,Malmo,2023
2709,black,"Pichot, Alan",2600,win,46,B42,Riga,2021
2709,white,"Pichot, Alan",2600,win,42,C77,Riga,2021
2709,white,"Martirosyan, Haik M.",2656,lose,53,C65,Riga,2021
2709,black,"Martirosyan, Haik M.",2656,lose,30,A45,Riga,2021
2709,white,"Paravyan, David",2639,draw,71,C63,Riga,2021
2709,black,"Paravyan, David",2639,win,34,B41,Riga,2021
2709,black,"Deac, Bogdan-Daniel",2605,draw,47,B51,Riga,2021
2709,white,"Deac, Bogdan-Daniel",2605,win,41,A13,Riga,2021
2709,white,"Caruana, Fabiano",2765,draw,26,A20,Riga,2021
2709,black,"Caruana, Fabiano",2765,draw,49,B96,Riga,2021
2709,black,"Anton Guijarro, David",2613,draw,26,A04,Riga,2021
2709,white,"Anton Guijarro, David",2613,win,47,B12,Riga,2021
2709,white,"Adhiban, Baskaran",2629,win,68,C63,Riga,2021
2709,black,"Adhiban, Baskaran",2629,draw,42,B46,Riga,2021
2709,black,"Yilmaz, Mustafa",2518,win,40,D85,Riga,2021
2709,white,"Yilmaz, Mustafa",2518,win,43,B51,Riga,2021
2709,white,"Firat, Burak",2531,win,44,A11,Riga,2021
2709,black,"Firat, Burak",2531,lose,29,B56,Riga,2021
2694,black,"Brkic, Ante",2621,draw,40,B94,Riga,2021
2694,white,"Antipov, Mikhail Al.",2619,draw,39,D91,Riga,2021
2694,white,"Onischuk, Vladimir",2622,win,47,B12,Riga,2021
2694,black,"Sindarov, Javokhir",2587,draw,34,B90,Riga,2021
2694,white,Praggnanandhaa R,2618,draw,31,B31,Riga,2021
2694,black,"Martirosyan, Haik M.",2624,draw,31,A10,Riga,2021
2694,white,"Kuzubov, Yuriy",2624,lose,81,C24,Riga,2021
2694,black,"Kollars, Dmitrij",2621,draw,32,B92,Riga,2021
2694,white,"Shevchenko, Kirill",2632,draw,58,B31,Riga,2021
2694,black,"Kravtsiv, Martyn",2625,draw,32,B51,Riga,2021
2694,white,"Movsesian, Sergei",2627,draw,36,B12,Riga,2021
2701,white,"Berkes, Ferenc",2671,draw,34,B07,"Struga, Ohrid Lake",2021
2701,black,"Korobov, Anton",2685,draw,47,D86,"Struga, Ohrid Lake",2021
2701,black,"Harikrishna, Pentala",2725,lose,43,C84,"Struga, Ohrid Lake",2021
2701,white,"Grischuk, Alexander",2775,draw,30,C42,"Struga, Ohrid Lake",2021
2701,black,Gukesh D,2599,draw,41,D86,"Struga, Ohrid Lake",2021
2701,white,"Donchenko, Alexander",2641,draw,35,B90,"Struga, Ohrid Lake",2021
2714,white,"Xiong, Jeffery",2710,draw,44,C55,Saint Louis,2021
2714,black,"Caruana, Fabiano",2806,draw,42,C53,Saint Louis,2021
2714,white,"Swiercz, Dariusz",2655,win,35,C88,Saint Louis,2021
2714,black,"Dominguez Perez, Leinier",2758,draw,35,C53,Saint Louis,2021
2714,white,"Shankland, Samuel L",2709,draw,24,B90,Saint Louis,2021
2714,black,"Rapport, Richard",2763,lose,38,A00,Saint Louis,2021
2714,black,"So, Wesley",2772,lose,28,A10,Saint Louis,2021
2714,white,"Mamedyarov, Shakhriyar",2782,draw,46,C53,Saint Louis,2021
2714,black,"Vachier-Lagrave, Maxime",2751,lose,31,D70,Saint Louis,2021
2743,white,"So, Wesley",2861,draw,14,C67,Saint Louis,2021
2743,black,"Shankland, Samuel L",2704,win,46,B12,Saint Louis,2021
2743,white,"Xiong, Jeffery",2724,draw,36,C07,Saint Louis,2021
2743,black,"Nakamura, Hikaru",2900,draw,84,C88,Saint Louis,2021
2743,white,"Rapport, Richard",2776,lose,69,B01,Saint Louis,2021
2743,black,"Le, Quang Liem",2690,lose,36,A48,Saint Louis,2021
2743,white,"Mamedyarov, Shakhriyar",2755,win,36,B40,Saint Louis,2021
2743,black,"Dominguez Perez, Leinier",2654,lose,31,B12,Saint Louis,2021
2743,black,"Caruana, Fabiano",2734,lose,40,C84,Saint Louis,2021
2743,black,"So, Wesley",2861,lose,18,C53,Saint Louis,2021
2743,white,"Shankland, Samuel L",2704,draw,55,B50,Saint Louis,2021
2743,black,"Xiong, Jeffery",2724,lose,21,A48,Saint Louis,2021
2743,white,"Nakamura, Hikaru",2900,draw,44,C53,Saint Louis,2021
2743,black,"Rapport, Richard",2776,win,32,A04,Saint Louis,2021
2743,white,"Le, Quang Liem",2690,lose,72,C55,Saint Louis,2021
2743,black,"Mamedyarov, Shakhriyar",2755,lose,32,A48,Saint Louis,2021
2743,white,"Dominguez Perez, Leinier",2654,draw,35,C80,Saint Louis,2021
2743,white,"Caruana, Fabiano",2734,win,45,C55,Saint Louis,2021
2745,white,"So, Wesley",2774,draw,56,C67,Saint Louis,2021
2745,black,"Dominguez Perez, Leinier",2786,win,58,C53,Saint Louis,2021
2745,white,"Shankland, Samuel L",2609,draw,63,B52,Saint Louis,2021
2745,black,"Xiong, Jeffery",2730,draw,47,D02,Saint Louis,2021
2745,white,"Le, Quang Liem",2744,win,56,C24,Saint Louis,2021
2745,black,"Rapport, Richard",2724,draw,40,A20,Saint Louis,2021
2745,black,"Nakamura, Hikaru",2829,lose,40,D70,Saint Louis,2021
2745,white,"Mamedyarov, Shakhriyar",2756,lose,54,C42,Saint Louis,2021
2745,black,"Caruana, Fabiano",2758,draw,48,A48,Saint Louis,2021
2714,black,"Shankland, Samuel L",2709,lose,30,D70,Sochi,2021
2714,white,"Shankland, Samuel L",2709,draw,49,B51,Sochi,2021
2745,black,"Vitiugov, Nikita",2622,draw,44,D85,Sochi,2021
2745,white,"Vitiugov, Nikita",2622,win,45,B51,Sochi,2021
2714,black,"Vitiugov, Nikita",2724,draw,39,D85,Sochi,2021
2714,white,"Vitiugov, Nikita",2724,draw,30,B53,Sochi,2021
2745,black,"Cheparinov, Ivan",2609,draw,65,A04,Sochi,2021
2745,white,"Cheparinov, Ivan",2609,win,36,C55,Sochi,2021
2714,white,"Cheparinov, Ivan",2667,draw,31,C67,Sochi,2021
2714,black,"Cheparinov, Ivan",2667,draw,16,A05,Sochi,2021
2714,black,"Salinas Herrera, Pablo",2514,draw,31,D85,Sochi,2021
2714,white,"Salinas Herrera, Pablo",2514,win,51,C78,Sochi,2021
2714,white,"Hou, Yifan",2658,win,37,B90,chess24.com INT,2021
2714,black,"Firouzja, Alireza",2759,lose,46,B90,chess24.com INT,2021
2714,white,"Vidit, Santosh Gujrathi",2726,lose,52,A09,chess24.com INT,2021
2714,black,"Erigaisi, Arjun",2567,draw,40,D85,chess24.com INT,2021
2714,white,"Gukesh, D.",2578,draw,46,D33,chess24.com INT,2021
2714,black,"Ding, Liren",2799,lose,41,D70,chess24.com INT,2021
2714,white,"Adhiban, Baskaran",2660,win,31,C78,chess24.com INT,2021
2714,black,"Artemiev, Vladislav",2704,draw,37,A37,chess24.com INT,2021
2714,white,"Dubov, Daniil",2714,draw,94,B30,chess24.com INT,2021
2714,black,"Duda, Jan-Krzysztof",2729,draw,71,E60,chess24.com INT,2021
2714,white,"Giri, Anish",2780,win,29,C50,chess24.com INT,2021
2714,black,"Carlsen, Magnus",2847,lose,40,B90,chess24.com INT,2021
2714,white,"Salem, A.R. Saleh",2682,lose,44,A13,chess24.com INT,2021
2714,black,"Aronian, Levon",2781,draw,38,A04,chess24.com INT,2021
2714,black,"So, Wesley",2770,draw,37,D11,chess24.com INT,2021
2754,black,"Rapport, Richard",2759,draw,50,A04,Paris,2021
2754,white,"Vachier-Lagrave, Maxime",2822,draw,69,B23,Paris,2021
2754,black,"Radjabov, Teimour",2757,lose,33,A04,Paris,2021
2754,white,"Caruana, Fabiano",2711,lose,63,B23,Paris,2021
2754,black,"Nepomniachtchi, Ian",2785,lose,34,A37,Paris,2021
2754,white,"So, Wesley",2816,draw,42,A20,Paris,2021
2754,black,"Firouzja, Alireza",2770,lose,35,C28,Paris,2021
2754,white,"Kramnik, Vladimir",2797,win,50,A30,Paris,2021
2754,black,"Aronian, Levon",2739,draw,46,A06,Paris,2021
2754,white,"Rapport, Richard",2759,win,56,B40,Paris,2021
2754,black,"Vachier-Lagrave, Maxime",2822,win,61,A10,Paris,2021
2754,white,"Radjabov, Teimour",2757,win,41,A01,Paris,2021
2754,black,"Caruana, Fabiano",2711,draw,35,B84,Paris,2021
2754,white,"Nepomniachtchi, Ian",2785,draw,47,A13,Paris,2021
2754,black,"So, Wesley",2816,draw,30,A05,Paris,2021
2754,white,"Firouzja, Alireza",2770,draw,48,B30,Paris,2021
2754,black,"Kramnik, Vladimir",2797,lose,24,B90,Paris,2021
2754,white,"Aronian, Levon",2739,lose,42,C78,Paris,2021
2742,black,"Aronian, Levon",2778,win,42,D70,Paris,2021
2742,white,"Nepomniachtchi, Ian",2778,draw,26,C11,Paris,2021
2742,black,"Rapport, Richard",2727,lose,18,D70,Paris,2021
2742,white,"Bacrot, Etienne",2667,draw,65,A13,Paris,2021
2742,black,"Caruana, Fabiano",2773,lose,43,B42,Paris,2021
2742,white,"Radjabov, Teimour",2758,draw,30,C11,Paris,2021
2742,white,"So, Wesley",2741,draw,46,C53,Paris,2021
2742,black,"Firouzja, Alireza",2703,draw,57,A06,Paris,2021
2742,white,"Vachier-Lagrave, Maxime",2860,win,89,C11,Paris,2021
2723,white,"Vitiugov, Nikita",2720,draw,26,C78,Moscow,2020
2723,white,"Artemiev, Vladislav",2711,draw,64,B40,Moscow,2020
2723,black,"Karjakin, Sergey",2752,lose,38,B96,Moscow,2020
2723,black,"Matlakov, Maxim",2698,draw,29,D97,Moscow,2020
2723,white,"Chigaev, Maksim",2619,draw,32,C84,Moscow,2020
2723,black,"Esipenko, Andrey",2686,draw,37,D70,Moscow,2020
2723,white,"Dubov, Daniil",2702,draw,40,C78,Moscow,2020
2723,black,"Fedoseev, Vladimir",2674,draw,41,D85,Moscow,2020
2723,white,"Nepomniachtchi, Ian",2784,draw,25,B90,Moscow,2020
2723,black,"Goganov, Aleksey",2594,draw,25,D85,Moscow,2020
2723,black,"Carlsen, Magnus",2863,draw,41,B51,chess24.com INT,2020
2723,white,"Carlsen, Magnus",2863,lose,32,A07,chess24.com INT,2020
2723,black,"Carlsen, Magnus",2863,lose,26,B90,chess24.com INT,2020
2723,white,"Carlsen, Magnus",2863,lose,27,A15,chess24.com INT,2020
2723,black,"Carlsen, Magnus",2863,draw,47,B90,chess24.com INT,2020
2723,white,"Carlsen, Magnus",2863,lose,27,A22,chess24.com INT,2020
2723,black,"Giri, Anish",2764,draw,42,B06,chess24.com INT,2020
2723,white,"Giri, Anish",2764,lose,26,A20,chess24.com INT,2020
2723,black,"Giri, Anish",2764,draw,41,D91,chess24.com INT,2020
2723,white,"Giri, Anish",2764,draw,51,A20,chess24.com INT,2020
2723,white,"Kramnik, Vladimir",2753,draw,49,B15,chess24.com INT,2020
2723,black,"Kramnik, Vladimir",2753,draw,115,B90,chess24.com INT,2020
2723,white,"Kramnik, Vladimir",2753,draw,45,D77,chess24.com INT,2020
2723,black,"Kramnik, Vladimir",2753,win,46,B84,chess24.com INT,2020
2723,black,"Carlsen, Magnus",2863,lose,64,A48,chess24.com INT,2020
2723,white,"Carlsen, Magnus",2863,draw,50,A22,chess24.com INT,2020
2723,black,"Carlsen, Magnus",2863,draw,69,C90,chess24.com INT,2020
2723,white,"Carlsen, Magnus",2863,draw,57,A20,chess24.com INT,2020
2723,white,"Ivanchuk, Vasyl",2678,win,56,B90,chess24.com INT,2020
2723,white,"Ivanchuk, Vasyl",2678,draw,55,A11,chess24.com INT,2020
2723,black,"Ivanchuk, Vasyl",2678,draw,40,E60,chess24.com INT,2020
2723,white,"Ivanchuk, Vasyl",2678,win,49,A13,chess24.com INT,2020
2723,black,"Ivanchuk, Vasyl",2678,lose,38,D94,chess24.com INT,2020
2723,white,"Nepomniachtchi, Ian",2784,lose,40,A05,chess24.com INT,2020
2723,black,"Nepomniachtchi, Ian",2784,lose,47,C84,chess24.com INT,2020
2723,white,"Nepomniachtchi, Ian",2784,draw,38,A33,chess24.com INT,2020
2723,black,"Nepomniachtchi, Ian",2784,draw,66,C84,chess24.com INT,2020
2723,black,"Ding, Liren",2791,lose,26,D16,chess24.com INT,2020
2723,white,"Ding, Liren",2791,draw,42,D78,chess24.com INT,2020
2723,black,"Ding, Liren",2791,lose,29,D16,chess24.com INT,2020
2723,white,"Ding, Liren",2791,win,50,D78,chess24.com INT,2020
2723,white,"Gelfand, Boris",2676,draw,49,B30,chess24.com INT,2020
2723,black,"Gelfand, Boris",2676,win,37,A33,chess24.com INT,2020
2723,white,"Gelfand, Boris",2676,draw,41,B30,chess24.com INT,2020
2723,black,"Gelfand, Boris",2676,draw,39,A33,chess24.com INT,2020
2723,black,"Leko, Peter",2663,win,35,C50,chess24.com INT,2020
2723,white,"Leko, Peter",2663,win,32,A05,chess24.com INT,2020
2723,black,"Leko, Peter",2663,lose,38,C50,chess24.com INT,2020
2723,white,"Leko, Peter",2663,draw,41,A05,chess24.com INT,2020
2723,white,"Anand, Viswanathan",2753,win,36,A08,chess24.com INT,2020
2723,black,"Anand, Viswanathan",2753,draw,34,C50,chess24.com INT,2020
2723,white,"Anand, Viswanathan",2753,draw,63,A08,chess24.com INT,2020
2723,black,"Anand, Viswanathan",2753,draw,37,D80,chess24.com INT,2020
2723,black,"Dubov, Daniil",2699,draw,36,B08,chess24.com INT,2020
2723,white,Bu Xiangzhi,2705,win,17,C24,chess24.com INT,2020
2723,black,"Grischuk, Alexander",2777,draw,122,B42,chess24.com INT,2020
2723,white,"Anton Guijarro, David",2703,lose,46,A09,chess24.com INT,2020
2723,black,"Korobov, Anton",2688,lose,101,E60,chess24.com INT,2020
2723,white,"Mamedyarov, Shakhriyar",2764,win,42,A07,chess24.com INT,2020
2723,black,Le Quang Liem,2709,lose,61,A15,chess24.com INT,2020
