rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2698,white,"Makhnev, Denis",2507,lose,55,A20,Almaty,2022
2698,black,"Dardha, Daniel",2528,lose,45,B12,Almaty,2022
2698,white,"Anton Guijarro, David",2585,lose,78,D39,Almaty,2022
2698,black,"Keymer, Vincent",2600,lose,24,A06,Almaty,2022
2698,white,"Jumabayev, Rinat",2584,win,64,A46,Almaty,2022
2698,black,"Murzin, Volodar",2586,draw,16,C47,Almaty,2022
2698,white,"Ghasi, Ameet K",2587,draw,46,D70,Almaty,2022
2698,black,"Dragnev, Valentin",2523,draw,38,C88,Almaty,2022
2698,white,"Riazantsev, Alexander",2595,draw,36,E10,Almaty,2022
2698,black,"Carlsen, Magnus",2830,lose,27,C65,Almaty,2022
2698,white,"Ganguly, Surya Shekhar",2530,win,25,C70,Almaty,2022
2698,black,"Jobava, Baadur",2582,win,38,C45,Almaty,2022
2698,white,"Burmakin, Vladimir",2513,win,35,A11,Almaty,2022
2628,white,"Sadhwani, Raunak",2532,lose,43,E94,Almaty,2022
2628,black,"Tabatabaei, M. Amin",2526,lose,42,A07,Almaty,2022
2628,white,"Niemann, Hans Moke",2592,win,34,E11,Almaty,2022
2628,black,"Nepomniachtchi, Ian",2766,lose,30,C65,Almaty,2022
2628,white,"Grischuk, Alexander",2759,draw,18,E10,Almaty,2022
2628,black,"Daneshvar, Bardiya",2419,win,55,A07,Almaty,2022
2628,white,"Lazavik, Denis",2453,draw,37,A15,Almaty,2022
2628,black,"Nguyen, Thai Dai Van",2534,win,55,C65,Almaty,2022
2628,white,"Nesterov, Arseniy",2497,win,86,A14,Almaty,2022
2628,black,"Murzin, Volodar",2534,lose,55,C88,Almaty,2022
2628,white,"Carlsen, Magnus",2834,lose,50,A40,Almaty,2022
2628,white,"Jumabayev, Rinat",2531,win,32,A13,Almaty,2022
2628,black,"Tang, Andrew",2439,win,18,E32,Almaty,2022
2696,black,"Chigaev, Maksim",2637,draw,7,C46,Poikovsky,2022
2696,white,"Yakubboev, Nodirbek",2663,draw,11,E10,Poikovsky,2022
2696,black,"Malakhov, Vladimir",2651,lose,36,C55,Poikovsky,2022
2700,white,"Suleymanli, Aydin",2553,win,50,A20,Poikovsky,2022
2700,black,"Najer, Evgeniy",2676,win,68,C84,Poikovsky,2022
2700,white,"Martirosyan, Haik M.",2666,draw,18,E10,Poikovsky,2022
2700,black,"Iljiushenok, Ilia",2551,draw,20,C49,Poikovsky,2022
2700,white,"Sjugirov, Sanan",2703,draw,26,A15,Poikovsky,2022
2700,black,"Nesterov, Arseniy",2575,draw,19,D38,Cheboksary,2022
2700,white,"Matlakov, Maxim",2671,draw,18,A13,Cheboksary,2022
2700,black,"Najer, Evgeniy",2676,draw,21,C49,Cheboksary RUS,2022
2700,white,"Chigaev, Maksim",2641,win,37,A20,Cheboksary,2022
2700,black,"Dubov, Daniil",2702,draw,29,C88,Cheboksary,2022
2700,white,"Rakhmanov, Aleksandr",2633,draw,49,D27,Cheboksary,2022
2700,black,"Murzin, Volodar",2534,draw,16,C47,Cheboksary,2022
2700,white,"Artemiev, Vladislav",2706,draw,18,D37,Cheboksary,2022
2700,white,"Iljiushenok, Ilia",2551,draw,20,A13,Cheboksary,2022
2700,black,"Esipenko, Andrey",2678,draw,18,C88,Cheboksary,2022
2700,white,"Sjugirov, Sanan",2703,draw,16,A14,Cheboksary,2022
2702,black,"Indjic, Aleksandar",2613,draw,82,A16,Abu Dhabi,2022
2702,white,Soham Kamotra,2251,win,80,A05,Abu Dhabi,2022
2702,black,"Yakubboev, Nodirbek",2620,lose,79,A16,Abu Dhabi,2022
2702,white,"Adhiban, Baskaran",2598,win,40,A26,Abu Dhabi,2022
2702,black,"Jobava, Baadur",2585,draw,30,E48,Abu Dhabi,2022
2702,white,Erigaisi Arjun,2689,draw,38,A11,Abu Dhabi,2022
2702,white,"Sadhwani, Raunak",2622,draw,44,E49,Abu Dhabi,2022
2702,black,"Vokhidov, Shamsiddin",2552,win,44,C84,Abu Dhabi,2022
2702,white,"Saeed, Ishaq",2366,win,49,A16,Abu Dhabi,2022
2708,black,"Grischuk, Alexander",2742,draw,36,D40,Sochi,2022
2708,white,"Artemiev, Vladislav",2700,draw,26,D43,Sochi,2022
2708,black,"Sjugirov, Sanan",2696,draw,27,C55,Sochi,2022
2708,white,"Matlakov, Maxim",2674,draw,18,B40,Sochi,2022
2708,black,"Najer, Evgeniy",2659,lose,56,C84,Sochi,2022
2635,white,"Abdusattorov, Nodirbek",2542,draw,48,A04,Yasnaya Polyana,2021
2635,black,"Vitiugov, Nikita",2619,draw,27,E35,Yasnaya Polyana,2021
2635,white,"Giri, Anish",2712,lose,27,A06,Yasnaya Polyana,2021
2635,black,"Alekseenko, Kirill",2656,draw,36,C65,Yasnaya Polyana,2021
2635,white,"Gelfand, Boris",2631,draw,19,A04,Yasnaya Polyana,2021
2635,black,"Korobov, Anton",2740,draw,24,E10,Yasnaya Polyana,2021
2635,white,"Paravyan, David",2676,draw,68,A04,Yasnaya Polyana,2021
2635,black,"Matlakov, Maxim",2663,draw,29,C84,Yasnaya Polyana,2021
2635,black,"Andreikin, Dmitry",2705,draw,22,A05,Yasnaya Polyana,2021
2681,black,"Idani, Pouya",2460,lose,47,C65,Sochi,2021
2681,white,"Idani, Pouya",2460,draw,55,D44,Sochi,2021
2706,black,"Idani, Pouya",2614,draw,52,C67,Sochi,2021
2706,white,"Idani, Pouya",2614,draw,33,D44,Sochi,2021
2706,white,"Iniyan, P",2506,win,26,E63,Sochi,2021
2706,black,"Iniyan, P",2506,win,55,C67,Sochi,2021
2680,white,"Yuffa, Daniil",2575,win,67,B51,Moscow,2020
2680,black,"Lomasov, Semyon",2582,win,41,B11,Moscow,2020
2680,white,"Sarana, Alexey",2610,lose,32,A07,Moscow,2020
2680,black,"Esipenko, Andrey",2611,draw,46,A16,Moscow,2020
2680,white,"Esipenko, Andrey",2611,draw,45,C77,Moscow,2020
2680,black,"Sarana, Alexey",2610,lose,30,A29,Moscow,2020
2680,white,"Lomasov, Semyon",2582,win,60,E11,Moscow,2020
2680,black,"Yuffa, Daniil",2575,win,51,E06,Moscow,2020
2701,white,"Esipenko, Andrey",2672,draw,40,C67,Moscow,2020
2701,white,"Lomasov, Semyon",2533,win,30,A40,Moscow,2020
2701,black,"Sarana, Alexey",2652,draw,40,A16,Moscow,2020
2701,black,"Yuffa, Daniil",2594,win,65,E10,Moscow,2020
2705,white,"Ganguly, Surya Shekhar",2640,draw,52,A06,Germany,2020
2705,black,"Vrolijk, Liam",2501,draw,23,E11,Germany,2020
2624,black,"Zubov, Alexander",2754,lose,40,A46,Moscow,2019
2624,white,"Giri, Anish",2769,draw,10,A20,Moscow,2019
2624,black,"Matlakov, Maxim",2720,lose,57,A16,Moscow,2019
2624,white,"Aronian, Levon",2698,draw,39,A29,Moscow,2019
2624,black,"Vidit, Santosh Gujrathi",2756,draw,23,E10,Moscow,2019
2624,white,"Korobov, Anton",2720,win,33,A13,Moscow,2019
2624,black,"Adly, Ahmed",2679,draw,19,A46,Moscow,2019
2624,white,"Wojtaszek, Radoslaw",2675,win,56,A15,Moscow,2019
2624,black,"Tari, Aryan",2689,draw,100,C65,Moscow,2019
2624,white,"Kamsky, Gata",2699,win,47,A16,Moscow,2019
2624,black,"Le, Quang Liem",2768,draw,33,C50,Moscow,2019
2624,white,"Ganguly, Surya Shekhar",2507,win,34,A17,Moscow,2019
2624,black,"Nepomniachtchi, Ian",2826,lose,22,B10,Moscow,2019
2624,white,"Svidler, Peter",2805,draw,53,A20,Moscow,2019
2624,black,"Karjakin, Sergey",2836,lose,51,C65,Moscow,2019
2624,white,"Grischuk, Alexander",2741,win,64,A20,Moscow,2019
2624,black,"Fedoseev, Vladimir",2714,draw,51,E10,Moscow,2019
2624,white,"Khanin, Semen",2497,win,50,A05,Moscow,2019
2624,black,"Sadhwani, Raunak",2490,win,31,A16,Moscow,2019
2624,white,"Gutenev, Alexander",2456,draw,38,A48,Moscow,2019
2624,black,"Kazakouski, Valery",2459,draw,50,D11,Moscow,2019
2714,black,"Gareyev, Timur",2604,lose,32,A06,Moscow,2019
2714,white,"Pashikian, Arman",2593,win,67,A20,Moscow,2019
2714,black,"Dreev, Alexey",2588,draw,50,E11,Moscow,2019
2714,white,"Amin, Bassem",2610,draw,52,E68,Moscow,2019
2714,black,"Demchenko, Anton",2636,draw,11,A46,Moscow,2019
2714,white,"Kovalev, Vladislav",2597,win,62,A17,Moscow,2019
