rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2667,black,"Mamedyarov, Shakhriyar",2778,lose,31,D35,Zagreb,2022
2667,white,"Nepomniachtchi, Ian",2740,draw,70,C42,Zagreb,2022
2667,black,"Vachier-Lagrave, Maxime",2784,lose,58,B13,Zagreb,2022
2667,white,"Dominguez Perez, Leinier",2729,win,30,A30,Zagreb,2022
2667,black,"So, Wesley",2763,lose,36,B51,Zagreb,2022
2667,white,"Saric, Ivan",2550,lose,50,A10,Zagreb,2022
2667,white,"Van Foreest, Jorden",2609,win,73,A13,Zagreb,2022
2667,black,"Carlsen, Magnus",2828,draw,59,B23,Zagreb,2022
2667,white,"Firouzja, Alireza",2791,draw,58,A20,Zagreb,2022
2667,white,"Mamedyarov, Shakhriyar",2778,win,28,B40,Zagreb,2022
2667,black,"Nepomniachtchi, Ian",2740,lose,45,C34,Zagreb,2022
2667,white,"Vachier-Lagrave, Maxime",2784,lose,41,A15,Zagreb,2022
2667,black,"Dominguez Perez, Leinier",2729,draw,68,C77,Zagreb,2022
2667,white,"So, Wesley",2763,draw,16,A16,Zagreb,2022
2667,black,"Saric, Ivan",2550,lose,32,B90,Zagreb,2022
2667,black,"Van Foreest, Jorden",2609,win,36,B50,Zagreb,2022
2667,white,"Carlsen, Magnus",2828,lose,32,C55,Zagreb,2022
2667,black,"Firouzja, Alireza",2791,draw,52,C88,Zagreb,2022
2627,black,"Nepomniachtchi, Ian",2821,lose,24,B92,Zagreb,2022
2627,white,"Saric, Ivan",2645,win,36,B90,Zagreb,2022
2627,black,"Van Foreest, Jorden",2645,lose,46,C84,Zagreb,2022
2627,white,"So, Wesley",2779,draw,37,A20,Zagreb,2022
2627,black,"Dominguez Perez, Leinier",2726,draw,36,B90,Zagreb,2022
2627,white,"Mamedyarov, Shakhriyar",2699,draw,47,D70,Zagreb,2022
2627,black,"Firouzja, Alireza",2670,lose,30,C42,Zagreb,2022
2627,white,"Carlsen, Magnus",2847,lose,78,B11,Zagreb,2022
2627,white,"Vachier-Lagrave, Maxime",2764,lose,32,D70,Zagreb,2022
2730,white,"Carlsen, Magnus",2864,draw,35,C55,The Stavanger region,2022
2730,black,"So, Wesley",2766,draw,32,C67,The Stavanger region,2022
2730,white,"Wang, Hao",2744,draw,82,B33,The Stavanger region,2022
2730,black,"Radjabov, Teimour",2753,draw,31,E36,The Stavanger region,2022
2730,black,"Vachier-Lagrave, Maxime",2750,draw,35,C50,The Stavanger region,2022
2730,white,"Tari, Aryan",2654,draw,51,C55,The Stavanger region,2022
2730,black,"Mamedyarov, Shakhriyar",2770,draw,57,D11,The Stavanger region,2022
2730,white,"Anand, Viswanathan",2751,lose,37,D20,The Stavanger region,2022
2730,black,"Giri, Anish",2761,draw,32,E10,The Stavanger region,2022
2667,white,"Radjabov, Teimour",2705,draw,47,A15,The Stavanger region,2022
2667,black,"Carlsen, Magnus",2832,lose,30,A45,The Stavanger region,2022
2667,black,"So, Wesley",2814,lose,27,B52,The Stavanger region,2022
2667,white,"Tari, Aryan",2567,win,39,A10,The Stavanger region,2022
2667,black,"Vachier-Lagrave, Maxime",2813,win,41,B57,The Stavanger region,2022
2667,white,"Mamedyarov, Shakhriyar",2778,lose,41,A20,The Stavanger region,2022
2667,black,"Anand, Viswanathan",2758,lose,41,B67,The Stavanger region,2022
2667,white,"Wang, Hao",2712,win,38,A20,The Stavanger region,2022
2667,black,"Giri, Anish",2766,lose,41,B67,The Stavanger region,2022
2668,white,"Matnadze, Ana",2336,lose,63,B63,Salamanca,2021
2668,black,"Vega Gutierrez, Sabrina",2193,draw,38,B54,Salamanca,2021
2668,white,"Edouard, Romain",2616,lose,55,B30,Salamanca,2021
2668,black,"Shirov, Alexei",2702,draw,44,C42,Salamanca,2021
2668,white,"Cramling, Pia",2398,win,81,B29,Salamanca,2021
2668,black,Santos Latasa,2618,lose,87,C95,Salamanca,2021
