rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2665,black,"Adams, Michael",2687,lose,67,C42,London,2023
2665,white,"Adams, Michael",2687,draw,36,C53,London,2023
2665,black,"Adams, Michael",2687,win,35,C42,London,2023
2665,white,"Adams, Michael",2687,win,42,C50,London,2023
2665,black,"Adams, Michael",2687,lose,40,B53,London,2023
2665,white,"Adams, Michael",2687,draw,40,C50,London,2023
2665,black,"Adams, Michael",2687,win,54,B51,London,2023
2665,white,"Adams, Michael",2687,draw,49,C50,London,2023
2666,white,"Yaniv, Yuval",2366,win,33,B56,Ashdod,2023
2659,black,"Vokhidov, Shamsiddin",2471,lose,35,B51,,2022
2659,white,"Vokhidov, Shamsiddin",2471,draw,88,C53,,2022
2659,black,"Bai, Jinshi",2498,lose,60,A46,Jerusalem,2022
2659,black,"Fressinet, Laurent",2684,lose,63,E10,Jerusalem,2022
2645,white,Gukesh D,2732,win,42,B30,Mayrhofen,2022
2645,black,"Fischer, Daniel",2407,win,51,B97,Mayrhofen,2022
2645,black,"Fedorchuk, Sergey A",2619,win,40,B51,Mayrhofen,2022
2645,white,"Alonso Rosell, Alvar",2563,win,53,C55,Mayrhofen,2022
2645,black,"Johansson, Linus",2461,draw,39,E50,Mayrhofen,2022
2645,white,"Thorhallsson, Throstur",2396,win,36,B56,Mayrhofen,2022
2645,white,"Polzin, Rainer",2385,win,41,B12,Mayrhofen,2022
2674,white,"Laurusas, Tomas",2561,draw,71,C42,Chennai,2022
2674,white,"Berkes, Ferenc",2649,draw,32,B03,Chennai,2022
2674,black,"Smirnov, Anton",2600,draw,23,E49,Chennai,2022
2674,white,"Theodorou, Nikolas",2575,lose,41,B30,Chennai,2022
2674,black,"Chukavin, Kirill",2418,draw,42,B58,Chennai,2022
2674,white,"Gazik, Viktor",2544,lose,49,B76,Chennai,2022
2674,black,"Albornoz Cabrera, Carlos Daniel",2566,draw,31,B97,Chennai,2022
2674,white,"Kulpruethanon, Thanadon",2294,win,65,C92,Chennai,2022
2674,black,"Nisipeanu, Liviu-Dieter",2642,lose,39,E48,Germany,2022
2674,white,"Postny, Evgeny",2564,draw,56,C97,Germany,2022
2687,white,"Stern, Rene",2510,lose,78,C65,Germany,2022
2687,black,"Piorun, Kacper",2640,lose,39,E10,Germany,2022
2687,white,"Huschenbeth, Niclas",2611,win,37,C81,,2022
2684,black,"Jones, Gawain C",2669,win,40,B90,,2022
2687,white,"Navara, David",2693,draw,29,C50,,2022
2687,black,"Shevchenko, Kirill",2652,lose,35,B90,,2022
2687,black,"Jobava, Baadur",2588,draw,17,A16,Terme Catez,2022
2687,white,"Bjerre, Jonas Buhl",2601,draw,19,C42,Terme Catez,2022
2687,black,"Alonso Rosell, Alvar",2565,win,53,E00,Terme Catez,2022
2687,white,"Mchedlishvili, Mikheil",2584,draw,20,C42,Terme Catez,2022
