rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2628,white,"Suleymanli, Aydin",2481,win,56,B10,Baku,2022
2628,black,"Vallejo Pons, Francisco",2644,lose,81,B23,Baku,2022
2628,white,Gukesh D,2632,win,55,B31,Baku,2022
2628,black,"Rapport, Richard",2654,lose,70,B52,Baku,2022
2628,white,"Abdusattorov, Nodirbek",2666,draw,50,B40,Baku,2022
2628,black,"Shankland, Samuel L",2612,lose,31,D41,Baku,2022
2628,black,"Mamedov, Rauf",2649,draw,35,B22,Baku,2022
2628,white,"Gadimbayli, Abdulla",2399,win,43,C07,Baku,2022
2628,black,"Mamedyarov, Shakhriyar",2733,win,51,A50,Baku,2022
2628,black,"Suleymanli, Aydin",2481,draw,68,A13,Baku,2022
2628,white,"Vallejo Pons, Francisco",2644,draw,33,C03,Baku,2022
2628,black,Gukesh D,2632,draw,41,D42,Baku,2022
2628,white,"Rapport, Richard",2654,win,40,B72,Baku,2022
2628,black,"Abdusattorov, Nodirbek",2666,lose,56,B30,Baku,2022
2628,white,"Shankland, Samuel L",2612,lose,23,C07,Baku,2022
2628,white,"Mamedov, Rauf",2649,draw,40,B31,Baku,2022
2628,black,"Gadimbayli, Abdulla",2399,win,36,B45,Baku,2022
2628,white,"Mamedyarov, Shakhriyar",2733,lose,45,C83,Baku,2022
2721,black,"Suleymanli, Aydin",2448,draw,39,A13,Baku,2022
2721,white,"Vallejo Pons, Francisco",2682,lose,28,C03,Baku,2022
2721,black,Gukesh D,2632,draw,39,D41,Baku,2022
2721,white,"Rapport, Richard",2802,draw,33,C09,Baku,2022
2721,black,"Abdusattorov, Nodirbek",2676,draw,87,B40,Baku,2022
2721,white,"Shankland, Samuel L",2657,win,42,D41,Baku,2022
2721,white,"Mamedov, Rauf",2578,draw,76,B31,Baku,2022
2721,black,"Gadimbayli, Abdulla",2399,win,78,B98,Baku,2022
2721,white,"Mamedyarov, Shakhriyar",2746,draw,23,C80,Baku,2022
2735,black,"Grover, Sahaj",2505,draw,35,C67,Abu Dhabi,2022
2735,white,Erigaisi Arjun,2689,lose,55,D13,Abu Dhabi,2022
2735,black,"Ter-Sahakyan, Samvel",2625,draw,31,B33,Abu Dhabi,2022
2735,white,"Jobava, Baadur",2585,win,37,C10,Abu Dhabi,2022
2735,black,"Adhiban, Baskaran",2598,draw,56,E46,Abu Dhabi,2022
2735,white,"Das, Arghyadip",2446,win,37,C03,Abu Dhabi,2022
2735,black,"Sukandar, Irine Kharisma",2373,draw,35,D86,Abu Dhabi,2022
2735,white,"Muradli, Mahammad",2552,draw,33,E00,Abu Dhabi,2022
2735,black,"Ajay Krishna, S",2367,win,33,A46,Abu Dhabi,2022
2744,white,"So, Wesley",2766,draw,28,C67,The Stavanger region,2022
2744,black,"Radjabov, Teimour",2753,draw,29,C43,The Stavanger region,2022
2744,black,"Topalov, Veselin",2730,draw,82,B33,The Stavanger region,2022
2744,white,"Vachier-Lagrave, Maxime",2750,draw,22,B90,The Stavanger region,2022
2744,black,"Tari, Aryan",2654,lose,44,C55,The Stavanger region,2022
2744,white,"Mamedyarov, Shakhriyar",2770,lose,54,C83,The Stavanger region,2022
2744,black,"Anand, Viswanathan",2751,draw,39,B33,The Stavanger region,2022
2744,white,"Giri, Anish",2761,draw,33,B90,The Stavanger region,2022
2744,black,"Carlsen, Magnus",2864,draw,47,A07,The Stavanger region,2022
2712,black,"Tari, Aryan",2567,lose,61,B23,The Stavanger region,2022
2712,white,"Vachier-Lagrave, Maxime",2813,lose,32,D97,The Stavanger region,2022
2712,black,"Mamedyarov, Shakhriyar",2778,draw,37,E10,The Stavanger region,2022
2712,white,"Anand, Viswanathan",2758,draw,40,C67,The Stavanger region,2022
2712,white,"Carlsen, Magnus",2832,lose,47,D45,The Stavanger region,2022
2712,black,"Giri, Anish",2766,lose,134,B31,The Stavanger region,2022
2712,white,"Radjabov, Teimour",2705,win,45,E36,The Stavanger region,2022
2712,black,"Topalov, Veselin",2667,lose,38,A20,The Stavanger region,2022
2712,white,"So, Wesley",2814,win,30,D20,The Stavanger region,2022
2763,black,"Vachier-Lagrave, Maxime",2758,lose,29,C67,Yekaterinburg,2021
2763,white,"Caruana, Fabiano",2820,lose,42,B40,Yekaterinburg,2021
2763,white,"Nepomniachtchi, Ian",2789,lose,59,C42,Yekaterinburg,2021
2763,black,"Alekseenko, Kirill",2696,draw,55,C55,Yekaterinburg,2021
2763,white,"Grischuk, Alexander",2777,draw,41,C11,Yekaterinburg,2021
2763,black,"Giri, Anish",2776,lose,39,E10,Yekaterinburg,2021
2763,white,"Ding, Liren",2791,draw,28,C45,Yekaterinburg,2021
2763,black,"Caruana, Fabiano",2835,lose,28,C42,chess.com INT,2020
2763,black,"Vidit, Santosh Gujrathi",2726,draw,30,A20,chess.com INT,2020
2763,white,"Artemiev, Vladislav",2716,draw,69,B40,chess.com INT,2020
2763,white,"Caruana, Fabiano",2835,lose,46,A07,chess.com INT,2020
2763,black,"Vidit, Santosh Gujrathi",2726,win,29,D20,chess.com INT,2020
2763,white,"Radjabov, Teimour",2765,draw,37,E32,chess.com INT,2020
2762,black,"Caruana, Fabiano",2842,draw,41,C42,Yekaterinburg,2020
2762,white,"Vachier-Lagrave, Maxime",2767,draw,83,D86,Yekaterinburg,2020
2762,black,"Nepomniachtchi, Ian",2774,lose,43,C42,Yekaterinburg,2020
2762,white,"Alekseenko, Kirill",2698,draw,41,A07,Yekaterinburg,2020
2762,black,"Grischuk, Alexander",2777,draw,49,C42,Yekaterinburg,2020
2762,white,"Giri, Anish",2763,draw,61,A34,Yekaterinburg,2020
2762,black,"Ding, Liren",2805,win,45,A20,Yekaterinburg,2020
2712,black,"Paravyan, David",2638,draw,50,B90,Gibraltar,2020
