rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2651,white,"Akesson, Ralf",2398,win,67,B23,Katowice,2022
2651,white,"Samunenkov, Ihor",2373,lose,88,B12,Katowice,2022
2651,black,"Yuffa, Daniil",2509,draw,78,E01,Katowice,2022
2651,white,"Laurusas, Tomas",2491,win,33,C42,Katowice,2022
2651,black,"Drozdowski, Kacper",2451,draw,35,C53,Katowice,2022
2651,white,"Tazbir, Marcin",2443,win,46,B12,Katowice,2022
2651,black,"Gavrilescu, David",2472,draw,45,C45,Katowice,2022
2651,white,"Szpar, Milosz",2383,win,32,B23,Katowice,2022
2651,white,"Redzisz, Michal",2078,win,61,A45,Katowice,2022
2651,black,"Marciniak, Leonard",1738,win,37,E04,Katowice,2022
2742,black,"Quilter, Thomas A",2118,lose,34,C53,Katowice,2022
2742,white,"Quilter, Thomas A",2118,win,33,C72,Katowice,2022
2742,white,"Mucha, Hubert",1838,win,26,B23,Katowice,2022
2742,black,"Mucha, Hubert",1838,win,64,C50,Katowice,2022
2686,black,"Markus, Robert",2608,draw,21,E10,Germany,2022
2689,black,"Kempinski, Robert",2541,draw,26,E10,,2022
2689,white,"Yuffa, Daniil",2601,draw,42,B51,,2022
2696,black,"Schitco, Ivan",2490,draw,56,E04,Chennai,2022
2696,white,"Vocaturo, Daniele",2616,draw,37,B52,Chennai,2022
2696,black,"Peralta, Fernando",2591,draw,31,E54,Chennai,2022
2696,white,"Dardha, Daniel",2575,draw,68,C65,Chennai,2022
2696,black,"Supi, Luis Paulo",2603,draw,32,C50,Chennai,2022
2696,white,"Ragger, Markus",2647,draw,35,C65,Chennai,2022
2696,white,"Sargissian, Gabriel",2698,draw,33,C55,Chennai,2022
2696,black,"Indjic, Aleksandar",2620,win,42,A50,Chennai,2022
2696,white,"Laurusas, Tomas",2561,draw,42,C42,Chennai,2022
2696,black,"Tin, Jingyao",2552,draw,50,E36,Chennai,2022
2696,white,"Brkic, Ante",2611,draw,42,B90,Baden-Baden,2022
2696,white,"Zilka, Stepan",2593,win,59,C65,Baden-Baden,2022
2696,white,"Van Wely, Loek",2624,win,31,B90,Germany,2022
2696,black,"Gupta, Abhijeet",2627,draw,48,A46,Germany,2022
2696,white,"Meshkovs, Nikita",2535,win,39,B31,Germany,2022
2696,black,"Svane, Frederik",2521,lose,53,C88,Germany,2022
2698,black,"Maghsoodloo, Parham",2701,lose,39,E10,Germany,2022
2698,white,Santos Latasa,2648,draw,65,C80,Germany,2022
2698,white,"Salem, A.R. Saleh",2690,win,38,B12,Malmo,2022
2698,black,Erigaisi Arjun,2675,draw,40,A45,Malmo,2022
2698,white,"Navara, David",2682,draw,69,B23,Malmo,2022
2698,black,"Shirov, Alexei",2695,draw,33,C84,Malmo,2022
2698,black,"Van Foreest, Jorden",2715,draw,30,A50,Malmo,2022
2698,white,"Grandelius, Nils",2635,draw,41,B92,Malmo,2022
2698,black,"Niemann, Hans Moke",2656,draw,49,D36,Malmo,2022
2698,white,"Levin, Felix",2450,draw,42,C53,,2022
2698,black,"Nagy, Gabor",2518,draw,28,A28,,2022
2698,white,"Clarke, Brandon G I",2435,win,34,B51,,2022
2698,black,"Jones, Gawain C",2672,draw,39,C54,,2022
2670,white,"Trent, Lawrence",2440,win,50,C64,London,2021
2670,black,"Jones, Gawain C",2604,draw,30,C50,London,2021
2670,white,"Horton, Andrew P",2298,win,72,C84,London,2021
2670,black,"Harvey, Marcus R",2443,draw,46,A28,London,2021
2670,white,"Speelman, Jonathan S",2523,lose,43,B12,London,2021
2670,black,"Haria, Ravi",2337,draw,38,C53,London,2021
2670,white,"Gormally, Daniel W",2534,win,58,B51,London,2021
2670,black,"Ghasi, Ameet K",2539,win,36,A07,London,2021
2670,black,"McShane, Luke J",2698,lose,81,C69,London,2021
2700,black,"Lagarde, Maxime",2638,win,49,A06,London,2021
2700,white,"Vitiugov, Nikita",2731,draw,31,B51,London,2021
2700,black,"Gelfand, Boris",2663,lose,49,E10,London,2021
2700,white,"Lagarde, Maxime",2638,draw,65,B47,London,2021
2700,black,"Vitiugov, Nikita",2731,draw,33,C88,London,2021
2700,white,"Gelfand, Boris",2663,draw,47,B30,London,2021
2714,black,"Grischuk, Alexander",2773,draw,38,E10,Terme Olimia,2021
2714,white,"Deac, Bogdan-Daniel",2651,lose,40,B90,Terme Olimia,2021
2714,black,"Pechac, Jergus",2562,draw,32,D58,Terme Olimia,2021
2714,white,"Mehmeti, Dritan",2391,win,35,C02,Terme Olimia,2021
2714,white,"Vocaturo, Daniele",2632,draw,30,B91,Terme Olimia,2021
2714,black,"Jobava, Baadur",2582,lose,42,C53,Terme Olimia,2021
2716,white,"Mager, Denis",2280,win,39,B90,Berlin,2021
2716,black,"Wagner, Dennis",2576,draw,36,E06,Berlin,2021
2716,black,"Bluebaum, Matthias",2640,draw,26,A50,Berlin,2021
2716,white,"Santos Ruiz, Miguel",2596,draw,21,C67,Berlin,2021
2716,black,"Rozentalis, Eduardas",2513,draw,100,C47,Berlin,2021
2716,black,"Piceu, Tom",2345,win,30,E12,Berlin,2021
2716,white,"Fedorchuk, Sergey A",2606,win,41,B47,Berlin,2021
2706,white,"Anton Guijarro, David",2688,draw,78,C53,Karlsruhe,2020
2706,black,"Vandenbussche, Thibaut",2435,draw,38,C55,Karlsruhe,2020
2706,black,"Spoelman, Wouter",2571,win,56,A28,Karlsruhe,2020
2706,white,"Smeets, Jan",2585,win,30,C42,Karlsruhe,2020
2706,black,"Blohberger, Felix",2467,win,41,E28,Karlsruhe,2020
2706,white,"Fedorovsky, Michael",2422,win,30,B31,Karlsruhe,2020
2706,white,"Keymer, Vincent",2568,win,45,B12,Karlsruhe,2020
2701,white,"Naiditsch, Arkadij",2626,win,86,C55,Biel,2020
2701,black,"Studer, Noel",2580,win,42,E10,Biel,2020
2701,black,"Anton Guijarro, David",2703,lose,54,A15,Biel,2020
2709,black,"Studer, Noel",2422,win,68,E10,Biel,2020
2709,white,"Studer, Noel",2422,lose,37,C42,Biel,2020
2709,white,"Wojtaszek, Radoslaw",2690,lose,25,B90,Biel,2020
2709,black,"Wojtaszek, Radoslaw",2690,draw,42,E10,Biel,2020
2709,black,"Keymer, Vincent",2476,win,39,A06,Biel,2020
2709,white,"Keymer, Vincent",2476,win,78,B10,Biel,2020
2709,white,"Harikrishna, Pentala",2663,draw,46,B30,Biel,2020
2709,black,"Harikrishna, Pentala",2663,win,43,C78,Biel,2020
2709,black,"Edouard, Romain",2614,win,49,A28,Biel,2020
2709,white,"Edouard, Romain",2614,win,27,B51,Biel,2020
2709,white,"Anton Guijarro, David",2590,win,57,C50,Biel,2020
2709,black,"Anton Guijarro, David",2590,win,51,A06,Biel,2020
2709,black,"Naiditsch, Arkadij",2581,win,34,C69,Biel,2020
2709,white,"Naiditsch, Arkadij",2581,win,51,B30,Biel,2020
2701,white,"Edouard, Romain",2649,draw,40,C11,Biel,2020
2701,black,"Wojtaszek, Radoslaw",2719,draw,41,E10,Biel,2020
2701,white,"Keymer, Vincent",2558,win,69,B90,Biel,2020
2701,black,"Harikrishna, Pentala",2719,draw,46,C84,Biel,2020
2689,black,"Naiditsch, Arkadij",2584,win,39,C69,Biel,2020
2689,white,"Studer, Noel",2437,win,30,B31,Biel,2020
2689,white,"Anton Guijarro, David",2718,draw,22,C77,Biel,2020
2689,black,"Edouard, Romain",2654,win,42,E21,Biel,2020
2689,white,"Wojtaszek, Radoslaw",2662,draw,31,B51,Biel,2020
2689,black,"Keymer, Vincent",2487,win,34,A06,Biel,2020
2689,white,"Harikrishna, Pentala",2690,lose,40,C84,Biel,2020
2698,white,"Speelman, Jonathan S",2508,win,37,C11,,2020
2698,black,"Gordon, Stephen J",2503,win,39,A20,,2020
2694,white,"Karthikeyan, Murali",2606,draw,36,C65,Gibraltar,2020
2694,white,"Antipov, Mikhail Al.",2562,win,44,C53,Gibraltar,2020
2694,black,"Maze, Sebastien",2550,draw,39,C77,Gibraltar,2020
2694,white,"Studer, Noel",2546,draw,45,A20,Gibraltar,2020
2694,black,Lalith Babu M R,2558,win,68,E04,Gibraltar,2020
2694,white,"Ibarra Jerez, Jose Carlos",2548,draw,30,B40,Gibraltar,2020
2694,black,"Javakhishvili, Lela",2463,win,70,E15,Gibraltar,2020
2694,white,"Barbosa, Evandro Amorim",2501,draw,16,B47,Gibraltar,2020
2694,black,"Gagare, Shardul",2481,draw,46,C24,Gibraltar,2020
2694,white,"Mieles Palau, Daniel",2374,win,51,B31,Gibraltar,2020
2775,black,"Howell, David",2650,win,67,A45,London,2019
2775,white,"Howell, David",2650,draw,17,B10,London,2019
2775,black,"Howell, David",2650,draw,41,A28,London,2019
2775,white,"Howell, David",2650,lose,32,B12,London,2019
2775,white,"Howell, David",2650,draw,40,A06,London,2019
2689,black,"Howell, David",2653,win,65,C89,London,2019
2689,white,"Howell, David",2653,win,32,C65,London,2019
2689,black,"Howell, David",2653,draw,64,C89,London,2019
2689,white,"Howell, David",2653,draw,63,C65,London,2019
2775,white,"McShane, Luke J",2602,win,59,B06,London,2019
2775,black,"McShane, Luke J",2602,lose,45,C69,London,2019
2775,white,"McShane, Luke J",2602,draw,60,B06,London,2019
2775,black,"McShane, Luke J",2602,win,41,C53,London,2019
2689,white,"McShane, Luke J",2698,win,57,C53,London,2019
2689,black,"McShane, Luke J",2698,lose,36,C69,London,2019
2701,black,"McShane, Luke J",2677,draw,31,C89,London,2019
2701,white,"McShane, Luke J",2677,draw,30,C67,London,2019
2701,black,"Harvey, Marcus R",2412,draw,52,A06,London,2019
2701,white,"Harvey, Marcus R",2412,draw,31,C11,London,2019
2689,black,"Harvey, Marcus R",2321,draw,61,A06,London,2019
2689,white,"Harvey, Marcus R",2321,draw,53,C03,London,2019
