rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2696,black,"Malakhov, Vladimir",2667,lose,86,A05,Germany,2020
2696,white,"Seel, Christian, Dr.",2478,draw,37,A39,Germany,2020
2696,white,"Fressinet, Laurent",2633,draw,36,A06,Germany,2020
2691,white,"Banusz, Tamas",2621,draw,45,C42,Hungary,2019
2678,white,"Banusz, Tamas",2614,win,23,C42,Hungary,2019
2691,black,"Banusz, Tamas",2621,draw,44,A45,Hungary,2019
2678,black,"Banusz, Tamas",2614,draw,32,A05,Hungary,2019
2691,white,"Erdos, Viktor",2609,win,61,C78,Hungary,2019
2678,black,"Erdos, Viktor",2580,win,33,B09,Hungary,2019
2691,white,"Erdos, Viktor",2609,draw,49,A05,Hungary,2019
2691,white,"Balog, Imre",2558,draw,38,A05,Hungary,2019
2691,black,"Balog, Imre",2558,win,44,A48,Hungary,2019
2691,white,"Czebe, Attila",2374,win,72,A04,Hungary,2019
2691,black,"Czebe, Attila",2374,win,50,A45,Hungary,2019
2691,white,"Huschenbeth, Niclas",2619,win,60,A06,Germany,2019
2691,black,"Papp, Gabor",2582,draw,28,B06,Germany,2019
2687,white,"Kozul, Zdenko",2593,win,59,A05,Hungary,2019
2680,black,"Karpov, Anatoly",2622,win,49,D70,Germany,2019
2680,white,"Kryvoruchko, Yuriy",2680,draw,20,C65,Germany,2019
2680,black,"Mons, Leon",2550,win,32,B23,Germany,2019
2680,white,"Kulaots, Kaido",2544,draw,59,A05,Germany,2019
2680,white,"Piorun, Kacper",2631,draw,42,A05,Germany,2019
2689,white,"Navara, David",2736,draw,38,A05,Germany,2018
2689,black,"Fressinet, Laurent",2650,lose,18,B07,Germany,2018
2689,white,"Aczel, Gergely",2549,lose,46,B94,Budapest,2018
2689,black,"Aczel, Gergely",2549,lose,35,E42,Budapest,2018
2689,white,"Aczel, Gergely",2549,lose,27,A07,Hungary,2018
2689,black,"Aczel, Gergely",2549,win,50,E46,Hungary,2018
2689,white,"Antal, Gergely",2553,win,34,A06,Hungary,2018
2689,black,"Antal, Gergely",2553,draw,65,C55,Hungary,2018
2682,white,"Stevic, Hrvoje",2589,draw,16,C83,Hungary,2018
2682,white,"Rodshtein, Maxim",2682,win,23,A07,Hungary,2018
2682,black,"Perske, Thore",2448,win,41,B41,Germany,2018
2702,black,Gukesh D,2456,win,35,A49,Douglas,2018
2702,black,"Gukesh, Dommaraju",2456,win,35,A49,Douglas,2018
2702,white,"Williams, Simon K",2457,draw,47,A04,Douglas,2018
2702,black,"Wagner, Dennis",2572,draw,28,E15,Douglas,2018
2702,white,Vishnu Prasanna. V,2504,win,48,A07,Douglas,2018
2702,white,"Vishnu, Prasanna V",2504,win,48,A09,Douglas,2018
2702,black,"Parligras, Mircea Emilian",2623,lose,39,A46,Douglas,2018
2702,white,"Kobo, Ori",2505,win,27,B06,Douglas,2018
2702,black,"Erenberg, Ariel",2407,win,46,E15,Douglas,2018
2702,white,"Bulmaga, Irina",2402,draw,63,B90,Douglas,2018
2702,white,"Gonzalez Acosta, Bernal",2452,win,40,A06,Batumi,2018
2702,black,"Nabaty, Tamir",2692,lose,48,A45,Batumi,2018
2702,white,"Keinanen, Toivo",2402,draw,42,A07,Batumi,2018
2702,white,"Fressinet, Laurent",2649,draw,31,C78,Batumi,2018
2702,black,"Ochsner, Bjorn Moller",2462,win,44,B06,Batumi,2018
2702,black,"Fridman, Daniel",2591,lose,44,E11,Batumi,2018
2702,white,"Yakubboev, Nodirbek",2521,draw,30,B92,Batumi,2018
2702,black,"Andriamasoandro, Miora",2126,win,36,B20,Batumi,2018
2699,white,"Gledura, Benjamin",2626,draw,19,C84,Ajka,2018
2650,black,"Banusz, Tamas",2592,draw,23,A04,Hungary,2018
2650,white,"Erdos, Viktor",2617,lose,44,C84,Ajka,2018
2650,black,"Erdos, Viktor",2617,draw,65,A30,Ajka,2018
2650,black,"Banusz, Tamas",2592,lose,38,A30,Ajka,2018
2650,white,"Banusz, Tamas",2592,lose,49,C97,Ajka,2018
2650,white,"Balog, Imre",2613,win,55,A07,Hungary,2018
2650,white,"Mihok, Oliver",2426,win,61,B47,Hungary,2018
2650,black,"Czebe, Attila",2488,draw,75,A04,Hungary,2018
2650,white,"Papp, Gabor",2574,draw,48,A04,Hungary,2018
2650,black,"Ruck, Robert",2570,win,53,A04,Hungary,2018
2650,white,"Erdos, Viktor",2617,lose,62,C92,Hungary,2018
2650,black,"Medvegy, Zoltan",2542,win,33,A39,Hungary,2018
2650,white,"Bagi, Mate",2394,win,37,C84,Hungary,2018
2650,black,"Szelenyi, Norbert",2284,win,36,A04,Hungary,2018
2650,white,"Borhy, Marcell",1969,win,33,A06,Hungary,2018
2699,black,"Fedorchuk, Sergey A",2626,draw,14,C67,Greece,2018
2699,black,"Saric, Ivan",2689,win,38,C45,Greece,2018
2699,white,"Mastrovasilis, Dimitrios",2580,draw,38,C42,Greece,2018
2699,white,"Postny, Evgeny",2585,draw,40,B12,Greece,2018
2699,white,"Nedev, Trajko",2490,win,47,A05,Greece,2018
2685,white,"Horvath, Csaba",2507,win,44,B12,Hungary,2018
2696,black,"Mons, Leon",2542,draw,26,A46,Germany,2018
2696,white,"Dragnev, Valentin",2493,win,44,C84,Germany,2018
2707,black,"Jakovenko, Dmitrij",2710,draw,20,C65,Germany,2018
2689,black,"Jakovenko, Dmitrij",2744,draw,22,C65,Germany,2018
