rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2756,white,Erigaisi Arjun,2728,win,35,C60,Mayrhofen,2022
2756,white,"Korobov, Anton",2672,draw,67,C02,Mayrhofen,2022
2756,black,"Harikrishna, Pentala",2717,lose,52,E04,Mayrhofen,2022
2756,white,"Mamedyarov, Shakhriyar",2747,win,54,C83,Mayrhofen,2022
2756,black,"Mamedov, Rauf",2646,draw,30,C44,Mayrhofen,2022
2756,black,"Hjartarson, Johann",2468,draw,30,A30,Mayrhofen,2022
2751,black,"Tari, Aryan",2654,draw,22,C83,The Stavanger region,2022
2751,white,"Mamedyarov, Shakhriyar",2770,lose,22,C42,The Stavanger region,2022
2751,white,"Mamedyarov, Shakhriyar",2770,lose,22,C42,The Stavanger region,2022
2751,white,"Radjabov, Teimour",2753,draw,42,C53,The Stavanger region,2022
2751,black,"Giri, Anish",2761,draw,35,A30,The Stavanger region,2022
2751,white,"Carlsen, Magnus",2864,draw,40,C55,The Stavanger region,2022
2751,black,"So, Wesley",2766,draw,28,A34,The Stavanger region,2022
2751,white,"Wang, Hao",2744,draw,39,B33,The Stavanger region,2022
2751,black,"Topalov, Veselin",2730,win,37,D20,The Stavanger region,2022
2751,white,"Vachier-Lagrave, Maxime",2750,win,40,B52,The Stavanger region,2022
2758,black,"Vachier-Lagrave, Maxime",2813,lose,35,C54,The Stavanger region,2022
2758,white,"Mamedyarov, Shakhriyar",2778,draw,67,C80,The Stavanger region,2022
2758,white,"Carlsen, Magnus",2832,win,43,B06,The Stavanger region,2022
2758,black,"Wang, Hao",2712,draw,40,C67,The Stavanger region,2022
2758,white,"Giri, Anish",2766,lose,42,B90,The Stavanger region,2022
2758,black,"Radjabov, Teimour",2705,draw,35,E10,The Stavanger region,2022
2758,white,"Topalov, Veselin",2667,win,41,B67,The Stavanger region,2022
2758,black,"So, Wesley",2814,draw,41,C53,The Stavanger region,2022
2758,white,"Tari, Aryan",2567,win,37,A05,The Stavanger region,2022
2758,white,"Wojtaszek, Radoslaw",2610,win,60,B50,Warsaw,2022
2758,black,"Rapport, Richard",2646,win,54,C44,Warsaw,2022
2758,white,"Caruana, Fabiano",2744,draw,76,B52,Warsaw,2022
2758,black,"So, Wesley",2814,draw,26,E04,Warsaw,2022
2758,black,"Aronian, Levon",2773,lose,37,C49,Warsaw,2022
2758,white,"Shevchenko, Kirill",2624,win,47,B50,Warsaw,2022
2758,black,"Gavrilescu, David",2367,draw,49,C45,Warsaw,2022
2758,white,"Korobov, Anton",2650,lose,26,B30,Warsaw,2022
2758,black,"Duda, Jan Krzysztof",2760,lose,34,C43,Warsaw,2022
2758,black,"Wojtaszek, Radoslaw",2610,draw,93,E10,Warsaw,2022
2758,white,"Rapport, Richard",2646,draw,60,B51,Warsaw,2022
2758,black,"Caruana, Fabiano",2744,lose,45,C42,Warsaw,2022
2758,white,"So, Wesley",2814,win,45,C65,Warsaw,2022
2758,white,"Aronian, Levon",2773,draw,46,C67,Warsaw,2022
2758,black,"Shevchenko, Kirill",2624,win,50,C42,Warsaw,2022
2758,white,"Gavrilescu, David",2367,lose,26,C11,Warsaw,2022
2758,black,"Korobov, Anton",2650,draw,26,A30,Warsaw,2022
