rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2735,black,"Yu, Yangyi",2807,win,55,D37,Almaty,2022
2735,white,"Duda, Jan Krzysztof",2773,lose,40,A07,Almaty,2022
2735,black,"Dubov, Daniil",2792,draw,19,D30,Almaty,2022
2735,white,"Andriasian, Zaven",2625,win,39,A05,Almaty,2022
2735,white,"Nakamura, Hikaru",2909,lose,43,A05,Almaty,2022
2735,black,"Moussard, Jules",2606,win,37,A13,Almaty,2022
2735,white,"Yoo, Christopher Woojin",2463,win,53,E12,Almaty,2022
2735,black,"Giri, Anish",2792,lose,39,C02,Almaty,2022
2735,white,"Lazavik, Denis",2484,win,65,A07,Almaty,2022
2735,black,"Pantsulaia, Levan",2563,win,51,A06,Almaty,2022
2735,white,"Riazantsev, Alexander",2595,draw,47,A06,Almaty,2022
2735,black,"Murzin, Volodar",2586,win,48,A07,Almaty,2022
2735,white,"Ghasi, Ameet K",2587,lose,35,A05,Almaty,2022
2735,black,"Shimanov, Aleksandr",2605,win,33,C46,Almaty,2022
2735,white,"Keymer, Vincent",2600,draw,111,A07,Almaty,2022
2735,black,"Lintchevski, Daniil",2589,win,36,B31,Almaty,2022
2735,white,"Anton Guijarro, David",2585,draw,120,A08,Almaty,2022
2735,black,"Dragnev, Valentin",2523,lose,46,B23,Almaty,2022
2735,white,"Vokhidov, Shamsiddin",2597,win,29,A07,Almaty,2022
2735,black,"Ter-Sahakyan, Samvel",2585,draw,78,D30,Almaty,2022
2735,white,"Le, Tuan Minh",2530,win,48,A07,Almaty,2022
2631,black,"Indjic, Aleksandar",2547,win,51,A40,Almaty,2022
2631,white,"Murzin, Volodar",2534,lose,58,A07,Almaty,2022
2631,black,"Tabatabaei, M. Amin",2526,lose,34,E11,Almaty,2022
2631,black,"Tabatabaei, M. Amin",2526,draw,42,D31,Almaty,2022
2631,white,"Quparadze, Giga",2538,draw,30,B40,Almaty,2022
2631,black,"Duda, Jan Krzysztof",2791,draw,33,D31,Almaty,2022
2631,black,"Lazavik, Denis",2453,win,64,E10,Almaty,2022
2631,white,"Kobalia, Mihail",2534,win,70,D11,Almaty,2022
2631,black,"Sanal, Vahap",2547,draw,91,C15,Almaty,2022
2631,white,"Asadli, Vugar",2491,win,44,A05,Almaty,2022
2631,black,"Durarbayli, Vasif",2513,draw,42,C65,Almaty,2022
