rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2735,white,"Keymer, Vincent",2696,win,79,C84,Wijk aan Zee,2023
2735,black,"So, Wesley",2760,draw,46,A29,Wijk aan Zee,2023
2735,black,Erigaisi Arjun,2722,draw,62,E38,Wijk aan Zee,2023
2735,white,Praggnanandhaa R,2684,draw,32,C80,Wijk aan Zee,2023
2735,black,"Carlsen, Magnus",2859,draw,41,E10,Wijk aan Zee,2023
2755,black,"Caruana, Fabiano",2763,draw,34,C67,Saint Louis,2022
2755,white,"Moradiabadi, Elshan",2534,win,42,B12,Saint Louis,2022
2755,black,"Shankland, Samuel L",2712,draw,15,E04,Saint Louis,2022
2755,white,"So, Wesley",2774,draw,18,A28,Saint Louis,2022
2755,black,"Xiong, Jeffery",2690,draw,28,C45,Saint Louis,2022
2755,white,"Niemann, Hans Moke",2699,draw,57,C58,Saint Louis,2022
2755,black,"Yoo, Christopher Woojin",2563,draw,20,C55,Saint Louis,2022
2755,white,"Swiercz, Dariusz",2652,lose,73,A13,Saint Louis,2022
2755,black,"Liang, Awonder",2608,lose,32,C44,Saint Louis,2022
2755,white,"Robson, Ray",2690,draw,57,E10,Saint Louis,2022
2755,black,"Sevian, Samuel",2684,draw,98,D37,Saint Louis,2022
2755,white,"Dominguez Perez, Leinier",2747,draw,34,C42,Saint Louis,2022
2755,black,"Lenderman, Aleksandr",2535,draw,17,E47,Saint Louis,2022
2759,black,"Mamedyarov, Shakhriyar",2757,draw,39,E35,Saint Louis,2022
2759,white,"Nepomniachtchi, Ian",2792,lose,52,C42,Saint Louis,2022
2759,black,"Caruana, Fabiano",2758,draw,45,C65,Saint Louis,2022
2759,white,"Vachier-Lagrave, Maxime",2757,win,49,B90,Saint Louis,2022
2759,black,"So, Wesley",2771,draw,43,E04,Saint Louis,2022
2759,white,"Dominguez Perez, Leinier",2745,draw,35,B50,Saint Louis,2022
2759,black,"Firouzja, Alireza",2778,lose,38,C50,Saint Louis,2022
2759,white,"Carlsen, Magnus",2861,draw,37,E11,Saint Louis,2022
2759,black,"Niemann, Hans Moke",2688,draw,50,C67,Saint Louis,2022
2850,white,"Nepomniachtchi, Ian",2791,draw,28,A45,Saint Louis,2022
2850,black,"Dominguez Perez, Leinier",2708,lose,57,C67,Saint Louis,2022
2850,white,"Vachier-Lagrave, Maxime",2812,draw,26,A45,Saint Louis,2022
2850,black,"Mamedyarov, Shakhriyar",2710,lose,42,A45,Saint Louis,2022
2850,white,"Shankland, Samuel L",2645,draw,51,A13,Saint Louis,2022
2850,black,"Firouzja, Alireza",2795,lose,38,A16,Saint Louis,2022
2850,black,"Caruana, Fabiano",2847,draw,70,C67,Saint Louis,2022
2850,white,"Nakamura, Hikaru",2850,win,89,C67,Saint Louis,2022
2850,black,"Xiong, Jeffery",2714,draw,67,D27,Saint Louis,2022
2850,black,"Nepomniachtchi, Ian",2791,win,36,A16,Saint Louis,2022
2850,white,"Dominguez Perez, Leinier",2708,win,35,A34,Saint Louis,2022
2850,black,"Vachier-Lagrave, Maxime",2812,lose,34,C67,Saint Louis,2022
2850,white,"Mamedyarov, Shakhriyar",2710,win,43,C77,Saint Louis,2022
2850,black,"Shankland, Samuel L",2645,win,60,E37,Saint Louis,2022
2850,white,"Firouzja, Alireza",2795,draw,54,C65,Saint Louis,2022
2850,white,"Caruana, Fabiano",2847,lose,58,A48,Saint Louis,2022
2850,black,"Nakamura, Hikaru",2850,lose,33,A06,Saint Louis,2022
2850,white,"Xiong, Jeffery",2714,win,38,C65,Saint Louis,2022
2728,white,"Nepomniachtchi, Ian",2795,draw,47,A46,Saint Louis,2022
2728,black,"Firouzja, Alireza",2704,draw,24,C65,Saint Louis,2022
2728,white,"Dominguez Perez, Leinier",2705,draw,21,D02,Saint Louis,2022
2728,black,"Caruana, Fabiano",2766,draw,36,E46,Saint Louis,2022
2728,white,"Xiong, Jeffery",2725,draw,43,C42,Saint Louis,2022
2728,black,"Shankland, Samuel L",2616,draw,54,E21,Saint Louis,2022
2728,white,"Nakamura, Hikaru",2837,lose,29,A16,Saint Louis,2022
2728,black,"Mamedyarov, Shakhriyar",2695,draw,34,A45,Saint Louis,2022
2728,white,"Vachier-Lagrave, Maxime",2763,draw,45,D26,Saint Louis,2022
2775,white,"Theodorou, Nikolas",2575,lose,33,E73,Chennai,2022
2775,black,Nihal Sarin,2651,draw,35,E10,Chennai,2022
2775,black,"Tabatabaei, M. Amin",2664,draw,31,A15,Chennai,2022
2775,white,"Nabaty, Tamir",2631,draw,31,C42,Chennai,2022
2775,black,"Yakubboev, Nodirbek",2620,draw,36,C55,Chennai,2022
2775,white,"Mchedlishvili, Mikheil",2593,win,60,A11,Chennai IND,2022
2775,black,"Silva, David",2315,draw,41,B51,Chennai,2022
2773,white,"Caruana, Fabiano",2744,draw,38,B90,Warsaw,2022
2773,black,"Korobov, Anton",2650,draw,31,C67,Warsaw,2022
2773,white,"So, Wesley",2814,win,23,C24,Warsaw,2022
2773,black,"Duda, Jan Krzysztof",2760,draw,54,A15,Warsaw,2022
2773,white,"Anand, Viswanathan",2758,win,37,C49,Warsaw,2022
2773,black,"Wojtaszek, Radoslaw",2610,draw,35,D27,Warsaw,2022
2773,white,"Shevchenko, Kirill",2624,win,68,B50,Warsaw,2022
2773,black,"Rapport, Richard",2646,win,56,B23,Warsaw,2022
2773,white,"Gavrilescu, David",2367,draw,42,D00,Warsaw,2022
2773,black,"Caruana, Fabiano",2744,draw,57,A18,Warsaw,2022
2773,white,"Korobov, Anton",2650,win,36,B50,Warsaw,2022
2773,black,"So, Wesley",2814,draw,35,A06,Warsaw,2022
2773,white,"Duda, Jan Krzysztof",2760,draw,82,C24,Warsaw,2022
2773,black,"Anand, Viswanathan",2758,draw,46,C67,Warsaw,2022
2773,white,"Wojtaszek, Radoslaw",2610,win,45,B50,Warsaw,2022
2773,black,"Shevchenko, Kirill",2624,win,126,A18,Warsaw,2022
2773,white,"Rapport, Richard",2646,win,83,E73,Warsaw,2022
2773,black,"Gavrilescu, David",2367,win,50,B51,Warsaw,2022
2751,black,"Gavrilescu, David",2457,win,50,C45,Warsaw,2022
2751,white,"Duda, Jan Krzysztof",2806,lose,84,C24,Warsaw,2022
2751,white,"Korobov, Anton",2677,win,42,B50,Warsaw,2022
2751,black,"Shevchenko, Kirill",2573,draw,43,C77,Warsaw,2022
2751,white,"Anand, Viswanathan",2675,lose,24,C24,Warsaw,2022
2751,black,"So, Wesley",2770,draw,78,A08,Warsaw,2022
2751,white,"Wojtaszek, Radoslaw",2647,draw,73,B50,Warsaw,2022
2751,black,"Rapport, Richard",2785,draw,48,B50,Warsaw,2022
2751,white,"Caruana, Fabiano",2790,win,45,C24,Warsaw,2022
2751,white,"Vachier-Lagrave, Maxime",2743,lose,61,B50,Bucharest,2022
2751,black,"So, Wesley",2770,lose,74,D20,Bucharest,2022
2765,white,"Mamedyarov, Shakhriyar",2770,draw,36,C49,Bucharest,2022
2765,black,"Nepomniachtchi, Ian",2773,draw,85,C53,Bucharest,2022
2765,white,"Caruana, Fabiano",2786,draw,26,C24,Bucharest,2022
2765,black,"Vachier-Lagrave, Maxime",2750,win,25,D39,Bucharest,2022
2765,white,"So, Wesley",2766,draw,39,A30,Bucharest,2022
2765,black,"Dominguez Perez, Leinier",2753,win,65,C50,Bucharest,2022
2765,white,"Firouzja, Alireza",2804,draw,62,D17,Bucharest,2022
2765,black,"Deac, Bogdan-Daniel",2671,draw,53,D27,Bucharest,2022
2765,white,"Rapport, Richard",2776,draw,39,D17,Bucharest,2022
