rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2646,black,"Freitag, Manfred",2360,win,43,,C02,2022
2646,white,"Sebastian, Dirk",2435,win,24,,A57,2022
2647,black,"Martin Duque, Jesus",2378,win,25,B90,Linares,2022
2647,white,"Reinaldo Castineira, Roi",2496,win,76,C02,Linares,2022
2647,white,"Espinosa Aranda, Angel",2428,win,27,B07,Linares,2022
2647,black,"Alsina Leal, Daniel",2525,draw,20,C02,Linares,2022
2673,white,"Moussard, Jules",2589,lose,47,B44,Le Sequestre,2022
2673,black,"Moussard, Jules",2589,win,63,B67,Le Sequestre,2022
2720,black,"Moussard, Jules",2626,lose,22,B67,Le Sequestre,2022
2648,white,"Moussard, Jules",2670,draw,24,B90,Le Sequestre,2022
2648,black,"Moussard, Jules",2670,draw,47,B67,Le Sequestre,2022
2648,black,"Fressinet, Laurent",2624,draw,55,D02,Le Sequestre,2022
2648,white,"Fressinet, Laurent",2624,draw,23,C88,Le Sequestre,2022
2720,white,"Gharamian, Tigran",2650,draw,41,B51,Le Sequestre,2022
2720,black,"Gharamian, Tigran",2650,win,27,B62,Le Sequestre,2022
2648,white,"Gharamian, Tigran",2602,draw,13,B90,Le Sequestre,2022
2648,black,"Gharamian, Tigran",2602,draw,37,C11,Le Sequestre,2022
2648,black,"Demuth, Adrien",2485,draw,22,A37,Le Sequestre,2022
2648,white,"Demuth, Adrien",2485,win,35,C60,Le Sequestre,2022
2656,black,"Roseneck, Jonas",2384,draw,26,D37,Germany,2022
2656,white,"Dautov, Rustem",2591,draw,16,B12,Germany,2022
2656,black,"Barseghyan, Armen Ar.",2383,draw,58,D43,Germany,2022
2641,white,"Alekseenko, Kirill",2701,draw,15,B51,Chartres,2022
2641,white,"Parligras, Mircea Emilian",2579,win,46,C67,Chartres,2022
2641,white,"Kamsky, Gata",2655,draw,17,C95,Chartres,2022
2641,black,"Van Foreest, Lucas",2553,draw,28,B22,Chartres,2022
2641,white,"Alonso Rosell, Alvar",2562,win,37,C67,Chartres,2022
2641,white,"Koch, Jean-Rene",2441,win,51,C42,Chartres,2022
2641,black,"Korobov, Anton",2675,draw,51,A07,Chartres,2022
2635,white,"Ciolek, Andreas",2191,win,40,B51,Germany,2022
2635,black,"Lokander, Martin",2475,draw,16,D37,Germany,2022
2635,white,"Maiwald, Jens-Uwe",2424,draw,38,,D70,2022
2635,black,"Andreikin, Dmitry",2724,lose,42,D27,Belgrade,2022
2635,white,"Grischuk, Alexander",2758,draw,23,C84,Belgrade,2022
2635,black,"Shankland, Samuel L",2704,draw,45,D20,Belgrade,2022
2635,black,"Grischuk, Alexander",2758,draw,32,C42,Belgrade,2022
2635,white,"Andreikin, Dmitry",2724,draw,41,C72,Belgrade,2022
2635,white,"Shankland, Samuel L",2704,draw,46,B51,Belgrade,2022
2647,black,"Alekseenko, Kirill",2710,draw,41,B69,Terme Olimia,2021
2647,white,"Paichadze, Luka",2551,draw,22,E11,Terme Olimia,2021
2647,white,"Pavlidis, Antonios",2536,win,44,A07,Terme Olimia,2021
2647,white,"Can, Emre",2570,lose,55,B07,Terme Olimia,2021
2647,black,"Gledura, Benjamin",2635,lose,38,D27,Terme Olimia,2021
2647,white,"Bosiocic, Marin",2545,win,60,A07,Terme Olimia,2021
2658,black,"Commercon, Simon",2204,win,33,D31,Berlin,2021
2658,white,"Buhmann, Rainer",2580,win,59,C95,Berlin,2021
2658,white,"Donchenko, Alexander",2648,draw,31,B51,Berlin,2021
2658,black,"Dragnev, Valentin",2543,draw,34,C67,Berlin,2021
2658,white,"Stankovic, Milos",2420,win,53,A05,Berlin,2021
2658,black,"Maze, Sebastien",2553,draw,24,C11,Berlin,2021
2658,white,"Kovalenko, Igor",2647,draw,14,A07,Zagreb,2021
2658,black,"Movsesian, Sergei",2627,draw,27,C67,Zagreb,2021
2658,white,"Stevic, Hrvoje",2570,lose,33,D20,Zagreb,2021
2658,black,"Bosiocic, Marin",2573,draw,8,D10,Zagreb,2021
2658,white,"Zelcic, Robert",2522,win,42,B10,Zagreb,2021
2658,black,"Kozul, Zdenko",2601,draw,79,D15,Zagreb,2021
2658,black,"Brkic, Ante",2621,lose,23,B69,Zagreb,2021
2658,white,"Palac, Mladen",2517,draw,30,B90,Zagreb,2021
2658,black,"Inarkiev, Ernesto",2668,draw,50,D30,Zagreb,2021
2658,black,"Bjerre, Jonas Buhl",2550,draw,64,C07,Malmo,2021
2658,white,Nihal Sarin,2652,draw,41,C78,Malmo,2021
2658,black,"Van Foreest, Jorden",2691,lose,58,C11,Malmo,2021
2658,white,"Keymer, Vincent",2607,draw,24,A07,Malmo,2021
2658,black,"Grandelius, Nils",2666,win,31,D10,Malmo,2021
2658,white,"Jones, Gawain C",2684,draw,40,D70,Malmo,2021
2658,black,"Short, Nigel D",2626,lose,62,B56,Malmo,2021
2678,black,"Carlsen, Magnus",2847,lose,39,B52,Sochi,2021
2678,white,"Carlsen, Magnus",2847,lose,44,C88,Sochi,2021
2700,white,"Piorun, Kacper",2593,win,81,B06,Sochi,2021
2700,black,"Piorun, Kacper",2593,win,48,B62,Sochi,2021
2700,black,"Piorun, Kacper",2593,win,55,B06,Sochi,2021
2700,white,"Piorun, Kacper",2593,lose,42,A07,Sochi,2021
2678,black,"Piorun, Kacper",2608,draw,37,B56,Sochi,2021
2678,white,"Piorun, Kacper",2608,draw,46,C70,Sochi,2021
2700,white,"Ponkratov, Pavel",2609,win,44,C02,Sochi,2021
2700,black,"Ponkratov, Pavel",2609,draw,52,B68,Sochi,2021
2678,black,"Ponkratov, Pavel",2629,lose,47,B68,Sochi,2021
2678,white,"Ponkratov, Pavel",2629,win,44,C15,Sochi,2021
2700,white,"Amin, Bassem",2620,win,60,A05,Sochi,2021
2700,black,"Amin, Bassem",2620,draw,65,B50,Sochi,2021
2678,black,"Amin, Bassem",2703,draw,31,A07,Sochi,2021
2678,white,"Amin, Bassem",2703,draw,42,C95,Sochi,2021
2700,white,"Haria, Ravi",2295,win,46,C11,Sochi,2021
2700,black,"Haria, Ravi",2295,draw,13,A07,Sochi,2021
2678,white,"Haria, Ravi",2440,lose,44,C01,Sochi,2021
2678,black,"Haria, Ravi",2440,win,34,B52,Sochi,2021
2678,white,"Savina, Anastasia",2333,draw,67,C84,Chalons en Champagne,2021
2678,black,"Wirig, Anthony",2500,draw,10,C67,Chalons en Champagne,2021
2678,white,"Delorme, Axel",2480,draw,27,C55,Chalons en Champagne,2021
2678,white,"Saatdjian, Stephane",2131,win,46,B52,Chalons en Champagne,2021
2678,black,"Alonso Rosell, Alvar",2572,draw,46,D35,Chalons en Champagne,2021
2678,white,"Oparin, Grigoriy",2654,draw,24,B52,Chalons en Champagne,2021
2678,white,"Edouard, Romain",2598,win,66,C19,Chalons en Champagne,2021
2678,black,"Gajewski, Grzegorz",2603,draw,13,E10,Chalons en Champagne,2021
2678,black,"Real, Thibault",2267,win,36,A48,Chalons en Champagne,2021
2667,white,"So, Wesley",2741,draw,32,C67,Paris,2021
2667,black,"Caruana, Fabiano",2773,win,55,B67,Paris,2021
2667,white,"Radjabov, Teimour",2758,draw,91,C67,Paris,2021
2667,black,"Svidler, Peter",2742,draw,65,A13,Paris,2021
2667,white,"Firouzja, Alireza",2703,draw,49,A06,Paris,2021
2667,black,"Vachier-Lagrave, Maxime",2860,win,69,A01,Paris,2021
2667,white,"Aronian, Levon",2778,lose,38,E10,Paris,2021
2667,black,"Nepomniachtchi, Ian",2778,lose,24,B52,Paris,2021
2667,white,"Rapport, Richard",2727,win,47,B10,Paris,2021
2673,white,"Korobov, Anton",2688,win,46,D45,Linares,2020
2673,black,"Huschenbeth, Niclas",2612,win,49,B62,Linares,2020
2673,white,"Van Foreest, Jorden",2682,draw,36,B40,Linares,2020
2673,black,"Cheparinov, Ivan",2686,lose,23,A06,Linares,2020
2673,black,"Navara, David",2707,draw,79,A50,Linares,2020
2673,white,"Vazquez Igarza, Renier",2551,win,48,E16,Linares,2020
2673,black,"Kryvoruchko, Yuriy",2682,lose,30,C65,Linares,2020
2673,black,"Fedorchuk, Sergey A",2615,lose,32,C24,Karlsruhe,2020
2673,white,"Lemmers, Oscar",2348,win,31,B41,Karlsruhe,2020
2673,white,"Florstedt, Johannes",2353,win,31,A04,Karlsruhe,2020
2673,black,"Schenk, Andreas",2431,win,48,D37,Karlsruhe,2020
2673,white,"Demuth, Adrien",2492,win,36,A04,Karlsruhe,2020
2679,white,"Spoelman, Wouter",2578,draw,44,B91,Germany,2020
2679,black,"Ftacnik, Lubomir",2516,draw,30,A05,Germany,2020
2679,black,"Gavrilescu, David",2455,draw,19,C42,Germany,2020
2669,black,"Hausrath, Daniel",2476,draw,23,A07,Germany,2019
2669,white,"Andersen, Mads",2594,win,64,B84,Germany,2019
2669,white,"Dreev, Alexey",2671,win,60,B11,Zagreb,2019
2669,black,"Zelcic, Robert",2526,draw,16,C01,Zagreb,2019
2669,white,"Kozul, Zdenko",2593,win,38,B52,Zagreb,2019
2669,black,"Nisipeanu, Liviu-Dieter",2656,draw,32,D30,Zagreb,2019
2669,white,"Ragger, Markus",2669,draw,22,B90,Zagreb,2019
2669,black,"Bosiocic, Marin",2598,draw,31,A13,Zagreb,2019
2669,black,"Cheparinov, Ivan",2679,draw,33,D02,Zagreb,2019
2669,white,"Palac, Mladen",2550,win,41,B91,Zagreb,2019
2669,black,"Stevic, Hrvoje",2563,draw,25,C80,Zagreb,2019
2669,white,"Melkumyan, Hrant",2661,draw,31,B33,Zagreb,2019
2669,black,"Ivanchuk, Vassily",2679,draw,25,D31,Zagreb,2019
2671,black,"Parligras, Mircea Emilian",2629,draw,30,D37,Douglas,2019
2671,white,"Akobian, Varuzhan",2625,draw,46,C01,Douglas,2019
2671,black,"Vocaturo, Daniele",2620,draw,30,D31,Douglas,2019
2671,white,"Esipenko, Andrey",2624,draw,42,C53,Douglas,2019
2671,black,Nihal Sarin,2610,draw,39,C43,Douglas,2019
2671,white,"Jumabayev, Rinat",2630,lose,44,C01,Douglas,2019
2671,black,"Abasov, Nijat",2632,draw,31,C80,Douglas,2019
2671,white,"Hansen, Eric",2611,win,33,C67,Douglas,2019
2671,black,"Yilmaz, Mustafa",2595,draw,31,E10,Douglas,2019
2671,white,"Christiansen, Johan-Sebastian",2558,draw,45,C01,Douglas,2019
2671,black,"Boruchovsky, Avital",2533,draw,48,C77,Douglas,2019
2671,black,"Sasikiran, Krishnan",2675,win,53,C42,Linares,2019
2671,white,"Iturrizaga Bonelli, Eduardo",2626,win,26,B10,Linares,2019
2671,black,"Cheparinov, Ivan",2670,lose,29,D02,Linares,2019
2671,white,"Ivanchuk, Vassily",2686,win,47,E10,Linares,2019
2671,black,"Kuzubov, Yuriy",2636,draw,32,D70,Linares,2019
2671,white,"Rakhmanov, Aleksandr",2606,draw,30,C42,Linares,2019
2671,white,"Abasov, Nijat",2632,draw,31,C01,Linares,2019
2678,white,"Heimann, Andreas",2627,draw,16,C67,Moscow,2019
