rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2661,white,"Derakhshani, Borna",2400,win,39,D47,England,2023
2634,black,"Gareyev, Timur",2553,lose,150,D31,Almaty,2022
2634,white,"Yakubboev, Nodirbek",2560,lose,48,E46,Almaty,2022
2634,black,"Sanal, Vahap",2576,draw,67,C11,Almaty,2022
2634,black,"Makhnev, Denis",2507,lose,50,D02,Almaty,2022
2634,white,"Nihal, Sarin",2702,lose,42,D31,Almaty,2022
2634,black,"Paravyan, David",2551,win,72,C11,Almaty,2022
2634,white,"Jobava, Baadur",2582,win,52,A56,Almaty,2022
2634,black,"Hovhannisyan, Robert",2570,win,38,C11,Almaty,2022
2634,white,"Pantsulaia, Levan",2563,lose,77,A43,Almaty,2022
2634,black,"Madaminov, Mukhiddin",2333,lose,98,D00,Almaty,2022
2634,white,"Artemiev, Vladislav",2803,lose,40,E43,Almaty,2022
2634,black,"Martirosyan, Haik M.",2745,lose,49,D38,Almaty,2022
2634,white,"Vachier-Lagrave, Maxime",2771,win,35,D85,Almaty,2022
2634,black,"Ganguly, Surya Shekhar",2530,win,39,A13,Almaty,2022
2634,white,"Dubov, Daniil",2792,lose,32,A50,Almaty,2022
2634,white,"Tin, Jingyao",2462,win,27,D43,Almaty,2022
2634,black,"Ansat, Aldiyar",2302,win,40,C11,Almaty,2022
2634,white,"Sychev, Klementy",2563,win,43,D20,Almaty,2022
2634,black,"Le, Tuan Minh",2530,win,48,D02,Almaty,2022
2634,white,"Harutyunyan, Tigran K.",2426,win,42,A50,Almaty,2022
2634,black,"Pranav, V",2440,lose,44,C00,Almaty,2022
2617,white,"Yoo, Christopher Woojin",2463,draw,42,D43,Almaty,2022
2617,black,"Sadhwani, Raunak",2532,draw,24,D02,Almaty,2022
2617,black,"Sargsyan, Shant",2561,draw,26,D30,Almaty,2022
2617,black,"Christiansen, Johan-Sebastian",2513,win,75,C00,Almaty,2022
2617,white,"Tabatabaei, M. Amin",2526,lose,35,A50,Almaty,2022
2617,black,"Duda, Jan Krzysztof",2791,lose,60,D31,Almaty,2022
2651,white,"Safarli, Eltaj",2616,draw,13,D20,Barcelona,2022
2651,black,"Yu, Yangyi",2716,draw,51,A45,Barcelona,2022
2651,white,"Niemann, Hans Moke",2699,draw,22,E10,Barcelona,2022
2651,black,Sankalp Gupta,2488,win,39,B11,Barcelona,2022
2651,white,Aditya Mittal,2486,draw,28,A45,Barcelona,2022
2657,black,"Beerdsen, Thomas",2520,win,53,B12,Barcelona,2022
2651,white,"Sochacki, Christophe",2459,win,28,D20,Barcelona,2022
2651,black,"Cesar Maestre, Bernardo",2344,win,69,B17,Barcelona,2022
2651,black,"Plat, Vojtech",2546,draw,55,B13,Germany,2022
2647,white,"Duda, Jan-Krzysztof",2731,draw,22,D10,Deizisau,2022
2651,white,"Vachier-Lagrave, Maxime",2736,draw,31,,D94,2022
2651,black,"Saric, Ivan",2674,win,66,,C42,2022
2647,black,"Kraemer, Martin",2579,win,63,,A07,2022
2647,white,"Bartel, Mateusz",2630,draw,27,,A22,2022
2647,black,"Kuzubov, Yuriy",2627,draw,50,D41,Wojtaszek,2022
2647,white,"Luch, Michal",2364,draw,102,A13,Wojtaszek,2022
2647,black,"Navara, David",2681,draw,52,C42,Wojtaszek,2022
2647,white,"Korobov, Anton",2671,draw,40,D02,Wojtaszek,2022
2647,black,Santos Latasa,2680,lose,26,C02,Wojtaszek,2022
2647,white,"Harikrishna, Pentala",2716,win,45,D10,Wojtaszek,2022
2647,white,"Wojtaszek, Radoslaw",2696,draw,30,A45,Wojtaszek,2022
2647,black,"Nguyen, Thai Dai Van",2627,draw,27,B12,Wojtaszek,2022
2647,white,"Deac, Bogdan-Daniel",2710,draw,39,E41,Wojtaszek,2022
2673,black,Nihal Sarin,2651,lose,55,A46,Chennai,2022
2673,black,"Nabaty, Tamir",2631,win,49,A46,Chennai,2022
2673,white,"Stremavicius, Titas",2532,win,73,A07,Chennai,2022
2673,black,"Yakubboev, Nodirbek",2620,lose,52,C42,Chennai,2022
2673,white,"Ivic, Velimir",2581,draw,34,A07,Chennai,2022
2673,white,"Borisek, Jure",2577,draw,90,D26,Chennai,2022
2673,black,"Murphy, Conor E",2404,lose,59,B10,Chennai,2022
2673,black,"Ragger, Markus",2647,draw,31,B12,Chennai,2022
2673,white,"Keinanen, Toivo",2477,draw,45,A13,Chennai,2022
2673,white,"Deac, Bogdan-Daniel",2692,draw,60,D10,Dortmund,2022
2673,black,"Eljanov, Pavel",2681,lose,53,A07,Dortmund,2022
2673,white,"L&#039;Ami, Erwin",2634,draw,33,D33,Dortmund,2022
2673,black,"Svane, Rasmus",2649,draw,36,C42,Dortmund,2022
2673,white,"Navara, David",2688,draw,29,D11,Dortmund,2022
2673,black,"McShane, Luke J",2649,lose,65,C42,Dortmund,2022
2673,white,"Mamedyarov, Shakhriyar",2759,draw,20,D45,Germany,2022
2673,black,"Van Foreest, Jorden",2678,draw,71,C42,Germany,2022
2673,black,"Rapport, Richard",2764,draw,33,C42,Germany,2022
2673,white,"Svane, Rasmus",2649,draw,22,E10,Germany,2022
2673,black,"Bjerre, Jonas Buhl",2608,draw,29,E10,Germany,2022
2642,black,Santos Latasa,2648,draw,29,C42,Germany,2022
2642,white,"Maghsoodloo, Parham",2701,draw,67,D35,Germany,2022
2642,black,"Pechac, Jergus",2599,draw,30,,E48,2022
2637,black,"Piorun, Kacper",2635,draw,25,,C24,2022
2637,white,"Rabiega, Robert",2503,win,57,,D07,2022
2637,white,"Nagy, Gabor",2518,win,43,,D31,2022
2637,black,"Levin, Felix",2450,win,39,,A07,2022
2642,white,"Saric, Ivan",2687,draw,44,E97,Terme Catez,2022
2642,black,"Lagarde, Maxime",2626,draw,74,C43,Terme Catez,2022
2642,white,"Nisipeanu, Liviu-Dieter",2652,draw,9,A52,Terme Catez,2022
2642,black,"Sargissian, Gabriel",2681,draw,12,E04,Terme Catez,2022
2642,white,"Kuzubov, Yuriy",2639,win,35,E48,Terme Catez,2022
