rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2859,black,"Giri, Anish",2764,lose,35,E15,Wijk aan Zee,2023
2859,white,"Ding, Liren",2811,draw,37,A46,Wijk aan Zee,2023
2859,black,"Keymer, Vincent",2696,win,65,D91,Wijk aan Zee,2023
2859,white,"Aronian, Levon",2735,draw,41,E10,Wijk aan Zee,2023
2830,white,"Abdusattorov, Nodirbek",2666,win,38,C77,Almaty,2022
2830,black,"Shimanov, Aleksandr",2605,win,42,C11,Almaty,2022
2830,black,"Sarana, Alexey",2708,lose,24,D35,Almaty,2022
2830,white,"Madaminov, Mukhiddin",2333,win,67,D70,Almaty,2022
2830,black,"Caruana, Fabiano",2847,win,50,C88,Almaty,2022
2830,white,"Keymer, Vincent",2600,win,28,A06,Almaty,2022
2830,black,"Nepomniachtchi, Ian",2782,lose,40,C65,Almaty,2022
2830,white,"Rapport, Richard",2654,win,71,C18,Almaty,2022
2830,white,"Martirosyan, Haik M.",2745,win,32,A01,Almaty,2022
2830,black,"Artemiev, Vladislav",2803,draw,20,E37,Almaty,2022
2830,black,"Dubov, Daniil",2792,draw,30,A46,Almaty,2022
2830,white,"Mamedyarov, Shakhriyar",2733,draw,38,C80,Almaty,2022
2830,white,"Fedoseev, Vladimir",2733,draw,42,D30,Almaty,2022
2830,black,"Nakamura, Hikaru",2909,draw,21,D41,Almaty,2022
2830,black,"Giri, Anish",2792,win,41,C18,Almaty,2022
2830,white,"Yu, Yangyi",2807,draw,46,E10,Almaty,2022
2830,black,"Duda, Jan Krzysztof",2773,win,54,A40,Almaty,2022
2830,white,"Tomashevsky, Evgeny",2698,win,27,C65,Almaty,2022
2830,black,"Cheparinov, Ivan",2623,win,53,E10,Almaty,2022
2830,white,"Tsydypov, Zhamsaran",2593,win,39,A01,Almaty,2022
2830,black,"Kovalev, Vladislav",2556,win,59,C01,Almaty,2022
2834,white,"Maghsoodloo, Parham",2656,win,28,B67,Almaty,2022
2834,white,"Caruana, Fabiano",2747,draw,31,E10,Almaty,2022
2834,black,"Artemiev, Vladislav",2727,lose,34,E11,Almaty,2022
2834,white,"Keymer, Vincent",2590,win,48,E04,Almaty,2022
2834,black,"Quparadze, Giga",2538,win,57,C07,Almaty,2022
2834,white,"Dubov, Daniil",2712,draw,35,A01,Almaty,2022
2834,black,"Fedoseev, Vladimir",2741,draw,47,E11,Almaty,2022
2834,white,"Van Foreest, Jorden",2693,win,42,A13,Almaty,2022
2834,black,Erigaisi Arjun,2628,draw,44,A45,Almaty,2022
2834,white,"Abdusattorov, Nodirbek",2676,win,35,A01,Almaty,2022
2834,black,"Tomashevsky, Evgeny",2628,win,50,A40,Almaty,2022
2834,white,"Hansen, Eric",2579,win,38,A01,Almaty,2022
2834,black,"Ter-Sahakyan, Samvel",2531,win,42,C18,Almaty,2022
2856,black,"Maghsoodloo, Parham",2721,draw,39,A50,Mayrhofen,2022
2856,white,"Baldauf, Marco",2506,win,44,A48,Mayrhofen,2022
2856,black,"Korobov, Anton",2672,win,34,D04,Mayrhofen,2022
2856,white,"Harikrishna, Pentala",2717,win,43,A20,Mayrhofen,2022
2856,white,"Naumann, Alexander",2513,win,30,C45,Mayrhofen,2022
2856,black,"Meshkovs, Nikita",2566,draw,44,E10,Mayrhofen AUT,2022
2861,white,"Niemann, Hans Moke",2688,lose,57,E20,Saint Louis,2022
2861,black,"Aronian, Levon",2759,draw,37,E11,Saint Louis,2022
2861,white,"Nepomniachtchi, Ian",2792,win,43,E10,Saint Louis,2022
2864,white,"Schitco, Ivan",2490,draw,45,A05,Chennai,2022
2864,black,"Megaranto, Susanto",2529,win,47,A46,Chennai,2022
2864,white,"Pechac, Jergus",2594,draw,42,A20,Chennai,2022
2864,white,"Stanojoski, Zvonko",2412,win,69,D00,Chennai,2022
2864,black,"Smirnov, Anton",2600,win,40,B00,Chennai,2022
2864,black,"Bwalya, Gillan",2396,win,26,E53,"Chennai, India",2022
2864,white,"Batsuren, Dambasuren",2518,win,30,A05,Chennai,2022
2864,black,"Vocaturo, Daniele",2616,draw,56,B13,Chennai IND,2022
2864,white,"Meier, Georg",2613,win,80,C10,Chennai,2022
2828,black,"Saric, Ivan",2550,lose,46,C87,Zagreb,2022
2828,white,"Firouzja, Alireza",2791,lose,51,E10,Zagreb,2022
2828,black,"Mamedyarov, Shakhriyar",2778,draw,65,D47,Zagreb,2022
2828,white,"Nepomniachtchi, Ian",2740,win,50,B23,Zagreb,2022
2828,black,"Vachier-Lagrave, Maxime",2784,draw,40,C67,Zagreb,2022
2828,white,"Dominguez Perez, Leinier",2729,draw,38,C42,Zagreb,2022
2828,black,"So, Wesley",2763,draw,61,C47,Zagreb,2022
2828,white,"Topalov, Veselin",2667,draw,59,B23,Zagreb,2022
2828,black,"Van Foreest, Jorden",2609,win,32,C53,Zagreb,2022
2828,white,"Saric, Ivan",2550,win,26,D70,Zagreb,2022
2828,black,"Firouzja, Alireza",2791,win,44,D43,Zagreb,2022
2828,white,"Mamedyarov, Shakhriyar",2778,win,34,A07,Zagreb,2022
2828,black,"Nepomniachtchi, Ian",2740,win,56,A05,Zagreb,2022
2828,white,"Vachier-Lagrave, Maxime",2784,win,64,B23,Zagreb,2022
2828,black,"Dominguez Perez, Leinier",2729,lose,55,C88,Zagreb,2022
2828,white,"So, Wesley",2763,lose,39,C53,Zagreb,2022
2828,black,"Topalov, Veselin",2667,win,32,C55,Zagreb,2022
2828,white,"Van Foreest, Jorden",2609,win,41,C65,Zagreb,2022
2847,black,"Saric, Ivan",2645,win,41,B42,Zagreb,2022
2847,white,"Van Foreest, Jorden",2645,win,43,A20,Zagreb,2022
2847,black,"So, Wesley",2779,draw,69,D10,Zagreb,2022
2847,white,"Dominguez Perez, Leinier",2726,draw,51,A00,Zagreb,2022
2847,black,"Mamedyarov, Shakhriyar",2699,lose,48,D94,Zagreb,2022
2847,white,"Firouzja, Alireza",2670,draw,36,E06,Zagreb,2022
2847,white,"Vachier-Lagrave, Maxime",2764,draw,19,B23,Zagreb,2022
2847,black,"Topalov, Veselin",2627,win,78,B11,Zagreb,2022
2847,white,"Nepomniachtchi, Ian",2821,draw,39,D41,Zagreb,2022
2864,black,"Topalov, Veselin",2730,draw,35,C55,The Stavanger region,2022
2864,white,"Vachier-Lagrave, Maxime",2750,draw,79,D85,The Stavanger region,2022
2864,black,"Tari, Aryan",2654,draw,33,C47,The Stavanger region,2022
2864,white,"Mamedyarov, Shakhriyar",2770,win,56,A07,The Stavanger region,2022
2864,black,"Anand, Viswanathan",2751,draw,40,C55,The Stavanger region,2022
2864,white,"Giri, Anish",2761,win,34,D41,The Stavanger region,2022
2864,white,"Radjabov, Teimour",2753,win,36,E10,The Stavanger region,2022
2864,black,"So, Wesley",2766,draw,38,D45,The Stavanger region,2022
2864,white,"Wang, Hao",2744,draw,47,A07,The Stavanger region,2022
2832,black,"Mamedyarov, Shakhriyar",2778,draw,59,D70,The Stavanger region,2022
2832,white,"Topalov, Veselin",2667,win,30,A45,The Stavanger region,2022
2832,black,"Anand, Viswanathan",2758,lose,43,B06,The Stavanger region,2022
2832,white,"So, Wesley",2814,lose,34,A00,The Stavanger region,2022
2832,black,"Wang, Hao",2712,win,47,D45,The Stavanger region,2022
2832,white,"Tari, Aryan",2567,win,25,A45,The Stavanger region,2022
2832,black,"Giri, Anish",2766,draw,35,A05,The Stavanger region,2022
2832,white,"Vachier-Lagrave, Maxime",2813,win,50,A20,The Stavanger region,2022
2832,black,"Radjabov, Teimour",2705,draw,68,D80,The Stavanger region,2022
2855,white,"Ostmoe, Geir Sune Tallaksen",2469,draw,84,B10,Oslo,2022
2865,black,"Caruana, Fabiano",2792,win,49,B31,Wijk aan Zee,2022
2865,white,"Vidit, Santosh Gujrathi",2727,draw,51,C24,Wijk aan Zee,2022
2865,black,"Karjakin, Sergey",2743,draw,16,C67,Wijk aan Zee,2022
2865,white,"Mamedyarov, Shakhriyar",2767,win,27,E04,Wijk aan Zee,2022
2865,black,"Shankland, Samuel L",2708,draw,35,D32,Wijk aan Zee,2022
2865,black,Praggnanandhaa R,2612,win,34,D30,Wijk aan Zee,2022
2865,white,"Rapport, Richard",2763,win,31,E04,Wijk aan Zee,2022
2865,black,"Grandelius, Nils",2672,draw,54,B33,Wijk aan Zee,2022
