rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2623,white,"Adhiban, Baskaran",2613,lose,48,B33,Almaty,2022
2623,black,"Pantsulaia, Levan",2563,lose,39,A04,Almaty,2022
2623,black,"Alonso Rosell, Alvar",2514,win,39,D30,Almaty,2022
2623,white,"Nguyen, Thai Dai Van",2534,draw,27,E10,Almaty,2022
2623,black,"Tsydypov, Zhamsaran",2593,lose,38,D00,Almaty,2022
2623,white,"Tang, Andrew",2582,win,71,E04,Almaty,2022
2623,white,"Chigaev, Maksim",2542,win,27,B90,Almaty,2022
2623,black,"Vakhidov, Jakhongir",2507,lose,33,C17,Almaty,2022
2623,white,"Ghasi, Ameet K",2587,win,39,B12,Almaty,2022
2623,black,"Le, Tuan Minh",2530,lose,65,D02,Almaty,2022
2623,white,"Svane, Frederik",2466,win,82,E10,Almaty,2022
2623,black,"Hovhannisyan, Robert",2570,lose,38,C84,Almaty,2022
2623,white,"Lazavik, Denis",2484,lose,75,E10,Almaty,2022
2623,black,"Bilguun, Sumiya",2365,win,39,B23,Almaty,2022
2623,black,"Mamedov, Rauf",2649,lose,48,B50,Almaty,2022
2623,white,"Duda, Jan Krzysztof",2773,draw,82,D30,Almaty,2022
2623,white,"Yoo, Christopher Woojin",2463,win,48,D30,Almaty,2022
2623,black,"Saraci, Nderim",2549,win,18,A01,Almaty,2022
2623,white,"Carlsen, Magnus",2830,lose,53,E10,Almaty,2022
2623,black,"Makhnev, Denis",2507,win,35,E04,Almaty,2022
2623,white,"Maze, Sebastien",2431,win,53,E94,Almaty,2022
2652,black,"Pantsulaia, Levan",2522,draw,54,A06,Almaty,2022
2652,white,"Ter-Sahakyan, Samvel",2531,draw,29,B33,Almaty,2022
2652,black,"Sargsyan, Shant",2561,lose,34,E11,Almaty,2022
2652,white,"Fedorov, Alexei",2531,win,61,B33,Almaty,2022
2652,black,"Tsydypov, Zhamsaran",2550,lose,51,B90,Almaty,2022
2652,white,"Yakubboev, Nodirbek",2573,draw,52,E91,Almaty,2022
2652,black,"Urazayev, Arystanbek",2535,win,40,B92,Almaty,2022
2652,white,"Indjic, Aleksandar",2547,draw,28,E16,Almaty,2022
2652,black,"Amin, Bassem",2567,draw,17,A07,Almaty,2022
2652,white,"Puranik, Abhimanyu",2549,draw,58,D90,Almaty,2022
2652,black,"Murzin, Volodar",2534,draw,62,B52,Almaty,2022
2652,white,"Yoo, Christopher Woojin",2463,win,32,E94,Almaty,2022
2652,black,"Svane, Frederik",2466,draw,76,B90,Almaty,2022
2688,white,"Tin, Jingyao",2562,draw,58,B12,Sitges,2022
2688,black,"Aravindh, Chithambaram VR.",2607,draw,63,A49,Sitges,2022
