rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2650,white,Santos Latasa,2640,win,26,A13,Mexico,2022
2650,white,"Cordova, Emilio",2534,draw,17,E16,Mexico,2022
2650,white,"Cordova, Emilio",2534,draw,17,E16,Mexico,2022
2650,black,"Meier, Georg",2631,draw,47,A46,Mexico,2022
2655,white,"Yakubboev, Nodirbek",2621,draw,46,E92,Riga,2021
2655,black,"Hovhannisyan, Robert",2622,draw,82,B12,Riga,2021
2655,white,"Esipenko, Andrey",2720,lose,44,A21,Riga,2021
2655,black,"Zhou, Jianchao",2629,win,48,D15,Riga,2021
2655,white,"Martirosyan, Haik M.",2624,win,103,E10,Riga,2021
2655,black,"Zvjaginsev, Vadim",2609,draw,31,B12,Riga,2021
2655,white,"Sethuraman, SP.",2620,draw,38,D38,Riga,2021
2655,black,"Nguyen, Thai Dai Van",2577,draw,46,D13,Riga,2021
2655,white,"Indjic, Aleksandar",2612,lose,49,A61,Riga,2021
2655,black,"Sindarov, Javokhir",2587,draw,30,B11,Riga,2021
2655,white,"Goryachkina, Aleksandra",2602,draw,31,D16,Riga,2021
2652,black,"Sindarov, Javokhir",2558,lose,79,B12,Sochi,2021
2652,white,"Sindarov, Javokhir",2558,draw,45,A10,Sochi,2021
2652,white,"Mareco, Sandro",2629,win,61,A21,Sochi,2021
2652,black,"Mareco, Sandro",2629,lose,31,B12,Sochi,2021
2652,black,"Karimov, Alisher",2244,draw,75,C19,Sochi,2021
2652,white,"Karimov, Alisher",2244,win,41,A46,,2021
2652,white,"So, Wesley",2770,lose,43,D37,chess.com INT,2020
2652,black,"Harikrishna, Pentala",2719,lose,31,B32,chess.com INT,2020
2652,black,"Karjakin, Sergey",2752,lose,38,B47,chess.com INT,2020
2652,white,"Adhiban, Baskaran",2659,win,55,D45,chess.com INT,2020
2702,white,"Firouzja, Alireza",2671,lose,32,A52,Hoogeveen,2019
2671,black,"Firouzja, Alireza",2702,draw,51,B33,Hoogeveen,2019
2671,white,"Firouzja, Alireza",2702,win,65,A15,Hoogeveen,2019
2671,black,"Firouzja, Alireza",2702,lose,51,B42,Hoogeveen,2019
2671,white,"Firouzja, Alireza",2702,lose,30,D70,Hoogeveen,2019
2671,black,"Firouzja, Alireza",2702,lose,32,B31,Hoogeveen,2019
2676,white,Nihal Sarin,2610,lose,29,A13,Khanty-Mansiysk,2019
2676,black,Nihal Sarin,2610,lose,57,B33,Khanty-Mansiysk,2019
2686,white,"Delorme, Axel",2489,win,42,A13,Linares,2019
2686,black,"Vallejo Pons, Francisco",2678,lose,47,B63,Linares,2019
2686,white,"Andersen, Mads",2603,draw,35,A05,Linares,2019
2686,black,"Espinosa Aranda, Angel",2497,draw,53,B47,Linares,2019
2686,black,"Kokarev, Dmitry",2598,draw,43,B33,Linares,2019
2686,white,"Alonso Alvarez, Aitor",2305,win,34,A05,Linares,2019
2686,black,"Matnadze, Ana",2363,win,84,D02,Linares,2019
2686,white,"Henriquez Villagra, Cristobal",2562,win,102,A06,,2019
2686,white,"Vallejo Pons, Francisco",2678,draw,16,D02,,2019
2686,black,"Cuenca Jimenez, Jose Fernando",2515,win,40,C11,,2019
2686,black,"Espinosa Aranda, Angel",2497,win,64,A05,,2019
2686,white,"Domingo Nunez, Ruben",2345,win,29,A47,,2019
2686,black,"Zambrana, Oswaldo",2440,draw,52,B41,,2019
2686,white,"Moral Garcia, Serafin",2281,win,51,A15,,2019
2686,black,"Ladron De Guevara Pinto, Paolo",2431,lose,20,E42,,2019
2686,white,"Guerrero Vargas, Andres Jesus",2342,win,51,A46,,2019
2686,white,"Georgiadis, Nico",2514,lose,29,A13,Biel,2019
2686,black,"Leko, Peter",2674,lose,55,C11,Biel,2019
2686,white,"Shankland, Samuel L",2713,win,52,D45,Biel,2019
2686,black,"Bogner, Sebastian",2584,draw,61,E00,Biel,2019
2686,black,"Maghsoodloo, Parham",2656,win,42,C02,Biel,2019
2686,white,"Abdusattorov, Nodirbek",2598,draw,40,E17,Biel,2019
2686,black,"Vidit, Santosh Gujrathi",2703,lose,40,E11,Biel,2019
2664,white,"Lenderman, Aleksandr",2626,win,30,A46,Saint Louis,2018
2664,black,"Durarbayli, Vasif",2629,win,55,B48,Saint Louis,2018
2664,white,"Shimanov, Aleksandr",2626,draw,18,A05,Saint Louis,2018
2664,black,"Gledura, Benjamin",2621,draw,28,D12,Saint Louis,2018
2664,white,"Ostrovskiy, Aleksandr",2423,win,77,A06,Saint Louis,2018
2664,black,"Quesada Perez, Yuniesky",2622,draw,69,B48,Saint Louis,2018
2664,black,"Liang, Awonder",2572,lose,43,B48,Saint Louis,2018
2664,white,"Wang, Justin",2377,win,54,E14,Saint Louis,2018
2664,white,"Volodin, Aleksandr",2457,win,50,A06,Batumi,2018
2664,white,"Nanjo, Ryosuke",2324,win,60,A16,Batumi,2018
2664,white,"Saber, Yasser",2192,win,54,D12,Batumi,2018
2664,white,"Pelletier, Yannick",2544,win,34,E10,Batumi,2018
2664,white,"Franco Ocampos, Zenon",2486,win,45,D02,Batumi,2018
2664,white,"Nepomniachtchi, Ian",2768,draw,21,D70,Batumi,2018
2664,white,"Wei, Yi",2742,win,41,A48,Batumi,2018
2664,black,"Lorne, Ras Malaku",2161,win,40,A45,Batumi,2018
2659,white,"Hungaski, Robert",2510,draw,33,D20,Montevideo,2018
2659,black,"El Debs, Felipe de Cresce",2537,win,29,B40,Montevideo,2018
2659,white,"Tristan, Leonardo",2459,win,50,E58,Montevideo,2018
2659,white,"Flores, Diego",2614,lose,52,A61,Montevideo,2018
2659,black,"Shankland, Samuel L",2717,draw,50,A07,Montevideo,2018
2659,black,"Delgado Ramirez, Neuris",2613,draw,87,C01,Montevideo,2018
2659,white,"Martinez Alcantara, Jose Eduardo",2539,win,43,A46,Montevideo,2018
2659,white,"Morovic Fernandez, Ivan",2513,win,73,E10,Montevideo,2018
2659,black,"Hoffman, Alejandro",2475,draw,48,E11,Montevideo,2018
2659,white,"Ruiz Castillo, Joshua Daniel",2378,win,47,A46,Montevideo,2018
2659,black,"Avgoustopoulos, Christian",2110,win,21,B44,Montevideo,2018
2658,white,"Rambaldi, Francesco",2565,win,29,A07,Saint Louis,2018
2658,white,"Hevia Alejano, Carlos Antonio",2492,win,65,E01,Saint Louis,2018
2658,black,"Shtembuliak, Evgeny",2507,draw,60,D10,Saint Louis,2018
2660,white,"Raznikov, Danny",2485,draw,35,A05,,2017
2660,black,"Swiercz, Dariusz",2649,draw,15,E09,,2017
2660,white,"Popilski, Gil",2514,draw,31,A48,,2017
2660,white,"Creger, Leo",2105,win,32,E97,,2017
2660,black,"Ynojosa Aponte, Felix Jose",2387,draw,64,B38,,2017
2660,black,"Zhandarbekov, Bakberdi",2081,win,40,D55,,2017
2657,white,"Rambaldi, Francesco",2574,win,39,A46,St. Louis,2017
2657,white,"Azarov, Sergei",2556,win,23,A13,St. Louis,2017
2657,black,"Nyzhnyk, Illya",2594,draw,46,A34,St. Louis,2017
2657,white,"Patel, Advait",2448,win,33,A10,St. Louis,2017
2657,black,"Liang, Awonder",2554,draw,67,B47,St. Louis,2017
2657,white,"Grabinsky, Aaron",2366,win,31,A05,St. Louis,2017
2500,black,"Grischuk, Alexander",2851,lose,32,B33,Tbilisi,2017
2500,white,"Grischuk, Alexander",2851,draw,33,D70,Tbilisi,2017
2648,black,"Grischuk, Alexander",2788,draw,44,B33,Tbilisi,2017
2648,white,"Grischuk, Alexander",2788,draw,42,D70,Tbilisi,2017
2648,black,"Jones, Gawain C",2668,draw,86,B22,Tbilisi,2017
2648,white,"Jones, Gawain C",2668,win,97,A48,Tbilisi,2017
2641,white,"Fedorchuk, Sergey A",2633,lose,33,B23,Linares,2017
2641,black,"Shvayger, Yuliya",2438,win,38,C57,Linares,2017
2641,white,"Shevchenko, Kirill",2527,win,44,B23,Linares,2017
2641,black,"Edouard, Romain",2624,draw,76,C11,Linares,2017
2641,black,"Mchedlishvili, Mikheil",2590,lose,34,D70,Linares,2017
2641,white,"Santos Ruiz, Miguel",2490,lose,85,A22,Linares,2017
2641,black,"Narciso Dublan, Marc",2467,win,64,B23,Linares,2017
2636,white,"Oblitas, Carlomagno",2395,win,40,D11,Sitges,2017
2636,white,"Salinas Herrera, Pablo",2438,win,35,D11,Sitges,2017
2636,black,"Oliva Castaneda, Kevel",2497,draw,17,E00,Sitges,2017
2636,white,"Movsziszian, Karen",2485,win,92,A41,Sitges,2017
2636,black,"Volkov, Sergey",2627,win,35,D10,Sitges,2017
2636,white,"Fernandez, Fernando",2424,win,55,E10,Sitges,2017
2636,black,"Tissir, Mohamed",2354,win,42,B47,Sitges,2017
2636,white,"Fenil, Shah",2267,win,44,D31,Sitges,2017
2636,black,"Banusz, Tamas",2600,draw,53,D13,Benasque,2017
2636,white,"Shevchenko, Kirill",2502,draw,40,E17,Benasque,2017
2636,black,"Gozzoli, Yannick",2594,win,38,A46,Benasque,2017
2636,white,"Burri, Quentin",2397,win,33,D02,Benasque,2017
2636,black,"Soltanici, Ruslan",2396,win,41,B30,Benasque,2017
2636,white,"Ubilava, Elizbar",2483,draw,50,A22,Benasque,2017
2636,black,"Abergel, Thal",2464,draw,78,A12,Benasque,2017
2636,white,"Lillo Castany, Victor",2350,win,36,A61,Benasque,2017
2636,black,"Castellano Egea, Einar",2183,win,48,B47,Benasque,2017
2636,white,"Mekhane, Adam",1974,win,28,A22,Benasque,2017
2618,white,"Cordova, Emilio",2651,lose,46,A46,Medellin,2017
2618,black,"Iturrizaga Bonelli, Eduardo",2663,draw,30,E00,Medellin,2017
2618,black,"Bruzon Batista, Lazaro",2650,win,40,B47,Medellin,2017
2618,white,"Bachmann, Axel",2653,win,51,A46,Medellin,2017
2645,black,"Vera Siguenas, Deivy",2516,lose,45,B92,Merida,2016
2645,black,"Vorontsov, Pavlo",2462,draw,64,E11,Merida,2016
