rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
,white,"Tabatabaei, M. Amin",,draw,29,C80,Deizisau,2022
2731,black,"Bluebaum, Matthias",2647,draw,22,D10,Deizisau,2022
2731,black,"Nakamura, Hikaru",2768,lose,63,C42,Toronto,2022
2731,white,"Nakamura, Hikaru",2768,win,115,E10,Toronto,2022
2731,black,"Nakamura, Hikaru",2768,win,51,C10,Toronto,2022
2731,white,"Nakamura, Hikaru",2768,lose,44,A00,Toronto,2022
2731,black,"Nakamura, Hikaru",2768,lose,32,C65,Toronto,2022
2731,white,"Nakamura, Hikaru",2768,lose,94,E04,Toronto,2022
2731,black,"Nakamura, Hikaru",2768,lose,63,C42,Toronto,2022
,black,"Nakamura, Hikaru",,lose,34,C00,Chess24 INT,2021
,white,"Nakamura, Hikaru",,lose,44,A28,Chess24 INT,2021
,black,"Nakamura, Hikaru",,win,69,E60,Chess24 INT,2021
,white,"Nakamura, Hikaru",,lose,36,D37,Chess24 INT,2021
2756,white,"So, Wesley",2778,draw,64,A13,chess24.com INT,2021
2756,black,"So, Wesley",2778,lose,34,A34,chess24.com INT,2021
2756,white,"So, Wesley",2778,draw,34,D37,chess24.com INT,2021
2756,black,"So, Wesley",2778,draw,45,A13,chess24.com INT,2021
2756,white,"So, Wesley",2778,draw,36,D27,chess24.com INT,2021
2756,black,"So, Wesley",2778,draw,31,E60,chess24.com INT,2021
2756,black,"Artemiev, Vladislav",2699,draw,31,D02,chess24.com INT,2021
2756,white,"Artemiev, Vladislav",2699,win,61,D37,chess24.com INT,2021
2756,black,"Artemiev, Vladislav",2699,draw,42,A14,chess24.com INT,2021
2756,white,"Artemiev, Vladislav",2699,draw,54,D32,chess24.com INT,2021
2756,white,"Aronian, Levon",2782,draw,55,A56,chess24.com INT,2021
2756,black,"Aronian, Levon",2782,draw,50,C19,chess24.com INT,2021
2756,white,"Aronian, Levon",2782,draw,96,E04,chess24.com INT,2021
2756,black,"Aronian, Levon",2782,win,18,C19,chess24.com INT,2021
2756,white,"Vachier-Lagrave, Maxime",2763,lose,51,B90,chess24.com INT,2021
2756,black,"Vachier-Lagrave, Maxime",2763,lose,54,B10,chess24.com INT,2021
2756,white,"Vachier-Lagrave, Maxime",2763,draw,43,B12,chess24.com INT,2021
2756,white,"Radjabov, Teimour",2763,lose,45,B31,chess24.com INT,2021
2756,black,"Radjabov, Teimour",2763,win,82,D52,chess24.com INT,2021
2756,white,"Radjabov, Teimour",2763,draw,69,B31,chess24.com INT,2021
2756,black,"Radjabov, Teimour",2763,lose,58,A15,chess24.com INT,2021
2756,black,"Mamedyarov, Shakhriyar",2762,draw,45,D45,chess24.com INT,2021
2756,white,"Mamedyarov, Shakhriyar",2762,win,47,D85,chess24.com INT,2021
2756,black,"Mamedyarov, Shakhriyar",2762,draw,80,E21,chess24.com INT,2021
2756,white,"Mamedyarov, Shakhriyar",2762,draw,40,D85,chess24.com INT,2021
2756,black,"Mamedyarov, Shakhriyar",2762,lose,62,D41,chess24.com INT,2021
2756,white,"Mamedyarov, Shakhriyar",2762,win,35,D85,chess24.com INT,2021
2756,white,"Giri, Anish",2777,win,88,E60,chess24.com INT,2021
2756,black,"Giri, Anish",2777,draw,55,D11,chess24.com INT,2021
