rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2697,white,"Ivanchuk, Vasyl",2678,win,23,D12,,2022
2697,black,"Kryvoruchko, Yuriy",2658,win,36,B12,Germany,2022
2697,black,Narayanan.S.L,2663,draw,43,D37,,2022
2695,black,"Gines Esteo, Pedro Antonio",2505,win,57,D35,Linares,2022
2695,white,"Cheparinov, Ivan",2686,draw,39,A20,Linares,2022
2695,black,"Van Foreest, Jorden",2691,draw,73,A46,Linares,2022
2695,white,"Fedoseev, Vladimir",2685,draw,12,E10,Linares,2022
2695,black,"Kryvoruchko, Yuriy",2669,lose,62,C64,Linares,2022
2695,white,"Harikrishna, Pentala",2716,draw,43,C50,Linares,2022
2695,white,"Shirov, Alexei",2673,win,65,A11,Linares,2022
2681,black,"Navara, David",2688,draw,41,E10,Dortmund,2022
2681,white,"Bluebaum, Matthias",2673,win,53,A07,Dortmund,2022
2681,black,"McShane, Luke J",2649,draw,60,C67,Dortmund,2022
2681,white,"Deac, Bogdan-Daniel",2692,draw,83,A06,Dortmund,2022
2681,black,"L&#039;Ami, Erwin",2634,win,46,E10,Dortmund,2022
2681,white,"Svane, Rasmus",2649,win,90,C55,Dortmund,2022
2681,white,"Rozentalis, Eduardas",2527,win,51,E17,,2022
2681,black,"Vogel, Roven",2441,draw,115,E04,,2022
2687,black,"Saric, Ivan",2665,draw,36,C53,Czech Republic,2022
2687,white,"Dragnev, Valentin",2548,draw,36,A16,Czech Republic,2022
2602,black,"Bellahcene, Bilel",2493,lose,55,B12,Abu Dhabi,2021
2602,white,"Fridman, Daniel",2663,draw,50,A13,Abu Dhabi,2021
2602,white,"Van Wely, Loek",2593,draw,34,B40,Abu Dhabi,2021
2602,black,"Jumabayev, Rinat",2536,win,36,D45,Abu Dhabi,2021
2602,white,"Fedoseev, Vladimir",2690,lose,26,B51,Abu Dhabi,2021
2602,black,Socko B,2571,lose,42,E12,Abu Dhabi,2021
2602,white,"Sadhwani, Raunak",2562,win,41,B06,Abu Dhabi,2021
2602,black,"Romanov, Evgeny",2440,win,37,A46,Abu Dhabi,2021
2602,white,"Harutyunyan, Tigran K.",2471,win,52,C50,Abu Dhabi,2021
2641,black,"Fridman, Daniel",2542,draw,47,A15,Abu Dhabi,2021
2641,black,"Jumabayev, Rinat",2562,draw,73,D11,Abu Dhabi,2021
2641,black,"Fedoseev, Vladimir",2692,lose,57,A05,Abu Dhabi,2021
2641,white,"Maghsoodloo, Parham",2512,win,39,E04,Abu Dhabi,2021
2641,white,"Salem, A.R. Saleh",2729,draw,54,B51,Abu Dhabi,2021
2641,black,"Harutyunyan, Tigran K.",2371,win,69,A15,Abu Dhabi,2021
2641,white,"Amin, Bassem",2614,draw,61,C55,Abu Dhabi,2021
2641,white,Socko B,2562,draw,72,A05,Abu Dhabi,2021
2641,black,"Romanov, Evgeny",2493,win,55,C65,Abu Dhabi,2021
2691,black,"Swiercz, Dariusz",2647,draw,46,C65,Riga,2021
2691,white,"Saric, Ivan",2644,draw,40,A06,Riga,2021
2691,black,"Sasikiran, Krishnan",2640,lose,33,C67,Riga,2021
2691,white,"Hovhannisyan, Robert",2622,win,34,C50,Riga,2021
2691,black,"Tabatabaei, M. Amin",2639,draw,44,C67,Riga,2021
2691,white,"Brkic, Ante",2621,win,37,B51,Riga,2021
2691,black,"Yakubboev, Nodirbek",2621,draw,41,C26,Riga,2021
2691,white,"Antipov, Mikhail Al.",2619,win,51,A10,Riga,2021
2691,black,"Martirosyan, Haik M.",2624,draw,19,D43,Riga,2021
2691,white,"Ponomariov, Ruslan",2631,lose,38,A07,Riga,2021
2691,black,"Yilmaz, Mustafa",2626,draw,32,D20,Riga,2021
2691,black,"Naiditsch, Arkadij",2660,win,40,C53,Toledo,2021
2691,white,"Shirov, Alexei",2659,lose,32,C53,Toledo,2021
2691,black,"Oparin, Grigoriy",2654,lose,38,A06,Toledo,2021
2691,white,"Howell, David",2658,win,76,B12,Toledo,2021
2691,black,"Maghsoodloo, Parham",2701,draw,70,A30,Toledo,2021
2691,white,"Kuzubov, Yuriy",2624,draw,40,A07,Toledo,2021
2691,black,"Salgado Lopez, Ivan",2604,draw,35,C67,Toledo,2021
2680,white,"Mchedlishvili, Mikheil",2571,draw,17,C42,Sharjah,2021
2680,black,Narayanan.S.L,2632,draw,24,D27,Sharjah,2021
2680,white,"Tabatabaei, M. Amin",2624,win,45,D70,Sharjah,2021
2680,white,"Ganguly, Surya Shekhar",2630,win,37,E68,Sharjah,2021
2680,black,Erigaisi Arjun,2626,draw,29,D27,Sharjah,2021
2680,white,"Delgado Ramirez, Neuris",2588,win,34,B90,Sharjah,2021
2680,black,"Martirosyan, Haik M.",2636,draw,20,D27,Sharjah,2021
2680,white,"Harutyunyan, Tigran K.",2573,win,57,C50,Sharjah,2021
2680,black,"Sindarov, Javokhir",2571,draw,18,C45,Sharjah,2021
2671,black,"Salem, A.R. Saleh",2682,lose,35,E24,Biel,2021
2671,black,"Chigaev, Maksim",2630,draw,15,A11,Biel,2021
2671,white,"Karthikeyan, Murali",2606,draw,33,B51,Biel,2021
2671,white,Praggnanandhaa R,2608,win,57,B30,Biel,2021
2671,black,Raja Harshit,2484,win,41,B14,Biel,2021
2671,white,"Wagner, Dennis",2572,draw,33,D70,Biel,2021
2671,white,"Korpa, Bence",2536,win,64,A07,Biel,2021
2671,white,"Kasimdzhanov, Rustam",2662,win,64,A06,Dortmund,2021
2671,black,"Kamsky, Gata",2658,draw,45,A46,Dortmund,2021
2671,black,"Kollars, Dmitrij",2607,lose,39,C47,Dortmund,2021
2671,white,"Ponomariov, Ruslan",2631,draw,38,C84,Dortmund,2021
2671,black,"Fridman, Daniel",2608,draw,40,A46,Dortmund,2021
2671,white,"Bartel, Mateusz",2626,win,33,C55,Dortmund,2021
2671,black,"Meier, Georg",2628,draw,28,C69,Dortmund,2021
2671,white,"Keymer, Vincent",2591,win,48,B23,Dortmund,2021
2671,black,"Heimann, Andreas",2599,win,46,C77,Dortmund,2021
2672,black,"Santos Ruiz, Miguel",2581,draw,30,E32,La Palma - Canarias,2020
2672,white,"Vazquez Igarza, Renier",2556,win,27,B47,La Palma - Canarias,2020
2672,black,"Anton Guijarro, David",2675,draw,23,E46,La Palma - Canarias,2020
2672,white,Santos Latasa,2600,draw,31,C42,La Palma - Canarias,2020
2672,black,"Salgado Lopez, Ivan",2593,draw,35,A07,La Palma - Canarias,2020
2672,white,"Santos Ruiz, Miguel",2581,draw,30,A07,La Palma - Canarias,2020
2672,black,"Vazquez Igarza, Renier",2556,draw,46,E10,La Palma - Canarias,2020
2672,white,"Anton Guijarro, David",2675,draw,35,E10,La Palma - Canarias,2020
2672,black,Santos Latasa,2600,win,44,A21,La Palma - Canarias,2020
2672,white,"Salgado Lopez, Ivan",2593,draw,44,C53,La Palma - Canarias,2020
2656,black,"Lomasov, Semyon",2541,win,52,C45,Israel,2020
2650,white,"L&#039;Ami, Erwin",2606,draw,55,C88,Wijk aan Zee,2020
2650,black,"Ganguly, Surya Shekhar",2636,win,40,B13,Wijk aan Zee,2020
