rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2722,white,"Carlsen, Magnus",2859,lose,56,A05,Wijk aan Zee,2023
2722,black,"Maghsoodloo, Parham",2719,lose,47,D90,Wijk aan Zee,2023
2722,white,Gukesh D,2725,draw,45,C67,Wijk aan Zee,2023
2722,black,"Caruana, Fabiano",2766,draw,39,C84,Wijk aan Zee,2023
2722,white,"Rapport, Richard",2740,lose,25,E44,Wijk aan Zee,2023
2722,black,"Van Foreest, Jorden",2681,lose,54,E94,Wijk aan Zee,2023
2722,white,"Abdusattorov, Nodirbek",2713,lose,43,C43,Wijk aan Zee,2023
2722,black,"Giri, Anish",2764,draw,46,D47,Wijk aan Zee,2023
2722,white,"Ding, Liren",2811,draw,37,C53,Wijk aan Zee,2023
2722,black,"Keymer, Vincent",2696,draw,45,D04,Wijk aan Zee,2023
2722,white,"Aronian, Levon",2735,draw,62,E38,Wijk aan Zee,2023
2722,black,"So, Wesley",2760,draw,49,A05,Wijk aan Zee,2023
2722,black,Praggnanandhaa R,2684,draw,40,D86,Wijk aan Zee,2023
2750,white,"Chigaev, Maksim",2542,win,37,E66,Almaty,2022
2750,black,"Suleymanli, Aydin",2481,draw,55,A13,Almaty,2022
2750,white,"Hovhannisyan, Robert",2570,win,33,D00,Almaty,2022
2750,black,"Tang, Andrew",2582,lose,44,A40,Almaty,2022
2750,white,"Keymer, Vincent",2600,lose,22,B12,Almaty,2022
2750,black,"Lazavik, Denis",2484,lose,49,D70,Almaty,2022
2750,white,"Murzin, Volodar",2586,win,77,D10,Almaty,2022
2750,black,"Pantsulaia, Levan",2563,draw,18,C46,Almaty,2022
2750,white,"Sanal, Vahap",2576,draw,108,A13,Almaty,2022
2750,black,"Ghasi, Ameet K",2587,win,40,A05,Almaty,2022
2750,white,"Donchenko, Alexander",2581,win,34,E20,Almaty,2022
2750,white,"Yilmaz, Mustafa",2564,win,23,A45,Almaty,2022
2750,black,"Tsydypov, Zhamsaran",2593,lose,94,B51,Almaty,2022
2750,white,"Savchenko, Boris",2577,win,66,D31,Almaty,2022
2750,black,"Quparadze, Giga",2587,lose,43,B70,Almaty,2022
2750,white,"Shankland, Samuel L",2612,lose,59,A01,Almaty,2022
2750,black,"Pranav, V",2440,win,28,B70,Almaty,2022
2750,black,"Jobava, Baadur",2582,win,46,B22,Almaty,2022
2750,white,"Sargissian, Gabriel",2559,draw,58,D00,Almaty,2022
