rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2732,white,"Nepomniachtchi, Ian",2779,win,34,A15,Saint Louis,2022
2732,black,"Nepomniachtchi, Ian",2779,draw,70,E10,Saint Louis,2022
2778,black,"Vachier-Lagrave, Maxime",2757,draw,33,C67,Saint Louis,2022
2778,white,"So, Wesley",2771,win,32,C50,Saint Louis,2022
2778,black,"Dominguez Perez, Leinier",2745,draw,55,B90,Saint Louis,2022
2778,white,"Mamedyarov, Shakhriyar",2757,win,28,A20,Saint Louis,2022
2778,black,"Niemann, Hans Moke",2688,draw,43,C55,Saint Louis,2022
2778,white,"Aronian, Levon",2759,win,38,C50,Saint Louis,2022
2778,black,"Nepomniachtchi, Ian",2792,lose,50,E04,Saint Louis,2022
2778,white,"Caruana, Fabiano",2758,draw,34,A30,Saint Louis,2022
2795,white,"Dominguez Perez, Leinier",2708,win,37,A30,Saint Louis,2022
2795,black,"Vachier-Lagrave, Maxime",2812,draw,33,C67,Saint Louis,2022
2795,white,"Mamedyarov, Shakhriyar",2710,win,28,A20,Saint Louis,2022
2795,black,"Shankland, Samuel L",2645,win,27,E04,Saint Louis,2022
2795,black,"Caruana, Fabiano",2847,win,55,A13,Saint Louis,2022
2795,white,"Aronian, Levon",2850,win,38,A16,Saint Louis,2022
2795,black,"Nakamura, Hikaru",2850,win,63,A06,Saint Louis,2022
2795,white,"Xiong, Jeffery",2714,win,93,A30,Saint Louis,2022
2795,black,"Nepomniachtchi, Ian",2791,draw,49,E04,Saint Louis,2022
2795,black,"Dominguez Perez, Leinier",2708,win,37,C55,Saint Louis,2022
2795,white,"Vachier-Lagrave, Maxime",2812,win,62,A04,Saint Louis,2022
2795,black,"Mamedyarov, Shakhriyar",2710,win,46,E10,Saint Louis,2022
2795,white,"Shankland, Samuel L",2645,win,31,A13,Saint Louis,2022
2795,white,"Caruana, Fabiano",2847,draw,75,A20,Saint Louis,2022
2795,black,"Aronian, Levon",2850,draw,54,C65,Saint Louis,2022
2795,white,"Nakamura, Hikaru",2850,draw,29,C67,Saint Louis,2022
2795,black,"Xiong, Jeffery",2714,draw,35,A46,Saint Louis,2022
2795,white,"Nepomniachtchi, Ian",2791,win,33,A20,Saint Louis,2022
2704,black,"Vachier-Lagrave, Maxime",2763,draw,14,C67,Saint Louis,2022
2704,white,"Aronian, Levon",2728,draw,24,C65,Saint Louis,2022
2704,white,"Nepomniachtchi, Ian",2795,draw,46,D40,Saint Louis,2022
2704,black,"Dominguez Perez, Leinier",2705,win,32,B12,Saint Louis,2022
2704,white,"Caruana, Fabiano",2766,lose,26,C65,Saint Louis,2022
2704,black,"Xiong, Jeffery",2725,draw,43,C47,Saint Louis,2022
2704,white,"Shankland, Samuel L",2616,draw,53,C65,Saint Louis,2022
2704,black,"Nakamura, Hikaru",2837,win,49,A06,Saint Louis,2022
2704,white,"Mamedyarov, Shakhriyar",2695,win,46,A20,Saint Louis,2022
2791,white,"Van Foreest, Jorden",2609,win,84,D12,Zagreb,2022
2791,black,"Carlsen, Magnus",2828,win,51,E10,Zagreb,2022
2791,black,"Saric, Ivan",2550,win,51,C78,Zagreb,2022
2791,white,"Mamedyarov, Shakhriyar",2778,win,43,C42,Zagreb,2022
2791,black,"Nepomniachtchi, Ian",2740,win,29,C55,Zagreb,2022
2791,white,"Vachier-Lagrave, Maxime",2784,lose,48,A04,Zagreb,2022
2791,black,"Dominguez Perez, Leinier",2729,win,44,C78,Zagreb,2022
2791,white,"So, Wesley",2763,win,36,E46,Zagreb,2022
2791,black,"Topalov, Veselin",2667,draw,58,A20,Zagreb,2022
2791,black,"Van Foreest, Jorden",2609,win,50,B07,Zagreb,2022
2791,white,"Carlsen, Magnus",2828,lose,44,D43,Zagreb,2022
2791,white,"Saric, Ivan",2550,lose,39,B50,Zagreb,2022
2791,black,"Mamedyarov, Shakhriyar",2778,draw,71,E10,Zagreb,2022
2791,white,"Nepomniachtchi, Ian",2740,draw,45,A45,Zagreb,2022
2791,black,"Vachier-Lagrave, Maxime",2784,draw,43,B13,Zagreb,2022
2791,white,"Dominguez Perez, Leinier",2729,lose,59,D00,Zagreb,2022
2791,black,"So, Wesley",2763,draw,48,C67,Zagreb,2022
2791,white,"Topalov, Veselin",2667,draw,52,C88,Zagreb,2022
2670,black,"Van Foreest, Jorden",2645,lose,32,C67,Zagreb,2022
2670,white,"So, Wesley",2779,draw,74,C67,Zagreb,2022
2670,black,"Dominguez Perez, Leinier",2726,draw,54,C55,Zagreb,2022
2670,white,"Mamedyarov, Shakhriyar",2699,win,68,A20,Zagreb,2022
2670,white,"Vachier-Lagrave, Maxime",2764,draw,68,B50,Zagreb,2022
2670,black,"Carlsen, Magnus",2847,draw,36,E06,Zagreb,2022
2670,white,"Topalov, Veselin",2627,win,30,C42,Zagreb,2022
2670,black,"Nepomniachtchi, Ian",2821,draw,66,C55,Zagreb,2022
2670,white,"Saric, Ivan",2645,win,97,B50,Zagreb,2022
2793,black,"Caruana, Fabiano",2783,win,63,C65,Madrid,2022
2793,white,"Ding, Liren",2806,draw,42,C47,Madrid,2022
2793,black,"Duda, Jan Krzysztof",2750,draw,41,D45,Madrid,2022
2793,white,"Nepomniachtchi, Ian",2766,lose,35,C42,Madrid,2022
2793,black,"Nakamura, Hikaru",2760,lose,32,B90,Madrid,2022
2793,white,"Rapport, Richard",2764,win,41,C65,Madrid,2022
2793,white,"Radjabov, Teimour",2753,draw,93,C50,Madrid,2022
2793,black,"Ding, Liren",2806,draw,54,A20,Madrid,2022
2793,white,"Caruana, Fabiano",2783,lose,42,E06,Madrid,2022
2793,white,"Duda, Jan Krzysztof",2750,draw,36,C42,Madrid,2022
2793,black,"Nepomniachtchi, Ian",2766,lose,39,B90,Madrid,2022
2793,white,"Nakamura, Hikaru",2760,draw,54,E32,Madrid,2022
2793,black,"Rapport, Richard",2764,draw,61,B53,Madrid,2022
2793,black,"Radjabov, Teimour",2753,draw,71,E10,Madrid,2022
2804,white,"Vachier Lagrave, M.",2750,lose,74,D78,Bucharest ROU,2022
2804,white,"Vachier-Lagrave, Maxime",2750,lose,74,D70,Bucharest,2022
2804,black,"So, Wesley",2766,draw,38,E92,Bucharest,2022
2804,white,"Dominguez Perez, Leinier",2753,win,58,E48,Bucharest,2022
2804,black,"Mamedyarov, Shakhriyar",2770,draw,96,E39,Bucharest,2022
2804,black,"Deac, Bogdan-Daniel",2671,draw,68,E73,Bucharest,2022
2804,white,"Rapport, R.",2776,draw,46,B45,Bucharest ROU,2022
2804,white,"Rapport, Richard",2776,draw,47,B45,Bucharest,2022
2804,black,"Aronian, Levon",2765,draw,62,D17,Bucharest,2022
2804,white,"Nepomniachtchi, Ian",2773,lose,55,C24,Bucharest,2022
2804,black,"Caruana, Fabiano",2786,draw,29,A13,Bucharest,2022
2804,white,"Erigaisi, Arjun",2629,win,69,B76,Warsaw POL,2021
2810,white,"Aronian, Levon",2740,win,48,C53,Warsaw,2021
2810,black,"Dubov, Daniil",2749,win,39,A49,Warsaw,2021
2810,white,Erigaisi Arjun,2765,win,69,B75,Warsaw,2021
2810,black,"Kravtsiv, Martyn",2638,win,42,B51,Warsaw,2021
2810,white,"Muradli, Mahammad",2571,win,41,B90,Warsaw,2021
2810,black,"Maghsoodloo, Parham",2655,lose,45,E46,Warsaw,2021
2810,black,"Onischuk, Vladimir",2657,win,67,A07,Warsaw,2021
2810,white,"Moroni, Luca Jr",2491,win,32,B06,Warsaw,2021
2810,white,"Karjakin, Sergey",2657,lose,32,A46,Warsaw,2021
2804,white,"Gareev, T.",2573,lose,56,A45,Warsaw POL,2021
2810,black,"Adly, Ahmed",2656,win,43,A46,Warsaw,2021
2810,white,"Abdusattorov, Nodirbek",2686,win,29,A45,Warsaw,2021
2810,black,"Mastrovasilis, Dimitrios",2577,win,73,B51,Warsaw,2021
2810,black,"Predke, Alexandr",2627,lose,47,E48,Warsaw,2021
2810,white,"Saraci, Nderim",2479,win,34,C70,Warsaw,2021
2810,white,"Postny, Evgeny",2521,win,42,C88,Warsaw,2021
2810,black,"Indjic, Aleksandar",2603,lose,38,E97,Warsaw,2021
2810,white,"Theodorou, Nikolas",2351,win,46,C60,Warsaw,2021
2810,black,"Kantor, Gergely",2517,win,44,E71,Warsaw,2021
2810,white,"Czarnota, Pawel",2540,draw,73,A01,Warsaw,2021
2810,black,"Bellahcene, Bilel",2493,draw,36,B41,Warsaw,2021
2810,white,"Gareyev, Timur",2548,lose,56,A45,Warsaw,2021
2804,white,"Nakamura, Hi",2736,draw,50,C53,Warsaw POL,2021
2656,black,"Karjakin, Sergey",2757,lose,86,E92,Warsaw,2021
2656,white,"Dubov, Daniil",2735,draw,64,B60,Warsaw,2021
2656,black,"Cheparinov, Ivan",2621,draw,41,E94,Warsaw,2021
2804,white,"Shevchenko, Kirill",2655,win,93,E98,Warsaw POL,2021
2804,white,"Gareev, T.",2573,win,45,E33,Warsaw POL,2021
2656,white,"Nakamura, Hikaru",2836,draw,50,C53,Warsaw,2021
2656,white,"Shevchenko, Kirill",2508,win,93,E98,Warsaw,2021
2656,black,"Van Foreest, Jorden",2563,draw,45,C55,Warsaw,2021
2656,black,"Carlsen, Magnus",2842,lose,53,B12,Warsaw,2021
2656,white,"Gareyev, Timur",2578,win,45,A50,Warsaw,2021
2804,white,"Nihal, Sarin",2662,win,64,E06,Warsaw POL,2021
2656,white,Nihal Sarin,2500,win,64,D30,Warsaw,2021
2656,black,"Aronian, Levon",2728,draw,56,B13,Warsaw,2021
2656,white,"Jakubowski, Krzysztof",2399,win,34,D02,Warsaw,2021
2656,black,"Martirosyan, Haik M.",2377,win,47,D70,Warsaw,2021
2656,white,"Costachi, Mihnea",2443,draw,46,C72,Warsaw,2021
2770,white,"Mamedyarov, S.",2765,win,51,C50,Terme Catez SLO,2021
2770,white,"Mamedyarov, Shakhriyar",2765,win,51,C50,Terme Olimia,2021
2770,black,"Grischuk, Alexander",2773,draw,86,C78,Terme Olimia,2021
2770,white,"Jobava, Baadur",2582,win,46,B12,Terme Olimia,2021
2770,white,"Mastrovasilis, Dimitrios",2619,win,50,B47,Terme Olimia,2021
2770,black,"Sargissian, Gabriel",2664,win,55,D19,Terme Olimia,2021
2770,white,"Yilmaz, Mustafa",2626,win,36,B90,Terme Olimia,2021
2770,black,"Erdos, Viktor",2615,win,56,B11,Terme Olimia,2021
2770,white,"Mastrovasilis, Dimitrios",2619,win,50,B47,Terme Olimia,2021
2770,white,"Saric, Ivan",2665,draw,32,B90,Terme Olimia,2021
2770,black,"Ragger, Markus",2668,win,59,B11,Terme Olimia,2021
2770,black,"Oparin, G.",2654,draw,28,C65,Riga LAT,2021
2770,black,"Oparin, Grigoriy",2654,draw,28,C65,Riga,2021
2770,white,"Howell, David",2658,win,57,C50,Riga,2021
2770,black,"Caruana, Fabiano",2800,lose,54,B12,Riga,2021
2770,white,"Sasikiran, Krishnan",2640,win,43,C53,Riga,2021
