rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2620,black,"Alonso Rosell, Alvar",2514,win,36,E10,Almaty,2022
2620,white,"Vakhidov, Jakhongir",2507,lose,67,A48,Almaty,2022
2620,black,"Chigaev, Maksim",2542,draw,47,B30,Almaty,2022
2620,white,"Petrosyan, Manuel",2560,win,43,A07,Almaty,2022
2620,black,"Gareyev, Timur",2553,draw,38,E21,Almaty,2022
2620,black,"Nguyen, Thai Dai Van",2534,lose,47,A04,Almaty,2022
2620,white,"Donchenko, Alexander",2581,draw,57,A05,Almaty,2022
2620,black,"Murzin, Volodar",2586,lose,27,A04,Almaty,2022
2620,white,"Yoo, Christopher Woojin",2463,lose,38,E10,Almaty,2022
2620,black,"Ponkratov, Pavel",2539,win,28,B33,Almaty,2022
2620,white,"Najer, Evgeniy",2566,win,22,E10,Almaty,2022
2620,black,"Yakubboev, Nodirbek",2560,win,71,B30,Almaty,2022
2620,white,"Bilguun, Sumiya",2365,lose,46,D30,Almaty,2022
2620,black,"Le, Tuan Minh",2530,win,85,A46,Almaty,2022
2620,black,"Makarian, Rudik",2440,win,42,A04,Almaty,2022
2620,white,"Makhnev, Denis",2507,lose,36,E15,Almaty,2022
2620,black,"Svane, Frederik",2466,draw,90,B30,Almaty,2022
2641,black,"Nogerbek, Kazybek",2409,draw,26,A04,Almaty,2022
2641,white,"Suleymanli, Aydin",2448,win,46,D20,Almaty,2022
2641,black,"Yoo, Christopher Woojin",2463,lose,34,E11,Almaty,2022
2641,white,"Murzin, Volodar",2534,draw,35,D46,Almaty,2022
2641,black,"Indjic, Aleksandar",2547,draw,17,A30,Almaty,2022
2641,white,"Sargsyan, Shant",2561,draw,56,E10,Almaty,2022
2641,black,"Jumabayev, Rinat",2531,win,61,A04,Almaty,2022
2641,white,"Sadhwani, Raunak",2532,draw,45,E94,Almaty,2022
2641,black,"Puranik, Abhimanyu",2549,draw,38,B23,Almaty,2022
2641,white,"Le, Tuan Minh",2442,lose,35,D12,Almaty,2022
2641,black,"Yudin, Sergei",2454,draw,21,B30,Almaty,2022
2668,black,"Navara, David",2676,draw,70,B30,,2022
2668,white,"Rodshtein, Maxim",2602,draw,29,A05,,2022
2670,black,"Huschenbeth, Niclas",2611,draw,74,B30,Czech Republic,2022
2647,white,"Cheparinov, Ivan",2594,draw,22,A06,Warsaw,2021
2647,black,"Sargsyan, Shant",2537,draw,96,D43,Warsaw,2021
2647,white,"Murzin, Volodar",2481,draw,47,E97,Warsaw,2021
2647,black,"Piorun, Kacper",2535,win,38,B23,Warsaw,2021
2647,white,"Riazantsev, Alexander",2520,win,47,D12,Warsaw,2021
2647,black,"Durarbayli, Vasif",2599,win,62,B30,Warsaw,2021
2647,white,"Petrosian, Tigran L",2602,lose,35,A04,Warsaw,2021
2647,black,"Oparin, Grigoriy",2580,lose,23,A04,Warsaw,2021
2647,white,"Vachier-Lagrave, Maxime",2787,lose,39,A48,Warsaw,2021
2647,black,"Caruana, Fabiano",2803,win,54,B30,Warsaw,2021
2647,white,"Vokhidov, Shamsiddin",2613,win,54,A06,Warsaw,2021
2647,black,"Kadric, Denis",2469,draw,35,B23,Warsaw,2021
2647,white,"Gajewski, Grzegorz",2539,draw,38,A06,Warsaw,2021
2647,black,"Carlsen, Magnus",2892,lose,38,B23,Warsaw,2021
2647,white,"Indjic, Aleksandar",2603,win,37,A04,Warsaw,2021
2647,black,"Postny, Evgeny",2521,win,38,A45,Warsaw,2021
2647,white,"Dvirnyy, Danyyil",2531,draw,81,A05,Warsaw,2021
2647,black,"Gareyev, Timur",2548,draw,29,E32,Warsaw,2021
2647,white,"Janik, Igor",2516,win,57,A47,Warsaw,2021
2647,black,"Parligras, Mircea Emilian",2469,draw,58,E32,Warsaw,2021
2647,white,"Bologan, Victor",2472,draw,63,E17,Warsaw,2021
2648,white,Nihal Sarin,2500,win,56,D02,Warsaw,2021
2648,black,"Martirosyan, Haik M.",2377,draw,71,D43,Warsaw,2021
2648,white,"Babazada, Khazar",2170,draw,59,A04,Warsaw,2021
2648,black,Gukesh D,2050,lose,35,D43,Warsaw,2021
2648,white,"Abdusattorov, Nodirbek",2593,lose,34,E04,Warsaw,2021
2648,black,"Nepomniachtchi, Ian",2798,draw,17,B30,Warsaw,2021
2648,black,"Fedoseev, Vladimir",2692,draw,45,D45,Warsaw,2021
2648,white,"Niemann, Hans Moke",2327,win,79,A46,Warsaw,2021
2648,black,"Giri, Anish",2767,draw,22,A46,Warsaw,2021
2648,white,"Mamedyarov, Shakhriyar",2727,win,58,A05,Warsaw,2021
2648,white,Erigaisi Arjun,2397,draw,55,E04,Warsaw,2021
2648,black,"Yuffa, Daniil",2514,win,36,B33,Warsaw,2021
2648,white,"Carlsson, Pontus",2436,win,70,A61,Warsaw,2021
2663,white,"Jones, Gawain C",2665,win,41,E97,London,2021
2663,black,"McShane, Luke J",2655,draw,56,B30,London,2021
2663,white,"Adams, Michael",2700,win,49,E10,London,2021
2663,black,"Jones, Gawain C",2665,draw,20,B52,London,2021
2663,white,"McShane, Luke J",2655,lose,66,E17,London,2021
2663,black,"Adams, Michael",2700,draw,47,B30,London,2021
2650,white,"Jumabayev, Rinat",2535,win,26,A06,Riga,2021
2650,black,"Jumabayev, Rinat",2535,win,47,B53,Riga,2021
2650,black,"Mamedov, Rauf",2678,lose,59,A04,Riga,2021
2650,white,"Mamedov, Rauf",2678,draw,34,E91,Riga,2021
2650,black,"Ganguly, Surya Shekhar",2563,win,64,B33,Riga,2021
2650,white,"Ganguly, Surya Shekhar",2563,draw,31,E10,Riga,2021
2650,white,"Martirosyan, Haik M.",2656,lose,38,A05,Riga,2021
2650,black,"Martirosyan, Haik M.",2656,lose,46,D43,Riga,2021
2650,black,"Kuzubov, Yuriy",2592,win,50,D45,Riga,2021
2650,white,"Kuzubov, Yuriy",2592,win,43,E11,Riga,2021
2650,white,"Predke, Alexandr",2580,win,46,E04,Riga,2021
2650,black,"Predke, Alexandr",2580,lose,62,E49,Riga,2021
2650,black,"Cori Tello, Deysi Estella",2397,win,51,A46,Riga,2021
2650,white,"Cori Tello, Deysi Estella",2397,win,40,E94,Riga,2021
2680,white,"Martirosyan, Haik M.",2624,win,45,A05,Riga,2021
2680,black,Praggnanandhaa R,2618,draw,43,B30,Riga,2021
2680,white,"Movsesian, Sergei",2627,win,37,D15,Riga,2021
2680,black,"Suleymanli, Aydin",2541,draw,38,E32,Riga,2021
2680,white,"Bartel, Mateusz",2597,draw,42,E10,Riga,2021
2680,black,"Ter-Sahakyan, Samvel",2607,lose,44,B57,Riga,2021
2680,white,"Zvjaginsev, Vadim",2609,draw,34,A56,Riga,2021
2680,black,"Sethuraman, SP.",2620,draw,31,B56,Riga,2021
2680,white,"Goryachkina, Aleksandra",2602,draw,31,D12,Riga,2021
2680,black,"Onischuk, Vladimir",2622,draw,67,B30,Riga,2021
2680,white,"Kollars, Dmitrij",2621,lose,62,A28,Riga,2021
2680,black,"Jones, Gawain C",2657,draw,24,B30,Toledo,2021
2680,white,"Anton Guijarro, David",2658,draw,15,E10,Toledo,2021
2680,black,"Korobov, Anton",2690,draw,31,A46,Toledo,2021
2680,white,"Kryvoruchko, Yuriy",2686,draw,30,D41,Toledo,2021
2680,black,"Cheparinov, Ivan",2659,lose,60,D43,Toledo,2021
2680,white,"Tari, Aryan",2646,draw,30,E04,Toledo,2021
2680,black,"Vallejo Pons, Francisco",2701,draw,31,A01,Toledo,2021
2631,white,"Alekseenko, Kirill",2656,draw,14,E10,Yasnaya Polyana,2021
2631,black,"Matlakov, Maxim",2663,draw,41,D45,Yasnaya Polyana,2021
2631,black,"Korobov, Anton",2740,draw,15,E21,Yasnaya Polyana,2021
2631,white,"Paravyan, David",2676,win,31,A04,Yasnaya Polyana,2021
2631,black,"Tomashevsky, Evgeny",2635,draw,19,A04,Yasnaya Polyana,2021
2631,white,"Andreikin, Dmitry",2705,draw,40,E10,Yasnaya Polyana,2021
2631,black,"Abdusattorov, Nodirbek",2542,win,66,E32,Yasnaya Polyana,2021
2631,white,"Vitiugov, Nikita",2619,draw,106,E04,Yasnaya Polyana,2021
2631,black,"Giri, Anish",2712,lose,31,D43,Yasnaya Polyana,2021
2675,white,"Studer, Noel",2581,win,45,D27,Biel,2021
2675,black,"Alekseenko, Kirill",2699,lose,73,B30,Biel,2021
2675,white,"Lagarde, Maxime",2648,win,61,A40,Biel,2021
2675,black,"Kamsky, Gata",2658,draw,50,A45,Biel,2021
2675,white,"Keymer, Vincent",2591,win,44,E10,Biel,2021
2675,black,Nihal Sarin,2620,draw,33,A04,Biel,2021
2675,white,"Pichot, Alan",2630,lose,34,A15,Biel,2021
2702,black,"Studer, Noel",2431,win,35,E50,Biel,2021
2702,white,"Alekseenko, Kirill",2661,lose,28,D25,Biel,2021
2702,black,"Lagarde, Maxime",2684,lose,68,B30,Biel,2021
2702,white,"Kamsky, Gata",2701,lose,51,E15,Biel,2021
2702,black,"Keymer, Vincent",2543,win,86,D43,Biel,2021
2702,white,Nihal Sarin,2418,lose,69,A06,Biel,2021
2702,black,"Pichot, Alan",2533,lose,75,B33,Biel,2021
2702,black,"Artemiev, Vladislav",2757,lose,45,A46,Sochi,2021
2702,white,"Artemiev, Vladislav",2757,lose,37,A06,Sochi,2021
2675,white,"Artemiev, Vladislav",2704,draw,32,A06,Sochi,2021
2675,black,"Artemiev, Vladislav",2704,draw,42,A04,Sochi,2021
2675,black,"Braun, Arik",2609,draw,34,E32,Sochi,2021
2675,white,"Braun, Arik",2609,win,51,E10,Sochi,2021
2676,black,"Nepomniachtchi, Ian",2784,win,70,A01,chess24.com INT,2020
2676,black,"Nepomniachtchi, Ian",2784,draw,24,B20,chess24.com INT,2020
2676,white,"Nepomniachtchi, Ian",2784,draw,72,D86,chess24.com INT,2020
2676,black,"Nepomniachtchi, Ian",2784,win,88,B20,chess24.com INT,2020
2676,white,"Nepomniachtchi, Ian",2784,lose,67,D86,chess24.com INT,2020
2676,black,"Leko, Peter",2663,win,53,B30,chess24.com INT,2020
2676,white,"Leko, Peter",2663,draw,51,E06,chess24.com INT,2020
