rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2764,white,"Rapport, Richard",2740,win,39,B60,Wijk aan Zee,2023
2764,black,"Van Foreest, Jorden",2681,draw,79,E10,Wijk aan Zee,2023
2764,white,"Abdusattorov, Nodirbek",2713,draw,29,D20,Wijk aan Zee,2023
2764,black,"So, Wesley",2760,draw,34,A07,Wijk aan Zee,2023
2764,black,"Ding, Liren",2811,win,37,A07,Wijk aan Zee,2023
2764,white,"Keymer, Vincent",2696,draw,28,C55,Wijk aan Zee,2023
2764,black,"Aronian, Levon",2735,draw,21,C55,Wijk aan Zee,2023
2764,white,Erigaisi Arjun,2722,draw,46,D47,Wijk aan Zee,2023
2764,black,Praggnanandhaa R,2684,draw,47,C55,Wijk aan Zee,2023
2764,white,"Carlsen, Magnus",2859,win,35,E15,Wijk aan Zee,2023
2764,black,"Maghsoodloo, Parham",2719,draw,30,C55,Wijk aan Zee,2023
2764,white,Gukesh D,2725,win,27,E10,Wijk aan Zee,2023
2764,black,"Caruana, Fabiano",2766,draw,31,A06,Wijk aan Zee,2023
2792,white,"Esipenko, Andrey",2620,win,45,D45,Almaty,2022
2792,black,"Caruana, Fabiano",2847,draw,41,D70,Almaty,2022
2792,white,"Keymer, Vincent",2600,draw,18,D41,Almaty,2022
2792,black,"Nihal, Sarin",2702,draw,24,A48,Almaty,2022
2792,white,"Artemiev, Vladislav",2803,draw,20,C67,Almaty,2022
2792,white,"Nepomniachtchi, Ian",2782,draw,20,D41,Almaty,2022
2792,black,"Harikrishna, Pentala",2617,draw,29,A07,Almaty,2022
2792,white,"Andreikin, Dmitry",2735,win,39,C02,Almaty,2022
2792,black,"Dubov, Daniil",2792,draw,33,A46,Almaty,2022
2792,black,"Duda, Jan Krzysztof",2773,win,48,A16,Almaty,2022
2792,white,"Rapport, Richard",2654,draw,20,A04,Almaty,2022
2792,black,"Fedoseev, Vladimir",2733,draw,20,D85,Almaty,2022
2792,white,"Mamedyarov, Shakhriyar",2733,draw,31,E11,Almaty,2022
2792,black,"Lazavik, Denis",2484,win,83,E10,Almaty,2022
2792,white,"Carlsen, Magnus",2830,lose,41,C18,Almaty,2022
2792,black,"Martirosyan, Haik M.",2745,win,49,D70,Almaty,2022
2792,white,"Nakamura, Hikaru",2909,draw,18,E10,Almaty,2022
2792,white,"Shimanov, Aleksandr",2605,win,54,B01,Almaty,2022
2792,black,"Shankland, Samuel L",2612,win,31,D12,Almaty,2022
2792,white,"Quparadze, Giga",2587,win,41,A04,Almaty,2022
2792,black,"Saraci, Nderim",2549,win,49,B51,Almaty,2022
2708,black,"Vidit, Santosh Gujrathi",2659,draw,39,A48,Almaty,2022
2708,white,"Sarana, Alexey",2629,draw,25,A13,Almaty,2022
2708,black,"Quparadze, Giga",2538,lose,34,E11,Almaty,2022
