rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2652,white,"Samunenkov, Ihor",2373,win,65,B13,Katowice,2022
2652,black,"Cramling, Pia",2416,win,30,D82,Katowice,2022
2652,black,"Seo, Jung Min",2429,draw,48,A20,Katowice,2022
2652,white,"Huzman, Alexander",2470,draw,31,C02,Katowice,2022
2652,black,"Gavrilescu, David",2472,draw,65,B90,Katowice,2022
2652,white,"Berend, Elvira S",2293,win,35,B90,Katowice,2022
2652,black,"Ondozi, Murtez",2385,draw,103,D10,Katowice,2022
2652,black,"Galuszka, Tomasz",2084,win,36,B90,Katowice,2022
2652,white,"Paluska, Karol",1744,win,55,B13,Katowice,2022
2657,black,"Nisipeanu, Liviu-Dieter",2603,draw,20,D10,Germany,2022
2651,white,"Vitiugov, Nikita",2722,draw,20,,D43,2022
2651,black,"Plenca, Julijan",2447,win,48,,B94,2022
2651,white,"Movsesian, Sergei",2619,draw,38,A46,Mayrhofen,2022
2651,black,"Maze, Sebastien",2530,draw,51,B50,Mayrhofen,2022
2651,white,"Nisipeanu, Liviu-Dieter",2615,win,47,E10,Mayrhofen,2022
2651,black,"Urkedal, Frode Olav Olsen",2523,draw,32,D19,Mayrhofen,2022
2651,black,"Piceu, Tom",2324,win,57,D04,Mayrhofen,2022
2651,white,"Boel, Marcel",2214,win,35,A06,Mayrhofen,2022
2651,white,"Brodowski, Piotr",2463,win,29,B52,Wojtaszek,2022
2651,black,"Shevchenko, Kirill",2645,draw,27,D12,Wojtaszek,2022
2651,white,"Tomczak, Jacek",2582,lose,44,A46,Wojtaszek,2022
2651,black,"Lupulescu, Constantin",2614,win,40,A22,Wojtaszek,2022
2651,black,"Keymer, Vincent",2693,lose,49,A20,Wojtaszek,2022
2651,white,"Piorun, Kacper",2623,draw,22,D28,Wojtaszek,2022
2651,white,"Nguyen, Thai Dai Van",2627,win,55,D41,Wojtaszek,2022
2651,white,"Pechac, Jergus",2620,draw,31,D41,Wojtaszek,2022
2651,black,"Lagarde, Maxime",2613,draw,49,C80,Wojtaszek,2022
2655,white,"Tin, Jingyao",2552,draw,36,A07,Chennai,2022
2655,black,"Wojtaszek, Radoslaw",2708,draw,19,D17,Chennai,2022
2655,white,"Petkov, Momchil",2510,win,47,E01,Chennai,2022
2655,white,"Bwalya, Gillan",2396,win,50,E05,Chennai,2022
2655,black,"Hossain, Enamul",2377,lose,55,B90,Chennai,2022
2655,black,"Solomon, Kenny",2355,win,34,A46,Chennai,2022
2655,white,"Giri, Anish",2760,lose,57,D02,Chennai IND,2022
2655,white,"Zaibi, Amir",2398,win,52,E73,Chennai,2022
2655,white,"Jones, Gawain C",2652,draw,46,C67,Germany,2022
2655,black,"Huschenbeth, Niclas",2610,draw,55,C82,Germany,2022
2655,white,"Niemann, Hans Moke",2688,draw,59,C84,Germany,2022
2655,white,"Keymer, Vincent",2686,draw,22,B90,Germany,2022
2645,black,"Mendonca, Leon Luke",2562,win,22,D12,Chartres,2022
2645,black,"Lagarde, Maxime",2628,draw,13,A36,Chartres,2022
2645,white,"Van Foreest, Lucas",2553,draw,49,C65,Chartres,2022
2645,white,"Relange, Eloi",2456,win,63,B07,Chartres,2022
2645,black,"Feller, Sebastien",2574,draw,77,D13,Chartres,2022
2645,black,"Parligras, Mircea Emilian",2579,draw,28,D17,Chartres,2022
2645,white,"Fressinet, Laurent",2624,draw,23,C55,Chartres,2022
2663,white,"McShane, Luke J",2647,draw,30,,C65,2022
2635,white,"Shirov, Alexei",2695,draw,35,C84,Malmo,2022
2635,black,"Niemann, Hans Moke",2656,draw,38,D70,Malmo,2022
2635,white,"Salem, A.R. Saleh",2690,win,37,B13,Malmo,2022
2635,black,Erigaisi Arjun,2675,draw,39,C45,Malmo,2022
2635,white,"Navara, David",2682,draw,45,C67,Malmo,2022
2635,black,"Adams, Michael",2698,draw,41,B92,Malmo,2022
2635,white,"Van Foreest, Jorden",2715,draw,40,B10,Malmo,2022
2663,white,"Budisavljevic, Luka",2519,draw,53,C02,Terme Catez,2022
2663,black,"Kosakowski, Jakub",2452,win,50,A46,Terme Catez,2022
2663,white,"Subelj, Jan",2468,draw,34,A05,Terme Catez,2022
2663,black,"Wieczorek, Oskar",2500,draw,43,B92,Terme Catez,2022
2663,white,"Rozen, Eytan",2398,win,27,C02,Terme Catez,2022
2663,black,"Ohanyan, Emin",2379,draw,26,E10,Terme Catez,2022
2669,black,"Mica, Marek",2322,draw,42,A45,Czech Republic,2022
